time,open,high,low,close,Risk Oscillator,SRI Bias Histogram,STH MVRV,MVRV SMA,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1144157400,23.94,23.99001,23.75,23.92,,0,,,,,,23.604332839786768,,0,0,0,0,,,,201400,,-4027.999999999914,25.116000000000003,24.3976895979501,23.7074176097281,23.126268325113138,,,0,0,0,0,0,0,0,,,,
1144243800,24,24.2,23.95,24.07001,,0,,,,,,23.604332839786768,,0,0,0,0,,,,297300,,20813.972999999973,25.2735105,24.45814443500542,23.79040987120547,23.18357271771471,,,0,0,0,0,0,0,0,,,,
1144330200,24.33,24.56,24.33,24.5,,15,,,,,,23.941159332730148,,0,0,0,0,,,,619900,,105383.00000000106,25.725,24.54961595637944,23.903747478847013,23.270277441902188,,,0,0,0,0,0,0,0,,,,
1144416600,24.35001,24.42999,24.14999,24.39,,0,,,,,,23.941159332730148,,0,0,0,0,,,,415600,,16619.843999999805,25.6095,24.623690840177574,23.98807348633172,23.340492108417628,,,0,0,0,0,0,0,0,,,,
1144675800,24.69,24.85001,24.50999,24.84,,15,,,,,,24.118641312405078,,0,0,0,0,,,,497100,,74564.99999999929,26.082,24.839999999999993,24.12833893308475,23.465030953721417,,,0,0,0,0,0,0,0,,,,
1144762200,24.85001,24.95,24.60001,24.94,,15,,,,,,24.211615504376145,,0,0,0,0,,,,537900,,48405.62100000013,26.187,24.948140254028523,24.24286227486202,23.567185317977568,,,0,0,0,0,0,0,0,,,,
1144848600,24.92,25.08,24.75,24.89,,15,,,,,,24.365776539777848,,0,0,0,0,,,,517700,,-15531.00000000059,26.134500000000003,25.042507530797494,24.34408268264622,23.656329080876212,,,0,0,0,0,0,0,0,,,,
1144935000,24.75,25.05,24.64999,25.05,,0,,,,,,24.365776539777848,,0,0,0,0,,,,233200,,69960.00000000016,26.302500000000002,25.141196714581405,24.44841389307021,23.74955552017923,,,0,0,0,0,0,0,0,,,,
1145280600,25.2,25.35001,25.08,25.32001,,15,,,,,,24.700744720522735,,0,0,0,0,,,,526600,,63197.26600000032,26.5860105,25.320009999999996,24.626840057236954,23.914667386158357,,,0,0,0,0,0,0,0,,,,
1145367000,25.38,25.71001,25.31,25.64999,,15,,,,,,24.929262240485397,,0,0,0,0,,,,886800,,239427.13199999995,26.9324895,25.649990000000003,24.765436145033835,24.0404625856945,,,0,0,0,0,0,0,0,,,,
1145453400,25.69,26,25.55,25.89999,,15,,,,,,25.164314937593584,,0,0,0,0,,,,558500,,117279.4149999987,27.1949895,25.89999,24.911221072807752,24.173138447161154,,,0,0,0,0,0,0,0,,,,
1145539800,25.88,25.88,25.3,25.60001,,0,,,,,,25.164314937593584,,0,0,0,0,,,,640100,,-179221.5989999987,26.8800105,26.00758401462504,25.046663600392257,24.273558756652275,,,0,0,0,0,0,0,0,,,,
1145626200,25.67,26.21001,25.50999,26.14,,0,,,,,,25.164314937593584,,0,0,0,0,,,,559000,,262729.99999999936,27.447000000000003,26.14580829339567,25.211947756995283,24.402567093237792,,,0,0,0,0,0,0,0,,,,
1145885400,25.99001,26.09,25.56,25.62,,0,,,,,,25.164314937593584,,0,0,0,0,,,,481900,,-178307.8190000003,26.901000000000003,26.297799815204527,25.361489547129526,24.54442475802763,,,0,0,0,0,0,0,0,,,,
1145971800,25.83,25.89999,25.52,25.7,,0,,,,,,25.164314937593584,,0,0,0,0,,,,550700,,-71590.99999999945,26.985,26.387456816946052,25.45094390858799,24.628103983998578,,,0,0,0,0,0,0,0,,,,
1146058200,25.73,25.89999,25.55,25.60001,,0,,,,,,25.164314937593584,,0,0,0,0,,,,493900,,-64202.060999999696,26.8800105,26.462978367623492,25.53351305286969,24.698590223578982,,,0,0,0,0,0,0,0,,,,
1146144600,25.45,25.50999,25.12,25.2,,0,,,,,,25.164314937593584,,0,0,0,0,,,,427100,,-106775,26.46,26.504790265739842,25.5641130951666,24.7376143622719,,,0,0,0,0,0,0,0,,,,
1146231000,25.45,25.77,25.36,25.62,,0,,,,,,25.164314937593584,,0,0,0,0,,,,453800,,77146.00000000077,26.901000000000003,26.572528320121865,25.626436582802494,24.800836061072474,,,0,0,0,0,0,0,0,,,,
1146490200,25.74001,26.05,25.67,25.89999,,15,,,,,,25.232371977376783,,0,0,0,0,,,,571700,,91460.56599999848,27.1949895,26.722260864326724,25.773865480354676,24.94058536294903,,,0,0,0,0,0,0,0,,,,
1146576600,26.14,26.25,25.98,26.2,,15,,,,,,25.548630407564154,,0,0,0,0,,,,516300,,30977.999999999338,27.51,26.81704830652999,25.875146911353237,25.02905296326207,,,0,0,0,0,0,0,0,,,,
1146663000,26.19,26.22,25.60001,25.73,,0,,,,,,25.548630407564154,,0,0,0,0,,,,422000,,-194120.00000000035,27.0165,26.8742442363187,25.920454835381936,25.0824354213015,,,0,0,0,0,0,0,0,,,,
1146749400,25.59,25.8,25.25,25.42,,0,,,,,,25.548630407564154,,0,0,0,0,,,,445500,,-75734.99999999917,26.691000000000003,26.90757399798973,25.94955325099403,25.113542960079883,,,0,0,0,0,0,0,0,,,,
1146835800,25.63,25.77,25.5,25.7,,0,,,,,,25.548630407564154,0,0,0,0,0,,,,377300,,26411.000000000106,26.985,26.95673016954389,25.993905604579506,25.159421701365538,,,0,0,0,0,0,0,0,,,,
1147095000,25.39999,25.63,25.14999,25.63,,0,,,,,,25.548630407564154,0,0,0,0,0,,,63.27684764910402,342900,,78870.42900000002,26.9115,27.069409830863176,26.100815321322138,25.26458857800334,,,0,0,0,0,0,0,0,,,,
1147181400,25.84,26.2,25.8,26.03,,0,,,,,,25.548630407564154,0,0,0,0,0,,,,1164700,,221293.00000000148,27.331500000000002,27.130202225779264,26.157683328090517,25.32132771106251,,,0,0,0,0,0,0,0,,,,
1147267800,26.13,26.67999,26.03,26.67999,,15,,,,,,25.5555653605633,0,0,0,0,0,,,,757600,,416672.4240000008,28.0139895,27.22667081840713,26.25244921429505,25.411364373061073,,,0,0,0,0,0,0,0,,,,
1147354200,27.17,27.17,26.81,26.94,,15,,,,,,26.334452834808776,0,0,0,0,0,,,,1037600,,-238648.00000000044,28.287000000000003,27.332397167405954,26.35615475051691,25.510041541348066,,,0,0,0,0,0,0,0,,,,
1147440600,27,27.14999,26.72,26.85001,,40,,,,,,26.334452834808776,24.083368826530613,0,0,0,0,,,,1040100,,-156004.5989999989,28.1925105,27.426773047361877,26.450266670217733,25.59812501984544,,,0,0,0,0,0,0,0,,,,
1147699800,26.12,26.21001,25.8,25.94,,25,,,,,,26.334452834808776,24.083368826530613,0,0,0,0,,,53.89795982883906,685200,,-123335.99999999981,27.237000000000002,27.542069765978344,26.558338387066247,25.70573446454481,,,0,0,0,0,0,0,0,,,,
1147786200,25.95,26.28999,25.81,26.02,,25,,,,,,26.334452834808776,24.083368826530613,0,0,0,0,,,,602500,,42175.000000000175,27.321,27.577734074294767,26.590950765133385,25.739020896800387,,,0,0,0,0,0,0,0,,,,
1147872600,26.25,26.25,25.63,25.98,,25,,,,,,26.334452834808776,24.083368826530613,0,0,0,0,,,,785100,,-211976.99999999965,27.279,27.609240114241352,26.61954945368253,25.768426308368138,,,0,0,0,0,0,0,0,,,,
1147959000,25.89,26,25.73,25.99001,,25,,,,,,26.334452834808776,24.083368826530613,0,0,0,0,,,,263100,,26312.631000000274,27.289510500000002,27.639774386736242,26.61676847220561,25.796924743942913,,,0,0,0,0,0,0,0,,,,
1148045400,25.55,25.60001,25.2,25.42,,0,,,,,,26.121796546289108,24.09170819606414,0,0,0,0,,,,724900,,-94236.99999999927,26.691000000000003,27.636962702839448,26.581882374138985,25.420000000000005,,,0,0,0,0,0,0,0,,,,
1148304600,25.10001,25.63,25.10001,25.62,,0,,,,,,26.121796546289108,24.09170819606414,0,0,0,0,,,56.92695277366348,863900,,449219.361,26.901000000000003,27.720627088777423,26.652604463108837,25.49695305426327,,,0,0,0,0,0,0,0,,,,
1148391000,25.92999,26.27,25.85001,26.02,,0,,,,,,26.121796546289108,24.09170819606414,0,0,0,0,,,,855100,,76967.55099999956,27.321,27.74604615623764,26.667290521011818,25.520333072602703,,,0,0,0,0,0,0,0,,,,
1148477400,25.73,25.81,25.25,25.36,,0,,,,,,26.121796546289108,24.09170819606414,0,0,0,0,,,,402700,,-148999.0000000004,26.628,27.733922510894125,26.646485956328032,25.36,,,0,0,0,0,0,0,0,,,,
1148563800,25.45,25.8,25.36,25.8,,0,,,,,,26.121796546289108,24.09170819606414,0,0,0,0,,,,324200,,113470.00000000047,27.090000000000003,27.746736797151605,26.64964443242882,25.371717430138563,,,0,0,0,0,0,0,0,,,,
