time,open,high,low,close,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1754573400,21.87,21.94,21.83,21.89,-0.9293119259561322,,,,,0,0,0,0,-7.874508247342062,-0.5301966313749548,0,0,0,0,0,0,6.5,0.16179538914450461,-0.05757664893208214,-0.1381011950641131,-0.08052454613203097,0.021391794461487375,,22.30576613141255,8099,12524651,38.22646393644827,-7.874508247342062,-40,-60,10,30,50,,,,,,,,,,,22.0385441728778,21.84094444046459,0,0,0,0,0,0,0,0,0,0,22.0385441728778,21.84094444046459,-15,-15,10,21.557712297042887,22.265599999999996,22.265599999999996,22.190136975421698,22.308415442611555,0,0,0,0,21.97481174052492,22.18161176470589,22.18161176470589,21.888535337789733,22.202399221076053,0,0,0,0,22.027686121933243,22.548635294117666,22.548635294117666,22.0385441728778,21.84094444046459,0,0,0,0,0.9800666864170017,,,,40.67538470813909,0.550955491470267
1754587800,21.86,21.87,21.83,21.83,-0.6181917122493135,,,,,0,0,0,0,-7.9189543033348295,-0.5561248520525822,0,0,0,0,0,0,5.5,0.1545242899198973,-0.05088594919249215,-0.14413198262264615,-0.093246033430154,-0.022900021534260222,,22.30576613141255,12134,12512517,36.43136585234543,-7.9189543033348295,-40,-60,10,30,50,,,,,,,,,,,22.0245242899199,21.84094444046459,0,0,0,0,0,0,0,0,0,0,22.0245242899199,21.84094444046459,-20,-35,10,21.557712297042887,22.265599999999996,22.265599999999996,22.184352800236056,22.308415442611555,0,0,0,0,21.925239701138345,22.142141176470584,22.142141176470584,21.888535337789733,22.202399221076053,0,0,0,0,21.98632893123611,22.493411764705876,22.493411764705876,22.0245242899199,21.84094444046459,0,0,0,0,0.9800666864170017,,,,,0.5525873014754343
1754659800,21.93,22,21.76,21.9,-1.0137521802803473,,,,,0,0,0,0,-7.9189543033348295,-0.5561248520525822,0,0,0,0,0,0,4.5,0.16062969778276168,-0.0387074799194788,-0.1416303833295025,-0.1029229034100237,0.05142454872593681,,22.30576613141255,96094,12608611,39.97298823859713,-7.9189543033348295,-40,-60,10,30,50,,,,,,,,,,,22.0245242899199,21.84094444046459,0,0,0,0,0,0,0,0,0,0,22.0245242899199,21.84094444046459,-15,-15,10,21.557712297042887,22.265599999999996,22.265599999999996,22.184352800236056,22.308415442611555,0,0,0,0,21.88786001719416,22.111647058823532,22.111647058823532,21.888535337789733,22.202399221076053,0,0,0,0,21.98632893123611,22.493411764705876,22.493411764705876,22.0245242899199,21.84094444046459,0,0,0,0,0.9800666864170017,,,,40.67538470813909,0.5861412903339756
1754674200,21.9,21.9,21.835,21.84,-0.7030919985223607,,,,,0,0,0,0,-7.9189543033348295,-0.5561248520525822,0,0,0,0,0,0,4.5,0.15379900508399283,-0.03193587262177709,-0.14284274418724507,-0.11090687156546798,0.06099328223761296,,22.30576613141255,6792,12601819,38.01781852602187,-7.9189543033348295,-40,-60,10,30,50,,,,,,,,,,,22.0245242899199,21.84094444046459,0,0,0,0,0,0,0,0,0,0,22.0245242899199,21.84094444046459,-35,-20,10,21.58071669046939,22.286800000000028,22.286800000000028,22.184352800236056,22.308415442611555,0,0,0,0,21.844500994987598,22.07682352941177,22.07682352941177,21.888535337789733,22.202399221076053,0,0,0,0,21.944091724362245,22.4339294117647,22.4339294117647,22.0245242899199,21.84094444046459,0,0,0,0,0.9836722952063,,,,,0.5350505342621783
1754919000,21.84,21.9,21.8,21.86,-0.492914982527365,,,,,0,1,0,0,-7.9189543033348295,-0.5561248520525822,0,0,0,0,0,0,4.5,0.1499562190065646,-0.023729959086890587,-0.1405693204240812,-0.11683936133719063,0.08326518680374945,,22.297351029529615,9194,12611013,39.08733837895874,-7.9189543033348295,-40,-60,10,30,50,,,,,,,,,,,22.0245242899199,21.84094444046459,0,0,0,0,0,0,0,0,0,0,22.0245242899199,21.84094444046459,-15,-15,15,21.58071669046939,22.286800000000028,22.286800000000028,22.184352800236056,22.308415442611555,0,0,0,0,21.80221929411503,22.041588235294103,22.041588235294103,21.888535337789733,22.202399221076053,0,0,0,0,21.944091724362245,22.4339294117647,22.4339294117647,22.0245242899199,21.84094444046459,0,0,0,0,0.9836722952063,,40.146326682144405,48.839917290519104,41.69794938204283,0.5569104243028465
1754933400,21.84,21.88,21.84,21.865,-0.5405973943116182,,,,,0,0,0,0,-8.204556779770588,-0.7829433841480135,0,0,0,0,0,0,4.5,0.1421022033632385,-0.015958397317224204,-0.13678735798372088,-0.12082896066649668,0.06447131260423529,,22.27461592657665,3498,12614511,39.369008871381176,-8.204556779770588,-40,-60,10,30,50,,,,,,,,,,,22.022102203363236,21.84094444046459,0,0,0,0,0,0,0,0,0,0,22.022102203363236,21.84094444046459,-20,-35,0,21.58071669046939,22.286800000000028,22.286800000000028,22.133753179795374,22.308415442611555,0,0,0,0,21.76356292105087,22.00955294117648,22.00955294117648,21.888535337789733,22.15100076929283,0,0,0,0,21.904461144122717,22.37075294117647,22.37075294117647,22.022102203363236,21.84094444046459,0,0,0,0,0.9836722952063,,,,,0.5394926747848601
1755005400,21.8,21.83,21.77,21.77,-0.5543493231258958,,,,,0,0,0,0,-8.25036905271525,-0.7829433841480135,0,0,0,0,0,0,5,0.13873776026586424,-0.015211870895297117,-0.13984379928561808,-0.12463192839032096,0.038045494026900675,,22.201654333918984,9457,12605054,35.96599198753249,-8.25036905271525,-40,-60,10,30,50,,,,,,,,,,,21.968737760265864,21.84094444046459,0,0,0,0,0,0,0,0,0,0,21.968737760265864,21.84094444046459,-15,-15,-20,21.58071669046939,22.286800000000028,22.286800000000028,22.133753179795374,22.308415442611555,0,0,0,0,21.72279269611494,21.9772588235294,21.9772588235294,21.888535337789733,22.15100076929283,0,0,0,0,21.904461144122717,22.37075294117647,22.37075294117647,21.968737760265864,21.84094444046459,0,0,0,0,0.9836722952063,,,,39.49836363661595,0.5456267626437395
1755019800,21.78,21.8,21.775,21.775,-0.5640989943262242,,,,,0,0,0,0,-8.45150831661746,-1.141153233787615,0,0,0,0,0,0,4,0.13097077738973115,-0.012491197367817397,-0.1402459251000927,-0.1277547277322753,0.0038229392573462715,,22.15798890052709,2876,12607930,36.27818905161088,-8.45150831661746,-40,-60,10,30,50,,,,,,,,,,,21.93097077738973,21.84094444046459,0,0,0,0,0,0,0,0,0,0,21.93097077738973,21.84094444046459,-55,-35,-25,21.604567027801835,22.307600000000004,22.307600000000004,22.053842238381417,22.308415442611555,0,0,0,0,21.680748698103475,21.943458823529415,21.943458823529415,21.84631833674256,22.063222142914764,0,0,0,0,21.858768294220805,22.292235294117653,22.292235294117653,21.93097077738973,21.84094444046459,0,0,0,0,0.9814347512617185,,,,,0.5374699656891382
1755091800,21.8,21.82,21.62,21.71,-0.628940969084877,,,,,0,0,0,0,-8.45150831661746,-1.141153233787615,0,0,0,0,0,0,4,0.13590143614760744,-0.013114555383892279,-0.14414792196214066,-0.13103336657824838,-0.11466137810329771,,22.113440010474378,38817,12569113,33.960174902427866,-8.45150831661746,-40,-60,10,30,50,,,,,,,,,,,21.93097077738973,21.84094444046459,0,0,0,0,0,0,0,0,0,0,21.93097077738973,21.84094444046459,-15,-15,-10,21.604567027801835,22.307600000000004,22.307600000000004,22.053842238381417,22.308415442611555,0,0,0,0,21.63356838034366,21.906105882352932,21.906105882352932,21.787208157701496,22.063222142914764,0,0,0,0,21.858768294220805,22.292235294117653,22.292235294117653,21.93097077738973,21.84094444046459,0,0,0,0,0.9814347512617185,,,,38.7643201339184,0.5623774197610225
1755106200,21.72,21.76,21.71,21.75,-0.6427168652572054,,,,,0,0,0,0,-8.55245721924541,-1.1936133336873445,0,0,0,0,0,0,4,0.12976561927992125,-0.009070464704185183,-0.14237144745847985,-0.13330098275429467,-0.1735791945660943,,22.10409600942694,9265,12578378,36.64302397517303,-8.55245721924541,-40,-60,10,30,50,,,,,,,,,,,21.889765619279924,21.84094444046459,0,0,0,0,0,0,0,0,0,0,21.889765619279924,21.84094444046459,-20,-35,-30,21.604567027801835,22.307600000000004,22.307600000000004,22.042139221354176,22.308415442611555,0,0,0,0,21.5918044472247,21.87211764705882,21.87211764705882,21.787208157701496,22.05084913270657,0,0,0,0,21.80606184307943,22.22687058823529,22.22687058823529,21.889765619279924,21.84094444046459,0,0,0,0,0.9814347512617185,,,,,0.5159270558685761
