time,open,high,low,close,STH MVRV,MVRV SMA,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,SRI Bias Histogram,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1721741400,26.59,26.61,25.75,26.24,,,,,,,,0,0,0,0,0,,,,9858048,,-3450316.800000014,,,,,,,-0.00007049999999999873,-0.000056399999999998986,-0.00004229999999999924,-0.000028199999999999493,-0.000014099999999999746,-0.00007049999999999873,0,2.170059809500203,,7,
1721827800,26.31,26.33,25.47,25.5,,,,,,,,0,0,0,0,0,,,,10092833,,-8175194.729999987,,25.499999999999996,25.499999999999996,25.499999999999996,,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.1100352308799257,41.20430515707034,7,
1721914200,23.95,24.09,23.51,23.7,,,,,,,,0,0,0,0,0,,,,9141648,,-2285412,24.885,23.876716862392108,23.788194333296783,23.700000000000003,,,0.004524500000000002,0.0036196000000000015,0.0027147000000000013,0.0018098000000000007,0.0009049000000000004,0,0.004524500000000002,2.0916195331847587,35.804190253073486,7,
1722000600,24.62,24.94,24.42,24.87,,,,,,,,0,0,0,0,0,,,,8300467,,2075116.75,26.113500000000002,24.87,24.195751659086266,24.016673549601833,,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.101207848001507,39.96327519876975,7,
1722259800,25.57,25.57,24.71,25.12,,,,,,,,0,0,0,0,0,,,,6590520,,-2965733.9999999953,26.376,25.301603244250668,24.866548254859115,24.43346784876216,,,-0.005531500000000001,-0.004425200000000001,-0.0033189000000000005,-0.0022126000000000003,-0.0011063000000000002,-0.005531500000000001,0,2.1746128456106892,32.76335745725149,7,
1722346200,25.4,25.49,24.725,24.82,,,,,,,,0,0,0,0,0,,,,4890986,,-2836771.8799999915,26.061,25.35702567776914,24.82,24.486988656688887,,,-0.005138499999999998,-0.004110799999999999,-0.003083099999999999,-0.0020553999999999993,-0.0010276999999999997,-0.005138499999999998,0,2.1284209726994328,34.372141725460715,7,
1722432600,25.28,25.419,24.62,24.79,,,,,,0,,0,0,0,0,0,,,,5588816,,-2738519.840000011,26.0295,25.356495703601098,24.804736245035134,24.48647686671769,,,0.0006924999999999992,0.0005539999999999994,0.00041549999999999953,0.0002769999999999997,0.00013849999999999984,0,0.0006924999999999992,2.107700947626629,36.06325682872958,7,
1722519000,24.13,24.25,23.36,23.75,,,,,,0,,0,0,0,0,0,,,,4079691,,-1550282.5799999959,24.9375,24.950901403022367,24.39346718139294,23.750000000000004,,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.0595408018454977,30.428608045255267,7,
1722605400,23.89,24.1497,22.66,22.84,,,,,,0,,0,0,0,0,0,,,,5555109,,-5832864.450000004,23.982,24.36993178592373,23.767287891258864,22.84,,,-0.005813999999999998,-0.0046511999999999986,-0.003488399999999999,-0.0023255999999999993,-0.0011627999999999996,-0.005813999999999998,0,2.0744144279629873,31.071069193452214,7,
1722864600,16.61,19.13,16.58,18.25,,,,,,0,,0,0,0,0,0,,,,11492207,,18847219.480000008,19.1625,21.616594688865387,21.030549127740652,18.25,,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.849234748266522,10.099428465751325,7,
