time,open,high,low,close,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,Risk Oscillator,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1442237400,105.86,106.39,105.78,106.22,-5,-5,-5,-10,101.66853789278436,105.48955294117643,105.48955294117643,107.36067968755967,111.46829349397109,0,0,0,0,106.10733746233389,107.56916470588226,107.56916470588226,106.17549771933894,107.37732758711157,0,0,0,0,104.42075890804574,106.8029411764706,106.8029411764706,106.64691449330529,108.3748356921034,0,0,0,0,104.97157866726774,106.05830588235278,106.05830588235278,106.17549771933894,107.37732758711157,0,0,0,0,-0.04128209340233894,0.9151568994845984,,63.04275371673534,65.0650425980513,46.42904156571378,2350848,0.9454700693122281,846305.2799999986,-0.051858809054189825,0.3382115545255302,0,0,0,0,0,0,0,0.8258644192576996,-0.2575332176249999,,0.1
1442323800,105.83,106.06,105.68,105.9,-20,-5,-20,-30,101.66853789278436,105.48955294117643,105.48955294117643,107.14497381223258,111.46829349397109,0,0,0,0,105.63919322076825,107.10184705882357,107.10184705882357,106.17549771933894,107.15417531745844,0,0,0,0,104.56273667370901,106.8629647058823,106.8629647058823,106.53985871393392,108.3748356921034,0,0,0,0,104.41787861272059,105.5942823529411,105.5942823529411,106.17549771933894,107.15417531745844,0,0,0,0,-0.04341400933281115,0.9151568994845984,,,,,2904958,0.943442532684971,203347.06000002148,-0.05344459736916718,0.33923902470590406,0,0,0,0,0,0,0,0.8279716406954246,-0.2544170051559812,,0.1
1442410200,106.6,107.709,106.56,107.31,30,15,15,10,101.4712741551144,105.30903529411756,105.30903529411756,107.14497381223258,111.46829349397109,0,0,0,0,105.46081143329056,106.89245882352945,108.32410621376835,106.78653833499173,107.15417531745844,0,0,0,0,104.74657061231305,106.99496470588235,106.99496470588235,106.53985871393392,108.3748356921034,0,0,0,0,104.58108806061026,105.72075294117641,106.86041782174257,106.78653833499173,107.15417531745844,0,0,0,0,-0.030174751104395596,0.9255599515146706,,,,,5315633,0.9567886924747838,3774099.430000042,-0.05280163415405248,0.3917722731826792,0,0,0,0,0,0,0,0.828310265448207,-0.25394630460119877,,0.1
1442496600,107.07,108.58,106.96,108.41,50,15,15,10,101.4712741551144,105.30903529411756,105.30903529411756,107.14497381223258,111.46829349397109,0,0,0,0,105.42945410694924,106.8673176470589,108.30518118716856,107.84699392687453,107.15417531745844,0,0,0,0,105.04533732772492,107.23369411764708,109.42205090756923,106.53985871393392,108.3748356921034,0,0,0,0,104.98279263304075,106.08409411764715,107.18539560225356,107.84699392687453,107.15417531745844,0,0,0,0,-0.019620255453990106,0.9255599515146706,,,,,8403849,0.9673409489198747,11261157.660000028,-0.050820591255589354,0.4106741098438389,0,0,0,0,0,0,0,0.8212798389990628,-0.2643771524806547,,0.1
1442583000,109.1,109.38,108.82,109.21,45,15,50,30,101.66399335876504,105.42075294117656,109.17751252358808,107.68427934931671,111.46829349397109,0,0,0,0,105.53783355065505,106.98287058823524,108.42790762581544,108.55215596484443,107.65579294006697,0,0,0,0,105.4244308403834,107.55164705882342,109.67886327726345,108.13566010453438,108.3748356921034,0,0,0,0,105.81282030727169,106.92021176470591,108.02760322214013,108.55215596484443,107.65579294006697,0,0,0,0,-0.011749333082372537,0.9428668649183092,,,,,6794284,0.9750086340784246,747371.2399999961,-0.04611638748638369,0.3662871108372894,0,0,0,0,0,0,0,0.8377710897203193,-0.24007062254634795,,0.1
1442842200,108.49,108.66,108.328,108.53,15,15,15,15,101.66399335876504,105.42075294117656,109.17751252358808,107.68427934931671,111.46829349397109,0,0,0,0,105.55163073078458,106.98072941176474,108.4098280927449,108.55215596484443,107.65579294006697,0,0,0,0,105.78052625354684,107.82705882352941,109.87359139351199,108.13566010453438,108.3748356921034,0,0,0,0,106.52808636596339,107.59287058823543,108.65765481050747,108.55215596484443,107.65579294006697,0,0,0,0,-0.017282001039491943,0.9428668649183092,,76.13106509750786,65.70013460616673,47.705032242774834,4104752,0.9695318877589241,164190.08000002566,-0.042622784184222495,0.40005055552283936,0,0,0,0,0,0,0,0.8297902136173103,-0.25194990184008126,,0.1
1442928600,107.58,107.96,107.44,107.79,-20,-5,-5,15,101.572283138617,105.32456470588242,105.32456470588242,107.68427934931671,111.46829349397109,0,0,0,0,105.46062280504975,106.88030588235289,108.29998895965602,108.30079456910292,107.65579294006697,0,0,0,0,106.05822036610246,108.03197647058816,110.00573257507386,108.13566010453438,108.3748356921034,0,0,0,0,106.90718491291285,107.94258823529412,108.9779915576754,108.30079456910292,107.65579294006697,0,0,0,0,-0.023480320125238468,0.9316581076914673,,,,,5483262,0.9635143155905065,1151485.0200000436,-0.039843274168611886,0.4143364722775039,0,0,0,0,0,0,0,0.8153921487076903,-0.2733331542036219,,0.1
1443015000,108.54,108.64,108.2,108.22,-5,-5,-5,10,101.572283138617,105.32456470588242,105.32456470588242,107.68427934931671,111.46829349397109,0,0,0,0,105.44097178744344,106.84924705882341,108.25752233020337,108.30079456910292,107.65579294006697,0,0,0,0,106.35719229448205,108.26781176470587,110.17843123492969,108.13566010453438,108.3748356921034,0,0,0,0,107.28782534982373,108.36583529411766,109.44384523841158,108.30079456910292,107.65579294006697,0,0,0,0,-0.01915289323612519,0.9316581076914673,,,,,2744177,0.9678519734219063,-878136.6400000203,-0.036645859295800776,0.4122683869399989,0,0,0,0,0,0,0,0.8298096852582281,-0.2520552938616747,,0.1
1443101400,109.67,110.82,109.63,110.49,45,15,30,50,101.7611602653234,105.47658823529412,109.19201620526484,108.41035668720934,111.46829349397109,0,0,0,0,105.75591395557868,107.24230588235294,108.7286978091272,109.81706748106681,108.40478623909968,0,0,0,0,106.74065052831062,108.66263529411763,110.58462005992465,109.42679791887734,108.3748356921034,0,0,0,0,107.99556169756428,109.3918117647058,110.78806183184733,109.81706748106681,108.40478623909968,0,0,0,0,0.0017489127093997718,0.9559123092181611,,,,,11024343,0.9885441448646805,9039961.259999925,-0.030202771841556397,0.45691287329645547,0,0,0,0,0,0,0,0.827533488122711,-0.2552856983517076,,0.1
1443187800,109.87,110.03,109.55,109.81,15,15,15,15,101.7611602653234,105.47658823529412,109.19201620526484,108.41035668720934,111.46829349397109,0,0,0,0,106.23585055723204,107.68489411764698,109.13393767806191,109.81706748106681,108.40478623909968,0,0,0,0,107.0644641352897,108.98788235294118,110.91130057059267,109.42679791887734,108.3748356921034,0,0,0,0,108.47096494122648,109.96508235294117,111.45919976465585,109.81706748106681,108.40478623909968,0,0,0,0,-0.003999963719150219,0.9559123092181611,,,,,5209493,0.9829237815170788,-312569.58000001183,-0.02646918769265727,0.40599457522130655,0,0,0,0,0,0,0,0.8445432924717655,-0.2302117987423003,,0.1
