time,open,high,low,close,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1653413400,174.08,174.15,173.76,174.11,172.57051127429727,177.6796862593315,0,0,0,0,0,0,0,0,0,0,0,0,172.57051127429727,177.6796862593315,172.57051127429727,,0,0,0,0,172.57051127429727,0,172.57051127429727,0,0,-0.7430920254732365,-0.4078724781809546,0,0,0,0,0,0,1.1894887257027276,-0.7430920254732365,-45,-65,40,60,80,,,,,,,,,,,10,10,-15,0.10038140148842603,0,0,0,0.10038140148842603,1,0.013366075001006936,0.1715628227542549,0,0,0,0,-0.18,,,,,0,1,0,173.80839298164594,179.3560470588234,179.3560470588234,171.9007979102636,172.60480540753875,0,0,0,0,165.50738147926842,169.18035294117635,172.8533244030843,173.35255595599887,171.9144713253505,0,0,0,0,167.49209880120895,171.93505882352957,171.93505882352957,172.57051127429727,177.6796862593315,0,0,0,0,1.0147581068258145,,,,,0.4379065230822992
1653485400,172.81,172.96,171.73,172.41,172.57051127429727,177.6796862593315,0,0,0,0,0,0,0,0,0,0,0,0,172.57051127429727,177.6796862593315,172.57051127429727,,1,0,0,0,172.57051127429727,0,172.57051127429727,1,0,-0.7430920254732365,-0.4078724781809546,0,0,0,0,0,0,1.2745252452953915,-0.7430920254732365,-45,-65,40,60,80,,,,,,,,,,,15,15,-10,0.10038140148842603,0,0,0,0.10038140148842603,1,0,0.12979980508216105,0,0,0,0,-0.3,,,,,0,1,0,173.80839298164594,179.3560470588234,179.3560470588234,171.9007979102636,172.60480540753875,0,0,0,0,165.83883032372762,169.34404705882332,169.34404705882332,173.35255595599887,171.9144713253505,0,0,0,0,167.49209880120895,171.93505882352957,171.93505882352957,172.57051127429727,177.6796862593315,0,0,0,0,1.0147581068258145,,,,46.46127655350263,0.44191397836877
1653499800,172.42,173.16,172.25,173.04,172.57051127429727,177.6796862593315,0,0,0,0,0,0,0,0,0,0,0,0,172.57051127429727,177.6796862593315,172.57051127429727,,0,0,0,0,172.57051127429727,0,172.57051127429727,0,0,-0.7430920254732365,-0.4078724781809546,0,0,0,0,0,0,1.2484877277742918,-0.7430920254732365,-45,-65,40,60,80,,,,,,,,,,,10,10,-10,0.10038140148842603,0,0,0,0.10038140148842603,1,0,0.10038140148842603,0,0,0,0,-0.3,,,,,0,0,0,173.42577183733763,178.94381176470588,178.94381176470588,171.9007979102636,172.60480540753875,0,0,0,0,166.30643304809755,169.59698823529405,172.88754342249055,173.35255595599887,171.9144713253505,0,0,0,0,167.13164336387666,171.61884705882332,171.61884705882332,172.57051127429727,177.6796862593315,0,0,0,0,1.015685783071955,,,,,0.4382999679953452
1653571800,172.1,172.9,171.76,172.55,172.57051127429727,177.6796862593315,0,0,0,0,0,0,0,0,0,0,0,0,172.57051127429727,177.6796862593315,172.57051127429727,,1,0,0,0,172.57051127429727,0,172.57051127429727,0,0,-0.7430920254732365,-0.4078724781809546,0,0,0,0,0,0,1.2507386043618425,-0.7430920254732365,-45,-65,40,60,80,,,,,,,,,,,15,15,-15,0.10038140148842603,0,0,0,0.10038140148842603,1,0,0.08697681711486538,0,0,0,0,-0.3,,,,,0,0,0,173.42577183733763,178.94381176470588,178.94381176470588,171.9007979102636,172.60480540753875,0,0,0,0,166.68002475200734,169.79094117647045,169.79094117647045,173.35255595599887,171.9144713253505,0,0,0,0,167.13164336387666,171.61884705882332,171.61884705882332,172.57051127429727,177.6796862593315,0,0,0,0,1.015685783071955,,,,45.56490479131309,0.42532923695991504
1653586200,172.54,172.92,172.44,172.77,172.57051127429727,177.6796862593315,0,0,0,0,0,0,0,0,0,0,0,0,172.57051127429727,177.6796862593315,172.57051127429727,,0,0,0,0,172.57051127429727,0,172.57051127429727,0,0,-0.7430920254732365,-0.4078724781809546,0,0,0,0,0,0,1.1956858469074245,-0.7430920254732365,-45,-65,40,60,80,,,,,,,,,,,10,10,-15,0.10038140148842603,0,0,0,0.10038140148842603,1,0,0.01336607500100695,0,0,0,0,-0.18,,,,,0,1,0,173.42577183733763,178.94381176470588,178.94381176470588,171.9007979102636,172.60480540753875,0,0,0,0,167.16105479650471,170.04202352941164,172.92299226231856,173.35255595599887,171.9144713253505,0,0,0,0,166.81142158889563,171.33625882352956,171.33625882352956,172.57051127429727,177.6796862593315,0,0,0,0,1.015685783071955,,,,,0.4240457007521281
1653658200,173.48,173.49,172.68,172.92,172.57051127429727,177.6796862593315,0,0,0,0,0,0,0,0,0,0,0,0,172.57051127429727,177.6796862593315,172.57051127429727,,0,0,0,0,172.57051127429727,0,172.57051127429727,0,0,-0.7430920254732365,-0.4078724781809546,0,0,0,0,0,0,1.1681368578426086,-0.7430920254732365,-45,-65,40,60,80,,,,,,,,,,,15,15,-15,0.10038140148842603,0,0,0,0.10038140148842603,1,0,6.938893903907228e-18,0,0,0,0,-0.18,,,,,0,0,0,173.42577183733763,178.94381176470588,178.94381176470588,171.9007979102636,172.60480540753875,0,0,0,0,167.5379052526748,170.25658823529406,172.97527121791333,173.35255595599887,171.9144713253505,0,0,0,0,166.81142158889563,171.33625882352956,171.33625882352956,172.57051127429727,177.6796862593315,0,0,0,0,1.015685783071955,,,,45.881149166152625,0.4394810341277533
1653672600,172.93,173.01,172.74,172.88,172.57051127429727,177.6796862593315,0,0,0,0,0,0,0,0,0,0,0,0,172.57051127429727,177.6796862593315,172.57051127429727,,0,0,0,0,172.57051127429727,0,172.57051127429727,0,0,-0.7430920254732365,-0.4078724781809546,0,0,0,0,0,0,1.1039842251395637,-0.7430920254732365,-45,-65,40,60,80,,,,,,,,,,,10,10,-20,0.10038140148842603,0,0,0,0.10038140148842603,1,0,-6.938893903907228e-18,0,0,0,0,-0.3,,,,,0,1,0,172.9915912987389,178.45312941176456,178.45312941176456,171.9007979102636,172.60480540753875,0,0,0,0,167.94587941174265,170.48461176470587,173.0233441176691,173.35255595599887,171.9144713253505,0,0,0,0,166.5692281154183,171.1129176470587,171.1129176470587,172.57051127429727,177.6796862593315,0,0,0,0,1.0137465496463098,,,,,0.41650309268294
1654003800,172.71,173.06,171.54,172,172.57051127429727,177.6796862593315,0,0,0,0,0,0,0,0,0,0,0,0,172.57051127429727,177.6796862593315,172.57051127429727,,1,0,0,0,172.57051127429727,0,172.57051127429727,1,0,-0.7430920254732365,-0.4078724781809546,0,0,0,0,0,0,1.1336996376295956,-0.7430920254732365,-45,-65,40,60,80,,,,,,,,,,,15,15,-15,0.03843632516617398,0,0,0,0.03843632516617398,1,-0.06194507632225205,-0.06194507632225207,0,0,0,0,0.2541071388195936,,,,,0,1,0,172.9915912987389,178.45312941176456,178.45312941176456,171.9007979102636,172.60480540753875,0,0,0,0,168.02926264445907,170.52371764705882,170.52371764705882,172.83221584210494,171.9144713253505,0,0,0,0,166.5692281154183,171.1129176470587,171.1129176470587,172.57051127429727,177.6796862593315,0,0,0,0,1.0137465496463098,,18.133538402210192,11.789612773986619,41.00658582030697,0.42536293478356996
1654018200,172.01,172.14,171.09,171.15,172.57051127429727,177.6796862593315,0,0,0,0,0,0,0,0,0,0,0,0,172.57051127429727,177.6796862593315,172.57051127429727,,0,0,0,0,172.57051127429727,0,172.57051127429727,0,0,-0.7430920254732365,-0.4078724781809546,0,0,0,0,0,0,1.1277210920846232,-0.7430920254732365,-45,-65,40,60,80,,,,,,,,,,,10,10,-15,0.012474235158981814,0,0,0,0.012474235158981814,1,-0.025962090007192164,-0.08790716632944423,0,0,0,0,0.3,,,,,0,0,0,172.9915912987389,178.45312941176456,178.45312941176456,171.9007979102636,172.60480540753875,0,0,0,0,168.06840620187873,170.51738823529408,170.51738823529408,172.212318761815,171.9144713253505,0,0,0,0,166.09645821422205,170.7121176470588,170.7121176470588,172.57051127429727,177.6796862593315,0,0,0,0,1.0137465496463098,,,,,0.385954102545748
1654090200,172.18,172.51,171.4,172.13,172.57051127429727,177.6796862593315,0,0,0,0,0,0,0,0,0,0,0,0,172.57051127429727,177.6796862593315,172.57051127429727,,0,0,0,0,172.57051127429727,0,172.57051127429727,0,0,-0.7430920254732365,-0.4078724781809546,0,0,0,0,0,0,1.1443124426500064,-0.7430920254732365,-45,-65,40,60,80,,,,,,,,,,,15,15,-15,0.020790391931636357,0,0,0,0.020790391931636357,1,0.008316156772654543,-0.07959100955678969,0,0,0,0,0.3,,,,,0,0,0,172.9915912987389,178.45312941176456,178.45312941176456,171.9007979102636,172.60480540753875,0,0,0,0,168.25580317002866,170.62225882352934,170.62225882352934,172.212318761815,171.9144713253505,0,0,0,0,166.09645821422205,170.7121176470588,170.7121176470588,172.57051127429727,177.6796862593315,0,0,0,0,1.0137465496463098,,,,45.016618811213974,0.3909627785457005
