time,open,high,low,close,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1704983400,28.05,29.63,26.28,26.79,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,3686868,,-4645453.680000006,,,0.005,0.004,0.003,0.002,0.001,0,0.005,2.0786428709938827,,7,
1704997800,26.75,27.11,26.5,26.56,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,1425148,,-270778.1200000018,,,0.005,0.004,0.003,0.002,0.001,0,0.005,2.0786428709938827,,7,
1705069800,26.4,26.41,24.75,24.97,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,2217532,,-3171070.7599999993,,,0.005,0.004,0.003,0.002,0.001,0,0.005,2.067203988175687,284.6776601961197,7,
1705084200,24.96,25.15,24.76,24.92,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,984633,,-39385.31999999916,,,0.005,0.004,0.003,0.002,0.001,0,0.005,2.067203988175687,268.39667197374956,7,
1705415400,24.7,24.86,24.04,24.61,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,1183627,,-106526.42999999983,,,0.005,0.004,0.003,0.002,0.001,0,0.005,1.8986694546287448,13.036501469187563,7,
1705429800,24.6,24.8,24.5,24.72,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,590324,,70838.87999999849,,,0.005,0.004,0.003,0.002,0.001,0,0.005,1.8986694546287448,11.06772929443101,7,
1705501800,24.33,24.56,24.15,24.26,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,1044654,,-73125.77999999658,,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.9169794780061458,11.361373686155089,7,
1705516200,24.25,24.48,24.205,24.41,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,476659,,76265.44000000006,,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.9169794780061458,11.550672454858692,7,
1705588200,24.345,24.47,23.64,23.68,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,1249470,,-830897.5499999989,,,0.005,0.004,0.003,0.002,0.001,0,0.005,1.8927209776213074,11.188550994420174,7,
1705602600,23.67,23.76,23.2,23.34,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,1391447,,-459177.51000000257,,,0.005,0.004,0.003,0.002,0.001,0,0.005,1.8927209776213074,11.261879887035597,7,
1705674600,23.485,23.625,23.03,23.62,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,1525683,,205967.20500000237,,,0.005,0.004,0.003,0.002,0.001,0,0.005,1.8273110926097509,9.789366273924907,7,
1705689000,23.61,24.115,23.6,23.795,-15,-45,-65,40,60,80,,,,,,,,,,,,,0,0,0,0,1,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,1185717,,219357.6450000027,,,0.005,0.004,0.003,0.002,0.001,0,0.005,1.8273110926097509,9.455821691729144,7,
