time,open,high,low,close,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4
1704983400,28.05,29.63,26.28,26.79,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1704997800,26.75,27.11,26.5,26.56,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1705069800,26.4,26.41,24.75,24.97,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1705084200,24.96,25.15,24.76,24.92,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1705415400,24.7,24.86,24.04,24.61,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1705429800,24.6,24.8,24.5,24.72,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1705501800,24.33,24.56,24.15,24.26,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0
1705516200,24.25,24.48,24.205,24.41,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0
1705588200,24.345,24.47,23.64,23.68,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0
1705602600,23.67,23.76,23.2,23.34,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0
1705674600,23.485,23.625,23.03,23.62,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0
1705689000,23.61,24.115,23.6,23.795,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0
1705933800,23.23,23.33,23.05,23.13,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0
1705948200,23.15,23.19,22.5,22.945,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,0,,0,0,0,0
1706020200,22.175,22.625,22.02,22.51,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,0,,0,0,0,0
