time,open,high,low,close,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1732041000,229.57,230.82,229.42,230.63,2.6005864543364337,-1.1966885562469673,0.7412649019669004,1.9379534582138678,0.06260218144641312,,236.24762172499774,1572276,42194654,50.4206664223353,8.793710640802354,-40,-60,10,30,50,,,,,,,,,,,231.63189136339025,217.99467079746177,0,0,0,0,0,0,0,0,0,0,231.63189136339025,217.99467079746177,-10,-10,-10,35,219.33730114852838,228.01950588235312,236.70171061617785,235.80224574709254,204.61571713255358,0,0,0,0,227.18712431367592,234.27408235294104,241.36104039220615,230.67944113309707,235.7847570557339,0,0,0,0,224.27969224278985,231.182988235294,238.08628422779816,231.63189136339025,217.99467079746177,0,0,0,0,228.56744409859257,235.15957647058838,235.15957647058838,230.67944113309707,235.7847570557339,0,0,0,0,1.1497693073430837,,,,,0.4717419600615419,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.585821392989377,3.0182874404522706,,
1732113000,230.23,230.63,228.06,229.73,2.5984017075981165,-1.1032542827893272,0.5588856047272088,1.662139887516536,-0.08045605343933665,,236.24762172499774,2240221,39954433,48.09285720527749,8.793710640802354,-40,-60,10,30,50,,,,,,,,,,,231.63189136339025,217.99467079746177,0,0,0,0,0,0,0,0,0,0,231.63189136339025,217.99467079746177,-10,-10,-10,10,219.33730114852838,228.01950588235312,236.70171061617785,235.80224574709254,204.61571713255358,0,0,0,0,227.37246131518918,234.4694823529414,234.4694823529414,230.67944113309707,235.7847570557339,0,0,0,0,224.27969224278985,231.182988235294,238.08628422779816,231.63189136339025,217.99467079746177,0,0,0,0,227.6099588965705,233.66494117647085,233.66494117647085,230.67944113309707,235.7847570557339,0,0,0,0,1.1497693073430837,,,,55.34107305289731,0.48105374887774244,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.618724464988183,3.0989472188303386,,
1732127400,229.73,230.91,228.87,230.88,2.5585158713411076,-0.9286201764532773,0.5013646669499394,1.4299848434032167,-0.09594503811257146,,236.24762172499774,1295360,41249793,51.193531847548066,8.793710640802354,-40,-60,10,30,50,,,,,,,,,,,231.63189136339025,217.99467079746177,0,0,0,0,0,0,0,0,0,0,231.63189136339025,217.99467079746177,-10,-10,-10,15,219.33730114852838,228.01950588235312,236.70171061617785,235.80224574709254,204.61571713255358,0,0,0,0,227.63682989351514,234.7538705882355,241.87091128295583,230.67944113309707,235.7847570557339,0,0,0,0,224.55674925064082,231.26068235294116,237.9646154552415,231.63189136339025,217.99467079746177,0,0,0,0,226.7869930007896,232.39190588235303,232.39190588235303,230.67944113309707,235.7847570557339,0,0,0,0,1.1497693073430837,,,,,0.4778936883698741,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.618724464988183,3.0954105331813557,,
1732199400,232.16,235.43,231.13,235.42,2.7007647376738864,-0.49378780283000046,0.8127500898657161,1.3065378926957165,0.0021790636438602106,,236.24762172499774,2724560,43974353,61.078247053021784,8.793710640802354,-40,-60,10,30,50,,,,,,,,,,,231.63189136339025,217.99467079746177,0,0,0,0,0,0,0,0,0,0,231.63189136339025,217.99467079746177,25,10,10,10,219.33730114852838,228.01950588235312,236.70171061617785,235.80224574709254,204.61571713255358,0,0,0,0,228.14277613515233,235.35138823529434,242.56000033543634,232.21046635047713,235.7847570557339,0,0,0,0,224.55674925064082,231.26068235294116,237.9646154552415,231.63189136339025,217.99467079746177,0,0,0,0,226.6856052681271,231.67407058823548,236.66253590834387,232.21046635047713,235.7847570557339,0,0,0,0,1.1497693073430837,,,,59.95485377173585,0.5256374392156421,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,2.655366265861286,3.1803067509151113,,
1732213800,235.4,235.57,234.51,234.53,2.5835672564114662,-0.2640672999451805,0.9764537677642409,1.2405210677094214,-0.015369960140654226,,236.24762172499774,1459664,42514689,58.57381569334108,8.81904452102298,-40,-60,10,30,50,,,,,,,,,,,231.92643274358852,217.99467079746177,0,0,0,0,0,0,0,0,0,0,231.92643274358852,217.99467079746177,30,15,15,10,219.98555180050693,228.6625647058825,237.33957761125805,235.80224574709254,204.61571713255358,0,0,0,0,228.58421846746373,235.86038823529444,243.13655800312515,233.15521875401447,235.7847570557339,0,0,0,0,224.9921270265935,231.6667294117646,238.34133179693572,231.92643274358852,217.99467079746177,0,0,0,0,226.54081215665664,230.97312941176463,235.40544666687262,233.15521875401447,235.7847570557339,0,0,0,0,1.167055543868718,,,,,0.46810080623493067,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,2.655366265861286,3.1765224090317656,,
1732285800,235.64,238.81,235.34,238.46,2.7047410238106475,0.1332537300747063,1.4070882303028043,1.273834500228098,-0.008273455441835144,228.89042050284544,,2036266,44550955,65.33341375984361,16.38001157041298,-40,-60,10,30,50,,,,,,,,,,,232.63525897618936,217.99467079746177,0,0,0,0,0,1,1,0,0,0,232.63525897618936,217.99467079746177,55,10,10,10,219.98555180050693,228.6625647058825,237.33957761125805,235.80224574709254,204.61571713255358,0,0,0,0,229.21405921370734,236.64578823529405,244.07751725688075,235.93169300385196,235.7847570557339,0,0,0,0,224.9921270265935,231.6667294117646,238.34133179693572,232.63525897618936,217.99467079746177,0,0,0,0,226.77880817841947,230.77289411764707,234.76698005687467,235.93169300385196,235.7847570557339,0,0,0,0,1.167055543868718,,,,64.78775426433884,0.543143010827557,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.7348659647199334,3.376429088247462,,
1732300200,238.45,239.23,237.93,238.73,2.604402379252743,0.38091893682761224,1.7499831712626133,1.369064234435001,-0.016450920093031687,230.8238784525609,,1319453,45870408,65.74693824980628,16.6114110326151,-40,-60,10,30,50,,,,,,,,,,,235.32559762074726,217.99467079746177,0,0,0,0,0,0,0,0,0,0,235.32559762074726,217.99467079746177,40,15,15,10,219.98555180050693,228.6625647058825,237.33957761125805,235.80224574709254,204.61571713255358,0,0,0,0,229.83307902493675,237.4152352941178,244.99739156329883,236.7717148859744,235.7847570557339,0,0,0,0,225.6379713426183,232.5640705882355,239.4901698338527,235.32559762074726,217.99467079746177,0,0,0,0,227.40457822266143,231.46854117647092,235.53250413028042,236.7717148859744,235.7847570557339,0,0,0,0,1.167055543868718,,,,,0.5046171959476671,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.7348659647199334,3.371984191780619,,
1732545000,241.49,244.98,241.39,243.46,2.8648022093061187,0.8055583428043065,2.376012162940384,1.5704538201360776,-0.009501276957853593,234.32949060730482,,3189945,49060353,72.03937776364312,24.386612728909032,-40,-60,10,30,50,,,,,,,,,,24.386612728909032,238.52519779069388,217.99467079746177,0,0,0,0,0,0,0,1,0,1,238.52519779069388,217.99467079746177,35,10,10,10,219.98555180050693,228.6625647058825,237.33957761125805,235.80224574709254,204.61571713255358,0,0,0,0,230.5509610580541,238.39037647058842,246.22979188312274,240.23316232515137,235.7847570557339,0,0,0,0,225.6379713426183,232.5640705882355,239.4901698338527,238.52519779069388,217.99467079746177,0,0,0,0,228.67115529530003,233.0898823529413,237.50860941058255,240.23316232515137,235.7847570557339,0,0,0,0,1.167055543868718,,73.60006821705993,71.3879896940759,68.24746496895418,0.5870711217227541,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.674627714279679,3.294314349841199,,
1732559400,243.49,244.21,242.39,242.4,2.7901734800699693,0.9475211450346159,2.7548552514293476,1.8073341063947317,-0.05636051597490924,234.78404154657434,,1423349,47637004,68.9810848385089,25.255043708215517,-40,-60,10,30,50,,,,,,,,,,,239.59982651993002,217.99467079746177,0,0,0,0,0,0,0,0,0,0,239.59982651993002,217.99467079746177,55,15,30,35,220.87821748824854,229.80668235294132,238.7351472176341,237.07250141234618,204.61571713255358,0,0,0,0,231.19740991225916,239.22201176470597,247.24661361715278,241.254365016212,237.06524161915507,0,0,0,0,226.40445828532015,233.72284705882345,241.04123583232675,239.59982651993002,217.99467079746177,0,0,0,0,229.78091640226864,234.45588235294113,239.13084830361362,241.254365016212,237.06524161915507,0,0,0,0,1.2046863878005116,,,,,0.5533497471151023,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.674627714279679,3.29009502277382,,
1732631400,241.16,241.61,239.429,240.67,2.803089660064972,0.8599483766060319,2.8822695771522717,2.02232120054624,-0.0014231838858721252,234.78404154657434,,2072195,45564809,64.19135937710416,25.255043708215517,-40,-60,10,30,50,,,,,,,,,,,239.59982651993002,217.99467079746177,0,0,0,0,0,0,0,0,0,0,239.59982651993002,217.99467079746177,10,0,0,15,220.87821748824854,229.80668235294132,238.7351472176341,237.07250141234618,204.61571713255358,0,0,0,0,231.7204679636788,239.83832941176473,247.95619085985066,241.254365016212,237.06524161915507,0,0,0,0,226.40445828532015,233.72284705882345,241.04123583232675,239.59982651993002,217.99467079746177,0,0,0,0,230.64990414257915,235.4563764705883,240.26284879859747,241.254365016212,237.06524161915507,0,0,0,0,1.2046863878005116,,,,64.88109169161997,0.5715577888991256,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.547100787024281,3.0435530347167417,,
