time,open,high,low,close,Risk Oscillator,SRI Bias Histogram,STH MVRV,MVRV SMA,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1491917400,118.26,118.62,118.26,118.55,0.011514076248660153,50,0.9911774906789216,,113.67559862603994,115.95430588235287,118.2330131386658,117.82808475487977,117.81380733796632,0,0,0,0,,,,3534177,0.9976987055405991,1024911.3299999719,124.4775,133.66977607239755,120.41191571004755,95.23441153266268,-0.007503901929641121,0.3211185669337288,0,0,0,0,0,0,0,2.2464231755215858,2.496315645823297,,
1492003800,118.81,118.94,118.51,118.94,0.014760317605820644,25,0.9987950984779452,,113.67559862603994,115.95430588235287,118.2330131386658,118.07822155810265,117.81380733796632,0,0,0,0,,,,2886251,1.0012527050447493,375212.62999998685,124.887,133.67136168323057,120.41220692828306,95.23554121746533,-0.0062108529388019695,0.322820511493683,0,0,0,0,0,0,0,2.2618576257677443,2.5263879280654304,,
1492090200,119.06,119.21,118.89,119.14,0.01630277954460127,25,0.9987950984779452,,113.67559862603994,115.95430588235287,118.2330131386658,118.46620573252389,117.81380733796632,0,0,0,0,,,,3286749,1.0031951308864153,262939.9199999944,125.09700000000001,133.67340046557706,120.41290634686484,95.23699376898982,-0.004314606723343828,0.32008437814544655,0,0,0,0,0,0,0,2.2444457883166486,2.4900661415396246,,
1492435800,119.19,119.21,118.85,118.91,0.01414010317807718,20,0.998252750996436,,113.86444405846433,116.0987294117646,118.33301476506486,118.46620573252389,117.81380733796632,0,0,0,0,91.0472251572718,84.67553548736919,54.83363187607909,2933683,1.0015119959087173,-821431.2400000034,124.8555,133.6880077804453,120.42388516240004,95.24740090122587,-0.0028851682764013953,0.3329859130327046,0,0,0,0,0,0,0,2.1573800746108907,2.317350625852808,,
1492522200,119.28,119.66,119.1528,119.61,0.01985790644906311,30,0.998252750996436,,113.86444405846433,116.0987294117646,118.33301476506486,118.70993657549253,117.81380733796632,0,0,0,0,,,,3616793,1.0076124741843313,1193541.689999994,125.5905,133.69107520131345,120.42446878886149,95.2495863168814,-0.0007612324071516463,0.3553808148975091,0,0,0,0,0,0,0,2.189904428825028,2.3833897281369176,,
1492608600,119.37,119.43,119.16,119.25,0.016594193091214345,30,1.0008083894910451,,113.86444405846433,116.0987294117646,118.33301476506486,118.7166268201002,117.81380733796632,0,0,0,0,,,,1839355,1.0048271715204689,-220722.60000000836,125.2125,133.69331817511286,120.4260611575392,95.25118434671391,0.0012670013417988013,0.3297711739888701,0,0,0,0,0,0,0,2.2009184024867947,2.4037011957625003,,
1492695000,119.1,119.19,118.9,119.08,0.014928656174801404,20,1.0008083894910451,,114.05393018137751,116.25079999999987,118.44766981862223,118.7166268201002,117.81380733796632,0,0,0,0,,,,3263971,1.0036418735393624,-65279.41999998701,125.034,133.69517013623158,120.4273013046774,95.25250379552654,0.002820008089234216,0.34896594705495404,0,0,0,0,0,0,0,2.216215359652996,2.4314881854710495,,
1492781400,119.28,119.29,119.07,119.08,0.014713308893868744,15,0.9990830524933505,,114.05393018137751,116.25079999999987,118.44766981862223,118.7166268201002,117.81380733796632,0,0,0,0,,,,3892437,1.0038416547067954,-778487.4000000111,125.034,133.69701920146403,120.42870717160628,95.25382118113511,0.003697572255833892,0.3406264358784808,0,0,0,0,0,0,0,2.25261279049998,2.503837624688339,,
1493040600,118.93,119.03,118.7389,118.92,0.013194498309574101,15,0.9990830524933505,,114.05393018137751,116.25079999999987,118.44766981862223,118.7166268201002,117.81380733796632,0,0,0,0,97.5531059906781,91.24246366761997,54.26097858315407,3193446,1.0026509986659824,-31934.460000016337,124.86600000000001,133.70722378891136,120.4376393221327,95.26109154478077,0.0038973284874384007,0.3533873194136515,0,0,0,0,0,0,0,2.269334027570397,2.540969757597002,,
1493127000,118.75,118.81,118.41,118.45,0.009089524037223254,5,0.9935284485268416,,114.21582666493303,116.3668705882353,118.51791451153757,118.7166268201002,117.81380733796632,0,0,0,0,,,,3528955,0.9988719339736227,-1058686.49999999,124.3725,133.7076028225364,120.43453302247472,95.26136159119882,0.003279728928468062,0.35559536705520733,0,0,0,0,0,0,0,2.2775351123823393,2.55618662512451,,
1493213400,118.47,118.779,118.435,118.74,0.011396360356387294,10,0.9935284485268416,,114.21582666493303,116.3668705882353,118.51791451153757,118.7166268201002,117.81380733796632,0,0,0,0,,,,3320432,1.0014640276963813,896516.6399999867,124.677,133.70864602713903,120.43202502398202,95.2621048330846,0.003272876326705809,0.3435109654623233,0,0,0,0,0,0,0,2.307175541118958,2.615180510572615,,
1493299800,118.74,118.94,118.605,118.85,0.012076417704898187,10,0.996588550274523,,114.21582666493303,116.3668705882353,118.51791451153757,118.7166268201002,117.81380733796632,0,0,0,0,,,,4390955,1.00253688484586,483005.0499999975,124.7925,133.70993934065598,120.4325782885733,95.2630262676477,0.002547792135495497,0.34680436617376675,0,0,0,0,0,0,0,2.328930245440152,2.657990996356643,,
1493386200,118.71,119.01,118.595,118.99,0.01304516797121896,15,0.996588550274523,,114.52800210764815,116.583694117647,118.63938612764585,118.7166268201002,117.81380733796632,0,0,0,0,,,,4477964,1.0038598703072776,1253829.920000005,124.9395,133.71155010037177,120.43341746686332,95.26417387003144,0.0024096062478968783,0.3553521903649146,0,0,0,0,0,0,0,2.411399491667322,2.8254998584070847,,
1493645400,118.57,118.71,118.18,118.3,0.0070292514502195225,0,0.9917143058026903,,114.52800210764815,116.583694117647,118.63938612764585,118.7166268201002,117.81380733796632,0,0,0,0,88.74181621642146,92.44738245479046,50.535073097033816,3480215,0.998225041390695,-939658.0499999862,124.215,133.7202911741146,120.441132223798,95.2704015382338,0.0016357730838014728,0.35614049253888835,0,0,0,0,0,0,0,2.4524541458204507,2.9303627054111616,,
1493731800,118.36,118.68,118.29,118.65,0.00983584367261502,10,0.9917143058026903,,114.52800210764815,116.583694117647,118.63938612764585,118.7166268201002,117.81380733796632,0,0,0,0,,,,2858179,1.001344087631534,828871.9100000178,124.58250000000001,133.72109857100727,120.44170115044938,95.2709767764829,0.0012789777873356556,0.33762089820936586,0,0,0,0,0,0,0,2.5256052747254465,3.0868557628814957,,
1493818200,118.87,118.9,118.5,118.59,0.009199776316604874,15,0.9938776988842201,,114.864182962146,116.79482352941181,118.72546409667763,118.7166268201002,117.81380733796632,0,0,0,0,,,,2854862,1.001015400458113,-799361.3600000032,124.51950000000001,133.7217683625608,120.43839706636511,95.27145397638796,0.0010453209004972486,0.3529605561409013,0,0,0,0,0,0,0,2.5548185575803513,3.1514777704413426,,
