time,open,high,low,close,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1754933400,29.15,29.255,28.97,29.065,1,-8.824364920935,2.856766639781071,0,0,0,0,0,0,3.5,0.6032100556789264,0.09215161322372589,-1.1560065762712632,-1.2481581894949891,-0.28116776998969517,,30.79714588712736,343134,54510607,25.46379027321312,-8.824364920935,-40,-60,10,30,50,,,,,,,,,,,29.858210055678924,32.99761119979688,0,0,0,0,0,0,0,0,0,0,29.858210055678924,32.99761119979688,-20,-35,-30,-0.5405973943116182,,,,,0,0,0,30.38748796628662,33.782447058823536,33.782447058823536,30.934575507587308,30.075391749309563,0,0,0,0,25.65236193039285,28.874588235294134,28.874588235294134,29.476189963687837,30.952313680739888,0,0,0,0,30.15791472709842,32.580094117647015,32.580094117647015,29.858210055678924,32.99761119979688,0,0,0,0,0.9753460161668953,,,,,0.5436638636653691
1755005400,29.3,30.4,29.3,30.31,1,-8.824364920935,2.856766639781071,0,0,0,0,0,0,6,0.6554807659875743,0.1771260957633889,-1.026750569790753,-1.203876665554142,-0.17260776666081354,,30.79714588712736,467019,54977626,43.41193760659282,-8.824364920935,-40,-60,10,30,50,,,,,,,,,,,29.858210055678924,32.99761119979688,0,0,0,0,0,0,0,0,0,0,29.858210055678924,32.99761119979688,0,0,0,-0.5543493231258958,,,,,0,0,0,30.38748796628662,33.782447058823536,33.782447058823536,30.934575507587308,30.075391749309563,0,0,0,0,25.385882223295074,28.63934117647057,28.63934117647057,29.76343824559569,30.952313680739888,0,0,0,0,30.15791472709842,32.580094117647015,32.580094117647015,29.858210055678924,32.99761119979688,0,0,0,0,0.9753460161668953,,,,41.96620985051154,0.5867209074782028
1755019800,30.3,30.88,30.27,30.72,1,-8.824364920935,2.856766639781071,0,0,0,0,0,0,4,0.6522321398456047,0.25824196848832726,-0.881074204943733,-1.1393161734320603,-0.06664816424736658,,30.79714588712736,428099,55405725,47.86426423281094,-8.824364920935,-40,-60,10,30,50,,,,,,,,,,,29.858210055678924,32.99761119979688,0,0,0,0,0,0,0,0,0,0,29.858210055678924,32.99761119979688,-15,-15,-10,-0.5640989943262242,,,,,0,0,0,30.43170694669698,33.81381176470589,33.81381176470589,30.934575507587308,30.075391749309563,0,0,0,0,25.168233906634985,28.443788235294136,28.443788235294136,30.148576854620774,30.952313680739888,0,0,0,0,29.963195119580362,32.40755294117649,32.40755294117649,29.858210055678924,32.99761119979688,0,0,0,0,1.0109339504469121,,,,,0.5593245354567998
1755091800,30.62,30.88,30.41,30.805,1,-8.824364920935,2.856766639781071,0,0,0,0,0,0,4,0.6392155584280614,0.3113577848253155,-0.750118942400416,-1.0614767272257315,-0.032699478426948494,28.786788148284153,,306866,55712591,48.76428951387219,-8.824364920935,-40,-60,10,30,50,,,,,,,,,,,29.858210055678924,32.99761119979688,0,0,0,0,0,0,0,0,0,0,29.858210055678924,32.99761119979688,-10,-10,-10,-0.628940969084877,,,,,0,0,0,30.43170694669698,33.81381176470589,33.81381176470589,30.934575507587308,30.075391749309563,0,0,0,0,24.989763004822258,28.282082352941163,28.282082352941163,30.248058614443423,30.952313680739888,0,0,0,0,29.963195119580362,32.40755294117649,32.40755294117649,29.858210055678924,32.99761119979688,0,0,0,0,1.0109339504469121,,,,43.69384382143097,0.5670808626076644
1755106200,30.805,31.145,30.73,30.975,1,-8.68166497353956,2.856766639781071,0,0,0,0,0,0,4,0.6232001613974856,0.34885414345914434,-0.6254090479018011,-0.9742631913609454,-0.023268589647079334,29.14060933345574,,406647,56119238,50.60104621059492,-8.68166497353956,-40,-60,10,30,50,,,,,,,,,,,30.106799838602516,32.99761119979688,0,0,0,0,0,0,0,0,0,0,30.106799838602516,32.99761119979688,-15,-15,-5,-0.6427168652572054,,,,,0,0,0,30.43170694669698,33.81381176470589,33.81381176470589,30.934575507587308,30.075391749309563,0,0,0,0,24.841039145193314,28.145376470588232,31.44971379598315,30.592203601229276,30.952313680739888,0,0,0,0,29.788487423231874,32.249882352941185,32.249882352941185,30.106799838602516,32.99761119979688,0,0,0,0,1.0109339504469121,,,,,0.5847851223968856
1755178200,30.52,30.61,30.23,30.495,1,-8.68166497353956,2.856766639781071,0,0,0,0,0,0,6,0.6319001498690938,0.33231831688407143,-0.5588652952558562,-0.8911836121399276,-0.015660931834135205,29.14060933345574,,248758,55870480,45.62733080267356,-8.68166497353956,-40,-60,10,30,50,,,,,,,,,,,30.106799838602516,32.99761119979688,0,0,0,0,0,0,0,0,0,0,30.106799838602516,32.99761119979688,-10,-10,-10,-0.7610563972049234,,,,,0,0,0,30.43170694669698,33.81381176470589,33.81381176470589,30.934575507587308,30.075391749309563,0,0,0,0,24.834880131745326,28.102588235294107,28.102588235294107,30.592203601229276,30.952313680739888,0,0,0,0,29.788487423231874,32.249882352941185,32.249882352941185,30.106799838602516,32.99761119979688,0,0,0,0,1.0109339504469121,,,,42.23160982925373,0.5772921921973129
1755192600,30.5,30.82,30.46,30.69,1,-8.14951708569446,2.856766639781071,0,0,0,0,0,0,6,0.61247871059273,0.3251025011623182,-0.48480548568702986,-0.8099079868493481,0.01571271935877383,29.14060933345574,,217612,56088092,47.86911889546947,-8.14951708569446,-40,-60,10,30,50,,,,,,,,,,,30.106799838602516,32.99761119979688,0,0,0,0,0,0,0,0,0,0,30.106799838602516,32.99761119979688,-15,-15,-10,-0.24015334298043067,,,,,0,1,0,30.552633875283593,33.8996,33.8996,30.934575507587308,30.075391749309563,0,0,0,0,24.850571230495834,28.080082352941176,28.080082352941176,30.592203601229276,30.952313680739888,0,0,0,0,29.574100533361015,32.05588235294115,32.05588235294115,30.106799838602516,32.99761119979688,0,0,0,0,1.0096670019138798,,,,,0.5782862663877103
1755264600,30.86,31.765,30.75,31.6,1,-0.6495170856944611,2.856766639781071,0,0,0,0,0,0,4,0.6455159455503922,0.36899520793652285,-0.34866397692869455,-0.7176591848652174,0.058136547296551155,29.346831704089233,,377206,56465298,56.81696543185801,-0.6495170856944611,-40,-60,10,30,50,,,,,,,,,,,30.106799838602516,32.99761119979688,0,0,0,0,0,0,0,0,0,0,30.106799838602516,32.99761119979688,-10,-10,-10,-0.4251927749967741,,,,,0,0,0,30.552633875283593,33.8996,33.8996,30.934575507587308,30.075391749309563,0,0,0,0,24.960653006367686,28.13923529411763,31.317817581867573,31.176848806121107,30.952313680739888,0,0,0,0,29.574100533361015,32.05588235294115,32.05588235294115,30.106799838602516,32.99761119979688,0,0,0,0,1.0096670019138798,,,,47.80519693851396,0.6113181437750681
1755279000,31.59,31.68,31.45,31.505,1,-0.025291715925866355,2.856766639781071,0,0,0,0,0,0,4,0.6158362351539356,0.37764305140051546,-0.2456053706145731,-0.6232484220150886,0.06613958493957586,29.776398533680307,,254870,56210428,55.74132371835032,-0.025291715925866355,-40,-60,10,30,50,,,,,,,,,,,30.834163764846064,32.99761119979688,0,0,0,0,0,0,0,0,0,0,30.834163764846064,32.99761119979688,-15,-15,-10,-0.9056182363478174,,,,,0,0,0,30.552633875283593,33.8996,33.8996,30.934575507587308,30.075391749309563,0,0,0,0,25.075205470604597,28.201000000000008,31.326794529395418,31.176848806121107,30.952313680739888,0,0,0,0,29.426893317804147,31.915270588235295,31.915270588235295,30.834163764846064,32.99761119979688,0,0,0,0,1.0096670019138798,,,,,0.5649919296637147
1755523800,31.26,31.41,31.02,31.21,1,-0.025291715925866355,2.856766639781071,0,0,0,0,0,0,5,0.6064907897857973,0.35012250543686085,-0.18559529021901255,-0.5357177956558734,0.07540644650458588,29.776398533680307,,290008,55920420,52.422455163698224,-0.025291715925866355,-40,-60,10,30,50,,,,,,,,,,,30.834163764846064,32.99761119979688,0,0,0,0,0,0,0,0,0,0,30.834163764846064,32.99761119979688,-10,-10,-10,-1.3385752811051725,,,,,1,0,0,30.552633875283593,33.8996,33.8996,30.934575507587308,30.075391749309563,0,0,0,0,25.20576323847742,28.26628235294117,31.326801467404923,31.176848806121107,30.952313680739888,0,0,0,0,29.426893317804147,31.915270588235295,31.915270588235295,30.834163764846064,32.99761119979688,0,0,0,0,1.0096670019138798,,21.158859578646954,15.502864605480795,46.6539169985064,0.586667949096254
1755538200,31.21,31.365,31.115,31.315,1,0.19906283484956133,2.856766639781071,0,0,0,0,0,0,5,0.5810271619439547,0.32610405168773565,-0.12808773104620386,-0.4541917827339395,0.11576873474693128,29.776398533680307,,334775,56255195,53.484068733088975,0.19906283484956133,-40,-60,10,30,50,,,,,,,,,,,30.834163764846064,32.99761119979688,0,0,0,0,0,0,0,0,0,0,30.834163764846064,32.99761119979688,-15,-15,-5,-1.310924301960241,,,,,0,0,0,30.724045684947434,34.03607058823531,34.03607058823531,30.934575507587308,30.075391749309563,0,0,0,0,25.382923219950786,28.363211764705866,31.343500309460946,31.176848806121107,30.952313680739888,0,0,0,0,29.27129922438882,31.76931764705881,31.76931764705881,30.834163764846064,32.99761119979688,0,0,0,0,1.0289995504931855,,,,,0.5749231242201843
1755610200,31.399,31.71,31.225,31.4,1,0.19906283484956133,2.856766639781071,0,0,0,0,0,0,4,0.5741680789479578,0.30352011815180036,-0.07479163504418906,-0.3783117531959894,0.08757316274416936,29.83275453105295,,196657,56451852,54.37166078649092,0.19906283484956133,-40,-60,10,30,50,,,,,,,,,,,30.834163764846064,32.99761119979688,0,0,0,0,0,0,0,0,0,0,30.834163764846064,32.99761119979688,-10,-10,-10,-1.8,,,,,1,0,1,30.724045684947434,34.03607058823531,34.03607058823531,30.934575507587308,30.075391749309563,0,0,0,0,25.563391371869866,28.46750588235293,31.371620392835997,31.176848806121107,30.952313680739888,0,0,0,0,29.27129922438882,31.76931764705881,31.76931764705881,30.834163764846064,32.99761119979688,0,0,0,0,1.0289995504931855,,,,48.61776525973213,0.5801502298141681
