time,open,high,low,close,cycle_day,dcl_event,dcl_price,DCL,MA,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion
1660311000,33.699,35.33,33.1,35.284,28,0,,0,41.92903000000001,0.3,0,0,0,0.3,1,0,-2.7755575615628914e-17,0,0,0,0
1660570200,34.646,35.83218,34.50001,34.908,29,0,,0,41.74606000000001,0.18,0,0,0,0.18,1,-0.12,-2.7755575615628914e-17,0,0,0,0
1660656600,34.448,35.02699,33.026,34.264,30,0,,0,41.55881500000001,0.3,0,0,0,0.3,1,0.12,-2.7755575615628914e-17,0,0,0,0
1660743000,33.5,33.8,32.014,32.52,31,0,,0,41.36388500000001,0.18,0,0,0,0.18,1,-0.12,-0.12000000000000002,0,0,0,0
1660829400,32.103,32.8,31.843,32.438,32,0,,0,41.158015000000006,0.3,0,0,0,0.3,1,0.12,-2.7755575615628914e-17,0,0,0,0
1660915800,29.942,30.395,28.176,28.3,33,0,,0,40.902445,-0.3,0,0,0,-0.3,1,-0.6,-0.6,0,1,0,0
1661175000,27.301,27.9685,26.608,26.809,34,0,,0,40.631365,-0.3,0,0,0,-0.3,1,0,-0.48,0,0,0,0
1661261400,27.19,28.327,25.88329,26.58,35,0,,0,40.364265,-0.3,0,0,0,-0.3,1,0,-0.6,0,0,0,0
1661347800,26.57,27.671,26.398,27.441,36,0,,0,40.102714999999996,-0.18,0,0,0,-0.18,1,0.12,-0.36,0,1,0,0
1661434200,27.786,28.04599,26.7185,27.281,37,0,,0,39.80912,-0.3,0,0,0,-0.3,1,-0.12,-0.6,0,1,0,0
1661520600,27.5,27.5,24.8,24.92,38,0,,0,39.504215,-0.3,0,0,0,-0.3,1,0,0,0,0,0,0
1661779800,24.137,25.4198,24.111,24.496,39,0,,0,39.218525,-0.18,0,0,0,-0.18,1,0.12,0.12,0,1,0,0
1661866200,25.004,25.3,23.501,24.023,40,0,,0,38.92946,-0.3,0,0,0,-0.3,1,-0.12,0,0,1,0,0
1661952600,24.827,25.15,22.271,23.156,41,0,,0,38.639375,-0.3,0,0,0,-0.3,1,0,-0.12,0,0,0,0
1662039000,22.001,22.855,21.329,22.092,42,0,,0,38.352335,-0.18,0,0,0,-0.18,1,0.12,0.12,0,1,0,1
1662125400,22.61,22.775,21.565,21.806,43,0,,0,38.08535500000001,-0.18,0,0,0,-0.18,1,0,0.12,0,0,0,0
1662471000,21.853,22,20.29,20.425,44,0,,0,37.81098,-0.3,0,0,0,-0.3,1,-0.12,-0.12,0,1,0,0
1662557400,20.399,22.188,20.378,21.861,45,0,,0,37.55660500000001,-0.3,0,0,0,-0.3,1,0,0,0,0,0,0
