time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,degree,Cycle low,MA,STH MVRV,MVRV SMA
896707800,8.125,15.5,7.9375,14.125,,0,,,,0,3,0,,,
899299800,14.09375,22.25,12.875,18,,0,,,,0,3,0,,,
902151000,18,23,13.5,14.59375,,0,,,,0,3,0,,,
904656600,15.125,21.0625,11.875,18.75,,0,,,,0,3,0,,,
907248600,18.4375,18.5,10.25,12.1875,,0,,,,0,3,0,,,
910017000,12.4375,13.875,10.625,11.25,,0,,,,0,3,0,,,
912522600,10.375,17.875,9.875,15.75,,0,,,,0,3,0,,,
915201000,15.75,17.5,13.25,14.5,,0,,,,0,3,0,,,
917879400,14.5,15.6875,12.1875,12.4375,,0,,,,0,3,0,,,
920298600,12.75,13.8125,9,9.625,,0,,,,0,3,0,,,
922977000,9.5625,10.125,7.34375,8.625,,1,7.34375,,,0,3,1,,,
925738200,8.75,12.6875,8.21875,12.5,,0,,,,0,3,0,,,
928243800,12.46875,19,11,18.9375,,0,,,,0,3,0,,,
930835800,19.1875,22.609375,15.25,17.1875,,0,,,,0,3,0,,,
933600600,17,19.9375,12.875,19.875,,0,,,,0,3,0,,,
936192600,19,28.75,18.75,28.03125,5,0,,,0,0,3,0,,,
938784600,28.40625,49,26.125,48.3125,6,0,,,0,0,3,0,,,
941466600,49.5,72.15625,39.8125,61.25,7,0,,,0,0,3,0,,,
944058600,62.0625,117.296875,57.6875,105,8,0,,,0,0,3,0,,,
946909800,115.5,157,89.78125,138.875,9,0,,,1,0,3,0,,,
949415400,138.1875,178.5,124,139.0625,10,0,,,1,0,3,0,,,
951921000,134.5,333,63,87.0625,11,0,,,1,0,3,0,,,
954768600,85.125,88.625,21.0625,25.875,12,0,,,1,0,3,0,,,
957187800,27,29.5,16.5625,19.0625,13,1,16.5625,1,1,0,3,1,,,
959866200,20.25,62.75,19.0625,30,14,0,,,1,0,3,0,,,
962631000,30.3125,37.125,21.5,22.1875,15,0,,,1,0,3,0,,,
965136600,21.6875,30.875,19.8125,27.875,16,0,,,1,0,3,0,,,
967815000,28.25,36.8125,23.375,27.3125,17,0,,,1,0,3,0,,,
970493400,27.9375,28.9375,19.125,23.9375,5,0,,,0,0,3,0,,,
973089000,23.5,25.25,9.25,9.25,6,0,,,0,1,3,0,,,
975681000,10.125,17.5,8.9375,9.5,7,0,,,0,1,3,0,,,
978445800,9.5625,18,9.0625,16.8125,8,0,,,0,0,3,0,,,
981037800,16.5,17.9375,8.5625,8.96875,9,0,,,1,1,3,0,,,
983457000,8.9375,9.875,2.65625,2.875,10,0,,,1,1,3,0,,,
986218200,2.98437,7.17,1.75,4.54,11,0,,,1,1,3,0,,,
988723800,5.89,6.05,3.31,3.77,12,0,,,1,1,3,0,,,
991402200,3.95,3.95,2.7,2.8,13,0,,,1,1,3,0,,,
994080600,2.91,4.15,2.62,3.24,14,0,,,1,1,3,0,,,
996672600,3.92,4,2.18,2.47,15,0,,,1,1,3,0,,,
999610200,2.5,2.55,1.12,1.13,16,0,,,1,1,3,0,,,
1001943000,1.15,3.25,1.1,2.75,17,1,1.1,-1,1,1,3,1,,,
1004625000,2.69,4.1,2.21,3.44,18,0,,,2,1,3,0,,,
1007389800,3.35,4.98,3.17,3.85,19,0,,,2,1,3,0,,,
1009981800,4,4.19,2.8,4.09,20,0,,,2,1,3,0,,,
1012573800,3.96,3.99,2.52,2.69,21,0,,,2,1,3,0,,,
1014993000,2.69,3.18,2.3,3.05,5,0,,,0,0,3,0,,,
1017671400,2.9,3.05,1.7,1.73,6,0,,,0,0,3,0,,,
1020259800,1.78,1.92,1.17,1.23,7,0,,,0,0,3,0,,,
1023111000,1.25,1.38,0.49,0.5,8,0,,,0,1,3,0,,,
1025530200,0.56,0.71,0.42,0.675,9,0,,,1,1,3,0,,,
1028208600,0.689,1.39,0.476,1.129,10,0,,,1,0,3,0,,,
1031059800,1.09,1.373,0.807,0.813,11,0,,,1,1,3,0,,,
1033479000,0.816,1.445,0.716,1.227,12,0,,,1,0,3,0,,,
1036161000,1.211,1.95,1.201,1.824001,13,0,,,1,0,3,0,,,
1038839400,1.87,2.0189,1.315,1.51,14,0,,,1,0,3,0,,,
1041517800,1.525,2.128,1.485,2.078,15,0,,,1,0,3,0,,,
1044282600,2.07,2.23,1.869,1.93,16,0,,,1,0,3,0,,,
1046701800,1.922,2.699001,1.922,2.411,17,0,,,1,0,3,0,,,
1049207400,2.444,3.292,2.363,2.761,18,0,,,2,0,3,0,,,
1051795800,2.75,3.7,2.660001,3.414999,19,0,,,2,0,3,0,,,
1054560600,3.4,4.275,3.275,3.662,20,0,,,2,0,3,0,,,
1057066200,3.717,4.516,3.555,4.362,21,0,,,2,0,3,0,,,
1059744600,4.366,4.375,3.455,4.034,22,0,,,2,0,3,0,,,
1062509400,4.08,5.164,3.955,4.599001,23,0,,,2,0,3,0,,,
1065015000,4.589,5.710001,4.550999,5.5,24,0,,,2,0,3,0,,,
1067869800,5.525,5.664999,4.925999,5.4,25,0,,,2,0,3,0,,,
1070289000,5.4,5.596899,4.75,5.248,26,0,,,2,0,3,0,,,
1073053800,5.258,6.417999,5.081,6.239999,27,0,,,2,0,3,0,,,
1075732200,6.239999,6.539999,5.775999,6.241,28,0,,,2,0,3,0,,,
1078151400,6.263,6.55,4.673,5.33,29,0,,,2,0,3,0,,,
1080829800,5.330901,5.72,4.767999,4.805,30,0,,,2,0,3,0,,,
1083591000,4.867,5.003,4.244,4.805,31,0,,,2,0,3,0,,,
1086096600,4.796001,4.92,4.071001,4.27,32,0,,,2,0,3,0,,,
1088688600,4.244,4.259,3.485001,4.017999,33,0,,,2,0,3,0,,,
1091453400,4.028999,4.053,2.957001,3.461,34,1,2.957001,1,2,0,3,1,,,
1094045400,3.453999,4.444,3.303,4.109,35,0,,,2,0,3,0,,,
1096637400,4.155,6.467999,4.089999,5.998,36,0,,,2,0,3,0,,,
1099319400,6.006,6.782001,5.883,6.455,37,0,,,2,0,3,0,,,
1101911400,6.510001,7.112,5.616,6.025,38,0,,,2,0,3,0,,,
1104762600,6.045,7.975,5.481,7.27,5,0,,,0,0,3,0,,,
1107268200,7.310001,7.696001,6.598,7.072,6,0,,,0,0,3,0,,,
1109687400,7.127,7.37,5.345,5.427,7,0,,,0,0,3,0,,,
1112365800,5.441,5.995,4.32,4.348,8,0,,,0,0,3,0,,,
1115040600,4.484,5.684,4.369,5.567,9,0,,,1,0,3,0,,,
1117632600,5.575,5.611,4.95,5.303999,10,0,,,1,0,3,0,,,
1120224600,5.357001,8.035001,5.3,7.714999,11,0,,,1,0,3,0,,,
1122903000,7.775999,8.205,7.23,7.7,12,0,,,1,0,3,0,,,
1125581400,7.72,7.864999,6.439,7.028999,13,0,,,1,0,3,0,,,
1128346200,7.08,7.63,6.466,7.089999,14,0,,,1,0,3,0,,,
1130855400,7.037,7.936,7.037,7.387,15,0,,,1,0,3,0,,,
1133447400,7.4,8.491,7.250999,8.267,16,0,,,1,0,3,0,,,
1136298600,8.278,10.199001,8.278,9.611,17,0,,,1,0,3,0,,,
1138804200,9.158,9.614,8.966,9.167999,18,0,,,2,0,3,0,,,
1141223400,9.337,10.9,9.203999,10.528999,19,0,,,2,0,3,0,,,
1144071000,10.603,10.95,9.331,9.374001,20,0,,,2,0,3,0,,,
1146490200,9.374001,10.919,9.152,9.438,21,0,,,2,0,3,0,,,
1149168600,9.475999,9.783,8.610001,9.752,22,0,,,2,0,3,0,,,
1151933400,9.7,9.933,7.5,8.245,23,1,7.5,1,2,0,3,1,,,
1154439000,8.225999,9.366,8.028,9.12,24,0,,,2,0,3,0,,,
1157117400,9.125,10.249831,8.85,10.183,25,0,,,2,0,3,0,,,
1159795800,10.132001,12.232001,9.875,11.935001,26,0,,,2,0,3,0,,,
1162391400,11.853999,12.988,11.663,11.847,27,0,,,2,0,3,0,,,
1164983400,11.822,12.331,11.123,11.400999,5,0,,,0,0,3,0,,,
1167834600,11.437,12.9,11.333,12.142,6,0,,,0,0,3,0,,,
1170340200,12.145,13.312,11.960001,12.607001,7,0,,,0,0,3,0,,,
1172759400,12.292,13.078,12.055009,12.639,8,0,,,0,0,3,0,,,
1175520600,12.628999,12.775999,11.313,11.375999,9,0,,,1,0,3,0,,,
