time,open,high,low,close,Plot,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1760967000,297.48,306.16,294.4,300.63,300.63,0,0,0,0
1760981400,300.68,300.68,296.4,296.51,296.51,0,0,0,0
1761053400,293.675,305.95,291.62,302,302,0,0,0,0
1761067800,302.08,303.16,299.96,301.92,301.92,0,0,0,0
1761139800,293.76,297.96,283.22,283.71,283.71,0,0,0,0
1761154200,283.63,284.4,276.68,280.805,280.805,0,0,0,0
1761226200,285.5,288.22,278.71,285.66,285.66,0,0,0,0
1761240600,285.86,289,283.09,284.905,284.905,0,0,0,0
1761312600,290.55,292.14,286.09,288.24,288.24,0,0,0,0
1761327000,288.13,290.33,287.6,289.06,289.06,0,0,0,0
1761571800,299.51,299.835,293.02,296.89,296.89,0,0,0,0
1761586200,296.71,299.2,294.86,295.665,295.665,0,0,0,0
1761658200,294.89,297.25,289.51,290.36,290.36,0,0,0,0
1761672600,290.25,291.27,284.24,284.49,284.49,0,0,0,0
1761744600,284.375,286.42,278.32,280.9,280.9,0,0,0,0
1761759000,280.78,282.76,274.02,275.335,275.335,0,0,0,0
1761831000,269.985,271.34,262.15,264.62,264.62,0,0,0,0
1761845400,264.54,264.94,254.05,254.34,254.34,0,0,0,0
1761917400,269.98,276.29,263.01,269.84,269.84,0,0,0,0
1761931800,269.93,271.56,265.5,269.57,269.57,0,0,0,0
1762180200,264.19,270.3,259.83,264.39,264.39,0,0,0,0
1762194600,264.5,269.72,263.98,264.7,264.7,0,0,0,0
1762266600,255.07,258.21,248.54,250.17,250.17,0,0,0,0
1762281000,250.13,253.38,245.87,246.84,246.84,0,0,0,0
1762353000,250.2,253.2,247.05,249.54,249.54,0,0,0,0
1762367400,249.52,255.36,248.72,255.01,255.01,0,0,0,0
1762439400,252.1,252.37,236.87,239.91,239.91,0,0,0,0
1762453800,239.92,243.43,235.05,237.04,237.04,0,0,0,0
1762525800,222.58,235.86,219.75,235.81,235.81,0,0,0,0
1762540200,235.75,243.73,235.16,241.97,241.97,0,0,0,0
1762785000,249.675,249.84,234.6,241.93,241.93,0,0,0,0
1762799400,241.98,242.16,238.11,238.8,238.8,0,0,0,0
1762871400,236.455,239.21,233.28,236.86,236.86,0,0,0,0
1762885800,236.95,237.33,230.5,231.27,231.27,0,0,0,0
1762957800,233.86,234.77,222.35,222.56,222.56,0,0,0,0
1762972200,222.54,225.13,219.81,224.6,224.6,0,0,0,0
1763044200,224.1,226,211.68,212.14,212.14,0,0,0,0
1763058600,212.17,213.32,207.06,208.47,208.47,0,0,0,0
1763130600,200.58,208.78,194.56,202.72,202.72,0,0,0,0
1763145000,202.62,202.77,197.08,199.6,199.6,0,0,0,0
1763389800,196.795,204.1,191.41,191.45,191.45,0,0,0,0
1763404200,191.44,195.89,189.59,195.5,195.5,0,0,0,0
1763476200,196.5,213.83,196,210,210,0,0,0,0
1763490600,210,212.92,206.625,206.68,206.68,0,0,0,0
1763562600,202.09,203.54,182.51,182.9,182.9,0,0,0,0
1763577000,182.83,188.11,181.7,186.485,186.485,0,0,0,0
1763649000,192.44,193.49,173,175.74,175.74,0,0,0,0
1763663400,175.59,180.255,171.47,177.14,177.14,0,0,0,0
1763735400,172.74,181.19,166.31,170.97,170.97,0,0,0,0
1763749800,170.92,174.49,169.57,170.49,170.49,0,0,0,0
1763994600,171.62,177.02,166.01,175.3,175.3,0,0,0,0
1764009000,175.17,179.79,175,179.1,179.1,0,0,0,0
1764081000,173.995,176.56,170.4,173.53,173.53,0,0,0,0
1764095400,173.54,174.04,167.01,172.185,172.185,0,0,0,0
1764167400,173.5,180.39,169.69,179.99,179.99,0,0,0,0
1764181800,180.05,180.61,175.5,175.57,175.57,0,0,0,0
1764340200,182.94,187.28,175.08,177.09,177.09,0,0,0,0
