time,open,high,low,close,S3 Early,S3 Confirmed,S1 Early,S1 Confirmed
1661794200,24.592,24.999,24.551,24.552,0,0,0,0
1661866200,24.896,24.896,23.61,23.6125,0,0,0,0
1661880600,23.719,24.162,23.662,24.047,0,0,0,0
1661952600,24.795,25.125,23.894,23.902,0,0,0,0
1661967000,23.893,23.893,22.324,23.138,0,0,0,0
1662039000,22.206,22.772,21.358,21.833,0,0,0,0
1662053400,21.881,22.189,21.718,22.099,0,0,0,0
1662125400,22.503,22.732,21.609,21.789,0,0,0,0
1662139800,21.7695,22.004,21.612,21.76,0,0,0,0
1662471000,21.82,21.889,20.637,20.689,0,0,0,0
1662485400,20.638,20.924,20.29,20.427,0,0,0,0
1662557400,20.432,21.331,20.432,21.064,0,0,0,0
1662571800,21.05,22.056,21.05,21.856,0,0,0,0
1662643800,21.369,22.974,21.242,22.727,0,0,0,0
1662658200,22.854,23.45,22.688,23.439,0,0,0,0
1662730200,24.824,26.031,24.581,25.929,0,0,0,0
1662744600,25.9135,26.211,25.375,26.177,0,0,0,0
1662989400,26.321,26.751,25.013,25.863,0,0,0,0
1663003800,25.768,26.299,25.612,26.286,0,0,0,0
1663075800,24.1555,24.6345,23.525,23.739,0,0,0,0
1663090200,23.656,23.731,23.006,23.042,0,0,0,0
1663162200,22.659,22.932,22.135,22.819,0,0,0,0
1663176600,22.783,22.783,22.236,22.607,0,0,0,0
1663248600,22.183,23.67,21.669,22.95,0,0,0,0
1663263000,22.934,22.957,21.612,21.687,0,0,0,0
1663335000,21.207,21.374,20.363,20.367,0,0,0,0
1663349400,20.469,20.86,20.365,20.643,0,0,0,0
1663594200,19.907,20.564,19.729,20.103,0,0,0,0
1663608600,19.974,20.67,19.974,20.605,0,0,0,0
1663680600,19.9,20.105,19.452,19.559,0,0,0,0
1663695000,19.53,19.954,19.385,19.586,0,0,0,0
1663767000,19.717,20.45,19.705,20.1195,0,0,0,0
1663781400,20.383,20.81,19.478,19.648,0,0,0,0
1663853400,19.398,19.404,18.634,18.675,0,0,0,0
1663867800,18.806,19.5,18.68,19.363,0,0,0,0
1663939800,18.8355,19.049,18.355,18.778,0,0,0,0
1663954200,18.708,19.192,18.624,19.148,0,0,0,0
1664199000,19.4025,20.541,19.4025,19.701,0,0,0,0
1664213400,19.73,20.375,19.656,20.025,0,0,0,0
1664285400,21.284,21.941,20.125,20.371,0,0,0,0
1664299800,20.344,20.892,20.209,20.581,0,0,0,0
1664371800,20.905,21.742,20.8,21.51,0,0,0,0
1664386200,21.341,22.158,21.338,22.153,0,0,0,0
1664458200,21.4,21.594,20.558,21.29,0,0,0,0
1664472600,21.197,21.312,20.663,21.28,0,0,0,0
1664544600,20.998,22.575,20.847,22.092,0,0,0,0
1664559000,21.864,21.908,21.221,21.244,0,0,0,0
1664803800,21.6,22.204,21.243,22.167,0,0,0,0
1664818200,22.272,22.84,22.122,22.408,0,0,0,0
1664890200,23.6,24.623,23.52,23.759,0,0,0,0
1664904600,23.774,24.901,23.774,24.896,0,0,0,0
1664976600,24.24,24.319,23.263,24.319,0,0,0,0
1664991000,24.03,24.566,23.83,24.207,0,0,0,0
1665063000,24.375,24.9,23.652,24.348,0,0,0,0
1665077400,24.26,24.391,23.966,24.165,0,0,0,0
1665149400,23.164,23.593,21.778,22.065,0,0,0,0
1665163800,22.039,22.197,21.866,22.06,0,0,0,0
1665408600,22.003,23.191,21.557,21.746,0,0,0,0
1665423000,21.851,22.253,21.794,22.138,0,0,0,0
1665495000,22.2,22.592,21.269,22.411,0,0,0,0
1665509400,22.178,22.178,21.372,21.648,0,0,0,0
1665581400,20.851,21.452,20.552,21.419,0,0,0,0
1665595800,21.385,21.868,21.361,21.835,0,0,0,0
1665667800,20.165,22.2,19.83,22.2,0,0,0,0
1665682200,22.2,22.285,21.807,22.036,0,0,0,0
1665754200,22.648,22.75,21.028,21.154,0,0,0,0
1665768600,21.21,21.21,20.77,21.011,0,0,0,0
1666013400,22.1,22.576,22.046,22.246,0,0,0,0
1666027800,22.16,22.229,22.09,22.122,0,0,0,0
1666099800,23.097,23.373,22.015,22.976,0,0,0,0
1666114200,22.926,23.476,22.706,23.475,0,0,0,0
1666186200,23.01,23.431,22.465,22.576,0,0,0,0
1666200600,22.563,22.712,22.425,22.635,0,0,0,0
1666272600,22.506,23.341,22.492,22.492,0,0,0,0
1666287000,22.312,22.312,22.018,22.07,0,0,0,0
1666359000,21.914,22.904,21.649,22.904,0,0,0,0
1666373400,22.985,23.435,22.878,23.272,0,0,0,0
1666618200,23.396,24.334,22.697,23.733,0,0,0,0
1666632600,23.644,23.9,23.552,23.749,0,0,0,0
1666704600,23.95,26.141,23.95,26.009,0,0,0,0
1666719000,25.984,27,25.943,26.897,0,0,0,0
1666791000,26.955,29,26.888,27.529,0,0,0,0
1666805400,27.433,27.703,27.254,27.254,0,0,0,0
1666877400,27.673,27.849,26.658,27.433,0,0,0,0
1666891800,27.279,27.364,27.085,27.085,0,0,0,0
1666963800,26.8,27.851,26.458,27.813,0,0,0,0
1666978200,27.77,28.064,27.456,28.006,0,0,0,0
1667223000,27.935,28.349,26.059,27.031,0,0,0,0
1667237400,26.882,27.049,26.588,26.738,0,0,0,0
1667309400,27.506,27.523,26.224,26.305,0,0,0,0
1667323800,26.206,26.402,25.8,25.848,0,0,0,0
1667395800,25.749,26.5,25.546,26.2,0,0,0,0
1667410200,26.3435,27.812,24.626,24.879,0,0,0,0
1667482200,24.2,26.0675,24.172,24.914,0,0,0,0
1667496600,24.908,25.13,24.544,24.847,0,0,0,0
1667568600,26.343,27.283,25.189,25.606,0,0,0,0
1667583000,25.804,27.728,25.804,27.728,0,0,0,0
1667831400,27.074,27.074,26.001,26.083,0,0,0,0
1667845800,26.242,26.8,26.242,26.625,0,0,0,0
1667917800,23.925,26.664,21.593,21.701,0,0,0,0
1667932200,21.529,22,19.351,21.22,0,0,0,0
1668004200,19.5,20.88,17.8,17.919,0,0,0,0
1668018600,17.873,18.199,16.9,17.071,0,0,0,0
1668090600,18.794,19.799,17.602,17.602,0,0,0,0
1668105000,17.651,17.953,17.366,17.566,0,0,0,0
1668177000,16.321,17.76,15.53,17.547,0,0,0,0
1668191400,17.617,17.81,17.1125,17.502,0,0,0,0
1668436200,17.115,17.792,16.435,16.957,0,0,0,0
1668450600,16.99,17.002,16.561,16.561,0,0,0,0
1668522600,17.465,17.728,16.782,16.812,0,0,0,0
1668537000,16.76,17.272,16.538,17.189,0,0,0,0
1668609000,16.32,16.756,16.025,16.678,0,0,0,0
1668623400,16.525,17.029,16.513,16.957,0,0,0,0
1668695400,16.369,17.5,16.236,17.482,0,0,0,0
1668709800,17.353,17.443,16.854,17.443,0,0,0,0
1668781800,17.6505,17.6505,16.229,16.817,0,0,0,0
1668796200,16.796,17.08,16.634,17.04,0,0,0,0
1669041000,16.946,16.946,15.341,15.402,0,0,0,0
1669055400,15.39,15.856,15.239,15.745,0,0,0,0
1669127400,15.977,16.798,15.725,16.652,0,0,0,0
1669141800,16.462,16.779,16.346,16.7,0,0,0,0
1669213800,16.835,17.438,16.621,16.621,0,0,0,0
1669228200,16.914,17.663,16.896,17.624,0,0,0,0
1669386600,17.4665,18.278,17.4665,18.254,0,0,0,0
1669645800,17.998,18.124,17.012,17.398,0,0,0,0
1669660200,17.309,17.696,17.233,17.667,0,0,0,0
1669732200,18.017,18.251,17.616,17.616,0,0,0,0
1669746600,17.6,18.215,17.6,18.215,0,0,0,0
1669818600,18.8,18.8,18.103,18.273,0,0,0,0
1669833000,18.24,19.832,18.24,19.81,0,0,0,0
1669905000,19.788,20.618,19.699,19.832,0,0,0,0
1669919400,19.808,19.91,19.706,19.883,0,0,0,0
1669991400,19.704,20.636,19.5805,20.252,0,0,0,0
1670005800,20.273,21.098,20.239,20.68,0,0,0,0
1670250600,20.9,20.9,18.95,19.15,0,0,0,0
1670265000,19.131,19.624,18.74,19.544,0,0,0,0
1670337000,19.643,19.643,18.892,19.134,0,0,0,0
1670351400,19.031,19.589,18.886,19.568,0,0,0,0
1670423400,19.233,19.869,19.102,19.365,0,0,0,0
1670437800,19.336,19.525,19.211,19.33,0,0,0,0
1670509800,19.351,19.953,19.029,19.869,0,0,0,0
1670524200,19.968,20.322,19.968,20.21,0,0,0,0
1670596200,20.139,20.221,19.666,19.666,0,0,0,0
1670610600,19.8,20.327,19.685,20.3,0,0,0,0
1670855400,19.95,19.95,19.511,19.511,0,0,0,0
