time,open,high,low,close,S1 fair (MVRV 1.0x),S1 deep (MVRV 0.5x),S1 LOI floor,S3 VWAP upper,S3 VWAP lower,S3 LOI ceiling,S3 Early,S3 Watch,S3 Terminal-probable,S3 Terminal-confirmed,S1 Early,S1 Confirmed,STH MVRV,MVRV SMA
1623346200,49.829,50.934,49.702,50.934,,,,,,,0,0,0,0,0,0,0.7983584584245118,
1623418200,51.65,51.893,50.496,50.969,,,,,,,0,0,0,0,0,0,0.8025797527434722,
1623432600,50.885,51.61,50.753,51.532,,,,,,,0,0,0,0,0,0,0.8145275943190708,
1623677400,54.625,60.325,54.625,59.721,,,,,,,0,0,0,0,0,0,0.9466651974235745,
1623691800,59.47,60.37,59.363,59.85,,,,,,,0,0,0,0,0,0,0.9497317117330447,
1623763800,59.8,61.816,59.089,61.533,,,,,,,0,0,0,0,0,0,0.9771955783035173,
1623778200,62.447,63.479,62.169,63.077,,,,,,,0,0,0,0,0,0,1.0033745196493427,
1623850200,61.8,63.839,61.158,61.423,,,,,,,0,0,0,0,0,0,0.9790934307706584,
1623864600,61.841,62.258,61.1,61.883,,,,,,,0,0,0,0,0,0,0.9879547036168845,
1623936600,62.35,64.077,61.408,62.502,,,,,,,0,0,0,0,0,0,0.9989473622884919,
1623951000,62.595,63.621,62.595,63.104,,,,,,,0,0,0,0,0,0,1.01009686886721,
1624023000,61.85,64.14,61.7,64.14,,,,,,,0,0,0,0,0,0,1.0278006124499437,
1624037400,64.19,64.601,62.116,64.601,,,,,,,0,0,0,0,0,0,1.0367449631856658,
1624282200,59.726,60.799,57.799,58,,,,,,,0,0,0,0,0,0,0.9327774090649671,
1624296600,58.25,59.05,57.916,58.399,,,,,,,0,0,0,0,0,0,0.9411084444875566,
1624368600,53.605,56.153,51.353,55.005,,,,,,,0,0,0,0,0,0,0.8882292917226272,
1624383000,55.2,56.352,55.2,55.6,,,,,,,0,0,0,0,0,0,0.8996894776784773,
1624455000,58.1,58.65,56.795,57.929,,,,,,,0,0,0,0,0,0,0.9388967554401586,
1624469400,57.7,57.7,55.184,55.4,,,,,,,0,0,0,0,0,0,0.8987063160780566,
1624541400,56.791,57.6,56.241,57.6,,,,,,,0,0,0,0,0,0,0.9350779113765453,
1624555800,57.798,58.8,57.798,58.131,,,,,,,0,0,0,0,0,0,0.9440511467711474,
1624627800,57,57.03,55.36,55.412,,,,,,,0,0,0,0,0,0,0.9005319558013932,
1624642200,55.286,55.495,54.773,55.05,,,,,,,0,0,0,0,0,0,0.8954916556423581,
1624887000,56.91,62.326,56.6,61.449,,,,,,,0,0,0,0,0,0,0.9996938864886175,
1624901400,61.599,62.864,61.599,62.326,,,,,,,0,0,0,0,0,0,1.0149387957718454,
1624973400,64.95,69.171,64.8,67.126,,,,,,,0,0,0,0,0,0,1.093612003094205,
1624987800,67.365,67.365,65.288,66.91,,,,,,,0,0,0,0,0,0,1.0908600181746013,
1625059800,64.99,65.838,64,65.295,,,,,,,0,0,0,0,0,0,1.06570254171329,
1625074200,64.648,66.82,64.648,66.565,,,,,,,0,0,0,0,0,0,1.0876895991011377,
1625146200,65.451,65.451,63.712,64.388,,,,,,,0,0,0,0,0,0,1.0538695609728639,
1625160600,64.446,65.301,64.446,64.986,,,,,,,0,0,0,0,0,0,1.0653012784307008,
1625232600,65.189,66.089,63.573,64.177,,,,,,,0,0,0,0,0,0,1.053569946724864,
1625247000,64.178,64.243,63.593,63.593,,,,,,,0,0,0,0,0,0,1.0454579804625899,
1625578200,64.503,65.253,63.308,63.566,,,,,,,0,0,0,0,0,0,1.0464909965903935,
1625592600,63.501,63.651,63.236,63.47,,,,,,,0,0,0,0,0,0,1.0460605962008958,
1625664600,64.562,64.562,62.501,62.912,,,,,,,0,0,0,0,0,0,1.03794324306704,
1625679000,63.019,63.982,63.019,63.982,,,,,,,0,0,0,0,0,0,1.0565656568885005,
1625751000,60.352,62.5,59.629,62.102,,,,,,,0,0,0,0,0,0,1.0271659599914906,
1625765400,62.305,62.305,61.383,61.9,,,,,,,0,0,0,0,0,0,1.0257732683454193,
1625837400,62.256,63.497,61.525,63.1,,,,,,,0,0,0,0,0,0,1.04680325252329,
1625851800,63.219,63.55,62.776,62.776,,,,,,,0,0,0,0,0,0,1.0429796546035908,
1626096600,62.733,62.733,58.682,58.962,,,,,,,0,0,0,0,0,0,0.9816020306318657,
1626111000,59.184,59.576,58.803,58.952,,,,,,,0,0,0,0,0,0,0.9830455211906374,
1626183000,58.301,59.478,57.949,58.922,,,,,,,0,0,0,0,0,0,0.9839713866532275,
1626197400,58.726,59.219,57.947,57.947,,,,,,,0,0,0,0,0,0,0.9688744073228461,
1626269400,58.36,58.75,56.661,56.985,,,,,,,0,0,0,0,0,0,0.9539044590599496,
1626283800,56.984,56.992,56.069,56.069,,,,,,,0,0,0,0,0,0,0.9393883039079154,
1626355800,53.88,55.7,53.131,53.56,,,,,,,0,0,0,0,0,0,0.8981757191894474,
1626370200,53.528,54.2,52.564,54.046,,,,,,,0,0,0,0,0,0,0.9069540927793032,
1626442200,54.388,54.388,53.111,53.193,,,,,,,0,0,0,0,0,0,0.8935412880208037,
1626456600,53.003,53.11,52.111,52.398,,,,,,,0,0,0,0,0,0,0.8812985423783563,
1626701400,50.414,51.5,49.47,49.964,,,,,,,0,0,0,0,0,0,0.8414780547112524,
1626715800,49.945,50.193,49.233,49.879,,,,,,,0,0,0,0,0,0,0.8413970099737371,
1626787800,48.756,50.172,47.499,49.71,,,,,,,0,0,0,0,0,0,0.8397803724273715,
1626802200,49.657,50.499,49.657,50.15,,,,,,,0,0,0,0,0,0,0.848560138660288,
1626874200,53.745,55.55,53.156,55.156,,,,,,,0,0,0,0,0,0,0.9343028647981615,
1626888600,54.925,56.828,54.925,55.689,,,,,,,0,0,0,0,0,0,0.9445285826531646,
1626960600,55.542,56.796,53.769,55.86,,,,,,,0,0,0,0,0,0,0.9486748841767592,
1626975000,56.041,56.041,55.328,55.56,,,,,,,0,0,0,0,0,0,0.9451194099736661,
1627047000,55.533,56.43,53.49,53.862,,,,,,,0,0,0,0,0,0,0.9178257978924413,
1627061400,53.85,54.06,53.583,54.06,,,,,,,0,0,0,0,0,0,0.9230426047838634,
1627306200,62.646,66.6,62.432,66.197,,,,,,,0,0,0,0,0,0,1.130984986406015,
1627320600,66.598,69.32,66.487,67.946,,,,,,,0,0,0,0,0,0,1.1610228979904893,
1627392600,65.998,67.751,62.453,62.867,,,,,,,0,0,0,0,0,0,1.0751344651111183,
1627407000,63.215,63.95,62.85,63.007,,,,,,,0,0,0,0,0,0,1.077833859746737,
1627479000,66.399,67.438,63.449,64.093,,,,,,,0,0,0,0,0,0,1.0965956784742263,
1627493400,63.907,66.394,63.561,64.626,,,,,,,0,0,0,0,0,0,1.10629054667785,
1627565400,63.401,64.849,62.926,62.926,,,,,,,0,0,0,0,0,0,1.077890753259702,
1627579800,62.943,63.04,61.981,62.414,,,,,,,0,0,0,0,0,0,1.0700246016166777,
1627651800,61.502,62.798,60.941,61.135,,,,,,,0,0,0,0,0,0,1.0492474197815156,
1627666200,60.801,62.722,60.801,62.72,,,,,,,0,0,0,0,0,0,1.077482933101927,
1627911000,61.7,65.5,61.638,65.15,,,,,,,0,0,0,0,0,0,1.1200617582637589,
1627925400,65.347,65.605,63.602,63.837,,,,,,,0,0,0,0,0,0,1.0996688402239518,
1627997400,63.259,63.259,60.614,61.9,,,,,,,0,0,0,0,0,0,1.069224320632452,
1628011800,61.86,62.535,60.7,62.535,,,,,,,0,0,0,0,0,0,1.0818895610243509,
1628083800,64,66.479,64,65.914,,,,,,,0,0,0,0,0,0,1.1413454604134883,
1628098200,66.216,67.5,66.216,67.064,,,,,,,0,0,0,0,0,0,1.1618264588983818,
1628170200,64.227,70.3,63.438,70.3,,,,,,,0,0,0,0,0,0,1.2183957463212054,
1628184600,70.415,72.479,70.415,71.64,,,,,,,0,0,0,0,0,0,1.2415127600761107,
1628256600,71.577,74.565,70.239,74.12,,,,,,,0,0,0,0,0,0,1.2838245603664118,
1628271000,74.874,74.986,73.808,74.781,,,,,,,0,0,0,0,0,0,1.293590463211108,
1628515800,79.6,79.6,77.019,77.027,,,,,,,0,0,0,0,0,0,1.3304703979659576,
1628530200,76.495,78.208,76.495,76.787,,,,,,,0,0,0,0,0,0,1.3242022011023094,
1628602200,76.137,76.74,74.697,75.287,,,,,,,0,0,0,0,0,0,1.2967945978953666,
1628616600,74.602,75.933,74.49,75.01,,,,,,,0,0,0,0,0,0,1.2906278497565344,
1628688600,75.52,76.869,74.05,74.94,,,,,,,0,0,0,0,0,0,1.2880127997360038,
1628703000,74.822,75.192,74.583,74.811,,,,,,,0,0,0,0,0,0,1.2841345000103546,
1628775000,72.3,72.731,71.32,71.799,,,,,,,0,0,0,0,0,0,1.230811231914432,
1628789400,72.1,72.477,71.816,72.011,,,,,,,0,0,0,0,0,0,1.232916742561572,
1628861400,74.395,75.33,72.728,73.256,,,,,,,0,0,0,0,0,0,1.252572230391535,
1628875800,73.265,73.675,72.696,72.696,,,,,,,0,0,0,0,0,0,1.2419471796487793,
1629120600,74.001,74.001,69.404,70.698,,,,,,,0,0,0,0,0,0,1.2071510396487932,
1629135000,70.12,71.176,69.538,69.894,,,,,,,0,0,0,0,0,0,1.193075438641122,
1629207000,69.222,70,65.838,66.409,,,,,,,0,0,0,0,0,0,1.133730577224378,
1629221400,66.416,67.108,66.177,66.497,,,,,,,0,0,0,0,0,0,1.1353949783039723,
1629293400,66.599,67.64,65.841,67.261,,,,,,,0,0,0,0,0,0,1.1485281139149153,
1629307800,66.779,67.003,65.268,65.504,,,,,,,0,0,0,0,0,0,1.1183441520533541,
1629379800,64.3945,67.026,64.3945,66.181,,,,,,,0,0,0,0,0,0,1.1298111712151475,
1629394200,66.122,67.828,65.7,67.507,,,,,,,0,0,0,0,0,0,1.1522822789488267,
1629466200,68.987,72.645,68.531,72.537,,,,,,,0,0,0,0,0,0,1.2371957101908444,
1629480600,72.32,72.32,71.496,71.658,,,,,,,0,0,0,0,0,0,1.2212652746260497,
1629725400,74.361,74.56,71.491,71.5,,,,,,,0,0,0,0,0,0,1.2175219898258778,
1629739800,71.639,71.867,71.306,71.806,,,,,,,0,0,0,0,0,0,1.221222366789916,
1629811800,71.551,71.551,69.233,70.171,,,,,,,0,0,0,0,0,0,1.1922912238899686,
1629826200,70.394,71.429,70.11,71.429,,,,,,,0,0,0,0,0,0,1.21253092658914,
1629898200,71.3,73.499,70.544,72.997,,,,,,,0,0,0,0,0,0,1.23767727597859,
1629912600,72.924,73.428,72.624,72.624,,,,,,,0,0,0,0,0,0,1.2297859221242204,
1629984600,71.299,71.349,69.717,70.015,,,,,,,0,0,0,0,0,0,1.1843846851815993,
1629999000,70.3,70.3,69.2,69.461,,,,,,,0,0,0,0,0,0,1.1741836436783524,
1630071000,69.98,71.903,69.98,70.585,,,,,,,0,0,0,0,0,0,1.1920576161952932,
1630085400,70.666,71.005,70.556,70.648,,,,,,,0,0,0,0,0,0,1.1915798408026244,
1630330200,69.995,70.41,69.51,70.013,,,,,,,0,0,0,0,0,0,1.1791889946569294,
1630344600,69.91,70.225,69.91,70.2,,,,,,,0,0,0,0,0,0,1.1806689307095666,
1630416600,69.802,69.802,68.901,69.659,,,,,,,0,0,0,0,0,0,1.1700115449991644,
1630431000,69.5,69.708,69.263,69.263,,,,,,,0,0,0,0,0,0,1.1616190961548656,
1630503000,70.346,71.58,69.183,71,,,,,,,0,0,0,0,0,0,1.1885817524998017,
1630517400,70.656,70.86,70.238,70.244,,,,,,,0,0,0,0,0,0,1.1732343409472341,
1630589400,72.916,73.1,70.5,70.5,,,,,,,0,0,0,0,0,0,1.1747666888092223,
1630603800,70.101,70.123,69.552,69.68,,,,,,,0,0,0,0,0,0,1.1587818949609554,
1630675800,70.88,72.7,70.88,71.3,,,,,,,0,0,0,0,0,0,1.183285032233984,
1630690200,70.9,71.151,70.426,71.1,,,,,,,0,0,0,0,0,0,1.176954063601976,
1631021400,69.975,70.145,64.882,65.801,,,,,,,0,0,0,0,0,0,1.0872845186000755,
1631035800,65.785,66.349,64.73,64.9,,,,,,,0,0,0,0,0,0,1.0706941242047758,
1631107800,65.649,65.649,63.139,64.23,,,,,,,0,0,0,0,0,0,1.0578923124249866,
1631122200,64.087,64.499,63.7445,63.767,,,,,,,0,0,0,0,0,0,1.0481879362175945,
1631194200,64.401,65.037,63.281,64.564,,,,,,,0,0,0,0,0,0,1.0591385575978596,
1631208600,64.1,64.33,63.868,64.065,,,,,,,0,0,0,0,0,0,1.0489637362348316,
1631280600,64.43,64.43,62.034,62.537,,,,,,,0,0,0,0,0,0,1.022300006401744,
1631295000,62.425,62.904,61.311,61.541,,,,,,,0,0,0,0,0,0,1.0043218397678537,
1631539800,60.721,62.518,60.106,61.339,,,,,,,0,0,0,0,0,0,0.9993106024487434,
1631554200,61.4965,64.004,61.4965,63.871,,,,,,,0,0,0,0,0,0,1.0385016421954543,
1631626200,64.469,64.986,62.01,62.01,,,,,,,0,0,0,0,0,0,1.0066824134864054,
1631640600,62.19,62.485,61.441,61.826,,,,,,,0,0,0,0,0,0,1.0021283789047775,
1631712600,62.93,64.174,62.28,63.581,,,,,,,0,0,0,0,0,0,1.0287993305481962,
1631727000,63.5,63.5,63.15,63.178,,,,,,,0,0,0,0,0,0,1.0207333347856782,
1631799000,62.035,62.591,61.41,62.591,,,,,,,0,0,0,0,0,0,1.0097354660136597,
1631813400,62.264,63.278,62.185,63.278,,,,,,,0,0,0,0,0,0,1.0193292484324112,
1631885400,63.179,63.179,62.221,62.831,,,,,,,0,0,0,0,0,0,1.0107311513391342,
1631899800,63.001,63.001,61.285,61.492,,,,,,,0,0,0,0,0,0,0.9877504051521215,
1632144600,56.97,59.19,56.933,58.803,,,,,,,0,0,0,0,0,0,0.9433945566613362,
1632159000,59.01,59.037,57.79,58.866,,,,,,,0,0,0,0,0,0,0.9432761478830322,
1632231000,58.701,59.3,57.8,58.283,,,,,,,0,0,0,0,0,0,0.9329273651389143,
1632245400,58.39,58.743,57.72,58.101,,,,,,,0,0,0,0,0,0,0.9291496747645209,
1632317400,58.834,59.8,58.834,59.8,,,,,,,0,0,0,0,0,0,0.9553431448486349,
1632331800,59.469,60.249,59.469,59.972,,,,,,,0,0,0,0,0,0,0.9570838844283058,
1632403800,60.754,61.24,60.03,60.5,,,,,,,0,0,0,0,0,0,0.964345888117572,
1632418200,61.345,61.74,60.999,61.698,,,,,,,0,0,0,0,0,0,0.9820684417143742,
1632490200,57.81,59.94,57.81,59.54,,,,,,,0,0,0,0,0,0,0.9466407163725443,
1632504600,59.22,59.965,58.815,59.965,,,,,,,0,0,0,0,0,0,0.9521559455868448,
1632749400,60.501,60.501,59.04,59.259,,,,,,,0,0,0,0,0,0,0.9397657999403715,
1632763800,59.22,59.479,59.22,59.477,,,,,,,0,0,0,0,0,0,0.9417942722281717,
1632835800,58.767,58.796,57.458,57.6,,,,,,,0,0,0,0,0,0,0.9109845265278327,
1632850200,58.179,58.429,57.357,57.357,,,,,,,0,0,0,0,0,0,0.9063554018989316,
1632922200,58.383,58.383,56.758,56.758,,,,,,,0,0,0,0,0,0,0.8963967002374703,
1632936600,57.066,57.4,56.542,56.556,,,,,,,0,0,0,0,0,0,0.8926485395323374,
1633008600,58.346,59.018,57.73,58.005,,,,,,,0,0,0,0,0,0,0.9148600247448813,
1633023000,58.065,58.572,57.607,57.607,,,,,,,0,0,0,0,0,0,0.9079694431380524,
1633095000,61.359,61.394,59.76,61.155,,,,,,,0,0,0,0,0,0,0.9629487670753051,
1633109400,61.09,61.301,61.009,61.175,,,,,,,0,0,0,0,0,0,0.9631214270667072,
1633354200,60.8,60.8,58.475,60.09,,,,,,,0,0,0,0,0,0,0.9460164409073764,
1633368600,60.689,61.281,60.416,60.833,,,,,,,0,0,0,0,0,0,0.9577818291225916,
1633440600,61.71,63.77,61.709,63.77,,,,,,,0,0,0,0,0,0,1.0039525932576876,
1633455000,64.313,65.244,64.313,65.1,,,,,,,0,0,0,0,0,0,1.0245086054458514,
1633527000,67.011,67.8,65.487,66.955,,,,,,,0,0,0,0,0,0,1.0531592468742212,
1633541400,66.791,67.319,66.791,67.318,,,,,,,0,0,0,0,0,0,1.0583517598133687,
1633613400,67.05,69.27,67.05,68.76,,,,,,,0,0,0,0,0,0,1.0804026009624665,
1633627800,69.06,69.337,68.848,69.259,,,,,,,0,0,0,0,0,0,1.0876787971356998,
1633699800,69.845,70.648,69.049,70.333,,,,,,,0,0,0,0,0,0,1.1039043362533185,
1633714200,70.374,71.19,70.374,70.883,,,,,,,0,0,0,0,0,0,1.1110873458672241,
1633959000,72.174,74.928,71.99,73.801,,,,,,,0,0,0,0,0,0,1.1550277913752631,
1633973400,73.81,73.81,73.17,73.171,,,,,,,0,0,0,0,0,0,1.1430712567015504,
1634045400,73.1,73.655,70.62,70.676,,,,,,,0,0,0,0,0,0,1.1024194945896333,
1634059800,70.5,71.136,70.5,70.882,,,,,,,0,0,0,0,0,0,1.1041934024637419,
1634131800,70.621,72.601,70.484,72.601,,,,,,,0,0,0,0,0,0,1.129020040557076,
1634146200,71.773,72.657,71.773,72.644,,,,,,,0,0,0,0,0,0,1.1279862058906263,
1634218200,73.935,73.935,72.03,72.982,,,,,,,0,0,0,0,0,0,1.1315510734481249,
1634232600,72.298,72.999,72.298,72.391,,,,,,,0,0,0,0,0,0,1.1204848741699422,
1634304600,74.716,75.999,74.01,75.99,,,,,,,0,0,0,0,0,0,1.173736686848692,
1634319000,75.718,76.13,74.506,74.9615,,,,,,,0,0,0,0,0,0,1.1562935496585092,
1634563800,74.66,75.233,74.368,74.943,,,,,,,0,0,0,0,0,0,1.1545585106406768,
1634578200,75.186,75.621,74.046,74.103,,,,,,,0,0,0,0,0,0,1.1408265018200785,
1634650200,74.593,75.002,70.301,73.148,,,,,,,0,0,0,0,0,0,1.1254268453045562,
1634664600,72.525,73.308,72.525,72.765,,,,,,,0,0,0,0,0,0,1.1187046500995133,
1634736600,73.398,77.6,73.398,75.791,,,,,,,0,0,0,0,0,0,1.1641616810156135,
1634751000,75.894,76.838,75.463,75.703,,,,,,,0,0,0,0,0,0,1.1615075985976537,
1634823000,75.9,75.9,73.04,73.399,,,,,,,0,0,0,0,0,0,1.1252203776161274,
1634837400,73.21,73.703,73,73.63,,,,,,,0,0,0,0,0,0,1.1277073080451236,
1634909400,73.241,73.6,70.897,71.411,,,,,,,0,0,0,0,0,0,1.0928771372036736,
1634923800,71.314,71.879,71.136,71.879,,,,,,,0,0,0,0,0,0,1.0991372687291077,
1635168600,74.119,75.146,74.119,74.526,,,,,,,0,0,0,0,0,0,1.1383721985032538,
1635183000,74.148,74.676,74.148,74.527,,,,,,,0,0,0,0,0,0,1.1370859340790118,
1635255000,74.26,74.572,73.609,73.754,,,,,,,0,0,0,0,0,0,1.124210606022984,
1635269400,73.951,73.951,73.464,73.464,,,,,,,0,0,0,0,0,0,1.1185404315128853,
1635341400,71.651,72.881,71.127,72.709,,,,,,,0,0,0,0,0,0,1.1058708502533396,
1635355800,72.5,72.531,71.455,71.547,,,,,,,0,0,0,0,0,0,1.087296129861559,
1635427800,73.195,74.646,71.91,72.092,,,,,,,0,0,0,0,0,0,1.0945786947183398,
1635442200,72.272,72.651,70.868,71.713,,,,,,,0,0,0,0,0,0,1.0874660304901953,
1635514200,72.547,73.535,69.244,73.169,,,,,,,0,0,0,0,0,0,1.1080039033971247,
1635528600,72.668,72.668,71.069,71.5,,,,,,,0,0,0,0,0,0,1.0814012403547817,
1635773400,71.698,74.5,71.698,72.996,,,,,,,0,0,0,0,0,0,1.1024086586351902,
1635787800,72.683,73.262,72.1,73.233,,,,,,,0,0,0,0,0,0,1.1042397717921106,
1635859800,75.205,84.1,75.2,81.401,,,,,,,0,0,0,0,0,0,1.224383258596281,
1635874200,81.223,81.807,78.625,79.283,,,,,,,0,0,0,0,0,0,1.189556260826119,
1635946200,78.5,79.968,78.285,79.164,,,,,,,0,0,0,0,0,0,1.1848898401588102,
1635960600,79,81.685,78.475,81.034,,,,,,,0,0,0,0,0,0,1.209627095680843,
1636032600,80.47,82.61,79.209,80.3565,,,,,,,0,0,0,0,0,0,1.1962926834984273,
