time,open,high,low,close,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4
1704983400,2.134830659536542,2.134830659536542,1.9738941261783902,2.015677491601344,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1704997800,2.0185794392523366,2.0411061285500747,2.009747961452928,2.0190512048192772,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1705069800,1.9865151515151518,1.9912533131389625,1.9350993377483443,1.958950740889067,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1705084200,1.9594951923076922,1.9661735305877648,1.934835076427997,1.9483146067415729,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1705415400,1.9346356275303644,1.9765751211631661,1.9346356275303644,1.9561560341324664,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1705429800,1.9571138211382113,1.9571138211382113,1.9308707124010553,1.9504449838187705,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0
1705501800,1.9472667488697084,2.0084396871140386,1.9472667488697084,2.003833470733718,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0
1705516200,2.0035051546391753,2.044530929946743,1.9997127615921213,2.044530929946743,0,0,0,15,,,,1.9640201303797462,,0,0,0,0,,,,,,0,0,0,0,,,,1.9640201303797462,,0,0,0,0,,,,,,0,0,0,0
1705588200,2.059026494146642,2.1328565590519006,2.021996615905245,2.024915540540541,0,0,0,15,,,,2.0057271977595246,,0,0,0,0,,,,,,0,0,0,0,,,,2.0057271977595246,,0,0,0,0,,,,,,0,0,0,0
1705602600,2.0255597803126317,2.0985420240137223,2.0255597803126317,2.0852613538988862,0,0,0,15,,,,2.0348607327010773,,0,0,0,0,,,,,,0,0,0,0,,,,2.0348607327010773,,0,0,0,0,,,,,,0,0,0,0
