time,open,high,low,close,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1755106200,0.6036868149368052,0.6054504022694507,0.5971332628567876,0.6047481702022082,1,8.686723951561117,16.69930333330757,0,0,0,0,0,0,5,0.015941626420206686,0.0005948426803244512,-0.007805369390919137,-0.008400212071243588,-0.12270462998377825,,0.6437430989806624,3977793,-2372110450,41.949982239841304,8.686723951561117,-45,-65,40,60,80,,,,,,,,,,,0.6172798263983881,0.606378839677872,0,0,0,0,0,0,0,0,0,0,0.6172798263983881,0.606378839677872,-15,-15,-5,-0.7741691500519721,-0.3161127667013148,0,0,-0.3,1.5,-0.07850564244402414,-0.30366723000686147,0,0,0,0,-0.6427168652572054,,,,,0,0,0,0.615713490085968,0.6694237297161317,0.6694237297161317,0.6320958769414039,0.5416449446455223,0,0,0,0,0.552078355089365,0.5923258012359811,0.5923258012359811,0.6148651424973441,0.63074544628857,0,0,0,0,0.6079670600647771,0.6394331753853651,0.6394331753853651,0.6172798263983881,0.606378839677872,0,0,0,0,1.273734920580353,,,,,0.24917434536084743
1755178200,0.5911728558316092,0.5911728558316092,0.567651632970451,0.5759445589990853,1,8.419122705782929,16.69930333330757,0,0,0,0,0,0,6,0.01745269147817458,-0.0016182378013575218,-0.01042300932294049,-0.008804771521582969,-0.1807109364727697,,0.6328640060920365,5785027,-2377895477,33.935465865312224,8.419122705782929,-45,-65,40,60,80,,,,,,,,,,,0.6086255473097838,0.606378839677872,0,0,0,0,0,0,0,0,0,0,0.6086255473097838,0.606378839677872,-15,-15,-10,-0.7610563972049234,-0.3073709314699489,0,0,-0.3,1.5,0.013112752847048714,-0.25781410703039576,0,0,0,0,-0.7610563972049234,,,,,0,0,0,0.615713490085968,0.6694237297161317,0.6694237297161317,0.6320958769414039,0.5416449446455223,0,0,0,0,0.5458245979403782,0.5873017396304482,0.5873017396304482,0.5897204310138875,0.63074544628857,0,0,0,0,0.6079670600647771,0.6394331753853651,0.6394331753853651,0.6086255473097838,0.606378839677872,0,0,0,0,1.273734920580353,,,,38.006259069569566,0.2917701806567896
1755192600,0.5758050262786624,0.5816734301911342,0.5708317803453845,0.5783638788104319,1,-2.7425448065349194,14.016637963108442,0,0,0,0,0,0,6,0.016980474218715656,-0.002685856313556393,-0.012162091913528461,-0.009476235599972068,-0.10816532391267185,,0.6276116857438899,3752041,-2374143436,35.05775272321084,-2.7425448065349194,-45,-65,40,60,80,,,,,,,,,,,0.5986539044098498,0.606378839677872,0,1,0,0,0,0,0,0,0,0,0.5986539044098498,0.606378839677872,-20,-55,-25,-0.24015334298043067,-0.29506532788445133,0.38244464884624635,0,-0.18,1.5,0.5209030542244927,0.2768408760083746,0,1,0,0,-0.24015334298043067,,,,,0,1,0,0.6086256351515943,0.661206576212882,0.661206576212882,0.6175653555819642,0.5416449446455223,0,0,0,0,0.5403776289444934,0.5828412698128319,0.5828412698128319,0.5897204310138875,0.6162290675936234,0,0,0,0,0.6020314370000455,0.6347369051867205,0.6347369051867205,0.5986539044098498,0.606378839677872,0,0,0,0,1.195771503689885,,,,,0.26249526686073776
1755264600,0.5758912676666821,0.5766998405794859,0.5597736529552592,0.566800173869846,1,-2.8927790856475366,14.016637963108442,0,0,0,0,0,0,5,0.017095456478462594,-0.0038657974909453805,-0.014308482463653793,-0.010442684972708413,-0.028702131653180887,,0.620036986951992,6694546,-2380837982,32.23871058739121,-2.8927790856475366,-45,-65,40,60,80,,,,,,,,,,,0.5937952970579484,0.606378839677872,0,0,0,0,0,0,0,0,0,0,0.5937952970579484,0.606378839677872,-15,-15,-15,-0.4251927749967741,-0.3384249492286803,0.38244464884624635,0,-0.3,1.5,-0.18503943201634343,0.1015511151923596,0,0,0,0,-0.4251927749967741,,,,,0,0,0,0.6086256351515943,0.661206576212882,0.661206576212882,0.6175653555819642,0.5416449446455223,0,0,0,0,0.534991492161734,0.5784111193558301,0.5784111193558301,0.5785156867612353,0.6162290675936234,0,0,0,0,0.6020314370000455,0.6347369051867205,0.6347369051867205,0.5937952970579484,0.606378839677872,0,0,0,0,1.195771503689885,,,,36.507389363510406,0.28571533309529423
1755279000,0.5669864629905614,0.5728679883870768,0.5666635609801547,0.5694304141735954,1,-6.503994004887989,11.241698276338703,0,0,0,0,0,0,5,0.016317525830495415,-0.004139650512243149,-0.01561724811301235,-0.0114775976007692,0.04567655657045795,,0.6182473190718499,4823572,-2376014410,33.547624589628995,-6.503994004887989,-45,-65,40,60,80,,,,,,,,,,,0.5891855142175721,0.606378839677872,0,0,0,0,0,0,0,0,0,0,0.5891855142175721,0.606378839677872,-20,-35,-50,-0.9056182363478174,-0.6273724733399093,0.21544047366204663,0,-0.18,1.5,-0.48042546135104325,-0.20995472873986942,0,0,0,0,-0.9056182363478174,,,,,0,0,0,0.6086256351515943,0.661206576212882,0.661206576212882,0.6025350350516137,0.5416449446455223,0,0,0,0,0.530699159783751,0.574696569034925,0.574696569034925,0.5785156867612353,0.601275729698626,0,0,0,0,0.5946889861492332,0.6288965863555238,0.6288965863555238,0.5891855142175721,0.606378839677872,0,0,0,0,1.195771503689885,,,,,0.2670974365242861
1755523800,0.559546402015991,0.5712975627953245,0.5571879912221998,0.570449032900056,1,-6.557430172708852,11.241698276338703,0,0,0,0,0,0,5,0.016159814812111796,-0.003924644026388582,-0.01638340263375493,-0.012458758607366347,0.022853575783882342,,0.6121090384301102,4635058,-2371379352,34.0786999189926,-6.557430172708852,-45,-65,40,60,80,,,,,,,,,,,0.5874573776074363,0.606378839677872,0,0,0,0,0,0,0,0,0,0,0.5874573776074363,0.606378839677872,-15,-15,-15,-1.3385752811051725,-0.7912951869325334,0.14836749929362764,0,-0.3,1.5,-0.4329570447573552,-0.5644061310532005,1,0,0,0,-1.3385752811051725,,,,,1,0,0,0.6086256351515943,0.661206576212882,0.661206576212882,0.6025350350516137,0.5416449446455223,0,0,0,0,0.5284910057095795,0.5722160043233128,0.5722160043233128,0.5785156867612353,0.601275729698626,0,0,0,0,0.5946889861492332,0.6288965863555238,0.6288965863555238,0.5874573776074363,0.606378839677872,0,0,0,0,1.195771503689885,,5.835742300180939,5.835742300180932,35.808518092129034,0.2881375459578764
1755538200,0.5706822563592264,0.5708516487783664,0.5631277793326492,0.5651281732398526,1,-8.02986728179869,10.089684888485348,0,0,0,0,0,0,5,0.015557247285940748,-0.003810126510352856,-0.017221416745307416,-0.01341129023495456,-0.024685714944876903,,0.6121090384301102,3192244,-2374571596,32.61252794654115,-8.02986728179869,-45,-65,40,60,80,,,,,,,,,,,0.5864088960643071,0.606378839677872,0,0,0,0,0,0,0,0,0,0,0.5864088960643071,0.606378839677872,-35,-35,-35,-1.310924301960241,-0.8293219647680177,0.11305864519178532,0,-0.18,1.5,0.02765097914493153,-0.5498679047553177,0,0,0,0,-1.310924301960241,,,,,0,0,0,0.6008965097431946,0.6540829842829688,0.6540829842829688,0.5962952127746663,0.5416449446455223,0,0,0,0,0.526575912813808,0.5698331631521832,0.5698331631521832,0.5748144931596372,0.5944934061587347,0,0,0,0,0.5866969367682767,0.6223861935574375,0.6223861935574375,0.5864088960643071,0.606378839677872,0,0,0,0,1.16487227368343,,,,,0.2732118524226204
1755610200,0.5649645478293319,0.5664449119320608,0.5261971478217311,0.531107359469768,1,-8.111596155176464,10.089684888485348,0,0,0,0,0,0,6,0.01732085563053996,-0.005587476705166695,-0.02039563611641293,-0.014808159411246235,-0.029178416965588014,,0.5992524756116304,8960748,-2383532344,25.15925205346869,-8.111596155176464,-45,-65,40,60,80,,,,,,,,,,,0.5837657675626008,0.606378839677872,0,0,0,0,0,0,0,0,0,0,0.5837657675626008,0.606378839677872,-15,-15,-15,-1.8,-1,0,0,-0.3,1.5,-0.48907569803975903,-1.5598466570195693,1,0,1,0,-1.8,,,,,1,0,1,0.6008965097431946,0.6540829842829688,0.6540829842829688,0.5962952127746663,0.5416449446455223,0,0,0,0,0.5209800279541797,0.5650180939423664,0.5650180939423664,0.5489503629572544,0.5944934061587347,0,0,0,0,0.5866969367682767,0.6223861935574375,0.6223861935574375,0.5837657675626008,0.606378839677872,0,0,0,0,1.16487227368343,,,,29.922233107918913,0.3279657430352179
1755624600,0.530990605117944,0.5346112386933496,0.5221933341686505,0.5264753925392148,1,-9.909264773025127,9.447683086080534,0,0,0,0,0,0,6,0.016970644837265608,-0.006569178758193503,-0.023019632858988115,-0.016450454100794612,-0.04318085544076597,,0.5797659589496709,5325773,-2388858117,24.343512698794143,-9.909264773025127,-45,-65,40,60,80,,,,,,,,,,,0.5515818835306152,0.606378839677872,0,0,0,0,0,0,0,0,0,0,0.5515818835306152,0.606378839677872,-20,-35,-30,-2.039200850650827,-1,-0.23920085065082686,0,-0.3,1.5,-0.23920085065082675,-1.6140080756540525,0,0,0,0,-2.039200850650827,,,,,0,0,0,0.6008965097431946,0.6540829842829688,0.6540829842829688,0.5928178424674075,0.5416449446455223,0,0,0,0,0.5149606173375431,0.5599647583517852,0.5599647583517852,0.540101837158297,0.59128431264764,0,0,0,0,0.5741102343026265,0.6130944958650897,0.6130944958650897,0.5515818835306152,0.606378839677872,0,0,0,0,1.16487227368343,,,,,0.2709706469543491
1755696600,0.5307944948389115,0.5379704142940059,0.5137928857747057,0.5326682900007855,1,-9.909264773025127,9.447683086080534,0,0,0,0,0,0,6,0.017485422243125222,-0.006294931482562206,-0.024319118453997368,-0.018024186971435163,-0.030893935686885168,,0.5793622138569496,11991029,-2376867088,27.71791963455904,-9.909264773025127,-45,-65,40,60,80,,,,,,,,,,,0.5515818835306152,0.606378839677872,0,0,0,0,0,0,0,0,0,0,0.5515818835306152,0.606378839677872,-15,-15,-15,-2.039200850650827,-1,-0.23920085065082686,0,-0.3,1.5,0,-1.1335826143030094,0,0,0,0,-2.039200850650827,,,,,0,0,0,0.6008965097431946,0.6540829842829688,0.6540829842829688,0.5928178424674075,0.5416449446455223,0,0,0,0,0.5118624448522644,0.556524251721377,0.556524251721377,0.540101837158297,0.59128431264764,0,0,0,0,0.5741102343026265,0.6130944958650897,0.6130944958650897,0.5515818835306152,0.606378839677872,0,0,0,0,1.16487227368343,,,,33.98776053496259,0.33429248399699935
