time,open,high,low,close,BTC 50 SMA,200-Week SMA,AB4 Entry,MTF SMA,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1557235800,41.68,41.93,39.73,40.26,4879.324600000002,30.10425,0,30.10425,41.521423717844364,37.92512960659944,0,0,0,0,0,0,0,0,0,0,0,0,41.521423717844364,37.92512960659944,41.521423717844364,,1,0,0,0,41.521423717844364,0,41.521423717844364,0,1,5.658186623269635,7.760392540062866,0,0,0,0,0,0,1.4246564766470322,5.658186623269635,-40,-60,10,30,50,,,,,,,,,,,-15,-15,-10,-0.22195123734260344,0,0,0,-0.22195123734260344,1,-0.45152335978326985,-0.34837322344777844,0,1,0,0,40.463684894979636,44.361952941176455,48.26022098737327,41.90186919181806,38.884295244414496,0,0,0,0,41.34041808467653,42.07403529411767,42.07403529411767,41.09688006161357,41.87132951112813,0,0,0,0,41.342894015592584,42.992047058823516,42.992047058823516,41.521423717844364,37.92512960659944,0,0,0,0,0.9185970124478993,,,,,0.3650660520747022
1557322200,39.86,40.495,39.58,39.75,4914.963600000002,30.10425,0,30.10425,41.16770718528417,37.92512960659944,0,0,0,0,0,0,0,0,0,0,0,0,41.16770718528417,37.92512960659944,41.16770718528417,,0,0,0,0,41.16770718528417,0,41.16770718528417,0,1,5.332306526577711,7.63958905219814,0,0,0,0,0,0,1.3882524426008156,5.332306526577711,-40,-60,10,30,50,,,,,,,,,,,-15,-30,-10,-0.3,0,0,0,-0.3,1,-0.07804876265739655,-0.5107033101752917,0,0,0,0,40.44740850039531,44.32807058823529,44.32807058823529,41.85489560693119,38.884295244414496,0,0,0,0,40.754164231394014,41.65991764705882,41.65991764705882,40.694320515803575,41.87132951112813,0,0,0,0,41.27930466949773,42.9283058823529,42.9283058823529,41.16770718528417,37.92512960659944,0,0,0,0,0.8670550735651108,,,,,0.31150244693228013
1557408600,39.1,39.63,38.2,39.27,4953.818800000002,30.10425,0,30.10425,40.277869970984824,37.92512960659944,0,0,0,0,0,0,0,0,0,0,0,0,40.277869970984824,37.92512960659944,40.277869970984824,,0,0,0,0,40.277869970984824,0,40.277869970984824,0,1,2.1978208036115228,5.4839454336169045,0,0,0,0,0,0,1.3998058395578998,2.1978208036115228,-40,-60,10,30,50,,,,,,,,,,,-20,-35,-25,-0.3,0,0,0,-0.3,1,0,-0.5107033101752917,0,0,0,0,40.44740850039531,44.32807058823529,44.32807058823529,41.01668877786468,38.884295244414496,0,0,0,0,40.26880971334053,41.307705882352955,41.307705882352955,39.68678656719798,41.0298058395579,0,0,0,0,41.09548124485863,42.769247058823524,42.769247058823524,40.277869970984824,37.92512960659944,0,0,0,0,0.8670550735651108,,,,,0.3605846611388913
1557495000,39.01,39.29,37.6452,38.94,4996.321000000002,30.211100000000002,1,30.211100000000002,40.08186237294099,37.92512960659944,0,0,0,0,0,0,0,0,0,0,0,0,40.08186237294099,37.92512960659944,40.08186237294099,,0,0,0,0,40.08186237294099,0,40.08186237294099,0,1,1.064946314156422,4.655170006140213,0,0,0,0,0,0,1.417305422446621,1.064946314156422,-40,-60,10,30,50,,,,,,,,,,,-20,-35,-20,-0.3,0,0,0,-0.3,1,0,-0.5295721224406663,0,0,0,0,40.32589793248245,44.149341176470585,44.149341176470585,40.694425293731484,38.884295244414496,0,0,0,0,39.57215020494127,40.81172941176471,40.81172941176471,39.3462693648752,40.70730542244662,0,0,0,0,40.86704680035519,42.57178823529414,42.57178823529414,40.08186237294099,37.92512960659944,0,0,0,0,0.8499321963728226,,,,,0.357089966187905
1557754200,37.36,37.98,37.0566,37.38,5168.238200000002,30.211100000000002,1,30.211100000000002,38.808187454219535,37.92512960659944,0,0,0,0,0,0,0,0,0,0,0,0,38.808187454219535,37.92512960659944,38.808187454219535,,1,0,0,0,38.808187454219535,0,38.808187454219535,0,1,-3.7012059818781045,1.3460071275284469,0,0,0,0,0,0,1.450597892271862,-3.7012059818781045,-40,-60,10,30,50,,,,,,,,,,,-20,-55,-25,-0.18,0,0,0,-0.18,1,0.12,-0.4095721224406663,0,1,0,0,40.32589793248245,44.149341176470585,44.149341176470585,39.40768062989352,38.884295244414496,0,0,0,0,38.647242417509425,40.177329411764674,40.177329411764674,38.34423003977986,39.43059789227186,0,0,0,0,40.49841108670168,42.28576470588234,42.28576470588234,38.808187454219535,37.92512960659944,0,0,0,0,0.8499321963728226,,30.567201963086717,55.620556952117944,41.11802920459559,0.3528369980620766
1557840600,38.02,38.61,37.4,38.51,5245.0394000000015,30.211100000000002,0,30.211100000000002,38.808187454219535,37.92512960659944,0,0,0,0,0,0,0,0,0,0,0,0,38.808187454219535,37.92512960659944,38.808187454219535,,0,0,0,0,38.808187454219535,1,38.808187454219535,0,1,-3.7012059818781045,1.3460071275284469,0,0,0,0,0,0,1.4348408999667288,-3.7012059818781045,-40,-60,10,30,50,,,,,,,,,,,-20,-20,0,-0.3,0,0,0,-0.3,1,-0.12,-0.07804876265739646,0,1,0,0,40.16113148626667,43.92247058823532,43.92247058823532,39.40768062989352,38.884295244414496,0,0,0,0,38.09743320517515,39.74645882352939,39.74645882352939,38.34423003977986,39.43059789227186,0,0,0,0,40.25124490924458,42.07656470588235,42.07656470588235,38.808187454219535,37.92512960659944,0,0,0,0,0.841303735024665,,,,,0.38058719266585067
1557927000,37.9,38.7,37.76,38.41,5326.549200000001,30.211100000000002,0,30.211100000000002,38.808187454219535,37.92512960659944,0,0,0,0,0,0,0,0,0,0,0,0,38.808187454219535,37.92512960659944,38.808187454219535,,0,0,0,0,38.808187454219535,0,38.808187454219535,0,1,-3.7012059818781045,1.3460071275284469,0,0,0,0,0,0,1.3994951213976772,-3.7012059818781045,-40,-60,10,30,50,,,,,,,,,,,-20,-20,-5,-0.3,0,0,0,-0.3,1,0,8.326672684688674e-17,0,0,0,0,40.16113148626667,43.92247058823532,43.92247058823532,39.40768062989352,38.884295244414496,0,0,0,0,37.497608647244526,39.26382352941177,39.26382352941177,38.34423003977986,39.43059789227186,0,0,0,0,39.96507579011376,41.8228,41.8228,38.808187454219535,37.92512960659944,0,0,0,0,0.841303735024665,,,,,0.3883107257035422
1558013400,37.68,37.99,37.1,37.31,5412.271400000002,30.211100000000002,1,30.211100000000002,38.257664360421934,37.92512960659944,0,0,0,0,0,0,0,0,0,0,0,0,38.257664360421934,37.92512960659944,38.257664360421934,,1,1,0,0,38.257664360421934,0,38.257664360421934,0,1,-4.127403887584859,1.22278955935922,0,0,0,0,0,0,1.3931026127264141,-4.127403887584859,-40,-60,10,30,50,,,,,,,,,,,-20,-35,-25,-0.3,0,0,0,-0.3,1,0,5.551115123125783e-17,0,0,0,0,39.87457467918472,43.47887058823532,43.47887058823532,39.35976834689361,38.884295244414496,0,0,0,0,36.72153801279111,38.66765882352939,38.66765882352939,37.97049857756149,39.38310261272642,0,0,0,0,39.524353512999916,41.40494117647057,41.40494117647057,38.257664360421934,37.92512960659944,0,0,0,0,0.8158861522052577,,,,,0.4107119090072964
1558099800,36.61,37.2799,35.8,36.06,5489.361400000002,30.2908,1,30.2908,37.57061365771075,37.92512960659944,0,0,0,0,0,0,0,0,0,0,0,0,37.57061365771075,37.92512960659944,37.57061365771075,,0,0,0,0,37.57061365771075,0,37.57061365771075,0,0,-21.728771982851285,-0.5865652907123569,0,0,0,0,0,0,1.4014524261030992,-21.728771982851285,-40,-60,10,30,50,,,,,,,,,,,-20,-35,-25,-0.3,0,0,0,-0.3,1,0,8.326672684688674e-17,0,0,0,0,39.87457467918472,43.47887058823532,43.47887058823532,38.656213464972645,38.884295244414496,0,0,0,0,35.830014007533265,37.99419999999998,37.99419999999998,36.74171399608844,38.681352426103096,0,0,0,0,38.931283753616924,40.887482352941156,40.887482352941156,37.57061365771075,37.92512960659944,0,0,0,0,0.8158861522052577,,,,,0.4387236087342542
1558359000,34.75,35.2,34.325,34.62,5701.6550000000025,30.2908,1,30.2908,35.89777402118937,37.92512960659944,0,0,0,0,0,0,0,0,0,0,0,0,35.89777402118937,37.92512960659944,35.89777402118937,,0,0,0,0,35.89777402118937,0,35.89777402118937,0,0,-29.133529519176385,-5.848736282315524,0,0,0,0,0,0,1.4252772528100206,-29.133529519176385,-40,-60,10,30,50,,,,,,,,,,,-35,-45,-65,-0.18,0,0,0,-0.18,1,0.12,1.1102230246251565e-16,0,1,0,0,39.35487532336949,42.721811764705855,42.721811764705855,36.610055360331735,38.884295244414496,0,0,0,0,34.63311058834251,37.11231764705885,37.11231764705885,35.33938328931388,36.62527725281002,0,0,0,0,38.16730138966882,40.29517647058822,40.29517647058822,35.89777402118937,37.92512960659944,0,0,0,0,0.7584915261424512,,0,27.444092787846937,38.08289038719608,0.39446683968930796
