time,open,high,low,close,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,Risk Oscillator,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1491571800,131.99,132.37,131.5,131.97,-10,-10,-10,25,128.39319230900782,133.89988235294115,139.40657239687448,131.19598761368164,125.51457061377256,0,0,0,0,131.51261000490197,132.2693882352942,133.02616646568643,132.54715659325475,131.1753139631918,0,0,0,0,130.9856523472742,133.31887058823523,135.65208882919626,131.92683344754235,128.99189673241264,0,0,0,0,132.02951955314384,132.81108235294107,132.81108235294107,132.54715659325475,131.1753139631918,0,0,0,0,0.05648686296171728,1.1473094885592514,,,,,16743064,1.079869942700035,-334861.28000017133,0.08462772289723519,0.5276754096683607,0,0,0,0,0,0,0,2.2363707422834143,2.4669444045604405,,
1491831000,132.11,132.565,131.6564,132.02,-10,-10,-10,10,128.6512251345705,134.0516470588234,139.4520689830763,131.19598761368164,125.51457061377256,0,0,0,0,131.55825256682874,132.31101176470585,133.06377096258296,132.54715659325475,131.1753139631918,0,0,0,0,131.0480490359643,133.32879999999997,135.60955096403563,131.92683344754235,128.99189673241264,0,0,0,0,132.01476209744217,132.71847058823528,132.71847058823528,132.54715659325475,131.1753139631918,0,0,0,0,0.05541783018181583,1.1451341131675514,,61.43824269405254,77.58809452361298,66.05935031650029,15619276,1.0794106445626725,-1405734.8400000532,0.08323590520225577,0.5264659071871259,0,0,0,0,0,0,0,2.250642171516476,2.50667623214859,,
1491917400,131.86,132.095,130.5,131.45,-25,-10,-10,-5,128.6512251345705,134.0516470588234,139.4520689830763,131.19598761368164,125.51457061377256,0,0,0,0,131.4947557900611,132.22291764705895,132.22291764705895,132.04590626220056,131.1753139631918,0,0,0,0,131.071723779105,133.24063529411762,135.40954680913023,131.92683344754235,128.99189673241264,0,0,0,0,131.65003251976148,132.2935294117647,132.2935294117647,132.04590626220056,131.1753139631918,0,0,0,0,0.0495831210745427,1.1451341131675514,,,,,33778359,1.0739282854834207,-13849127.190000845,0.08129096237859224,0.5415124446267578,0,0,0,0,0,0,0,2.2464231755215858,2.496315645823297,,
1492003800,131.45,131.54,130.78,130.92,-30,-15,-15,-10,128.84048422989332,134.16828235294116,139.496080475989,131.19598761368164,125.51457061377256,0,0,0,0,131.33716738534463,132.06289411764703,132.06289411764703,131.6210245406786,131.1753139631918,0,0,0,0,131.06197928453471,133.08571764705866,133.08571764705866,131.92683344754235,128.99189673241264,0,0,0,0,131.18713030185475,131.77395294117653,131.77395294117653,131.6210245406786,131.1753139631918,0,0,0,0,0.04418317710198442,1.1336787379509696,,,,,15955195,1.0687892943049622,-8456253.350000018,0.07882944165629557,0.5108286024554027,0,0,0,0,0,0,0,2.2618576257677443,2.5263879280654304,,
1492090200,130.75,131.51,130.38,130.4,-30,-15,-15,-10,128.84048422989332,134.16828235294116,139.496080475989,131.19598761368164,125.51457061377256,0,0,0,0,131.11754412614852,131.8536941176471,131.8536941176471,131.32615490697424,131.1753139631918,0,0,0,0,131.00451510226338,132.9098823529411,132.9098823529411,131.6784009909935,128.99189673241264,0,0,0,0,130.65163490751544,131.27590588235293,131.27590588235293,131.32615490697424,131.1753139631918,0,0,0,0,0.03898835679688775,1.1336787379509696,,,,,23683020,1.063762039821078,-8289056.999999865,0.07552813822699878,0.5370082258980177,0,0,0,0,0,0,0,2.2444457883166486,2.4900661415396246,,
1492435800,130.8,131.5,130.72,131.48,0,0,0,-5,129.04751045232072,134.3118352941175,139.57616013591425,131.19598761368164,125.51457061377256,0,0,0,0,131.05030581472033,131.78303529411747,131.78303529411747,131.32615490697424,131.1753139631918,0,0,0,0,131.02810061574255,132.80181176470597,134.5755229136694,131.6784009909935,128.99189673241264,0,0,0,0,130.4144346035666,131.0631764705882,131.71191833760977,131.32615490697424,131.1753139631918,0,0,0,0,0.046412884217294934,1.1367681700003744,,47.62625373270661,63.528369578604305,69.90255001426479,13325508,1.0717409150454658,9061345.439999713,0.07411723883010746,0.5276646044277234,0,0,0,0,0,0,0,2.1573800746108907,2.317350625852808,,
1492522200,131.01,131.66,130.95,131.28,-10,-10,-10,-10,129.04751045232072,134.3118352941175,139.57616013591425,131.19598761368164,125.51457061377256,0,0,0,0,130.9881381754985,131.72428235294132,131.72428235294132,131.32615490697424,131.1753139631918,0,0,0,0,131.03577491791953,132.67811764705877,134.320460376198,131.6784009909935,128.99189673241264,0,0,0,0,130.2910217183252,130.94769411764707,130.94769411764707,131.32615490697424,131.1753139631918,0,0,0,0,0.04376282541063132,1.1367681700003744,,,,,12841087,1.06931436057593,3467093.4900001315,0.07240221178479511,0.5341194539541172,0,0,0,0,0,0,0,2.189904428825028,2.3833897281369176,,
1492608600,131.85,132.29,131.31,131.49,5,-10,-10,-10,129.2533621036638,134.4860470588235,139.71873201398319,131.19598761368164,125.51457061377256,0,0,0,0,130.9780216612496,131.7121647058824,131.7121647058824,131.33803367152237,131.1753139631918,0,0,0,0,131.0605628414233,132.56355294117637,134.06654304092945,131.6784009909935,128.99189673241264,0,0,0,0,130.41378580425553,131.04362352941172,131.6734612545679,131.33803367152237,131.1753139631918,0,0,0,0,0.04438704512095107,1.1350603118875604,,,,,17764817,1.0702577268428395,-6395334.1199997375,0.07102903809090999,0.5414115791799655,0,0,0,0,0,0,0,2.2009184024867947,2.4037011957625003,,
1492695000,132.04,132.88,131.82,132.59,25,10,10,-5,129.2533621036638,134.4860470588235,139.71873201398319,131.19598761368164,125.51457061377256,0,0,0,0,131.12870610060128,131.8871529411765,132.64559978175174,132.17944037428165,131.1753139631918,0,0,0,0,131.14753119002114,132.5394823529412,133.93143351586127,131.85431030487987,128.99189673241264,0,0,0,0,130.70778452826937,131.35903529411763,132.0102860599659,132.17944037428165,131.1753139631918,0,0,0,0,0.05194008725572832,1.1350603118875604,,,,,21977910,1.07838039217744,12087850.50000025,0.07088185917873391,0.5371468871662093,0,0,0,0,0,0,0,2.216215359652996,2.4314881854710495,,
1492781400,132.7,132.76,132.22,132.56,25,25,25,5,129.5001191366216,134.70971764705882,139.91931615749604,131.24968877421207,126.33919609044673,0,0,0,0,131.26941861902205,132.04303529411763,132.8166519692132,132.17944037428165,131.23282615555843,0,0,0,0,131.23379671003966,132.50665882352948,133.7795209370193,131.85431030487987,128.99189673241264,0,0,0,0,130.9850710238638,131.65225882352942,132.31944662319503,132.17944037428165,131.23282615555843,0,0,0,0,0.050555194962152904,1.142352634408573,,,,,22454948,1.0772698412365522,-3143692.719999694,0.07135922428632435,0.5221721810187713,0,0,0,0,0,0,0,2.25261279049998,2.503837624688339,,
