time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,degree,Cycle low,MA,STH MVRV,MVRV SMA
920298600,51.125,54.1875,48.5,52.46875,,0,,,,0,3,0,,,
922977000,54,57.28125,48.84375,53.71875,,0,,,,0,3,0,,,
925738200,53.5625,56,48.9375,52.03125,,0,,,,0,3,0,,,
928243800,51.9375,59.9375,49.57031,57.625,,0,,,,0,3,0,,,
930835800,57.8125,61.71875,55.78125,56.59375,,0,,,,0,3,0,,,
933600600,56.6875,61.75,52.9375,59.6875,,0,,,,0,3,0,,,
936192600,60.0625,63.75,58.625,60.1875,,0,,,,0,3,0,,,
938784600,59.375,66.25,57.41406,65.75,,0,,,,0,3,0,,,
941466600,65.75,78.78125,65.19531,74,,0,,,,0,3,0,,,
944058600,74.3125,93.75,73.75,91.375,,0,,,,0,3,0,,,
946909800,96.1875,97.625,80,90,,0,,,,0,3,0,,,
949415400,89.53125,107.5,88.4375,107,,0,,,,0,3,0,,,
951921000,107.25,120.5,101,109.5,,0,,,,0,3,0,,,
954768600,107.76562,109.125,63.125,94.5,,1,63.125,,,0,3,1,,,
957187800,95.75,96.875,72.25,83,,0,,,,0,3,0,,,
959866200,85.1875,99.71875,84,93.1875,,0,,,,0,3,0,,,
962631000,93.5,102.0625,85.71875,89.5,,0,,,,0,3,0,,,
965136600,89.8125,101.875,83.3125,101.875,,0,,,,0,3,0,,,
967815000,103,103.51562,87.5,88.6875,5,0,,,0,0,3,0,,,
970493400,90.25,90.25,73.625,81.70312,6,0,,,0,0,3,0,,,
973089000,80.3125,84.125,60.5,62.98437,7,0,,,0,1,3,0,,,
975681000,64.0625,74.78125,54.25,58.375,8,0,,,0,1,3,0,,,
978445800,58.5625,69.125,52.15625,64.3,9,0,,,1,0,3,0,,,
981037800,64.55,65.61,46.86,47.45,10,0,,,1,1,3,0,,,
983457000,46.97,50.66,38,39.14999,11,0,,,1,1,3,0,,,
986218200,39.17,51,33.60001,46.14999,12,0,,,1,1,3,0,,,
988723800,46.2,51.95,44.06,44.73,13,0,,,1,1,3,0,,,
991402200,45.53999,49.49001,41.25999,45.7,14,0,,,1,1,3,0,,,
994080600,45.65199,46.48,39.31,41.75999,15,0,,,1,1,3,0,,,
996672600,42.63699,44.004,35.75,36.63,16,0,,,1,1,3,0,,,
999610200,36.51801,37.5,27.2,28.98,17,1,27.2,-1,1,1,3,1,,,
1001943000,28.85001,37.06,27.85001,33.89999,18,0,,,2,1,3,0,,,
1004625000,34.44,40.97,33.782,39.64999,19,0,,,2,1,3,0,,,
1007389800,39.28999,43.24001,38.44,38.91,20,0,,,2,1,3,0,,,
1009981800,39.57001,42.60001,36.85001,38.50999,21,0,,,2,1,3,0,,,
1012573800,38.401,39.17,33.09,33.78,5,0,,,0,0,3,0,,,
1014993000,34.15401,39.19,32.74001,36.06,6,0,,,0,0,3,0,,,
1017671400,35.8,36.89999,30.56799,31.73,7,0,,,0,0,3,0,,,
1020259800,31.67,33.63,23.88,30.03999,8,0,,,0,0,3,0,,,
1023111000,30.008,30.25,20.59,26.10001,9,0,,,1,1,3,0,,,
1025530200,25.978,26.55,21.64,23.85001,10,0,,,1,1,3,0,,,
1028208600,23.74001,26.21001,21.3,23.49001,11,0,,,1,1,3,0,,,
1031059800,23.06,24.35001,20.49001,20.72,12,0,,,1,1,3,0,,,
1033479000,20.91,25.03999,19.75999,24.55,13,1,19.75999,0,1,1,3,1,,,
1036161000,24.37801,29.7,24.14,27.72,14,0,,,1,0,3,0,,,
1038839400,28.42,28.78999,24.28,24.37,15,0,,,1,1,3,0,,,
1041517800,24.72,27.47,24.00999,24.44,16,0,,,1,1,3,0,,,
1044282600,24.528,25.37,23.32001,25.16,17,0,,,1,1,3,0,,,
1046701800,25.27,27.75999,23.53999,25.25,5,0,,,0,0,3,0,,,
1049207400,25.44,28.06,25.25,27.45,6,0,,,0,0,3,0,,,
1051795800,27.44,29.87,27.19,29.78999,7,0,,,0,0,3,0,,,
1054560600,30.08,31.47,28.66,29.95,8,0,,,0,0,3,0,,,
1057066200,29.7,32.75,29.25999,31.8,9,0,,,1,0,3,0,,,
1059744600,31.69,33.46001,29.92999,33.39,10,0,,,1,0,3,0,,,
1062509400,33.49001,34.86,32.35699,32.42,11,0,,,1,0,3,0,,,
1065015000,32.61,36,32.42,35.17999,12,0,,,1,0,3,0,,,
1067869800,35.42999,36.17999,33.73,35.38,13,0,,,1,0,3,0,,,
1070289000,35.71001,36.64,34.13,36.46001,14,0,,,1,0,3,0,,,
1073053800,36.66,39,36.22,37.07001,15,0,,,1,0,3,0,,,
1075732200,37.2,37.89999,35.89999,36.57001,16,0,,,1,0,3,0,,,
1078151400,36.67999,37.17999,34.006,35.84,17,0,,,1,0,3,0,,,
1080829800,35.81,37.5,34.72,34.77,18,0,,,2,0,3,0,,,
1083591000,35,36.55,34.11,36.55,19,0,,,2,0,3,0,,,
1086096600,36.25999,37.89999,35.82001,37.74001,20,0,,,2,0,3,0,,,
1088688600,37.66,37.66,33.7,34.89,21,0,,,2,0,3,0,,,
1091453400,34.61,35.02,32,34.02,22,1,32,1,2,0,3,1,,,
1094045400,33.92999,35.85001,33.8,35.14,23,0,,,2,0,3,0,,,
1096637400,35.45,37.24001,35.2,36.89999,24,0,,,2,0,3,0,,,
1099319400,36.98,39.64,36.8,39.12199,25,0,,,2,0,3,0,,,
1101911400,39.27,40.67999,37.21001,39.91499,26,0,,,2,0,3,0,,,
1104762600,40.08,40.29201,36.46001,37.39999,5,0,,,0,0,3,0,,,
1107268200,37.47,38.48,36.69701,37.22,6,0,,,0,0,3,0,,,
1109687400,37.37,38.28999,35.94,36.57001,7,0,,,0,0,3,0,,,
1112365800,36.82001,37.07001,34.35001,34.98,8,0,,,0,0,3,0,,,
1115040600,35.07001,38.27,34.886,38.08,9,0,,,1,0,3,0,,,
1117632600,38.03,38.67999,36.7,36.78,10,0,,,1,0,3,0,,,
1120224600,36.86,39.92101,36.5498,39.575,11,0,,,1,0,3,0,,,
1122903000,39.64,40.14,38.25999,38.98,12,0,,,1,0,3,0,,,
1125581400,38.99001,39.91,38.24001,39.46001,13,0,,,1,0,3,0,,,
1128346200,39.55,39.88,37.33,38.87,14,0,,,1,0,3,0,,,
1130855400,38.75999,42.02,38.71001,41.24001,15,0,,,1,0,3,0,,,
1133447400,41.50999,42.31,40.36,40.412,16,0,,,1,0,3,0,,,
1136298600,40.64,43.31,40.16,42,17,0,,,1,0,3,0,,,
1138804200,41.75999,42.17,40.25999,41.10001,18,0,,,2,0,3,0,,,
1141223400,41.22,42.30009,40.19,41.92999,19,0,,,2,0,3,0,,,
1144071000,42.14999,43.05,41.39,41.85001,20,0,,,2,0,3,0,,,
1146490200,41.92999,42.3,38.23,38.82001,21,0,,,2,0,3,0,,,
1149168600,38.91,40,37.16,38.77,22,0,,,2,0,3,0,,,
1151933400,38.88,39,35.53999,37.10001,23,1,35.53999,1,2,0,3,1,,,
1154439000,36.78999,39.03,36.25999,38.87,24,0,,,2,0,3,0,,,
1157117400,39.07001,40.95,38.3199,40.64999,25,0,,,2,0,3,0,,,
1159795800,40.60001,42.92,39.88,42.58,26,0,,,2,0,3,0,,,
1162391400,42.73,44.86,41.61,44.03999,27,0,,,2,0,3,0,,,
1164983400,44,44.75999,42.88,43.16,5,0,,,0,0,3,0,,,
1167834600,43.46001,45.39999,42.52,44.07001,6,0,,,0,0,3,0,,,
1170340200,44.27,45.55,42.92999,43.33,7,0,,,0,0,3,0,,,
1172759400,42.55,44.45,42.06,43.53,8,0,,,0,0,3,0,,,
1175520600,43.67,46.7,43.3,45.96001,9,0,,,1,0,3,0,,,
1178026200,45.97,47.52,45.66,47.41,10,0,,,1,0,3,0,,,
1180704600,47.58,47.92,46.16,47.60001,11,0,,,1,0,3,0,,,
1183383000,47.71001,50.66,47.42999,47.53,12,0,,,1,0,3,0,,,
1185975000,47.39,49.06,40.55,48.87,13,1,40.55,1,1,0,3,1,,,
1188912600,48.92,52.77,47.81,51.41,14,0,,,1,0,3,0,,,
1191245400,51.45,55.07001,51.34,55.03,15,0,,,1,0,3,0,,,
1193923800,54.67999,54.77,48.64999,51.31,16,0,,,1,0,3,0,,,
1196692200,51.14,52.84,49.17999,51.22,17,0,,,1,0,3,0,,,
1199284200,51.27,51.47,41.61,45.13,5,0,,,0,0,3,0,,,
1201876200,45.52,45.88,42.14999,42.95,6,0,,,0,0,3,0,,,
1204554600,42.92999,45.07001,41.05,43.72,7,0,,,0,0,3,0,,,
1207056600,44.45,48.06,43.67999,47.21001,8,0,,,0,0,3,0,,,
1209648600,47.24001,50.47,47.22,50.00999,9,0,,,1,0,3,0,,,
1212413400,49.92,50.61,44.97,45.17,10,0,,,1,0,3,0,,,
1214919000,44.86,46.14999,43.3,45.46001,11,0,,,1,0,3,0,,,
1217597400,45.52,48.57001,44.3,46.12,12,0,,,1,0,3,0,,,
1220362200,46.86,47.08,37.17999,38.91,13,0,,,1,1,3,0,,,
1222867800,38.83,38.97,28.09,32.89,14,0,,,1,1,3,0,,,
1225722600,32.81,34.00999,25.05,29.12,15,1,25.05,-1,1,1,3,1,,,
1228141800,28.5,30.83,26.84039,29.74001,16,0,,,1,1,3,0,,,
1230906600,29.77,31.63,27.96001,29.06,17,0,,,1,1,3,0,,,
1233585000,28.77,31.67999,27.39,27.53,18,0,,,2,1,3,0,,,
1236004200,27.12,31.46001,25.6301,30.32001,19,0,,,2,1,3,0,,,
1238592600,29.94,34.89999,29.78999,34.28,5,0,,,0,0,3,0,,,
1241184600,34.28,35.5,32.96001,35.38,6,0,,,0,0,3,0,,,
1243863000,35.73,37.23,34.77,36.38,7,0,,,0,0,3,0,,,
1246455000,36.53999,40.17999,34.3,39.45,8,0,,,0,0,3,0,,,
1249306200,39.85001,41.08,38.46001,40.03,9,0,,,1,0,3,0,,,
1251811800,39.87,43.17,39.02,42.25,10,0,,,1,0,3,0,,,
1254403800,42.11,43.82001,40.72,40.96001,11,0,,,1,0,3,0,,,
1257172200,41.00999,44.64999,40.64,43.56,12,0,,,1,0,3,0,,,
1259677800,43.88,46.3,43.32001,45.75,13,0,,,1,0,3,0,,,
1262615400,46.32001,46.64,42.63,42.78999,14,0,,,1,0,3,0,,,
1265034600,42.91,45.05,42.12,44.75999,15,0,,,1,0,3,0,,,
1267453800,44.95,48.60001,44.95,48.16,16,0,,,1,0,3,0,,,
1270128600,48.34,50.64999,47.78999,49.2375,17,0,,,1,0,3,0,,,
1272893400,49.42999,50.17,41.55,45.60001,18,1,41.55,1,2,0,3,1,,,
1275399000,45.45,47.67999,42.64,42.71001,19,0,,,2,0,3,0,,,
1277991000,42.82001,46.72,41.77,45.81,20,0,,,2,0,3,0,,,
1280755800,46.38,47.19,42.97,43.46001,21,0,,,2,0,3,0,,,
1283347800,44.10001,49.84,44.07001,49.07001,22,0,,,2,0,3,0,,,
1285939800,49.46001,52.49001,48.2,52.17999,5,0,,,0,0,3,0,,,
1288618200,52.38,54.0401,50.85001,52.08501,6,0,,,0,0,3,0,,,
1291213800,52.87,54.96001,52.84,54.46001,7,0,,,0,0,3,0,,,
1294065000,54.959,57.35001,54.92,56,8,0,,,0,0,3,0,,,
1296570600,56.4194,59.03999,56.13,57.76891,9,0,,,1,0,3,0,,,
1298989800,57.99001,58.36501,53.77,57.42999,10,0,,,1,0,3,0,,,
1301664600,57.72,59.28999,55.32001,59.08,11,0,,,1,0,3,0,,,
