time,open,high,low,close,cycle_day,dcl_event,dcl_price,DCL,MA,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion
957187800,95.75,96.875,85.51562,91.5,38,0,,0,,-0.18,0,0,0,-0.18,1,0,0.03840627958211884,0,0,0,0
957792600,90.5,90.75,79.5,84.6875,39,0,,0,,-0.3,0,0,0,-0.3,1,-0.12,2.7755575615628914e-17,0,1,0,0
958397400,84.8125,91.5,81.3125,81.6875,40,0,,0,,-0.18,0,0,0,-0.18,1,0.12,0.12000000000000005,0,1,0,1
959002200,81.625,82.625,72.25,77.6875,41,0,,0,,-0.3,0,0,0,-0.3,1,-0.12,-0.11999999999999994,0,1,0,0
959693400,80,94.10937,80,93.25,42,0,,0,,0.3,0,0,0,0.3,1,0.6,0.48000000000000004,0,1,0,0
960211800,92.25,95.3125,89.5625,93.5625,43,0,,0,,0.18,0,0,0,0.18,1,-0.12,0.36000000000000004,0,0,0,0
960816600,94.3125,95.3125,89.35937,94.17187,44,0,,0,,0.3,0,0,0,0.3,1,0.12,0.6000000000000001,0,0,0,0
961421400,94.01562,99.71875,91.4375,91.64062,45,0,,0,,0.13226930219755179,0,0,0,0.13226930219755179,1,-0.1677306978024482,0.31226930219755183,0,0,0,0
962026200,93.0625,95.5,90.625,93.1875,46,0,,0,,0.0938700643412683,0,0,0,0.0938700643412683,1,-0.03839923785628349,0.39387006434126837,0,0,0,0
962631000,93.5,97,90.0625,95.40625,47,0,,0,,0.2223153298358213,0,0,0,0.2223153298358213,1,0.128445265494553,-0.0776846701641786,0,0,0,0
963235800,94.6875,101.125,92.8125,100.625,48,0,,0,,0.3,0,0,0,0.3,1,0.07768467016417868,0.12000000000000008,0,0,0,0
963840600,100.9375,102.0625,95.65625,97.3125,49,0,,0,,0.11120381984473822,0,0,0,0.11120381984473822,1,-0.18879618015526178,-0.1887961801552617,0,0,0,0
964445400,97.9375,99,86,86.8125,50,0,,0,,-0.3,0,0,0,-0.3,1,-0.4112038198447382,-0.43226930219755166,0,1,0,0
965050200,87.625,92.76562,83.3125,90,51,1,83.3125,1,,-0.18,0,0,0,-0.18,1,0.12,-0.27387006434126815,0,1,0,0
965655000,90.875,94.4375,87.875,90.875,52,0,,0,,-0.18,0,0,0,-0.18,1,0,-0.4023153298358212,0,0,0,0
966259800,91.375,96.625,90.20312,95.14062,53,0,,0,,0.0764622230022587,0,0,0,0.0764622230022587,1,0.2564622230022587,-0.2235377769977412,0,0,0,0
966864600,96,99.95312,93.82812,98.375,54,0,,0,,0.3,0,0,0,0.3,1,0.2235377769977413,0.1887961801552619,0,0,0,0
967469400,98.25,103.51562,97.76562,102.5,55,0,,0,,0.3,0,0,0,0.3,1,0,0.6000000000000001,0,0,0,0
968160600,101.625,101.75,94.82812,94.875,5,0,,0,,-0.14259639214617056,0,0,0,-0.14259639214617056,1,-0.4425963921461705,0.03740360785382957,0,0,0,0
