time,open,high,low,close,STH MVRV,MVRV SMA,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,SRI Bias Histogram,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1698240600,20.91,21.08,20.665,20.94,1.02263025737602,,19.454502088481853,20.27432941176471,21.09415673504757,21.015763121473125,20.8955300604719,0,0,0,0,-10,,,,17639764,0.9661345390790802,529192.9200000201,21.987000000000002,40.18702700163481,19.551197426891296,10.591926214411675,-0.02724509868380076,0.42157709465993143,0.005,0.004,0.003,0.002,0.001,0,0.005,1.6509925115787785,0.9633996222285875,,
1698327000,20.91,20.97,20.565,20.85,1.0136565659100247,,19.425751203057853,20.243364705882364,21.060978208706874,21.015763121473125,20.8955300604719,0,0,0,0,-10,,,,14326610,0.9617158671586711,-859596.5999999817,21.892500000000002,40.1912769403742,19.55344178753345,10.593046352946471,-0.028192527916963916,0.40161047935874866,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.6807282102514989,1.0085834045524735,,
1698413400,20.92,21.185,20.76,21.18,1.0136565659100247,,19.42964563628886,20.246941176470582,21.064236716652303,21.015763121473125,20.8955300604719,0,0,0,0,-15,,,,18629987,0.9767773992472358,4843796.619999963,22.239,40.19670931725743,19.55626145985207,10.59447814174522,-0.02708127222856338,0.4024323574229942,0.005,0.004,0.003,0.002,0.001,0,0.005,1.6621100248819964,0.982465168791769,,
1698672600,21.59,21.61,21.23,21.34,1.0367275553828217,,19.446720393813273,20.264847058823534,21.082973723833796,21.03758524291595,20.8955300604719,0,0,0,0,5,65.2845755040965,51.60071992901461,49.65091763934323,15304599,0.9839659685863866,-3826149.75,22.407,40.20547704930041,19.56060450942787,10.596789016119263,-0.02588924179559693,0.393211769689159,0.005,0.004,0.003,0.002,0.001,0,0.005,1.6788853405609334,1.0088289906511294,,
1698759000,21.14,21.36,20.835,20.98,1.0367275553828217,,19.456435525232816,20.27329411764707,21.09015271006132,21.03758524291595,20.8955300604719,0,0,0,0,-10,,,,17624921,0.9672401280175124,-2819987.3600000027,22.029,40.210171753605344,19.562965992412963,10.598026379649397,-0.02889435986937261,0.40699156305441464,0.005,0.004,0.003,0.002,0.001,0,0.005,1.6748208794238395,1.0033546235379553,,
1698845400,20.82,21.09,20.66,20.97,1.0181078388994342,,19.471284087853792,20.28585882352941,21.100433559205026,21.03758524291595,20.8955300604719,0,0,0,0,-10,,,,25224384,0.9668164822972648,3783657.5999999642,22.0185,40.21482096654034,19.565429524644397,10.599251753209886,-0.02960751130182282,0.3837468044259548,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.6808369781833503,1.012945233352843,,
1698931800,21.07,21.0971,20.7663,20.87,1.0181078388994342,,19.53070864876031,20.3250117647059,21.119314880651487,21.03758524291595,20.8955300604719,0,0,0,0,-10,,,,12232463,0.9623233675442503,-2446492.5999999912,21.913500000000003,40.21909830585386,19.567712178688424,10.600379113599125,-0.030718035438513813,0.38265021478360006,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.7147870843985387,1.065114923731649,,
1699018200,21.03,21.35,20.99,21.22,1.0295843911112224,,19.608619361137798,20.38748235294121,21.16634534474462,21.03758524291595,20.8955300604719,0,0,0,0,-15,,,,21259916,0.9784619961326781,4039384.0399999516,22.281,40.2246283584228,19.570531728144108,10.601836646368833,-0.028956970145142757,0.40053692395898044,0.005,0.004,0.003,0.002,0.001,0,0.005,1.689953526978868,1.0285914532687954,,
1699281000,21.22,21.23,21.07,21.08,1.0295843911112224,,19.687108936674573,20.44557647058823,21.204044004501885,21.03758524291595,20.8955300604719,0,0,0,0,-10,53.750263792132984,58.11761562507126,44.54471120071752,10278185,0.9720470285836678,-1438945.9000000057,22.134,40.23249159553679,19.574486488198854,10.603909126806723,-0.027481089941571613,0.37394122820915043,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.6967368166956769,1.0402344668493015,,
1699367400,20.73,20.76,20.5748,20.73,1.0051302103699067,,19.74218626712483,20.479176470588232,20.479176470588232,21.00406165951138,20.8955300604719,0,0,0,0,-10,,,,16082208,0.9561068361571828,0,21.7665,40.23623170093274,19.57643824997708,10.60489489070477,-0.030434027525864882,0.38364941855088625,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.6901771902796197,1.030741492191411,,
1699453800,20.81,20.935,20.615,20.65,1.0051302103699067,,19.837621457030714,20.52967058823529,20.52967058823529,21.00406165951138,20.8955300604719,0,0,0,0,-10,,,,14361175,0.9526410248015541,-2297788.000000002,21.6825,40.23967090026998,19.578243634110418,10.60580134605453,-0.034909019495126814,0.39133192447433085,0.005,0.004,0.003,0.002,0.001,0,0.005,1.7068432829667592,1.0563393995576775,,
1699540200,20.75,21.07,20.65,20.69,1.0023598174657748,,19.933581409820643,20.582517647058825,20.582517647058825,21.00406165951138,20.8955300604719,0,0,0,0,-10,,,,18731987,0.9548415718360511,-1123919.219999976,21.724500000000003,40.24325011447154,19.580607235312723,10.606744704535043,-0.0366802418067641,0.3845349813653073,0.005,0.004,0.003,0.002,0.001,0,0.005,1.726714631051463,1.0866146439254778,,
1699626600,20.55,20.6,20.34,20.34,1.0023598174657748,,19.99174732871416,20.605411764705877,20.605411764705877,20.67752806410441,20.8955300604719,0,0,0,0,-15,,,,14059609,0.9391868543034515,-2952517.890000012,21.357,40.24552866984561,19.582338103089718,10.607345253821672,-0.040627331520165844,0.34428318470015273,0.006053500000000002,0.004842800000000001,0.003632100000000001,0.0024214000000000006,0.0012107000000000003,0,0.006053500000000002,1.7642801673254527,1.1452993345365803,,
1699885800,20.18,20.49,20.1,20.43,0.9888581126866999,,20.04764784314481,20.631317647058818,20.631317647058818,20.67752806410441,20.8955300604719,0,0,0,0,-10,63.210562400165884,60.74846723213179,52.902478356358245,11091089,0.9438008351191127,2772772.25,21.4515,40.25092803441128,19.586243161286607,10.608768341702294,-0.043273407580899814,0.37296604848280585,0.005120999999999999,0.004096799999999999,0.0030725999999999996,0.0020483999999999997,0.0010241999999999999,0,0.005120999999999999,1.7767266321225024,1.1661525800938295,,
1699972200,20.92,21.24,20.8732,21.17,0.9888581126866999,,20.120863707548377,20.69557647058825,21.270289233628123,20.84555383072454,20.8955300604719,0,0,0,0,-10,,,,21723861,0.9785114256831102,5430965.25,22.228500000000004,40.25623111147939,19.590101788817925,10.61016605149089,-0.043266346216552454,0.3741584924374214,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.752982798166079,1.1306079562639406,,
1700058600,21.36,21.52,21.24,21.45,1.0369914071394037,,20.189594723930828,20.76856470588236,21.34753468783389,21.154431619349225,20.8955300604719,0,0,0,0,25,,,,18585615,0.9918941979522179,1672705.3499999973,22.5225,40.26252093020596,19.593188565065944,10.611823832641289,-0.04043103630675948,0.3698788522342489,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.703019020149085,1.0553424805579428,,
1700145000,21.88,22.06,21.73,21.76,1.0369914071394037,,20.263177293907894,20.857529411764684,21.451881529621474,21.47125793225285,20.8955300604719,0,0,0,0,45,,,,20259162,1.0065686002405398,-2431099.4399999483,22.848000000000003,40.26988690456694,19.596799046120335,10.613765251620242,-0.0332222128662798,0.3931514593916831,0.014200999999999998,0.011360799999999997,0.008520599999999998,0.005680399999999999,0.0028401999999999993,0,0.014200999999999998,1.8090712200655428,1.2160877935969996,,
1700231400,21.79,21.855,21.6796,21.75,1.0500569997570501,,20.333434710836354,20.94244705882352,21.55145940681069,21.47125793225285,20.8955300604719,0,0,0,0,15,,,,12296966,1.006445430282476,-491878.63999998954,22.837500000000002,40.277203748752555,19.600752328947728,10.615693721564865,-0.025535869226148256,0.36876930882561626,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.7315655586414926,1.099550211469257,,
1700490600,21.42,21.605,21.3837,21.48,1.0500569997570501,,20.396149946456767,21.0106588235294,21.625167700602034,21.47125793225285,20.8955300604719,0,0,0,0,10,73.95467314581363,63.63849977937084,55.56238822730372,9696838,0.9944147426898833,581810.2799999876,22.554000000000002,40.286377340284226,19.6056093596309,10.61811156662269,-0.019882559104172026,0.39459755695535187,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.7902341818675431,1.188977633702979,,
1700577000,21.88,22,21.735,21.77,1.0494502931251652,,20.471618728550144,21.09943529411765,21.727251859685158,21.52866192268945,20.8955300604719,0,0,0,0,25,,,,15212958,1.0083402063087932,-1673425.3799999913,22.8585,40.29374675556188,19.61620485206327,10.620053892509626,-0.010003508817694629,0.39869590914639413,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.788340631030288,1.1869289517718213,,
1700663400,21.7,21.815,21.57,21.67,1.0494502931251652,,20.53186305917902,21.170941176470585,21.81001929376215,21.52866192268945,20.8955300604719,0,0,0,0,10,,,,11151876,1.0043296644809034,-334556.2799999731,22.753500000000003,40.30075237487443,19.626628244030954,10.621900334219331,-0.0013565331945818437,0.39075670496309983,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.7145990463316456,1.0763887344044138,,
1700836200,22.02,22.29,22,22.27,1.071590443431722,,20.609198930378103,21.279294117647055,21.949389304916007,21.724730273165697,20.8955300604719,0,0,0,0,30,,,,10803300,1.0324586564891884,2700825,23.3835,40.31123548817727,19.633219107536615,10.624663324439942,0.0063502140634295046,0.40903064159822294,0.005,0.004,0.003,0.002,0.001,0,0.005,1.7756989352488801,1.1699953127076517,,
1701095400,22.67,22.705,22.5,22.56,1.071590443431722,,20.71113793977583,21.42174117647057,22.132344413165306,22.292650082474502,20.8955300604719,0,0,0,0,25,97.24539614972082,78.1368772319001,60.46409930493431,19785608,1.0460472587925937,-2176416.880000059,23.688,40.324118377882726,19.640979733752943,10.628058813665435,0.014086365612054674,0.39067656189646066,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.7823391767238057,1.1812921223429174,,
1701181800,22.68,22.92,22.5909,22.92,1.1006871936597247,,20.832605482585464,21.596329411764685,22.360053340943907,22.545040122133628,20.8955300604719,0,0,0,0,25,,,,17064430,1.0628126271450107,4095463.200000034,24.066000000000003,40.335357779874776,19.646526371999904,10.631021135724964,0.02212122659840765,0.4304224493978752,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,1.7615812717576773,1.1498301888554079,,
1701268200,22.96,23.13,22.82,22.88,1.1006871936597247,,20.952384082090603,21.76279999999999,22.57321591790938,22.617075411431546,20.8955300604719,0,0,0,0,25,,,,16675165,1.0610689078446207,-1334013.200000031,24.024,40.34644328471876,19.651998090312457,10.633942895758427,0.029924580535856782,0.41736648505556323,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.7977034551420343,1.2048582202192515,,
1701354600,22.97,23.145,22.85,23.13,1.1086766943334612,,21.083105984487112,21.947694117647053,22.812282250806994,22.79089665577516,20.8955300604719,0,0,0,0,30,,,,14364257,1.0726755927892881,2298281.120000002,24.2865,40.358334593085914,19.6580803253573,10.637077038047991,0.04110470197862903,0.42664389254745166,0.0014134999999999998,0.0011308,0.0008481,0.0005654,0.0002827,0,0.0014134999999999998,1.7935252210854733,1.1994708371707297,,
1701441000,23.09,23.3712,23.05,23.33,1.1086766943334612,,21.22493327170783,22.14790588235296,23.070878492998087,22.994701708295928,21.40468346820881,0,0,0,0,50,,,,22107812,1.0818374917728708,5305874.879999965,24.496499999999997,40.370858502425705,19.66447087290156,10.640377912323604,0.051604314187782885,0.4463954480105171,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.787895299914298,1.1906692436990807,,
1701700200,22.75,22.92,22.3601,22.46,1.0751356543061945,,21.340097235214945,22.281717647058834,23.223338058902723,22.994701708295928,21.40468346820881,0,0,0,0,0,79.85777983030222,83.68594970861223,48.374828233461756,30668293,1.041687861686784,-8893804.969999975,23.583000000000002,40.38335467115013,19.670650942891726,10.643671475121533,0.05694119950290877,0.48090580204946,0.005,0.004,0.003,0.002,0.001,0,0.005,1.8880122992658763,1.3454231598169113,,
1701786600,22.281,22.375,21.95,22.12,1.0751356543061945,,21.418396899800467,22.37185882352941,23.325320747258356,22.450957400805915,21.40468346820881,0,0,0,0,10,,,,27205056,1.0261859082759917,-4380014.01599994,23.226000000000003,40.391802645929026,19.674859194542073,10.645898072414129,0.0560450926153091,0.4181856264369631,0.005,0.004,0.003,0.002,0.001,0,0.005,1.9724815937539053,1.4775741982711068,,
1701873000,22.17,22.2,21.869,21.93,1.0484925692640825,,21.47440246031993,22.435482352941165,23.3965622455624,22.238453064980607,21.40468346820881,0,0,0,0,10,,,,13374501,1.0176455971331138,-3209880.2400000268,23.026500000000002,40.399577649965046,19.68030672509718,10.64794729762959,0.051987712378240625,0.4222619535996545,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.0644233870949704,1.6204957283624926,,
1701959400,21.89,21.91,21.6,21.79,1.0484925692640825,,21.51095683917261,22.47555294117647,22.47555294117647,22.08731412235573,21.40468346820881,0,0,0,0,-5,,,,16758464,1.0114821015180688,-1675846.400000024,22.8795,40.40685029800046,19.685510295779455,10.649864118980206,0.04465478014582036,0.42351757716406024,0.005,0.004,0.003,0.002,0.001,0,0.005,2.051578882248398,1.6046443390167469,,
1702045800,21.35,21.56,21.015,21.1,1.0078427142879154,,21.497862149664172,22.461082352941173,22.461082352941173,21.399648401418972,21.40468346820881,0,0,0,0,-30,,,,28746451,0.9800102480814807,-7186612.75,22.155,40.41166153992005,19.68927623979568,10.651132197840827,0.03307497160822903,0.45067435467102435,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.025061109845334,1.5655670995492175,,
1702305000,20.965,21,20.81,20.91,1.0078427142879154,,21.457590561681382,22.415011764705895,22.415011764705895,21.2328601012235,21.40468346820881,0,0,0,0,-25,65.37916255354317,80.8274461778554,51.77409753133775,22883655,0.9717620673836582,-1258601.0249999934,21.9555,40.41866957006911,19.694113016506677,10.652979274964604,0.018658753693139074,0.35991856790269877,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.0406291058907136,1.5932010586841445,,
1702391400,20.965,20.975,20.78,20.84,0.9944707157282892,,21.398184982203613,22.32536470588236,22.32536470588236,21.118920189320264,21.40468346820881,0,0,0,0,-45,,,,12118699,0.9692383398545328,-1514837.375,21.882,40.42252170408386,19.69742684147763,10.653994565776005,0.002573160561947896,0.40204913207728793,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.9205507467395442,1.4093887144906059,,
1702477800,20.75,21.78,20.6123,21.77,0.9944707157282892,,21.407100775735117,22.305388235294114,23.20367569485311,21.036854461511673,21.40468346820881,0,0,0,0,10,,,,35068023,1.0129958631786873,35769383.459999986,22.8585,40.42968976935042,19.702356977923166,10.655883822684716,-0.001525696367780216,0.48959333313734765,0.008960000000000001,0.007168000000000001,0.005376000000000001,0.0035840000000000004,0.0017920000000000002,0,0.008960000000000001,1.9303479987914505,1.4265590866145843,,
1702564200,21.99,22.18,21.99,22.15,1.0556635159983025,,21.437655234341896,22.30423529411764,23.17081535389338,21.6928337274267,21.40468346820881,0,0,0,0,45,,,,21384058,1.03123207189564,3421449.280000003,23.2575,40.43816070753961,19.707551091197388,10.658116472347082,-0.0008048158506875902,0.36814613000502405,0.005,0.004,0.003,0.002,0.001,0,0.005,1.9925559007779319,1.522794230634922,,
1702650600,21.98,22.025,21.75,21.83,1.0556635159983025,,21.447615820894544,22.26915294117648,23.090690061458414,21.6928337274267,21.40468346820881,0,0,0,0,15,,,,13077984,1.0168653625962794,-1961697.6000000278,22.921499999999998,40.445508544398116,19.71219833535204,10.660053110900556,-0.0009162779273782506,0.420206413483671,0.005,0.004,0.003,0.002,0.001,0,0.005,2.002036814442971,1.5377629615455124,,
1702909800,21.88,21.88,21.66,21.8,1.0374259310429523,,21.451967063207984,22.244870588235326,23.037774113262667,21.6928337274267,21.40468346820881,0,0,0,0,10,53.10198411075418,66.11297549819984,53.095391340406955,12927446,1.015983931878863,-1034195.6799999779,22.89,40.45565823391633,19.718294039583768,10.662728222012202,-0.00027315930440763303,0.410162167665212,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.9177276569110255,1.4108220467483472,,
1702996200,21.91,22.13,21.89,22.03,1.0374259310429523,,21.46987078776639,22.246776470588234,23.02368215341008,21.73208743089172,21.40468346820881,0,0,0,0,10,,,,12752745,1.0271508457190637,1530329.4000000127,23.131500000000003,40.46368219880653,19.723354237914844,10.664843064796184,0.00646121178667558,0.4150389374999175,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.9730332725151685,1.4974794145135784,,
1703082600,22.26,22.31,22.04,22.04,1.0473711480858081,,21.48590080248015,22.241623529411772,22.997346256343395,21.9255097572566,21.40468346820881,0,0,0,0,25,,,,12523604,1.0280098220948983,-2755192.88000003,23.142,40.471725270168214,19.73055861164924,10.666962943392743,0.014496605316852706,0.41442772991153165,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.9502677997622002,1.4630323232357476,,
1703169000,22.28,22.42,22.195,22.31,1.0473711480858081,,21.51627636517463,22.260588235294126,23.004900105413622,21.9597011431096,21.40468346820881,0,0,0,0,25,,,,17063588,1.0405689645314944,511907.6399999588,23.4255,40.480679701691315,19.738209212776756,10.669323025365985,0.02468669455641881,0.4129231689805736,0.0347895,0.027831599999999998,0.0208737,0.013915799999999999,0.0069578999999999995,0,0.0347895,2.011579839961384,1.5591261982970452,,
1703255400,22.41,22.5252,22.05,22.12,1.049686037148954,,21.533197290797784,22.25098823529412,22.968779179790456,21.9597011431096,21.40468346820881,0,0,0,0,15,,,,17235831,1.0316760598556263,-4998390.989999985,23.226000000000003,40.48896631800766,19.744351719396462,10.671507094085134,0.02735529408169568,0.4279963514669234,0.013341500000000001,0.0106732,0.0080049,0.0053366,0.0026683,0,0.013341500000000001,2.019106942767134,1.5712759701584602,,
1703601000,22.21,22.22,22.04,22.2,1.049686037148954,,21.558896988506234,22.27531764705885,22.991738305611463,21.9597011431096,21.40468346820881,0,0,0,0,10,58.00915454291084,58.830100402402714,51.32009012854842,11861737,1.0353761024002306,-118617.37000001855,23.31,40.50193685815306,19.752779658187006,10.674925684969589,0.027947298439494395,0.3978100374625852,0.0186185,0.0148948,0.0111711,0.0074474,0.0037237,0,0.0186185,2.0027512521696025,1.550738903565919,,
1703687400,22.1,22.395,22.09,22.23,1.0539798970995784,,21.58252437579032,22.294635294117633,23.006746212444945,21.9597011431096,21.40468346820881,0,0,0,0,10,,,,13898442,1.0366442528994986,1806797.4599999862,23.3415,40.51058775666415,19.75965825614753,10.677205766019478,0.030772854197097077,0.42296525121286815,0.006093499999999997,0.004874799999999998,0.003656099999999998,0.002437399999999999,0.0012186999999999994,0,0.006093499999999997,1.9489396264596341,1.4685509120976763,,
