time,open,high,low,close,Risk Oscillator,SRI Bias Histogram,STH MVRV,MVRV SMA,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
941812200,138.625,139.10937,136.78125,137.875,0.03244950336655269,45,1.091679512233425,,128.60158788004952,131.98766524705886,135.3737426140682,134.31839024852218,133.49454318508478,0,0,0,0,,,,7431500,1.0338867582612712,-5573625,144.76875,163.86946222591598,145.85729398464352,122.20999135908603,0.02050148819702402,0.40382279029542495,0,0,0,0,0,0,0,,,,
942071400,137,138.375,136.75,138,0.03311960531752631,35,1.1012681473409975,,129.03049923792597,132.45294103529412,135.87538283266227,134.34698737362774,133.49454318508478,0,0,0,0,99.1063250058665,76.07210038258728,58.37556621560264,4649199,1.0344471945892912,4649199,144.9,164.13446994982002,146.08887729395917,122.4076278876282,0.023816862290026553,0.3821611348092863,0,0,0,0,0,0,0,,,,
942157800,138.5,138.6875,136.28125,136.70312,0.023227548862335443,15,1.1012681473409975,,129.03049923792597,132.45294103529412,135.87538283266227,134.34698737362774,133.49454318508478,0,0,0,0,,,,4533699,1.0243132390035197,-8146513.059119943,143.53827600000002,164.21330646297739,146.14989223455322,122.46642230521442,0.023118037400662095,0.41367127820744304,0,0,0,0,0,0,0,,,,
942244200,136.25,138.39062,136.07812,137.71875,0.030590922162059123,15,1.0968125771806272,,129.03049923792597,132.45294103529412,135.87538283266227,134.34698737362774,133.49454318508478,0,0,0,0,,,,6405602,1.031505712619601,9408227.9375,144.6046875,164.29581305650694,146.21416512741104,122.52795378243631,0.025055519469982412,0.40204395798231984,0,0,0,0,0,0,0,,,,
942330600,138.1875,138.5,137.46875,138.5,0.03606412962573639,35,1.0968125771806272,,129.31626040534138,132.8068197647059,136.2973791240704,135.16952442050297,133.49454318508478,0,0,0,0,,,,4794102,1.0370518573570018,1498156.875,145.425,164.3810635153409,146.28857502523186,122.59153156987722,0.028878255526455066,0.3852383324464872,0,0,0,0,0,0,0,,,,
942417000,139.25,139.98437,137.125,139.75,0.044889723882510314,15,1.1105930636432004,,129.31626040534138,132.8068197647059,136.2973791240704,135.16952442050297,133.49454318508478,0,0,0,0,,,,11802898,1.0460246504934112,5901449,146.7375,164.47078906795858,146.36696593099134,122.65844677702532,0.0330532359424931,0.449712358257198,0,0,0,0,0,0,0,,,,
942676200,139.84375,140.25,139.40625,140.07812,0.046713270242755296,40,1.1105930636432004,,129.31626040534138,132.8068197647059,136.2973791240704,137.17383452584184,133.49454318508478,0,0,0,0,100,93.4426599144936,60.926204487849965,2187500,1.0481302731129492,512684.3750000276,147.082026,164.74264386145586,146.5879251879075,122.86118968905384,0.03647995506243529,0.3912648556633151,0,0,0,0,0,0,0,,,,
942762600,140.5625,143,140.09375,141.25,0.0547175613172537,45,1.1201731932167278,,129.66852364675458,133.29922790588236,136.92993216501014,137.81208705971028,133.49454318508478,0,0,0,0,,,,7544801,1.0565720790654003,5187050.6875,148.3125,164.83701456620182,146.65091556947274,122.9315691414234,0.039720715177310906,0.4629666052865018,0,0,0,0,0,0,0,,,,
942849000,142.25,142.9375,141.3125,141.5625,0.056400233303019874,40,1.1201731932167278,,129.66852364675458,133.29922790588236,136.92993216501014,139.073277269731,133.49454318508478,0,0,0,0,,,,9458102,1.0585679935643895,-6502445.125,148.640625,164.93229610309874,146.7333022142091,123.00262787099194,0.04316654360232497,0.4213874660255017,0,0,0,0,0,0,0,,,,
942935400,142.4375,143,141.625,142.625,0.0636890875898962,40,1.128713411279382,,129.66852364675458,133.29922790588236,136.92993216501014,139.44304317903593,133.49454318508478,0,0,0,0,,,,4491000,1.0661884015638903,842062.5,149.75625,165.03124670967975,146.8189503081156,123.0764229064487,0.049148709682377945,0.44023252918241085,0,0,0,0,0,0,0,,,,
