time,open,high,low,close,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,Risk Oscillator,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1528119000,274.53,275.185,274.26,274.9,45,15,30,25,259.4581979791752,266.0017882352941,272.545378491413,271.4674320463221,270.2968401507773,0,0,0,0,271.3652358775729,274.93237647058857,278.49951706360423,273.7256697456265,271.46831360450904,0,0,0,0,269.1178759444969,273.7180705882351,278.31826523197327,272.9620673973657,274.52140062415907,0,0,0,0,271.33186945521715,272.7240117647057,274.1161540741943,273.7256697456265,271.46831360450904,0,0,0,0,0.015591865807396254,1.074861541527451,,75.42687789366663,67.77734221244846,60.15351375010665,45392351,1.0262163913800693,16795169.870000206,0.017738949358027778,0.3827450655724254,0,0,0,0,0,0,0,1.452608039915498,0.9474506736393999,,
1528205400,275.05,275.53,274.18,275.1,55,15,30,25,259.4581979791752,266.0017882352941,272.545378491413,271.50118690015626,270.2968401507773,0,0,0,0,271.7391112972437,275.2773882352944,278.81566517334505,274.02227818109225,271.491291204187,0,0,0,0,269.4255667495377,273.968047058823,278.5105273681083,273.23877239874895,274.52140062415907,0,0,0,0,271.942522258911,273.503188235294,275.0638542116769,274.02227818109225,271.491291204187,0,0,0,0,0.016293951665635065,1.074861541527451,,,,,51135038,1.0265182373367103,2556751.9000005815,0.018545968919099876,0.4016869181924907,0,0,0,0,0,0,0,1.4119507588340825,0.8608980880023974,,
1528291800,275.79,277.52,275.09,277.4,80,15,40,40,260.18281078020436,266.75039999999996,273.31798921979555,272.41967355014503,270.2968401507773,0,0,0,0,272.23602045002144,275.69072941176466,279.1454383735079,275.99997129139354,272.41977040388787,0,0,0,0,269.9049497791211,274.63889411764717,279.3728384561732,274.74628844586005,274.52140062415907,0,0,0,0,272.69849488860376,274.6073058823531,276.51611687610244,275.99997129139354,272.41977040388787,0,0,0,0,0.02474231831141262,1.0835855575688689,,,,,62732215,1.034570292527117,100998866.1499973,0.020912250855548598,0.42098215259099164,0,0,0,0,0,0,0,1.4359277431319044,0.9095212184061338,,
1528378200,277.95,278.28,276.34,277.37,80,15,60,35,260.18281078020436,266.75039999999996,273.31798921979555,273.72183972513466,270.2968401507773,0,0,0,0,272.70047560188533,276.0315529411768,279.3626302804683,276.12688593433705,273.72192966075306,0,0,0,0,270.2901723378889,275.09809411764644,279.90601589740396,275.26262498544145,274.52140062415907,0,0,0,0,273.547861531786,275.7533882352946,277.9589149388032,276.12688593433705,273.72192966075306,0,0,0,0,0.0246523138257677,1.0835855575688689,,,,,72969402,1.0339406931906046,-42322253.15999884,0.02490997210716772,0.39628089788011245,0,0,0,0,0,0,0,1.4407832906958886,0.9185181464950848,,
1528464600,276.85,278.25,276.66,278.19,80,30,40,35,260.99801656441247,267.59134117647045,274.18466578852843,274.1259940304823,270.2968401507773,0,0,0,0,273.2640999078825,276.2511999999999,279.23830009211736,277.08774961397853,274.1153632564136,0,0,0,0,270.6876527014539,275.5507058823529,280.41375906325186,276.0279289697576,274.52140062415907,0,0,0,0,274.57262567480194,277.0868352941177,279.60104491343344,277.08774961397853,274.1153632564136,0,0,0,0,0.027635219972448916,1.0855454457112095,,,,,72139719,1.0364265805466624,96667223.45999819,0.027405897051747674,0.3965244595144531,0,0,0,0,0,0,0,1.4465079564451866,0.9291832504979141,,
1528723800,278.44,279.37,278.31,278.56,70,15,40,60,260.99801656441247,267.59134117647045,274.18466578852843,275.8641373140192,270.2968401507773,0,0,0,0,273.77930201833925,276.7423647058824,279.7054273934255,278.09734908961764,275.86283730952687,0,0,0,0,271.1190584928654,276.12164705882327,281.12423562478114,277.06617344841345,274.52140062415907,0,0,0,0,275.54402699958047,278.37047058823526,281.19691417689006,278.09734908961764,275.86283730952687,0,0,0,0,0.029041915282837717,1.0855454457112095,,84.99107324879559,74.9357693911003,58.93559746643451,58892515,1.0372331353043376,7067101.800000268,0.03096272150130397,0.39824559072723986,0,0,0,0,0,0,0,1.2793447310868906,0.578888270593015,,
1528810200,279.03,279.33,278.19,278.92,40,40,25,20,261.98516460286055,268.5728941176469,275.16062363243327,275.8641373140192,270.2968401507773,0,0,0,0,274.2581315205255,277.23372941176484,280.20932730300416,278.09734908961764,275.86283730952687,0,0,0,0,271.5231665692825,276.4570823529409,281.3909981365993,277.24037534495534,274.52140062415907,0,0,0,0,276.440708611889,279.48329411764684,282.52587962340465,278.09734908961764,275.86283730952687,0,0,0,0,0.030380182654945614,1.0871572033349548,,,,,72329028,1.0380447035891933,-7956193.0799968755,0.03327857626781361,0.39934775305670644,0,0,0,0,0,0,0,1.2988670337244446,0.6178040103815222,,
1528896600,279.19,279.48,277.8,278.03,55,25,25,10,261.98516460286055,268.5728941176469,275.16062363243327,275.8641373140192,270.2968401507773,0,0,0,0,274.6640845708331,277.4944588235292,280.32483307622533,278.2835763335096,275.86283730952687,0,0,0,0,271.86944444359017,276.80494117647055,281.74043790935093,277.6584869045788,274.52140062415907,0,0,0,0,277.1389114852988,280.2903529411766,283.44179439705437,278.2835763335096,275.86283730952687,0,0,0,0,0.02718267544086372,1.0871572033349548,,,,,79070610,1.0342040044262735,-91721907.60000198,0.03441966384584272,0.40685505555270884,0,0,0,0,0,0,0,1.2460830573684345,0.5074331437372528,,
1528983000,279.01,279.33,278.0599,278.73,15,25,15,15,263.2170775820329,269.6822117647059,276.14734594737894,275.8641373140192,270.2968401507773,0,0,0,0,275.0619038641167,277.92463529411765,280.7873667241186,278.2835763335096,275.86283730952687,0,0,0,0,272.25470386321274,277.2781411764702,282.3015784897277,277.6584869045788,274.52140062415907,0,0,0,0,277.6027583551248,280.56352941176453,283.52430046840425,278.2835763335096,275.86283730952687,0,0,0,0,0.029919507169861498,1.0851968094525806,,,,,77097620,1.036271163755608,-21587333.599997897,0.035812939048542436,0.395343525905098,0,0,0,0,0,0,0,1.2105152875760128,0.4323307536344408,,
1529069400,276.6,277.51,275.35,277.13,-20,-5,-5,10,263.2170775820329,269.6822117647059,276.14734594737894,275.8641373140192,270.2968401507773,0,0,0,0,275.3001847413127,278.1814117647059,281.0626387880991,277.5502039643402,275.86283730952687,0,0,0,0,272.5867794403984,277.67461176470596,282.7624440890135,277.6584869045788,274.52140062415907,0,0,0,0,277.4163792874395,279.8499764705881,279.8499764705881,277.5502039643402,275.86283730952687,0,0,0,0,0.024240569580205398,1.0851968094525806,,,,,120143175,1.0298374921872429,63675882.74999672,0.035136824714274706,0.41451542336453406,0,0,0,0,0,0,0,1.266178709641084,0.5459292953723527,,
