time,open,high,low,close,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1755178200,642.79,645.54,642.34,645.01,1,20.43092237226762,7.366538462907404,0,0,0,0,0,0,,3.5998886593330885,1.172695317569997,3.7139221608725848,2.5412268433025877,0.06782037798502318,633.2987673673425,,4572517,303167813,68.73496187964683,20.43092237226762,-40,-60,10,30,50,,,,,,,,,,,639.1393506745643,607.2330233817078,0,0,0,0,0,0,0,0,0,0,639.1393506745643,607.2330233817078,10,20,20,-0.3735379173058969,-0.3073709314699489,0,0,0.08751847989902652,1.5,0.048120144806659326,-0.06347775777154557,0,0,0,0,-0.7610563972049234,,,,,0,0,0,607.8582231011467,645.6242352941179,683.390247487089,636.9837065325496,593.2795409555021,0,0,0,0,633.0295833910587,639.1811058823528,645.3326283736468,641.6238128563723,636.9781992127126,0,0,0,0,627.9310895016966,642.8313647058826,657.7316399100686,639.1393506745643,607.2330233817078,0,0,0,0,1.1148569476784589,,,,67.94663367636022,0.5378653822546294
1755192600,645.01,645.62,643.92,644.94,1,20.471571933933646,7.366538462907404,0,0,0,0,0,0,,3.464182326523585,1.069829759834506,3.87851404309572,2.808684283261214,0.1145348249840651,634.6828906306082,,3088175,300079638,68.54580208391963,20.471571933933646,-40,-60,10,30,50,,,,,,,,,,,640.4558176734764,607.2330233817078,0,0,0,0,0,0,0,0,0,0,640.4558176734764,607.2330233817078,40,25,20,0.046903894288795,-0.29506532788445133,0.38244464884624635,0,0.10705723726922568,1.5,0.4204418115946919,0.30406710571740225,0,1,0,0,-0.24015334298043067,,,,,0,1,0,610.6536265755889,649.0848705882356,687.5161146008824,636.9837065325496,593.2795409555021,0,0,0,0,633.6055771496794,639.9663764705882,646.327175791497,642.6609597300826,636.9781992127126,0,0,0,0,628.9588852965003,643.9225882352941,658.886291174088,640.4558176734764,607.2330233817078,0,0,0,0,1.1173330314055556,,,,,0.5258011037787012
1755264600,645.99,646.09,642.52,644.16,1,20.471571933933646,7.366538462907404,0,0,0,0,0,0,,3.4717407317719045,0.8738893610048541,3.901045984517282,3.0271566235124276,0.1960721066682142,634.6828906306082,,5602855,294476783,66.35449748211511,20.471571933933646,-40,-60,10,30,50,,,,,,,,,,,640.4558176734764,607.2330233817078,0,0,0,0,0,0,0,0,0,0,640.4558176734764,607.2330233817078,20,20,20,-0.01813553772754843,-0.3384249492286803,0.38244464884624635,0,0.10705723726922568,1.5,-0.06503943201634343,0.21267865327052388,0,0,0,0,-0.4251927749967741,,,,,0,0,0,610.6536265755889,649.0848705882356,687.5161146008824,636.9837065325496,593.2795409555021,0,0,0,0,634.1090073651081,640.5890352941174,647.0690632231266,642.6609597300826,636.9781992127126,0,0,0,0,628.9588852965003,643.9225882352941,658.886291174088,640.4558176734764,607.2330233817078,0,0,0,0,1.1173330314055556,,,,65.50661090850168,0.5403305717030187
1755279000,644.16,644.88,643.13,643.45,1,18.77888305257376,6.246048205666408,0,0,0,0,0,0,,3.348759250931054,0.6323584402633609,3.817604673841629,3.185246233578268,0.1607713289461708,634.6828906306082,,4224891,290251892,64.33826925121065,18.77888305257376,-40,-60,10,30,50,,,,,,,,,,,640.4558176734764,616.335893720704,0,0,0,0,0,0,0,0,0,0,640.4558176734764,616.335893720704,45,20,65,-0.6630697911457943,-0.6273724733399093,0.21544047366204663,0,0.06254844520202293,1.5,-0.644934253418246,-0.38638321029970213,0,0,0,0,-0.9056182363478174,,,,,0,0,0,610.6536265755889,649.0848705882356,687.5161146008824,637.1358490000046,599.6795737443948,0,0,0,0,634.5494950843766,641.0765882352937,647.6036813862107,642.6609597300826,637.1260646272881,0,0,0,0,629.8642636162425,644.7752000000003,659.686136383758,640.4558176734764,616.335893720704,0,0,0,0,1.1173330314055556,,,,,0.5231864701770712
1755523800,642.86,643.93,642.17,643.16,1,18.77888305257376,6.246048205666408,0,0,0,0,0,0,,3.235276447293121,0.40027585960405165,3.6855910580833324,3.2853151984792808,0.10388663265649307,634.6828906306082,,4044307,286207585,63.48968140533155,18.77888305257376,-40,-60,10,30,50,,,,,,,,,,,640.4558176734764,616.335893720704,0,0,0,0,0,0,0,0,0,0,640.4558176734764,616.335893720704,25,-10,35,-0.9343278724351343,-0.7912951869325334,0.14836749929362764,0,0.10424740867003823,1.5,-0.2712580812893399,-0.5126698103225782,0,0,0,0,-1.3385752811051725,,,,,1,0,0,610.6536265755889,649.0848705882356,687.5161146008824,637.1358490000046,599.6795737443948,0,0,0,0,634.9671417272561,641.5389411764712,648.1107406256863,642.6609597300826,637.1260646272881,0,0,0,0,629.8642636162425,644.7752000000003,659.686136383758,640.4558176734764,616.335893720704,0,0,0,0,1.1173330314055556,,90.48111747568855,83.93062582431016,65.27256965482263,0.5295977306740703
1755538200,643.16,643.95,642.44,643.27,1,18.77888305257376,6.246048205666408,0,0,0,0,0,0,,3.1120424153436117,0.2108962237155092,3.548935478123667,3.338039254408158,0.0653669440381011,634.6828906306082,,2962245,289169830,63.685335454676945,18.77888305257376,-40,-60,10,30,50,,,,,,,,,,,640.4558176734764,616.335893720704,0,0,0,0,0,0,0,0,0,0,640.4558176734764,616.335893720704,45,35,40,-1.0266768932902028,-0.8293219647680177,0.11305864519178532,0,0.10424740867003823,1.5,-0.09234902085506858,-0.6531389759843061,0,0,0,0,-1.310924301960241,,,,,0,0,0,613.5871070597794,652.6860705882356,691.7850341166917,637.1358490000046,599.6795737443948,0,0,0,0,635.367530122525,641.9660235294117,648.5645169362984,642.6609597300826,637.1260646272881,0,0,0,0,630.7042914701881,645.3899529411768,660.0756144121656,640.4558176734764,616.335893720704,0,0,0,0,1.1130818810052878,,,,,0.5274214536210671
1755610200,643.12,644.105,638.81,639.72,1,18.77888305257376,6.246048205666408,0,0,0,0,0,0,,3.2679679571047875,-0.1758437649624276,3.1182345482051232,3.294078313167551,0.017465945581767305,634.6828906306082,,7614646,281555184,53.68632067299734,18.77888305257376,-40,-60,10,30,50,,,,,,,,,,,640.4558176734764,616.335893720704,0,0,0,0,0,0,0,0,0,0,640.4558176734764,616.335893720704,15,15,35,-1.3957525913299618,-1,0,0,0.10424740867003823,1.5,-0.3690756980397589,-1.442656485618757,1,0,0,0,-1.8,,,,,1,0,1,613.5871070597794,652.6860705882356,691.7850341166917,637.1358490000046,599.6795737443948,0,0,0,0,635.5417460643488,642.0401647058824,648.538583347416,642.6609597300826,637.1260646272881,0,0,0,0,630.7042914701881,645.3899529411768,660.0756144121656,640.4558176734764,616.335893720704,0,0,0,0,1.1130818810052878,,,,59.5598494883457,0.5452758196670465
1755624600,639.71,640.11,638.48,639.745,1,18.77888305257376,6.246048205666408,0,0,0,0,0,0,,3.1509702458830167,-0.43746291834120665,2.7472496652410427,3.1847125835822494,0.08053512099837531,634.6828906306082,,4589742,286144926,53.74140227617705,18.77888305257376,-40,-60,10,30,50,,,,,,,,,,,640.4558176734764,616.335893720704,0,0,0,0,0,0,0,0,0,0,640.4558176734764,616.335893720704,20,20,35,-1.6854473875747724,-1,-0.23920085065082686,0,0.053753463076054504,1.5,-0.28969479624481065,-1.6673118498472241,1,0,1,0,-2.039200850650827,,,,,0,0,0,613.5871070597794,652.6860705882356,691.7850341166917,637.1358490000046,599.6795737443948,0,0,0,0,635.6901156614921,642.0089294117647,648.3277431620373,641.8826941258624,637.1260646272881,0,0,0,0,631.3364053269767,645.8590823529413,660.3817593789059,640.4558176734764,616.335893720704,0,0,0,0,1.1130818810052878,,,,,0.5093971662387027
1755696600,639.4,639.66,632.94,636.55,1,18.77888305257376,6.246048205666408,0,0,0,0,0,0,,3.4119723711770833,-0.8114400588350543,2.1704125100384317,2.981852568873486,0.047067988088367686,634.6828906306082,,10872260,275272666,46.18202834644759,18.77888305257376,-40,-60,10,30,50,,,,,,,,,,,640.4558176734764,616.335893720704,0,0,0,0,0,0,0,0,0,0,640.4558176734764,616.335893720704,-10,15,10,-1.7087717670299973,-1,-0.23920085065082686,0,0.030429083620829724,1.5,-0.02332437945522492,-1.0457019758842032,0,0,0,0,-2.039200850650827,,,,,0,0,0,613.5871070597794,652.6860705882356,691.7850341166917,637.1358490000046,599.6795737443948,0,0,0,0,635.6112182159912,641.7273176470594,641.7273176470594,639.8187260575039,637.1260646272881,0,0,0,0,631.3364053269767,645.8590823529413,660.3817593789059,640.4558176734764,616.335893720704,0,0,0,0,1.1130818810052878,,,,56.94540684526192,0.5431181802397725
1755711000,636.55,639.06,635.22,638.04,1,18.01642606168169,6.246048205666408,0,0,0,0,0,0,,3.442545773235857,-0.9354013182267473,1.812600921090052,2.7480022393167993,0.07327434753040035,634.6828906306082,,5399765,280672431,49.73309687424397,18.01642606168169,-40,-60,10,30,50,,,,,,,,,,,640.4558176734764,616.335893720704,0,0,0,0,0,0,0,0,0,0,640.4558176734764,616.335893720704,-5,20,10,-1.6884857112827774,-1,-0.23920085065082686,0,0.05071513936804954,1.5,0.020286055747219978,-0.7541578388476433,0,0,0,0,-1.919200850650827,,,,,0,0,0,615.8963133240959,655.3894588235296,694.8826043229633,637.1358490000046,599.6795737443948,0,0,0,0,635.6257018184543,641.5737294117649,641.5737294117649,639.8187260575039,637.1260646272881,0,0,0,0,631.8286807461427,646.1221176470597,660.4155545479766,640.4558176734764,616.335893720704,0,0,0,0,1.102721252940984,,,,,0.509989363721325
