time,open,high,low,close,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1750771800,604.33,607.18,603.41,606.33,598.9549652575176,573.159083784465,0,0,0,0,0,0,0,0,0,0,0,0,598.9549652575176,573.159083784465,598.9549652575176,,0,0,0,0,598.9549652575176,0,598.9549652575176,0,1,17.08222500124888,2.3160239633364132,0,0,0,0,0,0,4.45503474248237,17.08222500124888,-40,-60,10,30,50,,,,,,,,,,,-10,-10,15,0.20560384132430934,0.009742671904924604,0,0,0.1962807102660978,0.9569378040431599,0.09238627985822341,-0.03779890338581124,0,0,0,0,-0.29067686894178846,,,,,0,1,0,541.623394000881,569.6435529411767,597.6637118814724,592.8787929028143,579.4583975578103,0,0,0,0,596.0360534933413,602.5298352941179,609.0236170948945,602.5289636635515,592.8321703744114,0,0,0,0,588.1386506970352,614.2489647058824,640.3592787147295,598.9549652575176,573.159083784465,0,0,0,0,1.0550543726386423,,,,63.429581249083455,0.48209611621890525
1750786200,606.34,607.84,606.33,606.76,602.0853248819807,573.159083784465,0,0,0,0,0,0,0,0,0,0,0,0,602.0853248819807,573.159083784465,602.0853248819807,,0,0,0,0,602.0853248819807,0,602.0853248819807,0,1,17.823446879135872,2.891350613152646,0,0,0,0,0,0,4.244675118019343,17.823446879135872,-40,-60,10,30,50,,,,,,,,,,,-5,20,40,0.11422834060524402,0.022066348964108872,0,0,0.09285381046882966,0.9686482422253104,-0.09137550071906532,-0.04708711078009388,0,0,0,0,-0.2786254698635856,,,,,0,0,0,545.129060771231,573.2549176470588,601.3807745228867,596.2125714885625,579.4583975578103,0,0,0,0,596.7318409373743,603.4368729411772,610.1419049449801,603.8822186690827,596.1934912469995,0,0,0,0,589.325437347145,614.8973647058824,640.4692920646198,602.0853248819807,573.159083784465,0,0,0,0,1.0762155884645892,,,,,0.4700456711105117
1750858200,607.91,608.48,606.27,607.015,602.170658818982,573.159083784465,0,0,0,0,0,0,0,0,0,0,0,0,602.170658818982,573.159083784465,602.170658818982,,0,0,0,0,602.170658818982,0,602.170658818982,0,1,17.826238444975168,2.891350613152646,0,0,0,0,0,0,4.099341181017964,17.826238444975168,-40,-60,10,30,50,,,,,,,,,,,-10,0,25,0.1616462084053982,0.0030659903682113587,0,0,0.15862055360006633,0.9868441977842815,0.04741786780015418,0.028588362279823615,0,0,0,0,-0.29697434519466814,,,,,0,0,0,545.129060771231,573.2549176470588,601.3807745228867,596.2125714885625,579.4583975578103,0,0,0,0,597.4555735558503,604.3663694117649,611.2771652676796,604.0742030498625,596.1934912469995,0,0,0,0,589.325437347145,614.8973647058824,640.4692920646198,602.170658818982,573.159083784465,0,0,0,0,1.0762155884645892,,,,63.65494995644311,0.49043691767378605
1750872600,607.03,607.37,605.54,607.08,602.170658818982,573.159083784465,0,0,0,0,0,0,0,0,0,0,0,0,602.170658818982,573.159083784465,602.170658818982,,0,0,0,0,602.170658818982,0,602.170658818982,0,1,18.35131972060903,3.311415633659736,0,0,0,0,0,0,3.9372453823738267,18.35131972060903,-40,-60,10,30,50,,,,,,,,,,,-5,20,40,0.024049581123542753,-0.042260257825349444,0,0,0.06560531954400844,0.9833290320235304,-0.13759662728185545,-0.11025385186656064,0,0,0,0,-0.15626928255874015,,,,,0,1,0,545.129060771231,573.2549176470588,601.3807745228867,598.6466735250938,579.4583975578103,0,0,0,0,598.161982548128,605.2664541176468,612.3709256871657,604.0742030498625,598.6196704436425,0,0,0,0,590.4786522980277,615.7531529411765,641.0276535843253,602.170658818982,573.159083784465,0,0,0,0,1.0762155884645892,,,,,0.4857241440976068
1750944600,608.99,611.26,608.37,611.19,604.4154150020814,573.159083784465,0,0,0,0,0,0,0,0,0,0,0,0,604.4154150020814,573.159083784465,604.4154150020814,,0,0,0,0,604.4154150020814,0,604.4154150020814,0,1,18.424753396570697,3.311415633659736,0,0,0,0,0,0,3.9545849979185497,18.424753396570697,-40,-60,10,30,50,,,,,,,,,,,-10,0,25,0.1156466403243144,-0.062453641569738434,0,0,0.17491008234649477,0.9489189186190888,0.09159705920077166,0.0024290788582285866,0,0,0,0,-0.25045268225263784,,,,,0,1,0,545.129060771231,573.2549176470588,601.3807745228867,598.6466735250938,579.4583975578103,0,0,0,0,598.9713836532043,606.3982800000003,613.8251763467964,607.3450550979366,598.6196704436425,0,0,0,0,590.4786522980277,615.7531529411765,641.0276535843253,604.4154150020814,573.159083784465,0,0,0,0,1.0762155884645892,,,,66.738850156806,0.49430889885456325
1750959000,611.2,612.305,611.1,611.89,607.3418139305043,573.159083784465,0,0,0,0,0,0,0,0,0,0,0,0,607.3418139305043,573.159083784465,607.3418139305043,,0,0,0,0,607.3418139305043,0,607.3418139305043,0,1,19.156676176800406,3.8203678188741748,0,0,0,0,0,0,3.758186069495791,19.156676176800406,-40,-60,10,30,50,,,,,,,,,,,20,60,45,-0.03165636322292298,-0.1306670838367454,0,0,0.08821263303119829,0.9173618384556955,-0.14730300354723738,-0.23726020454723223,0,0,0,0,-0.22847889391604903,,,,,0,0,0,548.8948079058395,577.2502117647061,605.6056156235728,601.5958397018728,579.4583975578103,0,0,0,0,599.775026470391,607.5171411764704,615.2592558825498,608.9435934262821,601.5732654119537,0,0,0,0,591.8340603444524,617.0127764705878,642.1914925967233,607.3418139305043,573.159083784465,0,0,0,0,1.0841305622650175,,,,,0.4788914101185688
1751031000,612.9,616.39,612.7,615.4,608.8888272211825,573.159083784465,0,0,0,0,0,0,0,0,0,0,0,0,608.8888272211825,573.159083784465,608.8888272211825,,0,0,0,0,608.8888272211825,0,608.8888272211825,0,1,19.20728428896482,3.8203678188741748,0,0,0,0,0,0,3.8111727788175207,19.20728428896482,-40,-60,10,30,50,,,,,,,,,,,0,15,25,0.2157889690780266,-0.013168336697285886,0,0,0.22725383691937395,0.8706390263935431,0.2474453323009496,0.10156062847278269,0,0,0,0,-0.011464867841347348,,,,,0,1,0,548.8948079058395,577.2502117647061,605.6056156235728,601.5958397018728,579.4583975578103,0,0,0,0,600.5266170614624,608.5388729411761,616.5511288208899,612.9657514747023,601.5732654119537,0,0,0,0,591.8340603444524,617.0127764705878,642.1914925967233,608.8888272211825,573.159083784465,0,0,0,0,1.0841305622650175,,,,68.57654595385557,0.5039390131970419
1751045400,615.4,615.58,610.83,614.85,608.8888272211825,573.159083784465,0,0,0,0,0,0,0,0,0,0,0,0,608.8888272211825,573.159083784465,608.8888272211825,,0,0,0,0,608.8888272211825,0,608.8888272211825,0,1,19.756660600170665,4.259868867838851,0,0,0,0,0,0,3.8782318660448403,19.756660600170665,-40,-60,10,30,50,,,,,,,,,,,5,45,40,0.07462274713874027,-0.035758443159191154,0,0,0.10540570696639452,0.8608585024413169,-0.14116622193928635,-0.08702346126665784,0,0,0,0,-0.03078295982765425,,,,,0,0,0,548.8948079058395,577.2502117647061,605.6056156235728,604.1425654374533,579.4583975578103,0,0,0,0,601.2300970679174,609.3768635294117,617.523629990906,612.9657514747023,604.1216035968142,0,0,0,0,593.2457160930783,618.2768705882356,643.308025083393,608.8888272211825,573.159083784465,0,0,0,0,1.0841305622650175,,,,,0.4923100482725781
1751290200,617.39,617.46,615.69,616.51,611.902356124387,573.159083784465,0,0,0,0,0,0,0,0,0,0,0,0,611.902356124387,573.159083784465,611.902356124387,,0,0,0,0,611.902356124387,0,611.902356124387,0,1,19.855243469279188,4.259868867838851,0,0,0,0,0,0,3.787643875613067,19.855243469279188,-40,-60,10,30,50,,,,,,,,,,,0,15,25,0.8722198038229284,0.550817414463158,0,0,0.19039204605676877,1.2378471338468628,0.7975970566841881,0.8481702226993857,0,0,0,0,0.7086755484629466,,,,,0,0,0,548.8948079058395,577.2502117647061,605.6056156235728,604.1425654374533,579.4583975578103,0,0,0,0,601.9779398927094,610.3363600000005,618.6947801072915,613.7065992781387,604.1216035968142,0,0,0,0,593.2457160930783,618.2768705882356,643.308025083393,611.902356124387,573.159083784465,0,0,0,0,1.0841305622650175,,98.22097666124434,97.712011962869,70.28636659032219,0.4745728675248204
1751304600,616.5,619.22,615.05,617.9,611.902356124387,573.159083784465,0,0,0,0,0,0,0,0,0,0,0,0,611.902356124387,573.159083784465,611.902356124387,,0,0,0,0,611.902356124387,0,611.902356124387,0,1,20.80128443155213,5.0167016376572064,0,0,0,0,0,0,3.8149550273549964,20.80128443155213,-40,-60,10,30,50,,,,,,,,,,,20,45,40,1.375346168663242,1,0,0,0.07680523138989624,1.2985409372733459,0.5031263648403136,1.2596995283389276,0,0,0,0,1.564100010622266,,,,,0,0,0,552.93565070989,581.6845882352942,610.4335257606984,608.5280964776351,579.4583975578103,0,0,0,0,602.743661102783,611.2636682352945,619.783675367806,614.994057540844,608.5029176256131,0,0,0,0,594.7196185612316,619.1093647058824,643.4991108505332,611.902356124387,573.159083784465,0,0,0,0,1.0934956211875646,,,,,0.5046777537574031
