time,open,high,low,close,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1753882200,93.5,95,93.3,94.74,4,,,,,,,,500830,,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,1,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.3027657075859667,,7,
1753896600,94.74,95,94.36,94.38,4,,,,,,,,107761,-107761,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.3027657075859667,,7,
1753968600,95,95.94,94.5,95.75,4,,,,,,,,138927,31166,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,,-0.003347000000000002,-0.0026776000000000013,-0.0020082000000000008,-0.0013388000000000007,-0.0006694000000000003,-0.003347000000000002,0,2.2975142698504802,1339.9740772871316,7,
1753983000,95.84,95.9,94,94.46,4,,,,,,,,153055,-121889,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,,-0.003347000000000002,-0.0026776000000000013,-0.0020082000000000008,-0.0013388000000000007,-0.0006694000000000003,-0.003347000000000002,0,2.2975142698504802,1263.3396752432275,7,
1754055000,94.99,95.25,93.6,93.73,3.5,,,,,,,,268170,-390059,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,,0.0003039999999999998,0.00024319999999999984,0.00018239999999999988,0.00012159999999999992,0.00006079999999999996,0,0.0003039999999999998,2.2560652098892118,76.02341119979177,7,
1754069400,93.88,94.38,93.73,94.38,3.5,,,,,,,,82141,-307918,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,,0.0003039999999999998,0.00024319999999999984,0.00018239999999999988,0.00012159999999999992,0.00006079999999999996,0,0.0003039999999999998,2.2560652098892118,64.54788062527192,7,
1754314200,95.9,95.9,95.15,95.31,3.5,,,,,,,,83988,-223930,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,,0.0003550000000000005,0.0002840000000000004,0.0002130000000000003,0.0001420000000000002,0.0000710000000000001,0,0.0003550000000000005,2.2243253082408296,45.88355394771114,7,
1754328600,95.32,96.39,95.32,96.39,3.5,,,,,,,,33057,-190873,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,15,0,0,0,,,,,,0,0,0,0,,,,94.90477040816326,,0,0,0,0,,,,,,0,0,0,0,,,,94.90477040816326,,0,0,0,0,,,,,,,0.0003550000000000005,0.0002840000000000004,0.0002130000000000003,0.0001420000000000002,0.0000710000000000001,0,0.0003550000000000005,2.2243253082408296,41.32386062121611,7,
1754400600,96.815,97.15,96.02,96.45,3.5,,,,,,,,80107,-110766,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,15,0,0,0,,,,,,0,0,0,0,,,,95.4858582361516,,0,0,0,0,,,,,,0,0,0,0,,,,95.4858582361516,,0,0,0,0,,,,,,,0.0020255000000000004,0.0016204000000000001,0.0012153,0.0008102000000000001,0.00040510000000000003,0,0.0020255000000000004,2.238070877126388,42.47682232505729,7,
1754415000,96.45,96.65,96.2,96.43,3.5,,,,,,,100.10900000000002,25374,-136140,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,15,0,0,0,,,,,,0,0,0,0,,,,95.61803591283713,,0,0,0,0,,,,,,0,0,0,0,,,,95.61803591283713,,0,0,0,0,,,,,,,0.0020255000000000004,0.0016204000000000001,0.0012153,0.0008102000000000001,0.00040510000000000003,0,0.0020255000000000004,2.238070877126388,43.35831703939614,7,
1754487000,96.95,97.3,96.94,97.07,3.5,,,,,,,100.10900000000002,70272,-65868,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,15,0,0,0,,,,,,0,0,0,0,,,,96.1793779044361,,0,0,0,0,,,,,,0,0,0,0,,,,96.1793779044361,,0,0,0,0,,,,,,,-0.004123000000000001,-0.003298400000000001,-0.002473800000000001,-0.0016492000000000004,-0.0008246000000000002,-0.004123000000000001,0,2.2184474012655206,41.35185972373372,7,
1754501400,97.05,97.27,96.85,96.99,4,,,,,,,100.10900000000002,27592,-93460,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,15,0,0,0,,,,,,0,0,0,0,,,,96.22135135637603,,0,0,0,0,,,,,,0,0,0,0,,,,96.22135135637603,,0,0,0,0,,,,,,,-0.004123000000000001,-0.003298400000000001,-0.002473800000000001,-0.0016492000000000004,-0.0008246000000000002,-0.004123000000000001,0,2.2184474012655206,40.75845190417918,7,
1754573400,97.49,97.75,97.45,97.53,3.5,,,,,,,100.10900000000002,71590,-21870,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,15,0,0,0,,,,,,0,0,0,0,,,,96.84642030218136,,0,0,0,0,,,,,,0,0,0,0,,,,96.84642030218136,,0,0,0,0,,,,,,,0.0018870000000000015,0.0015096000000000011,0.0011322000000000007,0.0007548000000000006,0.0003774000000000003,0,0.0018870000000000015,2.2349278034224502,42.582022139289165,7,
1754587800,97.53,97.66,97.3,97.54,3.5,1.0492857142857162,,,,,,100.10900000000002,39249,17379,,-15,-40,-60,10,30,50,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,0,0,0,0,,,,96.84642030218136,,0,0,0,0,,,,0,,0,0,0,0,,,,96.84642030218136,,0,0,0,0,,,,,,,0.0018870000000000015,0.0015096000000000011,0.0011322000000000007,0.0007548000000000006,0.0003774000000000003,0,0.0018870000000000015,2.2349278034224502,43.815505051049264,7,
1754659800,97.8,97.82,97.4,97.5,3.5,1.0043367346938783,,,,,,100.10900000000002,59962,-42583,67.69230769230774,-15,-40,-60,10,30,50,,,,,,,,,,,96.39566326530613,,0,0,0,0,0,0,0,0,0,0,96.39566326530613,,15,0,0,0,,,,,,0,0,0,0,,,,96.8779146774938,,0,0,0,0,,,,96.39566326530613,,0,0,0,0,,,,96.8779146774938,,0,0,0,0,,,,,,,0.0024769999999999996,0.0019815999999999996,0.0014861999999999996,0.0009907999999999998,0.0004953999999999999,0,0.0024769999999999996,2.2790138431499343,44.84757213171814,7,
1754674200,97.49,97.59,97.47,97.48,3.5,0.9411698250728874,,,,,,100.10900000000002,18780,-61363,67.50590086546035,-15,-40,-60,10,30,50,,,,,,,,,,,96.52883017492711,,0,0,0,0,0,0,0,0,0,0,96.52883017492711,,15,0,0,0,,,,,,0,0,0,0,,,,96.97355908416559,,0,0,0,0,,,,96.52883017492711,,0,0,0,0,,,,96.97355908416559,,0,0,0,0,,,,,,,0.0024769999999999996,0.0019815999999999996,0.0014861999999999996,0.0009907999999999998,0.0004953999999999999,0,0.0024769999999999996,2.2790138431499343,44.570358393287826,7,
1754919000,98.27,98.3,97.89,98.1,3.5,0.9325148375676806,,,,,,100.10900000000002,62823,1460,70.24165835273254,-15,-40,-60,10,30,50,,,,,,,,,,,96.95748516243232,,0,0,0,0,0,0,0,0,0,0,96.95748516243232,,15,0,0,0,,,,,,0,0,0,0,,,,97.54306880216318,,0,0,0,0,,,,96.95748516243232,,0,0,0,0,,,,97.54306880216318,,0,0,0,0,,,,,,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.309183317641044,41.28410679701552,7,
1754933400,98.14,98.26,98.01,98.15,3.5,0.8837637777414178,,,,,,100.10900000000002,16343,17803,70.45767181210618,-15,-40,-60,10,30,50,,,,,,,,,,,97.12623622225858,,0,0,0,0,0,0,0,0,0,0,97.12623622225858,,15,0,0,0,,,,,,0,0,0,0,,,,97.6463195283958,,0,0,0,0,,,,97.12623622225858,,0,0,0,0,,,,97.6463195283958,,0,0,0,0,,,,,,,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.309183317641044,38.67373312150202,7,
1755005400,98.43,98.44,97.28,97.8,4,0.9034949364741733,,,,,,100.10900000000002,70854,-53051,66.80218295439707,-15,-40,-60,10,30,50,,,,,,,,,,,97.12623622225858,,0,0,0,0,0,0,0,0,0,0,97.12623622225858,,0,0,0,0,,,,,,0,0,0,0,,,,97.6463195283958,,0,0,0,0,,,,97.12623622225858,,0,0,0,0,,,,97.6463195283958,,0,0,0,0,,,,,,,0.0036125,0.0028899999999999998,0.0021674999999999997,0.0014449999999999999,0.0007224999999999999,0,0.0036125,2.295211629160305,37.552110561158095,7,
1755019800,97.78,97.86,97.5,97.81,5,0.864673869583161,,,,0.0033878701962386654,,100.0456396506174,19373,-33678,66.8550945185314,-15,-40,-60,10,30,50,,,,,,,,,,,97.12623622225858,,0,0,0,0,0,0,0,0,0,0,97.12623622225858,,0,0,0,0,,,,,,0,0,0,0,,,,97.6463195283958,,0,0,0,0,,,,97.12623622225858,,0,0,0,0,,,,97.6463195283958,,0,0,0,0,,,,,,,0.0036125,0.0028899999999999998,0.0021674999999999997,0.0014449999999999999,0.0007224999999999999,0,0.0036125,2.295211629160305,37.066172572993246,7,
1755091800,98.16,98.165,97.7,97.7,5,0.8361257360415069,,,,-0.2703740380445641,,100.0456396506174,62199,-95877,65.61621347917841,-15,-40,-60,10,30,50,,,,,,,,,,,97.12623622225858,,0,0,0,0,0,0,0,0,0,0,97.12623622225858,,0,0,0,0,,,,,,0,0,0,0,,,,97.6463195283958,,0,0,0,0,,,,97.12623622225858,,0,0,0,0,,,,97.6463195283958,,0,0,0,0,,,,,,,0.0006349999999999992,0.0005079999999999993,0.0003809999999999995,0.00025399999999999967,0.00012699999999999983,0,0.0006349999999999992,2.3196884978471877,35.577825162815394,7,
1755106200,97.7,98,97.66,97.9,5,0.8006881834671137,,,,-0.2061396231238223,,99.97371811700009,27514,-68363,66.82011769208844,-15,-40,-60,10,30,50,,,,,,,,,,,97.12623622225858,,0,0,0,0,0,0,0,0,0,0,97.12623622225858,,0,0,0,0,,,,,,0,0,0,0,,,,97.6463195283958,0,0,0,0,0,,,,97.12623622225858,,0,0,0,0,,,,97.6463195283958,0,0,0,0,0,,,,,,,0.0006349999999999992,0.0005079999999999993,0.0003809999999999995,0.00025399999999999967,0.00012699999999999983,0,0.0006349999999999992,2.3196884978471877,34.064284016148754,7,
1755178200,97.95,98.2,97.61,97.86,6,0.7856390275051772,,,,-0.3017110688697792,,99.97371811700009,62311,-130674,66.31997118475142,-15,-40,-60,10,30,50,,,,,,,,,,,97.12623622225858,,0,0,0,0,0,0,0,0,0,0,97.12623622225858,,0,0,0,0,,,,,,0,0,0,0,,,,97.6463195283958,0,0,0,0,0,,,,97.12623622225858,,0,0,0,0,,,,97.6463195283958,0,0,0,0,0,,,,,93.44413665743312,,0.005,0.004,0.003,0.002,0.001,0,0.005,2.377275275701291,30.23021784940167,7,
