time,open,high,low,close,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1753882200,93.5,95,93.3,94.74,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,-0.3,,,,,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1753896600,94.74,95,94.36,94.38,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,-0.18,,,,,0,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1753968600,95,95.94,94.5,95.75,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,-0.3,,,,,0,1,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1753983000,95.84,95.9,94,94.46,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,-0.3,,,,,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1754055000,94.99,95.25,93.6,93.73,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.3,,,,,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1754069400,93.88,94.38,93.73,94.38,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.3,,,,,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1754314200,95.9,95.9,95.15,95.31,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.3,,,,,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1754328600,95.32,96.39,95.32,96.39,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.18,,,,,0,1,0,,,,,,0,0,0,0,,,,94.90477040816326,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1754400600,96.815,97.15,96.02,96.45,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.3,,,,,0,1,0,,,,,,0,0,0,0,,,,95.4858582361516,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1754415000,96.45,96.65,96.2,96.43,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.18,,,,,0,1,0,,,,,,0,0,0,0,,,,95.61803591283713,,0,0,0,0,,,,,,0,0,0,0,,,,,,
