time,open,high,low,close,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1749648600,1.1303692539562924,1.142713630941169,1.1200904920505248,1.1254160648119074,,,0,1,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,-0.1578104821221577,,,,,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1749663000,1.1267977139986183,1.1267977139986183,1.1147654383096466,1.1147654383096466,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,-0.1578104821221577,,,,,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1749735000,1.1192152917505032,1.1192152917505032,1.1107616831247247,1.1122987927565393,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,-0.1578104821221577,,,,,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1749749400,1.1118516189877397,1.112144832788534,1.109085193335429,1.1106922980273903,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,,0,0,0,0,-0.1578104821221577,,,,,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1749821400,1.1111950635940058,1.113151770551607,1.093887838689351,1.1009509414950565,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.1578104821221577,,,,,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1749835800,1.100824988979155,1.1064205154054565,1.1006745256256698,1.1045302753449688,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.1578104821221577,,,,,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1750080600,1.1116700201207246,1.1116700201207246,1.1037735849056605,1.1038471209454361,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.1578104821221577,,,,,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1750095000,1.1039728438521499,1.1063187676831185,1.1015531660692952,1.1063187676831185,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.1578104821221577,,,,,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1750167000,1.1047140163419233,1.1047140163419233,1.0975533052393232,1.0980984762624355,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.275429672176881,,,,,0,1,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,,,
1750181400,1.098167621686292,1.098167621686292,1.0933249370277078,1.094662638469285,,,0,0,0,0,0,0,0,0,0,0,0,0,,,,,0,0,0,0,,0,,0,0,-15,0,0,0,0,0,0,0,,-15,-40,-60,10,30,50,,,,,,,,,,,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,-0.275429672176881,,,,,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,,,
