time,open,high,low,close,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1755005400,118.05,118.08,117.41,117.5,0,7.919158646821721,0,0,0,0,0,0,0,6,1.6112430202003878,-0.056052191098204474,0.2756703023008953,0.33172249339909976,-0.19627419707437033,113.5229356393559,,20095,339285,51.28952276837115,7.919158646821721,-40,-60,10,30,50,,,,,,,,,,,117.0103386751907,114.4517550603915,0,0,0,0,0,0,0,0,0,0,117.0103386751907,114.4517550603915,-10,-10,0,-0.5543493231258958,,,,,0,0,0,,,,115.94401429426833,,0,0,0,0,111.78911868466169,115.40545882352939,119.02179896239709,118.57289846205417,116.66214779818881,0,0,0,0,114.37595732800045,121.67556258823524,128.97516784847002,117.0103386751907,114.4517550603915,0,0,0,0,,,,,53.02656208451973,
1755019800,117.55,117.74,117.14,117.14,0,7.919158646821721,0,0,0,0,0,0,0,6,1.5390113759003596,-0.0848282889930384,0.22568713215780178,0.3105154211508402,-0.20874987335289508,113.5229356393559,,7524,331761,49.708461001605066,7.919158646821721,-40,-60,10,30,50,,,,,,,,,,,117.0103386751907,114.4517550603915,0,0,0,0,0,0,0,0,0,0,117.0103386751907,114.4517550603915,-10,-10,0,-0.5640989943262242,,,,,0,0,0,109.7687776629409,121.35936470588241,132.94995174882393,115.94401429426833,,0,0,0,0,111.92934073432065,115.49870588235288,115.49870588235288,118.44741469634343,116.66214779818881,0,0,0,0,114.47994769308175,121.70033411764703,128.9207205422123,117.0103386751907,114.4517550603915,0,0,0,0,,,,,,
1755091800,117.4,117.65,116.59,116.88,0,7.919158646821721,0,0,0,0,0,0,0,6,1.5047962776217627,-0.11784125300179166,0.16321385489860063,0.2810551079003923,-0.24967900129503043,113.5229356393559,,15261,316500,48.54455938158996,7.919158646821721,-40,-60,10,30,50,,,,,,,,,,,117.0103386751907,114.4517550603915,0,0,0,0,0,0,0,0,0,0,117.0103386751907,114.4517550603915,-10,-10,0,-0.628940969084877,,,,,0,0,0,109.7687776629409,121.35936470588241,132.94995174882393,115.94401429426833,,0,0,0,0,112.28553121217783,115.70374117647044,115.70374117647044,117.65083205960225,116.66214779818881,0,0,0,0,114.47994769308175,121.70033411764703,128.9207205422123,117.0103386751907,114.4517550603915,0,0,0,0,,,,,52.65143300502149,
1755106200,116.99,117.19,116.91,116.92,0,7.919158646821721,0,0,0,0,0,0,0,6,1.4194536863630656,-0.13236532528662176,0.1155984512921151,0.24796377657873686,-0.320389395601206,113.5229356393559,,4466,320966,48.743400899229115,7.919158646821721,-40,-60,10,30,50,,,,,,,,,,,117.0103386751907,114.4517550603915,0,0,0,0,0,0,0,0,0,0,117.0103386751907,114.4517550603915,-10,-10,0,-0.6427168652572054,,,,,0,0,0,109.7687776629409,121.35936470588241,132.94995174882393,115.94401429426833,,0,0,0,0,112.70387943685515,115.94232941176458,115.94232941176458,117.65083205960225,116.66214779818881,0,0,0,0,114.56723794583293,121.71816447058816,128.86909099534338,117.0103386751907,114.4517550603915,0,0,0,0,,,,,,
1755178200,116.74,116.91,116,116.4,0,7.919158646821721,0,0,0,0,0,0,0,6,1.383778423051418,-0.16997574694599468,0.0354940928962435,0.20546983984223818,-0.3904186861107681,113.5229356393559,,11713,309253,46.241687919781135,7.919158646821721,-40,-60,10,30,50,,,,,,,,,,,117.0103386751907,114.4517550603915,0,0,0,0,0,0,0,0,0,0,117.0103386751907,114.4517550603915,-10,-10,0,-0.7610563972049234,,,,,0,0,0,109.7687776629409,121.35936470588241,132.94995174882393,115.94401429426833,,0,0,0,0,113.31903434346987,116.23992941176449,116.23992941176449,117.37157133627395,116.66214779818881,0,0,0,0,114.56723794583293,121.71816447058816,128.86909099534338,117.0103386751907,114.4517550603915,0,0,0,0,,,,,50.943718519524495,
1755192600,116.36,116.48,116.19,116.37,0,7.919158646821721,0,0,0,0,0,0,0,6,1.3056513928334599,-0.18842658030425868,-0.030063385538085186,0.1583631947661735,-0.5337076625855435,113.5229356393559,,9643,299610,46.09470215984322,7.919158646821721,-40,-60,10,30,50,,,,,,,,,,,117.0103386751907,114.4517550603915,0,0,0,0,0,0,0,0,0,0,117.0103386751907,114.4517550603915,-10,-10,0,-0.24015334298043067,,,,,0,1,0,110.26031786217466,121.79574117647054,133.3311644907664,115.94401429426833,,0,0,0,0,113.85571223132352,116.50487058823528,116.50487058823528,116.96125283586886,116.66214779818881,0,0,0,0,114.61650324501956,121.71477129411764,128.81303934321573,117.0103386751907,114.4517550603915,0,0,0,0,,,,,,
1755264600,116.85,116.85,114.8,115.25,0,0.41915864682172144,0,0,0,0,0,0,0,6,1.3588191504882126,-0.2630331229950621,-0.1704282089776541,0.09260491401740797,-0.5012509679025183,113.5229356393559,,16059,283551,40.87142773310006,0.41915864682172144,-40,-60,10,30,50,,,,,,,,,,,117.0103386751907,114.4517550603915,0,0,0,0,0,0,0,0,0,0,117.0103386751907,114.4517550603915,-10,-10,0,-0.4251927749967741,,,,,0,0,0,110.26031786217466,121.79574117647054,133.3311644907664,115.94401429426833,,0,0,0,0,114.01403778305402,116.56487058823528,116.56487058823528,116.18250882276448,116.66214779818881,0,0,0,0,114.61650324501956,121.71477129411764,128.81303934321573,117.0103386751907,114.4517550603915,0,0,0,0,,,,,47.359542343646666,
1755279000,115.35,115.56,115,115,0,0.3948179264610054,0,0,0,0,0,0,0,6,1.3017606397390546,-0.31280510491449776,-0.29840146712571425,0.014403637788783522,-0.5671709243552081,113.5229356393559,,7045,276506,39.78763405096927,0.3948179264610054,-40,-60,10,30,50,,,,,,,,,,,116.86176063973906,114.4517550603915,0,0,0,0,0,0,0,0,0,0,116.86176063973906,114.4517550603915,-15,-15,0,-0.9056182363478174,,,,,0,0,0,110.26031786217466,121.79574117647054,133.3311644907664,115.94401429426833,,0,0,0,0,114.1748127330991,116.6206352941176,116.6206352941176,116.02216321962855,116.66214779818881,0,0,0,0,114.56947819482123,121.61982517647053,121.61982517647053,116.86176063973906,114.4517550603915,0,0,0,0,,,,,,
1755523800,115.4,115.4,113.5,113.7,0,0.37560645547990296,0,0,0,0,0,0,0,6,1.344492022614837,-0.4106977366317965,-0.4989685330009621,-0.08827079636916561,-0.5956436328046979,113.5229356393559,,9076,267430,34.6432491966674,0.37560645547990296,-40,-60,10,30,50,,,,,,,,,,,116.74449202261485,114.4517550603915,0,0,0,0,0,0,0,0,0,0,116.74449202261485,114.4517550603915,-10,-10,0,-1.3385752811051725,,,,,1,0,0,110.26031786217466,121.79574117647054,133.3311644907664,115.94401429426833,,0,0,0,0,113.99523650402038,116.46030588235284,116.46030588235284,114.99706930672053,116.66214779818881,0,0,0,0,114.56947819482123,121.61982517647053,121.61982517647053,116.74449202261485,114.4517550603915,0,0,0,0,,,8.447344385791169,12.88511294758201,45.572709516857934,
1755538200,113.7,114.39,113.67,114.25,0,-7.297163924792027,0,0,0,0,0,0,0,6,1.29988544957092,-0.41462102459590267,-0.606547077114044,-0.19192605251814132,-0.5472414023223651,113.5229356393559,,7316,274746,38.27922296734391,-7.297163924792027,-40,-60,10,30,50,,,,,,,,,,,115.68988544957092,114.4517550603915,0,0,0,0,0,0,0,0,0,0,115.68988544957092,114.4517550603915,-15,-15,0,-1.310924301960241,,,,,0,0,0,110.65864771331881,122.17675294117643,133.69485816903406,115.94401429426833,,0,0,0,0,113.84101358493517,116.32197647058817,116.32197647058817,114.99227864195478,116.66214779818881,0,0,0,0,114.37351990071168,121.16485552941188,121.16485552941188,115.68988544957092,114.4517550603915,0,0,0,0,,,,,,
