time,open,high,low,close,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score,MVRV,Z-score,Plot,Plot,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution
1743183000,0.851662286162217,0.851662286162217,0.842551622418879,0.842551622418879,1.5,,,,,,,,698629,-510725,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,,1.9970576042210626,215.80118410088127,7,,0,-15,0,0,0,0,0,0,0
1743427800,0.849269099935644,0.849269099935644,0.8314368636845257,0.8399446494464944,1.5,,,,,,,,1680887,-2191612,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,,1.885864703366149,23.0365856070692,7,,0,-15,0,0,0,0,0,0,0
1743442200,0.8392988929889299,0.874603393571527,0.832259252439698,0.8555657773689053,1.5,,,,,,,,857690,-1333922,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,15,0,0,0,,,,,,0,0,0,0,,,,0.8199379278837011,,0,0,0,0,,,,,,0,0,0,0,,,,0.8199379278837011,,0,0,0,0,,,,,,,1.885864703366149,18.66586294750818,7,,0,-15,0,0,0,0,0,0,0
1743514200,0.851000092174394,0.8564729680029423,0.8497790868924889,0.8564729680029423,1.5,,,,,,,,1182828,-151094,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,15,0,0,0,,,,,,0,0,0,0,,,,0.8407767600652822,,0,0,0,0,,,,,,0,0,0,0,,,,0.8407767600652822,,0,0,0,0,,,,,,,1.8893711795891617,17.39762547325,7,,0,-15,0,0,0,0,0,0,0
1743528600,0.8565517241379311,0.8591782332935012,0.8503654668321611,0.851870599604252,1.5,,,,,,,0.9040712716151037,938802,-1089896,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,0.8407767600652822,,0,0,0,0,,,,,,0,0,0,0,,,,0.8407767600652822,,0,0,0,0,,,,,,,1.8893711795891617,16.83261490219515,7,,0,-15,0,0,0,0,0,0,0
1743600600,0.8467501490757304,0.8612263715998156,0.8463978667647465,0.8577617994100294,1.5,,,,,,,0.902630150029847,1221994,132098,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,15,0,0,0,,,,,,0,0,0,0,,,,0.8455559586303942,,0,0,0,0,,,,,,0,0,0,0,,,,0.8455559586303942,,0,0,0,0,,,,,,,1.9490459697278741,18.839406006027172,7,,0,-15,0,0,0,0,0,0,0
1743615000,0.8601714443727533,0.8609985261606484,0.8553851804242034,0.8553851804242034,1.5,,,,,,,0.902630150029847,785316,-653218,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,15,0,0,0,,,,,,0,0,0,0,,,,0.8483038364119211,,0,0,0,0,,,,,,0,0,0,0,,,,0.8483038364119211,,0,0,0,0,,,,,,,1.9490459697278741,19.67487551052504,7,,0,-15,0,0,0,0,0,0,0
1743687000,0.8508844285583357,0.8587601570346024,0.8384111421633756,0.8418881759853345,1,,,,,,,0.8957485623957255,2435583,-3088801,,-15,-40,-60,10,30,50,,,,,,,,,,,,,0,0,0,0,0,0,0,0,0,0,,,0,0,0,0,,,,,,0,0,0,0,,,,0.8483038364119211,,0,0,0,0,,,,,,0,0,0,0,,,,0.8483038364119211,,0,0,0,0,,,,,,,1.8874915732516142,18.004309766807616,7,,0,-15,0,0,0,0,0,0,0
1743701400,0.8433403611696764,0.8433403611696764,0.8356290174471992,0.8398236590742102,1,0.01520240102424712,,,,,,0.8842447139422439,928509,-4017310,,-15,-40,-60,10,30,50,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,,0,0,0,0,,,,,,0,0,0,0,,,,0.8483038364119211,,0,0,0,0,,,,0,,0,0,0,0,,,,0.8483038364119211,,0,0,0,0,,,,,,,1.8874915732516142,17.813760767870445,7,,0,-15,0,0,0,0,0,0,0
1743773400,0.8403592375366569,0.8403592375366569,0.8233997612269263,0.8288180732849665,1,0.015327906401781655,,,,,,0.8772513644451362,2532555,-6549865,35.333598664864496,-15,-40,-60,10,30,50,,,,,,,,,,,0,,0,0,0,0,0,0,0,0,0,0,0,,-15,0,0,0,,,,,,0,0,0,0,,,,0.8417834301261962,,0,0,0,0,,,,0,,0,0,0,0,,,,0.8417834301261962,,0,0,0,0,,,,,,,1.899798939722037,18.349175587272875,7,,0,-15,0,0,0,0,0,0,0
