time,open,high,low,close,Risk Oscillator,SRI Bias Histogram,STH MVRV,MVRV SMA,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1027690200,82.67,82.8,82.42,82.50999,,0,,,,,,,,0,0,0,0,,,,316300,,-50611.16299999993,,,,,,,0,0,0,0,0,0,0,,,,
1027949400,82.06,82.16,81.32001,81.42,,0,,,,,,,,0,0,0,0,,,,8400,,-5376.000000000005,,81.42000000000002,81.42000000000002,81.42000000000002,,,0,0,0,0,0,0,0,,,,
1028035800,81.75,81.89999,81.52,81.52,,0,,,,,,,,0,0,0,0,,,,6100,,-1403.0000000000243,85.596,81.52,81.44021083811377,81.36049977130065,,,0,0,0,0,0,0,0,,,,
1028122200,81.95,82.8,81.89999,82.53,,0,,,,,,,,0,0,0,0,,,,29400,,17051.99999999995,86.65650000000001,82.53,82.01858259495161,81.8581068505761,,,0,0,0,0,0,0,0,,,,
1028208600,82.53999,83.02,82.53999,83,,0,,,,,,,,0,0,0,0,,,,25000,,11500.249999999924,87.15,83.03523144885403,82.75999462305272,82.35922510968874,,,0,0,0,0,0,0,0,,,,
1028295000,83.16,84.10001,82.88,83.85001,,0,,,,,,,,0,0,0,0,,,,52800,,36432.52800000005,88.0425105,83.85001000000001,83.67895426981991,83.0329377307403,,,0,0,0,0,0,0,0,,,,
1028554200,84.03999,84.44,83.85001,84.22,,0,,,,,,,,0,0,0,0,,,,61100,,10998.610999999742,88.431,84.78889153391283,84.41772812430051,83.96267038004977,,,0,0,0,0,0,0,0,,,,
1028640600,83.87,83.89999,83.22,83.5,,0,,,,,,,,0,0,0,0,,,,64900,,-24013.000000000295,87.675,84.73446167459942,84.16593533812693,83.50000000000001,,,0,0,0,0,0,0,0,,,,
1028727000,83.60001,84.14,83.36,83.7,,0,,,,,,,,0,0,0,0,,,,40300,,4029.5970000002158,87.885,84.79591929365797,84.18059996368578,83.56056226817252,,,0,0,0,0,0,0,0,,,,
1028813400,83.58,83.77,83.36,83.7,,0,,,,,,,,0,0,0,0,,,,40900,,4908.0000000001855,87.885,84.84427623865668,84.18222446948688,83.60821472064102,,,0,0,0,0,0,0,0,,,,
1028899800,84,84.88,84,84.88,,0,,,,,,,,0,0,0,0,,,,35900,,31591.999999999836,89.124,85.21536019084228,84.59699719917069,83.97389250268074,,,0,0,0,0,0,0,0,,,,
1029159000,85.3,86.7,85.14,85.39999,,0,,,,,,,,0,0,0,0,,,,32100,,3209.679000000172,89.6699895,85.9566054079282,85.37987909135764,84.70433882172813,,,0,0,0,0,0,0,0,,,,
1029245400,85.78,86.47,85.37,86.45,,0,,,,,,,,0,0,0,0,,,,74300,,49781.000000000124,90.77250000000001,86.49093494173916,85.92074090422999,85.23088392736122,,,0,0,0,0,0,0,0,,,,
1029331800,87.46001,87.89999,86.75,86.78,,0,,,,,,0,,0,0,0,0,,,,130000,,-88401.29999999945,91.119,86.95809598308543,86.39499538321208,85.69123909079183,,,0,0,0,0,0,0,0,,,,
1029418200,86.38,86.5,85.85001,86.02,,15,,,,,,84.89679908163265,,0,0,0,0,,,,87100,,-31355.99999999995,90.321,87.13877182570594,86.56430690444734,85.86928274104535,,,0,0,0,0,0,0,0,,,,
1029504600,86.44,86.52,84.82001,85.06,,0,,,,,,84.89679908163265,,0,0,0,0,,,,85000,,-117299.9999999996,89.313,87.08032542222665,86.496059500042,85.06000000000002,,,0,0,0,0,0,0,0,,,,
1029763800,85.05,85.34,84.71001,85.32001,,0,,,,,,84.89679908163265,,0,0,0,0,,,,47300,,12771.472999999962,89.5860105,87.39167401098727,86.75751865604188,85.32001000000001,,,0,0,0,0,0,0,0,,,,
1029850200,85.62,86.28999,85.60001,86.27,,0,,,,,,84.89679908163265,,0,0,0,0,,,,40800,,26519.99999999965,90.5835,87.49831315167982,86.81555156080367,85.4241212057098,,,0,0,0,0,0,0,0,,,,
1029936600,85.67999,86.10001,85.63,85.81,,0,,,,,,84.89679908163265,,0,0,0,0,,,,40000,,5200.399999999945,90.10050000000001,87.4986843842613,86.7309472581494,85.4244836380344,,,0,0,0,0,0,0,0,,,,
1030023000,85.55,85.55,85.06,85.06,,0,,,,,,84.89679908163265,,0,0,0,0,,,,34400,,-16855.999999999825,89.313,87.36889268494372,86.51753083765479,85.06000000000002,,,0,0,0,0,0,0,0,,,,
1030109400,85.2,85.95,85.2,85.89999,,0,,,,,,84.89679908163265,,0,0,0,0,,,,20100,,14069.798999999994,90.1949895,87.40973918179013,86.42262803664492,85.0997670488315,,,0,0,0,0,0,0,0,,,,
1030368600,85.7,86.21001,85.67,85.98,,0,,,,,,84.89679908163265,,0,0,0,0,,,,23900,,6692.000000000027,90.27900000000001,87.70895308144438,86.58286071734774,85.39107364002716,,,0,0,0,0,0,0,0,,,,
1030455000,85.39999,85.67999,85.2,85.44,,0,,,,,,84.89679908163265,,0,0,0,0,,,,301800,,12075.017999998556,89.712,87.59704723698671,86.46865853846377,85.28212512486292,,,0,0,0,0,0,0,0,,,,
1030541400,86.03999,86.17999,85.84,85.87,,15,,,,,,84.95229866082677,,0,0,0,0,,,,18100,,-3076.8189999999736,90.16350000000001,87.58034777271472,86.4484419726608,85.26586697636952,,,0,0,0,0,0,0,0,,,,
1030627800,86.75999,86.86,86.35001,86.56,,15,,,,,,85.45500161362484,,0,0,0,0,,,,135700,,-27138.642999999956,90.888,87.67253668695186,86.54317556475843,85.35561961949033,,,0,0,0,0,0,0,0,,,,
1030714200,86.75,87.13,86.45,87.08,,15,,,,,,85.5703493555088,,0,0,0,0,,,,78100,,25772.999999999865,91.434,87.82524688728931,86.69766143084404,85.50429415617631,,,0,0,0,0,0,0,0,,,,
1031059800,87.08,88.03999,87,88.03999,,15,,,,,,86.10889654440102,,0,0,0,0,,,,102100,,98014.97900000049,92.4419895,88.45594036333571,87.32685974353268,86.11832033212843,,,0,0,0,0,0,0,0,,,,
1031146200,88.03,88.3,87.84,88.02,,15,,,,,,86.97968964837239,,0,0,0,0,,,,66300,,-663.0000000003392,92.421,88.6388573471727,87.5140583574921,86.29640337938969,,,0,0,0,0,0,0,0,,,,
1031232600,88.57001,88.64999,87.38,88.5,,0,,,,,,86.97968964837239,,0,0,0,0,,,,648400,,-45394.48399999763,92.925,88.8615989821176,87.86473505631746,86.51325863400227,,,0,0,0,0,0,0,0,,,,
1031319000,87.97,88.19,87.2,87.46001,,0,,,,,,86.97968964837239,,0,0,0,0,,,,140000,,-71398.60000000027,91.8330105,88.91855647601378,87.79020819308921,86.56871091549425,,,0,0,0,0,0,0,0,,,,
1031578200,87.5,87.83,87.25999,87.33,,0,,,,,,86.97968964837239,,0,0,0,0,,,,83800,,-14246.000000000144,91.6965,89.18741167310262,88.04899431371594,86.8304610918052,,,0,0,0,0,0,0,0,,,,
1031664600,87.17,88,87,87.75,,0,,,,,,86.97968964837239,,0,0,0,0,,,,336000,,194879.99999999942,92.1375,89.2340031063042,88.08833067509326,86.87582125589034,,,0,0,0,0,0,0,0,,,,
1031751000,87,87.3,86.75,87.28999,,0,,,,,,86.97968964837239,,0,0,0,0,,,,177700,,51531.223000000544,91.65448950000001,89.22184827848871,88.07252956930435,86.86398764300809,,,0,0,0,0,0,0,0,,,,
1031837400,87.48,88.14,87.47,87.97,,0,,,,,,86.97968964837239,,0,0,0,0,,,,43400,,21265.999999999778,92.3685,89.29330098250865,88.13925663513568,86.93355207054242,,,0,0,0,0,0,0,0,,,,
1031923800,88.33,88.94,88.17999,88.78,,15,,,,,,87.2709113261427,,0,0,0,0,,,,155100,,69795.00000000044,93.21900000000001,89.44642606532774,88.29421443857822,87.08263052563467,,,0,0,0,0,0,0,0,,,,
1032183000,89.2,89.22,88.89999,88.92999,,15,,,,,,88.02441694570393,,0,0,0,0,,,,73000,,-19710.72999999994,93.3764895,89.83126334856722,88.67792271274818,87.45729773619885,,,0,0,0,0,0,0,0,,,,
