time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,degree,Cycle low,MA,STH MVRV,MVRV SMA
1025530200,82.67,82.8,81.32001,82.53,,0,,,,0,3,0,,,
1028208600,82.53999,87.89999,82.53999,87.08,,0,,,,0,3,0,,,
1031059800,87.08,90.94,86.75,90.39999,,0,,,,0,3,0,,,
1033479000,89.16,90.52,84.08,86.73,,0,,,,0,3,0,,,
1036161000,86.3,89.14999,84.91,85.55,,0,,,,0,3,0,,,
1038839400,84.36,89.33,84.14999,88.57001,,0,,,,0,3,0,,,
1041517800,87.7,88.44,85.02,88.06,,0,,,,0,3,0,,,
1044282600,87.67,90.53999,87.31,90.47,,0,,,,0,3,0,,,
1046701800,90,91.36,86.05,88.89999,,0,,,,0,3,0,,,
1049207400,88.39999,89.52,85.92,89.45,,0,,,,0,3,0,,,
1051795800,89.2,96.21001,88.2,94.60001,,0,,,,0,3,0,,,
1054560600,93.88,97.66,91.55,92.5,,0,,,,0,3,0,,,
1057066200,92.14999,92.49001,82.23,82.95,,0,,,,0,3,0,,,
1059744600,82.10001,84.78999,80.91,83.64999,,0,,,,0,3,0,,,
1062509400,83.63,88.25,81.88,88.22,,0,,,,0,3,0,,,
1065015000,87.5,87.92999,82.75,85.19,,0,,,,0,3,0,,,
1067869800,84.56,86.92999,83.05,85.13,,0,,,,0,3,0,,,
1070289000,84.39999,87.34,83.8,85.45,,0,,,,0,3,0,,,
1073053800,85.09,88.89999,83.89999,87.03999,,0,,,,0,3,0,,,
1075732200,86.45,88.78,86.24001,88.66,,0,,,,0,3,0,,,
1078151400,88.46001,91.48,87.11,89.55,,0,,,,0,3,0,,,
1080829800,88.98,89.06,83.00999,83.64,,0,,,,0,3,0,,,
1083591000,83.10001,83.89999,80.50999,83.10001,,1,80.50999,,,0,3,1,,,
1086096600,82.37,83.75,80.75999,83.64999,,0,,,,0,3,0,,,
1088688600,83.35001,85.57001,82.92999,84.59,,0,,,,0,3,0,,,
1091453400,84.5,88,84.32001,87.77,,0,,,,0,3,0,,,
1094045400,87.7,89.95,86,88.25,,0,,,,0,3,0,,,
1096637400,87.5,90.09,86.74001,89.44,5,0,,,0,0,3,0,,,
1099319400,88.75,89.2,86.63,86.94,6,0,,,0,0,3,0,,,
1101911400,86.7,90.25,86.00999,88.55,7,0,,,0,0,3,0,,,
1104762600,88.17999,91.75,87.81,91.71001,8,0,,,0,0,3,0,,,
1107268200,91.44,94.24001,89.89,90.02,9,0,,,1,0,3,0,,,
1109687400,89.53999,90.99001,87.53,89.33,10,0,,,1,0,3,0,,,
1112365800,89.53,92.94,88.34,92.44,11,0,,,1,0,3,0,,,
