time,open,high,low,close,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1648575000,364.68963584,368.43296543,363.46963706,366.06630113,37.47643253506925,-45,-65,40,60,80,,,,,,,,,,,352.8824653355939,324.6641724311119,0,0,0,0,0,0,0,0,0,0,352.8824653355939,324.6641724311119,75,45,45,40,247.16415542111824,284.0263120564704,320.8884686918225,340.94072184344134,293.94375548886336,0,0,0,0,303.7549676204007,335.1360731922352,366.5171787640697,357.6126867210555,340.6526467098076,0,0,0,0,272.98028846330294,298.5740621905881,324.1678359178733,352.8824653355939,324.6641724311119,0,0,0,0,334.81631493656846,370.38489289672975,405.95347085689104,357.6126867210555,340.6526467098076,0,0,0,0,1.3604969989322235,,,,,295293,1.1593837076088842,406519.6234799716,0.11768575204724452,0.44048923526860856,0.005,0.004,0.003,0.002,0.001,0,0.005,1.9254615159734114,1.6080981967237136,,
1648647000,363.74630345,371.12296275,361.40630578,368.46963206,37.47643253506925,-45,-65,40,60,80,,,,,,,,,,,352.8824653355939,324.6641724311119,0,0,0,0,0,0,0,0,0,0,352.8824653355939,324.6641724311119,65,25,25,20,247.16415542111824,284.0263120564704,320.8884686918225,340.94072184344134,293.94375548886336,0,0,0,0,306.89352760563065,339.588809922259,372.2840922388873,358.893677703104,340.6526467098076,0,0,0,0,272.98028846330294,298.5740621905881,324.1678359178733,352.8824653355939,324.6641724311119,0,0,0,0,339.2712646583551,375.1873743749885,411.1034840916219,358.893677703104,340.6526467098076,0,0,0,0,1.3604969989322235,,,,,633231,1.166567449030914,2990958.0990388803,0.1312177873558633,0.4669776854864298,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,1.932552029881166,1.622880487581802,,
1648661400,368.73963179,369.33629786,361.68297217,364.49963603,34.68039026334124,-45,-65,40,60,80,,,,,,,,,,,352.8824653355939,324.6641724311119,0,0,0,0,0,0,0,0,0,0,352.8824653355939,324.6641724311119,60,30,45,35,247.16415542111824,284.0263120564704,320.8884686918225,345.0544513760527,293.94375548886336,0,0,0,0,309.73706651501845,343.27001016816496,376.80295382131146,358.893677703104,344.7874288733928,0,0,0,0,278.9182229345746,305.3960789294121,331.8739349242496,352.8824653355939,324.6641724311119,0,0,0,0,342.7284865160204,377.7601090608236,412.7917316056268,358.893677703104,344.7874288733928,0,0,0,0,1.3604969989322235,,,,,369426,1.1537903468892763,-1566364.6736337598,0.14461989863121816,0.4549791828484783,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,1.932552029881166,1.621905970259342,,
1648733400,364.9629689,367.66629953,360.65963986,363.44630375,34.68039026334124,-45,-65,40,60,80,,,,,,,,,,,352.8824653355939,324.6641724311119,0,0,0,0,0,0,0,0,0,0,352.8824653355939,324.6641724311119,40,25,25,20,247.16415542111824,284.0263120564704,320.8884686918225,345.0544513760527,293.94375548886336,0,0,0,0,312.4069020595357,346.5035089002115,380.6001157408873,358.893677703104,344.7874288733928,0,0,0,0,278.9182229345746,305.3960789294121,331.8739349242496,352.8824653355939,324.6641724311119,0,0,0,0,345.810713973262,379.33158200174125,412.8524500302205,358.893677703104,344.7874288733928,0,0,0,0,1.3604969989322235,,,,,512037,1.1502811899251404,-776588.6734105471,0.15616106683849695,0.4561830038784835,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.9161043885892424,1.59371419205934,,
1648747800,363.28630391,364.99963553,359.02964149,359.33297452,33.55140791415916,-45,-65,40,60,80,,,,,,,,,,,352.8824653355939,324.6641724311119,0,0,0,0,0,0,0,0,0,0,352.8824653355939,324.6641724311119,45,45,30,20,254.5390883446343,289.8594042800001,325.1797202153659,345.0544513760527,293.94375548886336,0,0,0,0,315.0108249788628,349.74157233359995,384.4723196883371,358.893677703104,344.7874288733928,0,0,0,0,283.8814131288825,311.2792965717646,338.67718001464664,352.8824653355939,324.6641724311119,0,0,0,0,348.1173857029156,380.09321261345883,412.06903952400205,358.893677703104,344.7874288733928,0,0,0,0,1.3305354824634266,,,,,400059,1.1368332862120003,-1581565.0024340188,0.1538623464655673,0.4557953542481152,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.9161043885892424,1.5927804727697794,,
1648819800,360.38297347,364.86130233,355.63297821,359.17630801,33.55140791415916,-45,-65,40,60,80,,,,,,,,,,,352.8824653355939,324.6641724311119,0,0,0,0,0,0,0,0,0,0,352.8824653355939,324.6641724311119,40,25,25,20,254.5390883446343,289.8594042800001,325.1797202153659,345.0544513760527,293.94375548886336,0,0,0,0,317.5051622660305,352.7644987269174,388.0238351878043,358.893677703104,344.7874288733928,0,0,0,0,283.8814131288825,311.2792965717646,338.67718001464664,352.8824653355939,324.6641724311119,0,0,0,0,350.046351751939,380.1321615940471,410.21797143615515,358.893677703104,344.7874288733928,0,0,0,0,1.3305354824634266,,,,,710934,1.1357637973573205,-857859.5021396476,0.15129193181620804,0.46403911840969814,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.8478801927711468,1.4724679316439448,,
1648834200,359.00297485,361.85630533,358.16964235,361.48297237,32.62074018952197,-45,-65,40,60,80,,,,,,,,,,,352.8824653355939,324.6641724311119,0,0,0,0,0,0,0,0,0,0,352.8824653355939,324.6641724311119,45,30,60,25,254.5390883446343,289.8594042800001,325.1797202153659,345.0544513760527,293.94375548886336,0,0,0,0,320.0464180793125,355.85893093077647,391.67144378224043,358.893677703104,344.7874288733928,0,0,0,0,288.91685343486176,317.2874238611764,345.6579942874911,352.8824653355939,324.6641724311119,0,0,0,0,351.6039996309473,380.0104048525883,408.41681007422926,358.893677703104,344.7874288733928,0,0,0,0,1.3305354824634266,,,,,534855,1.1425433539468715,1326439.0735596216,0.14930901871005853,0.44221579623927076,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.8478801927711468,1.471690938172663,,
1649079000,363.12297074,381.01961953,357.73297612,381.01961953,32.62074018952197,-45,-65,40,60,80,,,,,,,,,,,352.8824653355939,324.6641724311119,0,0,0,0,0,0,0,0,0,0,352.8824653355939,324.6641724311119,40,25,40,10,254.5390883446343,289.8594042800001,325.1797202153659,345.0544513760527,293.94375548886336,0,0,0,0,323.79272855459135,361.02997282595294,398.26721709731453,369.00595641978697,344.7874288733928,0,0,0,0,288.91685343486176,317.2874238611764,345.6579942874911,352.8824653355939,324.6641724311119,0,0,0,0,354.9315998068773,382.28740650054095,409.64321319420463,369.00595641978697,344.7874288733928,0,0,0,0,1.3305354824634266,,84.45556945858773,66.04607488540192,56.50955720546662,911595,1.203257375065522,16314495.553720025,0.15557668548957837,0.5075864912105557,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,1.8844372730761574,1.536914022330203,,
1649093400,381.37961917,383.29295059,379.08962146,381.84295204,28.978358302979927,-45,-65,40,60,80,,,,,,,,,,,369.2119399340731,324.6641724311119,0,0,0,0,0,0,0,0,0,0,369.2119399340731,324.6641724311119,45,30,45,10,258.77339330917323,294.9140737670593,331.0547542249453,345.0544513760527,293.94375548886336,0,0,0,0,327.5259468882203,366.08902267595306,404.65209846368583,373.3040717826594,344.7874288733928,0,0,0,0,293.60919372104405,324.10321314588225,354.59723257072045,369.2119399340731,324.6641724311119,0,0,0,0,358.07457456223415,384.3704946163764,410.66641467051863,373.3040717826594,344.7874288733928,0,0,0,0,1.410555430109264,,,,,442908,1.2043412055876186,205213.83478595465,0.1609729364262502,0.4304909714082015,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,1.8844372730761574,1.536057197244523,,
1649165400,378.76962178,384.18628304,363.3629705,368.18963234,28.978358302979927,-45,-65,40,60,80,,,,,,,,,,,369.2119399340731,324.6641724311119,0,0,0,0,0,0,0,0,0,0,369.2119399340731,324.6641724311119,25,15,40,0,258.77339330917323,294.9140737670593,331.0547542249453,345.0544513760527,293.94375548886336,0,0,0,0,330.46770337123377,369.7540268593177,409.04035034740167,373.3040717826594,344.7874288733928,0,0,0,0,293.60919372104405,324.10321314588225,354.59723257072045,369.2119399340731,324.6641724311119,0,0,0,0,359.7305795069691,384.2870672485177,408.8435549900663,373.3040717826594,344.7874288733928,0,0,0,0,1.410555430109264,,,,,846432,1.1601877935203682,-8955241.621678097,0.16188685737354924,0.5037462213272513,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.8965149767966731,1.5574096623864493,,
