time,open,high,low,close,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1754573400,133.03,133.205,130.935,131.055,-0.9293119259561322,,,,,0,0,0,1,11.820248070064492,8.398831379225475,0,0,0,0,0,0,7.5,1.2989684145589833,-0.11176455250795286,0.3274269315071763,0.43919148401512914,0.0009694738063136389,,132.3452459802688,415700,148002890,53.195543168407866,11.820248070064492,-40,-60,10,30,50,,,,,,,,,,,130.19524471373543,123.06969578449363,0,0,0,0,0,0,0,0,0,0,130.19524471373543,123.06969578449363,-10,-10,10,121.80360271618193,133.74749411764714,145.69138551911234,130.31358030562976,120.21677599986029,0,0,0,0,130.32232017528835,131.89345647058826,133.46459276588817,131.03285512948247,130.30629316915613,0,0,0,0,128.48013223768774,133.805388235294,139.13064423290027,130.19524471373543,123.06969578449363,0,0,0,0,1.1579289209665276,,,,60.722927763640236,0.5716544999317115
1754587800,131.05,131.67,130.57,131.67,-0.6181917122493135,,,,,0,0,0,1,11.820248070064492,8.398831379225475,0,0,0,0,0,0,7.5,1.284756384947627,-0.058618469041121335,0.3659183977137275,0.4245368667548488,0.0666790181560784,,132.3452459802688,342450,148345340,56.36486725611523,11.820248070064492,-40,-60,10,30,50,,,,,,,,,,,130.19524471373543,123.06969578449363,0,0,0,0,0,0,0,0,0,0,130.19524471373543,123.06969578449363,-5,-5,10,121.80360271618193,133.74749411764714,145.69138551911234,130.31358030562976,120.21677599986029,0,0,0,0,130.38535180231023,131.90132,133.41728819768977,131.03285512948247,130.30629316915613,0,0,0,0,128.70989181645876,133.9539882352941,139.19808465412945,130.19524471373543,123.06969578449363,0,0,0,0,1.1579289209665276,,,,,0.5206259287671704
1754659800,132.115,132.845,131.805,132.585,-1.0137521802803473,,,,,0,0,0,1,19.37095693481242,8.398831379225475,0,0,0,0,0,0,5.5,1.2769166431656542,0.03228808429063312,0.4648969721181402,0.43260888782750706,0.062247744826442526,128.36134737481146,,477902,148823242,60.63570064485079,19.37095693481242,-40,-60,10,30,50,,,,,,,,,,,130.52808335683434,123.06969578449363,0,0,0,0,0,0,0,1,0,0,130.52808335683434,123.06969578449363,-10,-10,10,121.80360271618193,133.74749411764714,145.69138551911234,130.31358030562976,120.21677599986029,0,0,0,0,130.48851086553523,131.98398352941183,133.47945619328843,131.29817416959997,130.30629316915613,0,0,0,0,128.70989181645876,133.9539882352941,139.19808465412945,130.52808335683434,123.06969578449363,0,0,0,0,1.1579289209665276,,,,64.43889694708832,0.5351041006688071
1754674200,132.58,133.11,132.57,132.955,-0.7030919985223607,,,,,0,0,0,1,20.255032048335153,8.398831379225475,0,0,0,0,0,0,5.5,1.2242797400823946,0.107242478994299,0.5666619865703808,0.4594195075760818,0.09885756756185426,129.11071263733032,,384586,149207828,62.24492635635927,20.255032048335153,-40,-60,10,30,50,,,,,,,,,,,131.34572025991758,124.34514585499707,0,0,0,0,0,0,0,0,0,0,131.34572025991758,124.34514585499707,-5,-5,30,122.67247781618664,134.81784705882362,146.9632163014606,130.31358030562976,120.21677599986029,0,0,0,0,130.61452656042198,132.14691764705887,133.67930873369576,131.82735425848162,130.30629316915613,0,0,0,0,128.99089680471553,134.14891764705888,139.30693848940223,131.34572025991758,124.34514585499707,0,0,0,0,1.1685908049626883,,,,,0.524550512322777
1754919000,132.865,133.475,132.5,132.935,-0.492914982527365,,,,,0,1,0,1,20.255032048335153,8.398831379225475,0,0,0,0,0,0,5.5,1.206474044362223,0.14313582029649674,0.6383392829467027,0.495203462650206,0.09482434244582137,129.3386413735973,,314762,148893066,62.09715200069967,20.255032048335153,-40,-60,10,30,50,,,,,,,,,,,131.34572025991758,124.34514585499707,0,0,0,0,0,0,0,0,0,0,131.34572025991758,124.34514585499707,-10,-10,10,122.67247781618664,134.81784705882362,146.9632163014606,130.31358030562976,120.21677599986029,0,0,0,0,130.72418928838056,132.25759294117637,133.79099659397218,132.08241260042547,130.30629316915613,0,0,0,0,128.99089680471553,134.14891764705888,139.30693848940223,131.34572025991758,124.34514585499707,0,0,0,0,1.1685908049626883,,91.27396315159653,92.0634809487445,60.238334983212695,0.540328462336011
1754933400,132.925,133,131.755,132.11,-0.5405973943116182,,,,,0,0,0,1,20.255032048335153,8.398831379225475,0,0,0,0,0,0,6.5,1.2092258983363504,0.10096540694192147,0.6214102213276078,0.5204448143856863,0.03851808926695789,129.3386413735973,,414014,148479052,56.172936096306316,20.255032048335153,-40,-60,10,30,50,,,,,,,,,,,131.34572025991758,124.34514585499707,0,0,0,0,0,0,0,0,0,0,131.34572025991758,124.34514585499707,-10,-10,10,122.67247781618664,134.81784705882362,146.9632163014606,130.31358030562976,120.21677599986029,0,0,0,0,130.78837589755545,132.29118588235295,133.79399586715044,132.08241260042547,130.30629316915613,0,0,0,0,129.20915962618736,134.2409647058823,139.27276978557725,131.34572025991758,124.34514585499707,0,0,0,0,1.1685908049626883,,,,,0.534121632399235
1755005400,132.76,133.8075,131.985,133.66,-0.5543493231258958,,,,,0,0,0,1,20.255032048335153,8.398831379225475,0,0,0,0,0,0,6,1.2530311913123247,0.1634136182474073,0.7247118371949455,0.5612982189475382,0.11404241743979063,129.3386413735973,,547960,149027012,63.26402868027871,20.255032048335153,-40,-60,10,30,50,,,,,,,,,,,131.34572025991758,124.34514585499707,0,0,0,0,0,0,0,0,0,0,131.34572025991758,124.34514585499707,-10,-10,10,122.67247781618664,134.81784705882362,146.9632163014606,130.31358030562976,120.21677599986029,0,0,0,0,130.92068882799973,132.45763764705887,133.99458646611802,132.47830555707912,130.30629316915613,0,0,0,0,129.20915962618736,134.2409647058823,139.27276978557725,131.34572025991758,124.34514585499707,0,0,0,0,1.1685908049626883,,,,65.70829186407768,0.5356780648421581
1755019800,133.66,134.14,133.635,134.105,-0.5640989943262242,,,,,0,0,0,1,20.419344757426583,8.398831379225475,0,0,0,0,0,0,6,1.1996003919328726,0.21727014705318481,0.8328859027640192,0.6156157557108344,0.15699986483275757,130.2813720613524,,401112,149428124,65.0141808920785,20.419344757426583,-40,-60,10,30,50,,,,,,,,,,,132.43539960806712,124.34514585499707,0,0,0,0,0,0,0,0,0,0,132.43539960806712,124.34514585499707,10,-5,10,123.55610887801397,135.90730588235303,148.2585028866921,130.31358030562976,120.21677599986029,0,0,0,0,131.0648940967954,132.64787764705903,134.23086119732267,133.11175326095088,130.30629316915613,0,0,0,0,129.518736433351,134.43917647058814,139.35961650782528,132.43539960806712,124.34514585499707,0,0,0,0,1.176813191728107,,,,,0.4987858002235992
1755091800,134.88,135.015,133.665,134.055,-0.628940969084877,,,,,0,0,0,1,20.422248545515767,8.398831379225475,0,0,0,0,0,0,7,1.210343221080524,0.23083338127888742,0.9041574823094436,0.6733241010305562,0.07933784304472875,130.68948485521716,,1129782,148298342,64.64153986852642,20.422248545515767,-40,-60,10,30,50,,,,,,,,,,,132.45465677891946,124.34514585499707,0,0,0,0,0,0,0,0,0,0,132.45465677891946,124.34514585499707,-10,-10,10,123.55610887801397,135.90730588235303,148.2585028866921,130.31358030562976,120.21677599986029,0,0,0,0,131.20641555905505,132.8321647058825,134.45791385270994,133.11175326095088,130.30629316915613,0,0,0,0,129.518736433351,134.43917647058814,139.35961650782528,132.45465677891946,124.34514585499707,0,0,0,0,1.176813191728107,,,,65.83205734836474,0.5430979299731258
1755106200,134.05,134.27,133.73,134.16,-0.6427168652572054,,,,,0,0,0,1,22.03451215197385,9.675025127445528,0,0,0,0,0,0,5,1.1624615624319168,0.22779617384532236,0.9580693183372091,0.7302731444918867,0.09493796362170352,130.68948485521716,,839558,149137900,65.09400649386725,22.03451215197385,-40,-60,10,30,50,,,,,,,,,,,132.56753843756806,124.34514585499707,0,0,0,0,0,0,0,0,0,0,132.56753843756806,124.34514585499707,-5,25,30,123.55610887801397,135.90730588235303,148.2585028866921,131.84777928525168,120.21677599986029,0,0,0,0,131.35450318289904,133.03095764705893,134.70741211121882,133.13429000640406,131.82978602326634,0,0,0,0,129.8131007376373,134.6381882352942,139.46327573295108,132.56753843756806,124.34514585499707,0,0,0,0,1.176813191728107,,,,,0.5121968691885859
