time,open,high,low,close,Risk Oscillator,SRI Bias Histogram,STH MVRV,MVRV SMA,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1304343000,31.60001,31.67999,31.5,31.56,0.06355554876323852,30,1.1187850287702998,,29.67547827147447,30.406960799999997,31.138443328525522,31.270864472725584,30.128155794104828,0,0,0,0,97.8767122612072,98.11595553019642,72.49692214769024,7724672,1.0785574571157848,-309064.1267200179,33.138,32.44562985924798,28.727101740726834,20.474512383650318,0.06927525557966363,0.49078312465355106,0,0,0,0,0,0,0,4.869000728809343,7.687926088789298,7,
1304429400,31.49001,31.67,31.48,31.64,0.06530732554070695,20,1.1216624709265917,,29.75898039275261,30.539590211764725,31.320200030776842,31.270864472725584,30.128155794104828,0,0,0,0,,,,10317504,1.0803767380881828,1547522.4249599893,33.222,32.457906724217885,28.738955029677587,20.482259584889718,0.07204122330213547,0.48279858192376146,0,0,0,0,0,0,0,5.054778304566145,7.611323232194065,7,
1304515800,31.62,31.71001,31.55,31.60001,0.06306247067475,30,1.1216624709265917,,29.75898039275261,30.539590211764725,31.320200030776842,31.328397734135834,30.128155794104828,0,0,0,0,,,,11447863,1.0781205958550946,-228842.78136999946,33.1800105,32.47006660417141,28.751409957801744,20.489932963824636,0.0749866474316836,0.4821196189775116,0,0,0,0,0,0,0,5.189795517235966,7.573598687333039,7,
1304602200,31.57001,31.61,31.28,31.36,0.054200930704115524,15,1.1104869013754413,,29.75898039275261,30.539590211764725,31.320200030776842,31.328397734135834,30.128155794104828,0,0,0,0,,,,17020128,1.069063682452929,-3574397.081280008,32.928,32.48165428097928,28.76335954868434,20.497245259296466,0.07572431134402047,0.5105860621925085,0,0,0,0,0,0,0,4.839628396861791,7.012477880533536,7,
1304688600,31.69,31.71001,31.36,31.44,0.05607369395099258,30,1.1104869013754413,,29.83742167917123,30.643066282352933,31.448710885534638,31.328397734135834,30.708991808811625,0,0,0,0,,,,10208156,1.0709900168025543,-2552039,33.012,32.49339934613952,28.774768724673994,20.504656873221464,0.07587386888561043,0.49597352356344304,0,0,0,0,0,0,0,4.661553006336643,6.448642425933873,,
1304947800,31.39,31.59,31.39,31.55,0.05896115467674345,10,1.1159810022185568,,29.83742167917123,30.643066282352933,31.448710885534638,31.328397734135834,30.708991808811625,0,0,0,0,97.8767122612072,98.58447484080482,76.45847617669341,5201191,1.0738709767644246,832190.5600000008,33.127500000000005,32.508858180794796,28.789467536343277,20.51441202678018,0.0755788260354755,0.48487585383088005,0,0,0,0,0,0,0,4.945385457083071,7.150864619074037,7,
1305034200,31.60001,31.77,31.59,31.74001,0.06447054723944097,25,1.1159810022185568,,29.83742167917123,30.643066282352933,31.448710885534638,31.35583725595204,30.708991808811625,0,0,0,0,,,,7618645,1.0794660425546736,1066610.3000000042,33.3270105,32.521255321298874,28.807058017110666,20.52223512677466,0.07577792994766264,0.5002914557154662,0,0,0,0,0,0,0,4.770770653926242,6.597138567357185,,
1305120600,31.74001,31.85001,31.59,31.67999,0.0617054593733036,15,1.1193987963035101,,29.92289783894641,30.7689184235294,31.614939008112387,31.35583725595204,30.708991808811625,0,0,0,0,,,,7078137,1.0765507968068961,-424829.78274001076,33.2639895,32.5334901915623,28.824511286466613,20.529955827645853,0.07549126418925,0.5143722201022702,0,0,0,0,0,0,0,6.455365796709273,9.625417589721863,7,
1305207000,31.69,32.17,31.69,32.14999,0.07645027210361047,30,1.1193987963035101,,29.92289783894641,30.7689184235294,31.614939008112387,31.435848093142322,30.708991808811625,0,0,0,0,,,,10350699,1.0915005508506512,4761218.0330100125,33.757489500000005,32.54675454318012,28.836518895013253,20.5383261731327,0.0770803802981741,0.551579437265941,0,0,0,0,0,0,0,5.890625490215078,8.316242634424638,7,
1305293400,32.07001,32.25999,32.015,32.11,0.07411153497910912,45,1.1333038300823872,,29.92289783894641,30.7689184235294,31.614939008112387,31.761502515060727,30.79763596532508,0,0,0,0,,,,6649754,1.089145697250164,265923.66245997325,33.7155,32.55990170866445,28.84842288587318,20.546622569401983,0.07865539478318384,0.5283045327065697,0,0,0,0,0,0,0,6.264233694624086,8.79593075823505,7,
