time,open,high,low,close,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1732041000,107.865,108.115,107.42,107.785,1.1539526436239496,-0.3135678413409737,1.4709627844550113,1.784530625795985,0.07766192741052615,105.77520586309379,,291858,123501200,61.38538193274734,21.224755521792186,-40,-60,10,30,50,,,,,,,,,,,107.93647079871565,102.4925221249824,0,0,0,0,0,0,0,0,0,0,107.93647079871565,102.4925221249824,15,15,15,40,98.35291231207836,103.82276470588242,109.29261709968648,107.08959902793862,94.11450118747922,0,0,0,0,104.76264025777078,108.80703529411758,112.85143033046438,107.61531765009241,107.06716599550302,0,0,0,0,101.8842686980477,105.6854705882353,109.4866724784229,107.93647079871565,102.4925221249824,0,0,0,0,107.04389279197953,110.19010588235297,113.3363189727264,107.61531765009241,107.06716599550302,0,0,0,0,1.2009863562794225,,,,,0.5833153129015394,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.585821392989377,3.0179184541232473,,
1732113000,107.345,107.525,106.2,106.855,1.1847417405079526,-0.37833698410922034,1.3116093956594597,1.68994637976868,-0.007514713366373831,105.77520586309379,,434634,123066566,55.16186172662873,21.224755521792186,-40,-60,10,30,50,,,,,,,,,,,107.93647079871565,102.4925221249824,0,0,0,0,0,0,0,0,0,0,107.93647079871565,102.4925221249824,10,10,10,0,98.35291231207836,103.82276470588242,109.29261709968648,107.08959902793862,94.11450118747922,0,0,0,0,104.9250675881497,108.97282352941173,113.02057947067375,107.61531765009241,107.06716599550302,0,0,0,0,101.8842686980477,105.6854705882353,109.4866724784229,107.93647079871565,102.4925221249824,0,0,0,0,106.86707404377837,109.76458823529413,109.76458823529413,107.61531765009241,107.06716599550302,0,0,0,0,1.2009863562794225,,,,62.86642319796987,0.6197119199230176,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.618724464988183,3.098564956387479,,
1732127400,106.86,107.405,106.56,107.315,1.160474473328813,-0.3851507713361759,1.2085079155984602,1.593658686934636,-0.02848515139281313,105.77520586309379,,268750,123335316,57.45925727974154,21.224755521792186,-40,-60,10,30,50,,,,,,,,,,,107.93647079871565,102.4925221249824,0,0,0,0,0,0,0,0,0,0,107.93647079871565,102.4925221249824,15,15,30,15,98.35291231207836,103.82276470588242,109.29261709968648,107.08959902793862,94.11450118747922,0,0,0,0,105.10899753509192,109.16963529411765,113.23027305314339,107.61531765009241,107.06716599550302,0,0,0,0,102.15214189401,105.96951764705882,109.78689340010764,107.93647079871565,102.4925221249824,0,0,0,0,106.76537535741555,109.3485647058824,111.93175405434924,107.61531765009241,107.06716599550302,0,0,0,0,1.2009863562794225,,,,,0.5887457617672054,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.618724464988183,3.0950253150874363,,
1732199400,107.55,107.76,106.66,107.655,1.1561548680910414,-0.36206235764824823,1.141080739874326,1.5031430975225741,-0.00013890929929565658,105.77520586309379,,541994,123877310,59.126267532449354,21.224755521792186,-40,-60,10,30,50,,,,,,,,,,,107.93647079871565,102.4925221249824,0,0,0,0,0,0,0,0,0,0,107.93647079871565,102.4925221249824,10,10,10,10,98.35291231207836,103.82276470588242,109.29261709968648,107.08959902793862,94.11450118747922,0,0,0,0,105.30255903478637,109.37927058823541,113.45598214168446,107.61531765009241,107.06716599550302,0,0,0,0,102.15214189401,105.96951764705882,109.78689340010764,107.93647079871565,102.4925221249824,0,0,0,0,106.74413796715443,108.90090588235299,111.05767379755154,107.61531765009241,107.06716599550302,0,0,0,0,1.2009863562794225,,,,63.37692776587643,0.6041632032041736,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,2.655366265861286,3.179907328808866,,
1732213800,107.685,107.7,107.26,107.485,1.105000948941681,-0.35316395172232506,1.0616881578696677,1.4148521095919928,0.006862341140370661,105.77520586309379,,249750,123627560,57.90446796727183,21.224755521792186,-40,-60,10,30,50,,,,,,,,,,,107.93647079871565,102.4925221249824,0,0,0,0,0,0,0,0,0,0,107.93647079871565,102.4925221249824,15,15,15,10,98.88849968997133,104.55110588235301,110.2137120747347,107.08959902793862,94.11450118747922,0,0,0,0,105.46988768342378,109.54902352941183,113.62815937539987,107.61531765009241,107.06716599550302,0,0,0,0,102.42487364493532,106.28083529411765,110.13679694329998,107.93647079871565,102.4925221249824,0,0,0,0,106.70557415227717,108.49567058823541,110.28576702419366,107.61531765009241,107.06716599550302,0,0,0,0,1.1958842204647107,,,,,0.5751783374457109,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,2.655366265861286,3.1761198493278817,,
1732285800,107.8225,109.365,107.8225,109.03,1.160358024017275,-0.24337381136705494,1.1106348453831743,1.3540086567502292,-0.039943111769641756,105.77520586309379,,340710,123968270,64.98597628256496,21.224755521792186,-40,-60,10,30,50,,,,,,,,,,,107.93647079871565,102.4925221249824,0,0,0,0,0,0,0,0,0,0,107.93647079871565,102.4925221249824,25,10,10,10,98.88849968997133,104.55110588235301,110.2137120747347,107.08959902793862,94.11450118747922,0,0,0,0,105.71822489054304,109.83681176470593,113.95539863886881,108.06623939133611,107.06716599550302,0,0,0,0,102.42487364493532,106.28083529411765,110.13679694329998,107.93647079871565,102.4925221249824,0,0,0,0,106.92548852006769,108.27738823529428,109.62928795052088,108.06623939133611,107.06716599550302,0,0,0,0,1.1958842204647107,,,,67.32359004980867,0.6216391062660055,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.7348659647199334,3.3759969314554112,,
1732300200,109.015,109.175,108.725,109.04,1.1096181651588986,-0.1735074828607519,1.1371243031742893,1.3106317860350412,-0.0012432950945439822,105.77520586309379,,250968,124219238,65.02698526914438,22.889133961904104,-40,-60,10,30,50,,,,,,,,,,,107.93647079871565,102.49269911605508,0,0,0,0,0,0,0,0,0,0,107.93647079871565,102.49269911605508,30,15,15,25,98.88849968997133,104.55110588235301,110.2137120747347,107.08959902793862,94.11450118747922,0,0,0,0,105.95281382976223,110.1014235294119,114.25003322906157,108.12711457722348,107.06716599550302,0,0,0,0,102.75777801793625,106.71048235294116,110.66318668794607,107.93647079871565,102.49269911605508,0,0,0,0,107.0249853438811,108.20749411764709,109.39000289141308,108.12711457722348,107.06716599550302,0,0,0,0,1.1958842204647107,,,,,0.5638227318384941,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.7348659647199334,3.3715483740099805,,
1732545000,110.475,111.125,110.155,110.865,1.1792882962189768,-0.016102616078088383,1.2905035159374307,1.3066061320155191,0.08303030365254353,107.04753101586249,,500416,124719654,71.57102306256368,23.07925254730609,-40,-60,10,30,50,,,,,,,,,,,108.97571170378103,102.49269911605508,0,0,0,0,0,0,0,0,0,0,108.97571170378103,102.49269911605508,25,10,10,10,98.88849968997133,104.55110588235301,110.2137120747347,107.08959902793862,94.11450118747922,0,0,0,0,106.25100784853915,110.45643529411774,114.66186273969633,109.50482067885038,107.06716599550302,0,0,0,0,102.75777801793625,106.71048235294116,110.66318668794607,108.97571170378103,102.49269911605508,0,0,0,0,107.27439252321993,108.42994117647073,109.58548982972154,109.50482067885038,107.06716599550302,0,0,0,0,1.1958842204647107,,96.47825325487956,94.973675739164,69.8413533207403,0.6206207595975667,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.674627714279679,3.2938845536949155,,
1732559400,110.855,110.945,110.115,110.135,1.1543391322033354,0.02490085744205839,1.337732203818092,1.3128313463760337,-0.010302598192520074,107.04777791427624,,450534,124269120,66.23241550619842,24.84147413483251,-40,-60,10,30,50,,,,,,,,,,,108.97571170378103,102.49269911605508,0,0,0,0,0,0,0,0,0,0,108.97571170378103,102.49269911605508,45,15,45,35,99.55146322607567,105.50734117647065,111.46321912686562,108.41640387347347,94.11450118747922,0,0,0,0,106.49995173723491,110.7266352941177,114.95331885100049,109.78770252411078,108.41123760137293,0,0,0,0,103.11922906720886,107.18996470588232,111.26070034455577,108.97571170378103,102.49269911605508,0,0,0,0,107.4581195789437,108.63571764705884,109.81331571517399,109.78770252411078,108.41123760137293,0,0,0,0,1.2233071020705262,,,,,0.601230483553472,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.674627714279679,3.289661790645236,,
1732631400,110.11,110.665,109.97,110.53,1.121529194188812,0.06253484060186665,1.390999897128367,1.3284650565265004,0.09000857182303858,107.04777791427624,,341388,124610508,67.63901799790072,24.84147413483251,-40,-60,10,30,50,,,,,,,,,,,108.97571170378103,102.49269911605508,0,0,0,0,0,0,0,0,0,0,108.97571170378103,102.49269911605508,10,10,10,15,99.55146322607567,105.50734117647065,111.46321912686562,108.41640387347347,94.11450118747922,0,0,0,0,106.74772593927187,110.98068235294133,115.21363876661079,109.78770252411078,108.41123760137293,0,0,0,0,103.11922906720886,107.18996470588232,111.26070034455577,108.97571170378103,102.49269911605508,0,0,0,0,107.63156701149067,108.8100823529411,109.98859769439152,109.78770252411078,108.41123760137293,0,0,0,0,1.2233071020705262,,,,70.71316523936085,0.5985863886477963,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,2.547100787024281,3.0431489990731344,,
