time,open,high,low,close,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1755178200,114.35,114.845,114.15,114.835,1,20.5889861597292,5.853542173711087,0,0,0,0,0,0,5,0.8843468369529476,0.43081598755731276,0.9351913974721242,0.5043754099148114,0.20324074052086852,112.1630326591867,,655046,121520474,69.78638068591047,20.5889861597292,-40,-60,10,30,50,,,,,,,,,,,113.61858802174298,106.67207106975607,0,0,0,0,0,0,0,0,0,0,113.61858802174298,106.67207106975607,10,10,15,-0.23575274352941508,-0.3073709314699489,0,0,0.22530365367550834,1.5,0.10323421431725202,0.06357905025178828,0,0,0,0,-0.7610563972049234,,,,,0,0,0,107.45764838093196,113.94041176470574,120.42317514847953,112.21471764248703,106.00941200279999,0,0,0,0,110.877582807181,112.44351176470602,114.00944072223103,114.30815330238019,112.20153531451668,0,0,0,0,110.48029989261848,112.95082352941178,115.42134716620508,113.61858802174298,106.67207106975607,0,0,0,0,1.109521381633469,,,,65.17330646040246,0.45947824942329446
1755192600,114.84,114.98,114.735,114.795,1,21.245506204107993,6.339704016809808,0,0,0,0,0,0,5,0.8386792057420231,0.39920809707794225,1.0033855312622393,0.604177434184297,0.2407104976384854,112.44184395394122,,426890,121093584,69.38561512358305,21.245506204107993,-40,-60,10,30,50,,,,,,,,,,,113.89632079425797,106.67207106975607,0,0,0,0,0,0,0,0,0,0,113.89632079425797,106.67207106975607,30,30,30,0.04112834535326179,-0.29506532788445133,0.38244464884624635,0,0.10128168833369247,1.5,0.2768810888826769,0.22817763259060478,0,1,0,0,-0.24015334298043067,,,,,0,1,0,107.915741502592,114.49677647058832,121.07781143858463,112.73009495373796,106.00941200279999,0,0,0,0,111.04236428210083,112.67233529411769,114.30230630613454,114.30815330238019,112.7224970777655,0,0,0,0,110.72803846245623,113.29563529411767,115.86323212577912,113.89632079425797,106.67207106975607,0,0,0,0,1.1216653995847006,,,,,0.44383568454034883
1755264600,115.355,115.465,114.115,114.455,1,21.245506204107993,6.339704016809808,0,0,0,0,0,0,5,0.8752021196175935,0.3312635595249932,1.0182568835905386,0.6869933240655454,0.30201438352031396,112.44184395394122,,453970,120639614,65.92030173800522,21.245506204107993,-40,-60,10,30,50,,,,,,,,,,,113.89632079425797,106.67207106975607,0,0,0,0,0,0,0,0,0,0,113.89632079425797,106.67207106975607,10,10,15,0.04361003889271334,-0.3384249492286803,0.38244464884624635,0,0.16880281388948745,1.5,0.002481693539451546,0.22523670586075636,0,0,0,0,-0.4251927749967741,,,,,0,0,0,107.915741502592,114.49677647058832,121.07781143858463,112.73009495373796,106.00941200279999,0,0,0,0,111.1893771891601,112.86471176470585,114.54004634025159,114.30815330238019,112.7224970777655,0,0,0,0,110.72803846245623,113.29563529411767,115.86323212577912,113.89632079425797,106.67207106975607,0,0,0,0,1.1216653995847006,,,,63.65285647155496,0.4831667030632226
1755279000,114.4525,114.655,114.24,114.5175,1,21.08724210873772,6.339704016809808,0,0,0,0,0,0,5,0.8423305396449088,0.2690372735024382,1.023289915943593,0.7542526424411549,0.28640122201534096,112.44184395394122,,301046,120940660,66.25394462605284,21.08724210873772,-40,-60,10,30,50,,,,,,,,,,,113.89632079425797,107.446749067148,0,0,0,0,0,0,0,0,0,0,113.89632079425797,107.446749067148,15,15,30,-0.5568154224583298,-0.6273724733399093,0.21544047366204663,0,0.16880281388948745,1.5,-0.6004254613510431,-0.39642216857868606,0,1,0,0,-0.9056182363478174,,,,,0,0,0,107.915741502592,114.49677647058832,121.07781143858463,112.73009495373796,106.00941200279999,0,0,0,0,111.33470103824514,113.05287058823536,114.77104013822559,114.30815330238019,112.7224970777655,0,0,0,0,110.95232961279838,113.59104705882352,116.22976450484866,113.89632079425797,107.446749067148,0,0,0,0,1.1216653995847006,,,,,0.43635845775347715
1755523800,114.38,115.02,114.315,114.995,1,21.08724210873772,6.339704016809808,0,0,0,0,0,0,4,0.832521215384558,0.23952822161292375,1.0536629194573095,0.8141346978443857,0.27565050425100585,112.44184395394122,,538006,121478666,68.76954946975073,21.08724210873772,-40,-60,10,30,50,,,,,,,,,,,113.89632079425797,107.446749067148,0,0,0,0,0,0,0,0,0,0,113.89632079425797,107.446749067148,10,10,15,-0.869772467215685,-0.7912951869325334,0.14836749929362764,0,0.16880281388948745,1.5,-0.3129570447573552,-0.5307855093690179,0,0,0,0,-1.3385752811051725,,,,,1,0,0,107.915741502592,114.49677647058832,121.07781143858463,112.73009495373796,106.00941200279999,0,0,0,0,111.50044077930055,113.27487647058837,115.04931216187619,114.30815330238019,112.7224970777655,0,0,0,0,110.95232961279838,113.59104705882352,116.22976450484866,113.89632079425797,107.446749067148,0,0,0,0,1.1216653995847006,,92.14740924058127,78.71480575192867,65.1187558906043,0.4656696114425655
1755538200,115,115.155,114.82,114.97,1,21.13017144818607,6.538797988016793,0,0,0,0,0,0,4,0.796983985714233,0.1994583021642784,1.0634575755497337,0.8639992733854553,0.259176872765586,112.71564806818083,,438332,121040334,68.48171331725118,21.13017144818607,-40,-60,10,30,50,,,,,,,,,,,114.02301601428576,107.446749067148,0,0,0,0,0,0,0,0,0,0,114.02301601428576,107.446749067148,30,45,35,-1.0311287310140524,-0.8293219647680177,0.11305864519178532,0,0.09979557094618863,1.5,-0.16135626379836743,-0.7953759874846373,0,0,0,0,-1.310924301960241,,,,,0,0,0,108.4761642288265,115.19909411764705,121.9220240064676,112.94115330194751,106.00941200279999,0,0,0,0,111.66881909581619,113.49572941176469,115.32263972771318,114.46959344494206,112.90467860276719,0,0,0,0,111.15775503603547,113.79710588235304,116.4364567286706,114.02301601428576,107.446749067148,0,0,0,0,1.121654080871953,,,,,0.4507135173845038
1755610200,115.15,116.035,114.745,114.93,1,21.13017144818607,6.538797988016793,0,0,0,0,0,0,5,0.832199415306073,0.15345769614331528,1.0558213935645995,0.9023636974212842,0.16504036944446532,112.95833326136275,,916886,120123448,67.99136175065382,21.13017144818607,-40,-60,10,30,50,,,,,,,,,,,114.02301601428576,107.446749067148,0,0,0,0,0,0,0,0,0,0,114.02301601428576,107.446749067148,10,10,15,-1.333674048423019,-1,0,0,0.16632595157698105,1.5,-0.3025453174089665,-1.3748023937762808,1,0,0,0,-1.8,,,,,1,0,1,108.4761642288265,115.19909411764705,121.9220240064676,112.94115330194751,106.00941200279999,0,0,0,0,111.80428936176536,113.6621470588235,115.52000475588166,114.46959344494206,112.90467860276719,0,0,0,0,111.15775503603547,113.79710588235304,116.4364567286706,114.02301601428576,107.446749067148,0,0,0,0,1.121654080871953,,,,64.78233725845116,0.4815226669113553
1755624600,114.925,115.035,114.67,114.92,1,21.35695660667303,6.874269999685305,0,0,0,0,0,0,5,0.798828028498496,0.10771604723905337,1.037008756470101,0.9292927092310476,0.2223105939531065,112.95833326136275,,505300,119618148,67.86054150425608,21.35695660667303,-40,-60,10,30,50,,,,,,,,,,,114.02301601428576,107.446749067148,0,0,0,0,0,0,0,0,0,0,114.02301601428576,107.446749067148,15,30,30,-1.6636636817555144,-1,-0.23920085065082686,0,0.07553716889531258,1.5,-0.3299896333324954,-1.7072737206482278,1,0,1,0,-2.039200850650827,,,,,0,0,0,108.4761642288265,115.19909411764705,121.9220240064676,113.29678520895126,106.00941200279999,0,0,0,0,111.9251795674259,113.79547058823535,115.6657616090448,114.46959344494206,113.28113013114097,0,0,0,0,111.3585357893241,114.02916470588241,116.69979362244072,114.02301601428576,107.446749067148,0,0,0,0,1.121654080871953,,,,,0.4392336011283642
1755696600,115.35,115.385,113.095,113.715,1,21.35695660667303,6.874269999685305,0,0,0,0,0,0,7,0.9053403121771754,-0.011973054463725097,0.9143263911513912,0.9262994456151163,0.0996222774067573,112.95833326136275,,1126938,118491210,54.3021048201589,21.35695660667303,-40,-60,10,30,50,,,,,,,,,,,114.02301601428576,107.446749067148,0,0,0,0,0,0,0,0,0,0,114.02301601428576,107.446749067148,-10,-10,0,-1.6133055691586393,-1,-0.23920085065082686,0,0.12589528149218762,1.5,0.05035811259687506,-1.0564901467003096,1,0,0,0,-2.039200850650827,,,,,0,0,0,108.4761642288265,115.19909411764705,121.9220240064676,113.29678520895126,106.00941200279999,0,0,0,0,111.97320313775047,113.81931176470597,115.66542039166147,114.46959344494206,113.28113013114097,0,0,0,0,111.3585357893241,114.02916470588241,116.69979362244072,114.02301601428576,107.446749067148,0,0,0,0,1.121654080871953,,,,58.11048664173015,0.4939011271613424
1755711000,113.71,114.08,113.48,113.79,1,20.350272642265413,6.874269999685305,0,0,0,0,0,0,7,0.8835302898788052,-0.09002278779263528,0.8137709608743222,0.9037937486669575,0.057159411793331144,112.95833326136275,,736730,119227940,54.90601151745881,20.350272642265413,-40,-60,10,30,50,,,,,,,,,,,114.02301601428576,107.446749067148,0,0,0,0,0,0,0,0,0,0,114.02301601428576,107.446749067148,-5,-5,10,-1.6133055691586393,-1,-0.23920085065082686,0,0.12589528149218762,1.5,0,-0.7435331019429544,0,0,0,0,-1.919200850650827,,,,,0,0,0,108.91890783293668,115.72952941176474,122.5401509905928,113.29678520895126,106.00941200279999,0,0,0,0,112.02331292447035,113.85070588235294,115.67809884023553,114.46959344494206,113.28113013114097,0,0,0,0,111.50693946401151,114.186294117647,116.86564877128248,114.02301601428576,107.446749067148,0,0,0,0,1.108169597080645,,,,,0.4249709669738603
