time,open,high,low,close,SRI Bias Histogram,STH MVRV,MVRV SMA,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Stage 4 to 1,Stage 1 to 2,Stage 2 to 3,Stage 3 to 4,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Deviation Dot,Max Risk,Median Risk,Min Risk,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1689120000,30631,30960,30219,30382,35,1.3308625185766758,,28964.565863586722,30927.143529411765,32889.72119523681,30402.229525982173,27189.543892408943,0,0,0,0,,,,1734.61976884,1.1252944835310248,-431920.32244116,31901.100000000002,587065.8540096715,49893.13148064764,9661.540601760104,0.12838117897826584,0.4477764981214576,-0.0009584999999999997,-0.0007667999999999998,-0.0005750999999999998,-0.0003833999999999999,-0.00019169999999999994,-0.0009584999999999997,0,1.4877956640485435,0.680925199265667,,
1689206400,30383,31818,30259,31471,35,1.3631442827222058,,29102.285171080162,31092.49882352941,33082.71247597866,30671.082435128763,27189.543892408943,0,0,0,0,,,,3038.41085113,1.1632635638228732,3305791.00602944,33044.55,587320.6665667006,49908.147279428675,9665.734137883452,0.13464836845753614,0.4663883200142956,0.0007820000000000017,0.0006256000000000013,0.000469200000000001,0.00031280000000000066,0.00015640000000000033,0,0.0007820000000000017,1.5394744501362598,0.7532945969715611,,
1689292800,31474,31635,29961,30331,10,1.3631442827222058,,29175.1796338935,31163.348235294117,33151.51683669474,30742.476176005875,27189.543892408943,0,0,0,0,,,,2687.88498106,1.1188500557365837,-3072252.53335158,31847.550000000003,587541.1269139136,49920.23947600723,9669.362328113099,0.13250774471890514,0.44462962490972785,-0.005344999999999997,-0.004275999999999998,-0.003206999999999998,-0.002137999999999999,-0.0010689999999999994,-0.005344999999999997,0,1.4845296321074737,0.6765391913928089,,
1689379200,30328,30403,30260,30301,10,1.3091994954598354,,29245.032269238804,31232.40235294118,33219.77243664356,30637.03471085479,27189.543892408943,0,0,0,0,,,,483.23087175,1.1154439897686053,-13047.23353725,31816.050000000003,587760.1607806421,49937.669293009945,9672.967042272685,0.13044095867538164,0.4070231612313465,0.0032049999999999995,0.0025639999999999994,0.0019229999999999996,0.0012819999999999997,0.0006409999999999999,0,0.0032049999999999995,1.4823925492491974,0.6735490887341532,,
1689465600,30300,30442,30067,30253,50,1.3091994954598354,,29309.40900290686,31295.45882352941,33281.50864415196,30607.881970073773,27476.79075723688,0,0,0,0,,,,999.67578186,1.1114636207307254,-46984.76174742,31765.65,587977.2223352303,49954.93068927117,9676.539297426705,0.1287409711969687,0.4456326666104075,0.0010960000000000017,0.0008768000000000014,0.000657600000000001,0.0004384000000000007,0.00021920000000000034,0,0.0010960000000000017,1.4806687792359459,0.6711638451545455,,
1689552000,30247,30341,29675,30154,40,1.299833914761451,,29395.262880970626,31390.872941176473,33386.48300138232,30510.588925256234,27476.79075723688,0,0,0,0,63.4147871503466,60.239676404397024,60.86799124694116,1810.6123199,1.1056343025841424,-168386.94575070002,31661.7,588190.759925538,49972.223695197994,9680.053557512978,0.12514746238919328,0.4418230004756379,0.0032530000000000016,0.0026024000000000012,0.001951800000000001,0.0013012000000000006,0.0006506000000000003,0,0.0032530000000000016,1.4758509305525869,0.6642431010277233,,
1689638400,30144,30244,29521,29868,15,1.299833914761451,,29448.304363725456,31446.261176470587,31446.261176470587,30141.714102373946,27476.79075723688,0,0,0,0,,,,1637.26704348,1.0930590230245179,-451885.70400048,31361.4,588395.0387741773,49988.72949687897,9683.415443367401,0.11900129131406745,0.4294801097831749,0.002044500000000001,0.001635600000000001,0.0012267000000000007,0.0008178000000000005,0.00040890000000000024,0,0.002044500000000001,1.4607687756414403,0.6433645718704736,,
1689724800,29862,30188,29757,29919,15,1.2862191116537407,,29499.368964670597,31498.903529411764,31498.903529411764,30141.714102373946,27476.79075723688,0,0,0,0,,,,1446.88531668,1.092936400834671,82472.46305076,31414.95,588600.3723970857,49994.84210368393,9686.79468799743,0.11437870807173112,0.4196643016406593,0.0026595,0.0021276,0.0015956999999999998,0.0010638,0.0005319,0,0.0026595,1.4637190552663728,0.6477136954497555,,
1689811200,29917,30414,29567,29806,20,1.2862191116537407,,29525.724199951073,31518.08470588235,31518.08470588235,30141.714102373946,27476.79075723688,0,0,0,0,,,,1431.36195596,1.0874056743664935,-158881.17711155998,31296.300000000003,588801.7216302642,50000.6110215235,9690.108360182927,0.10354186672081989,0.43578753124596337,0.004043500000000002,0.003234800000000001,0.002426100000000001,0.0016174000000000006,0.0008087000000000003,0,0.004043500000000002,1.4574421792035008,0.6390176763201689,,
1689897600,29806,30051,29735,29908,-10,1.282113049661435,,29545.8913615225,31523.37882352941,31523.37882352941,30109.990763385467,27476.79075723688,0,0,0,0,,,,1197.73385418,1.0894890606672147,122168.85312636,31403.4,589005.6980669467,50015.18390165941,9693.465269141863,0.09934743885376718,0.4165883242989149,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.4633748089145673,0.6471165758152,,
1689984000,29908,29995,29640,29789,-10,1.282113049661435,,29561.527291867213,31529.18117647059,31529.18117647059,30045.6365891056,27476.79075723688,0,0,0,0,,,,630.39179913,1.083827287886697,-75016.62409647,31278.45,589205.5031991693,50029.40084395546,9696.753529537564,0.09483076715635153,0.4272545110214873,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.4516455235546089,0.6307161269654346,,
1690070400,29790,30342,29742,30085,-5,1.2861539675105924,,29588.909189163445,31544.995294117645,33501.081399071845,30045.6365891056,27476.79075723688,0,0,0,0,,,,766.46726746,1.0931995599233961,226107.8439007,31589.25,589413.8812763399,50045.765917560355,9700.182877777374,0.09222161561244735,0.43907754286023915,0.004354,0.0034832000000000005,0.0026124000000000004,0.0017416000000000003,0.0008708000000000001,0,0.004354,1.469940857862096,0.6563498472899304,,
1690156800,30085,30099,28842,29177,-10,1.2861539675105924,,29547.16827861592,31485.18588235294,31485.18588235294,29414.31847784206,27476.79075723688,0,0,0,0,62.80291181011628,61.275765732223725,57.61269007183451,2817.83813249,1.0589937670091238,-2558597.0243009203,30635.850000000002,589593.5941562534,50059.696256403775,9703.140473205696,0.0855586819588734,0.4426166064867811,0.0016790000000000008,0.0013432000000000006,0.0010074000000000003,0.0006716000000000003,0.00033580000000000014,0,0.0016790000000000008,1.4270352495350433,0.5962960988799407,,
1690243200,29176,29362,29054,29224,-10,1.2460169006645834,,29488.49998216423,31368.75764705882,31368.75764705882,29389.308198184764,27476.79075723688,0,0,0,0,,,,1213.4912944,1.059612625655485,58247.582131200004,30685.2,589774.289807327,50073.52506411085,9706.114242430198,0.08078062519186857,0.3960215289353501,0.004586999999999999,0.0036695999999999994,0.0027522,0.0018347999999999997,0.0009173999999999999,0,0.004586999999999999,1.4302781395904842,0.6007975821097153,,
1690329600,29224,29678,29100,29354,-10,1.2460169006645834,,29452.516281927838,31314.10352941177,31314.10352941177,29389.308198184764,27476.79075723688,0,0,0,0,,,,1517.24148332,1.0631066452606162,197241.3928316,30821.7,589958.5676302377,50087.65711775847,9709.14696466382,0.07651923153843221,0.4196554964916627,-0.0012159999999999992,-0.0009727999999999994,-0.0007295999999999995,-0.0004863999999999997,-0.00024319999999999984,-0.0012159999999999992,0,1.4356351949682469,0.6082604891844942,,
1690416000,29353,29563,29081,29219,-10,1.2421296322960913,,29390.129761481676,31208.463529411765,31208.463529411765,29389.308198184764,27476.79075723688,0,0,0,0,,,,1313.64370824,1.0569748820136577,-176028.25690416,30679.95,590138.109842151,50097.98497443293,9712.101751351349,0.07217197548802701,0.41006292957152535,0.0031655000000000008,0.0025324000000000006,0.0018993000000000005,0.0012662000000000003,0.0006331000000000002,0,0.0031655000000000008,1.4297741811427718,0.5994757042358128,,
1690502400,29214,29525,29121,29317,-10,1.2421296322960913,,29332.817603512096,31110.157647058826,31110.157647058826,29389.308198184764,27476.79075723688,0,0,0,0,,,,1241.48419113,1.0591905358170108,127872.87168639,30782.850000000002,590320.2343878661,50108.529520503944,9715.099036376503,0.06784361479514067,0.4027515161035742,0.0015704999999999998,0.0012564,0.0009423,0.0006282,0.0003141,0,0.0015704999999999998,1.439638045247581,0.6111124150148138,,
1690588800,29316,29404,29251,29360,-10,1.2446874182035395,,29274.815555500343,31007.545882352944,31007.545882352944,29389.308198184764,27476.79075723688,0,0,0,0,,,,402.48554375,1.0592204995522956,17709.363924999998,30828,590503.2092018606,50107.68043992481,9718.110314553276,0.06432835931879777,0.39709162663394065,0.0013065000000000012,0.001045200000000001,0.0007839000000000007,0.0005226000000000005,0.0002613000000000002,0,0.0013065000000000012,1.4419967674723917,0.6144124995378529,,
