time,open,high,low,close,Fair Value,Bottom Band,Top Band,Likely Bottom,Likely Top,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,LOI,Deep Accumulate,Accumulate,Trim 25%,Trim 50%,Trim 75%,Exit 100%,LT Fast Trackline,LT Slow Trackline,AB2 Bull Put,AB2 Bear Call,AB2 Iron Condor,AB2 Conservative,LT Fast Trackline,LT Slow Trackline,AB1 Strong Bull,AB1 Strong Bear,AB1 Exit FTL,AB1 Exit Time,Stage 1 Armed
1735675200,94025,94059,93227,93381,192.06365575393508,153.65092460314807,288.0954836309026,,93381,-20,-5,-30,20,92325.72663024958,93229.56705882352,93229.56705882352,93792.53739018561,98756.48354950183,0,0,0,0,90762.07110393424,106076.79999999999,121391.52889606573,94799.7781143858,81889.150589767,0,0,0,0,91355.24588225136,93263.03529411765,93263.03529411765,93792.53739018561,98756.48354950183,0,0,0,0,95371.22131248831,99531.71294117648,99531.71294117648,94077.81181739533,86064.332668945,0,0,0,0,8.651946261099342,,,,,,,94077.81181739533,86064.332668945,0,0,0,0,94077.81181739533,86064.332668945,0,0,0,0,0
1735689600,93347,94272,93318,93629,192.06365575393508,153.65092460314807,288.0954836309026,,93629,-15,-10,-15,25,92280.70417229008,93186.37411764706,93186.37411764706,93792.53739018561,98756.48354950183,0,0,0,0,90762.07110393424,106076.79999999999,121391.52889606573,94799.7781143858,81889.150589767,0,0,0,0,91152.66529296763,93045.8705882353,93045.8705882353,93792.53739018561,98756.48354950183,0,0,0,0,95371.22131248831,99531.71294117648,99531.71294117648,94077.81181739533,86064.332668945,0,0,0,0,8.651946261099342,,,,,,,94077.81181739533,86064.332668945,0,0,0,0,94077.81181739533,86064.332668945,0,0,0,0,0
1735704000,93629,93668,93338,93475,192.06365575393508,153.65092460314807,288.0954836309026,,93475,-15,-10,-15,20,92257.37394360169,93161.12470588235,93161.12470588235,93792.53739018561,98756.48354950183,0,0,0,0,90762.07110393424,106076.79999999999,121391.52889606573,94799.7781143858,81889.150589767,0,0,0,0,90979.84409765922,92888.1294117647,92888.1294117647,93792.53739018561,98756.48354950183,0,0,0,0,95371.22131248831,99531.71294117648,99531.71294117648,94077.81181739533,86064.332668945,0,0,0,0,8.651946261099342,,,,,,,94077.81181739533,86064.332668945,0,0,0,0,94077.81181739533,86064.332668945,0,0,0,0,0
1735718400,93495,93541,92768,93278,192.06365575393508,153.65092460314807,288.0954836309026,,93278,-15,-10,-15,15,92188.4481904535,93096.29411764705,93096.29411764705,93792.53739018561,98756.48354950183,0,0,0,0,90762.07110393424,106076.79999999999,121391.52889606573,94799.7781143858,81889.150589767,0,0,0,0,90773.92620962445,92696.53176470588,92696.53176470588,93792.53739018561,98756.48354950183,0,0,0,0,95371.22131248831,99531.71294117648,99531.71294117648,94077.81181739533,86064.332668945,0,0,0,0,8.651946261099342,,,,,,,94077.81181739533,86064.332668945,0,0,0,0,94077.81181739533,86064.332668945,0,0,0,0,0
1735732800,93261,94281,93204,94240,192.06365575393508,153.65092460314807,288.0954836309026,,94240,-15,-10,-15,20,92279.09847050383,93178.30588235294,94077.51329420206,93792.53739018561,98756.48354950183,0,0,0,0,90762.07110393424,106076.79999999999,121391.52889606573,94799.7781143858,81889.150589767,0,0,0,0,90655.94967576538,92576.90588235293,94497.86208894048,93792.53739018561,98756.48354950183,0,0,0,0,95371.22131248831,99531.71294117648,99531.71294117648,94077.81181739533,86064.332668945,0,0,0,0,8.651946261099342,,,,,,,94077.81181739533,86064.332668945,0,0,0,0,94077.81181739533,86064.332668945,0,0,0,0,0
1735747200,94213,94600,93562,94419,192.06365575393508,153.65092460314807,288.0954836309026,,94419,-15,-10,-15,15,92381.1633253616,93276.61176470589,94172.06020405017,93792.53739018561,98756.48354950183,0,0,0,0,90762.07110393424,106076.79999999999,121391.52889606573,94799.7781143858,81889.150589767,0,0,0,0,90558.82036957421,92478.5411764706,94398.26198336697,93792.53739018561,98756.48354950183,0,0,0,0,95371.22131248831,99531.71294117648,99531.71294117648,94077.81181739533,86064.332668945,0,0,0,0,8.651946261099342,,,,,,,94077.81181739533,86064.332668945,0,0,0,0,94077.81181739533,86064.332668945,0,0,0,0,0
1735761600,94423,94951,94357,94388,194.13905521216554,155.31124416973245,291.2085828182483,,94388,-20,-35,-20,-20,92588.67397952717,93473.24470588236,94357.81543223755,93792.53739018561,98719.62101972352,0,0,0,0,90762.07110393424,106076.79999999999,121391.52889606573,94799.7781143858,81889.150589767,0,0,0,0,90659.53928239325,92534.20470588235,94408.87012937145,93792.53739018561,98719.62101972352,0,0,0,0,95036.74487972994,99030.75764705884,99030.75764705884,94077.81181739533,86064.332668945,0,0,0,0,9.62880910379307,,,,,,,94077.81181739533,86064.332668945,0,0,0,0,94077.81181739533,86064.332668945,0,0,0,0,0
1735776000,94380,95300,94205,94833,194.13905521216554,155.31124416973245,291.2085828182483,,94833,-15,-20,-15,15,92848.98162741137,93718.0117647059,94587.04190200042,93870.88298214632,98719.62101972352,0,0,0,0,90762.07110393424,106076.79999999999,121391.52889606573,94799.7781143858,81889.150589767,0,0,0,0,90765.21592020118,92607.8705882353,94450.52525626941,93870.88298214632,98719.62101972352,0,0,0,0,95036.74487972994,99030.75764705884,99030.75764705884,94077.81181739533,86064.332668945,0,0,0,0,9.62880910379307,,,,,,,94077.81181739533,86064.332668945,0,0,0,0,94077.81181739533,86064.332668945,0,0,0,0,0
1735790400,94836,95811,94819,95700,194.13905521216554,155.31124416973245,291.2085828182483,,95700,0,-20,0,15,93158.12221641897,94070.88705882353,94983.65190122809,94459.4348162384,98719.62101972352,0,0,0,0,90762.07110393424,106076.79999999999,121391.52889606573,94799.7781143858,81889.150589767,0,0,0,0,91021.11567309474,92796.63764705881,94572.15962102289,94459.4348162384,98719.62101972352,0,0,0,0,95036.74487972994,99030.75764705884,99030.75764705884,94077.81181739533,86064.332668945,0,0,0,0,9.62880910379307,,,,,,,94077.81181739533,86064.332668945,0,0,0,0,94077.81181739533,86064.332668945,0,0,0,0,0
1735804800,95699,96747,95489,96618,194.13905521216554,155.31124416973245,291.2085828182483,,96618,-10,-20,-10,10,93554.91891613169,94595.07764705885,95635.236377986,95624.405530328,98719.62101972352,0,0,0,0,90762.07110393424,106076.79999999999,121391.52889606573,94799.7781143858,81889.150589767,0,0,0,0,91297.49560401918,93038.13882352941,94778.78204303965,95624.405530328,98719.62101972352,0,0,0,0,95036.74487972994,99030.75764705884,99030.75764705884,94305.68939068657,86064.332668945,0,0,0,0,9.67845457673999,,,,,,,94305.68939068657,86064.332668945,0,0,0,0,94305.68939068657,86064.332668945,0,0,0,0,0
