time,open,high,low,close,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,Reversal Support,Reversal Robust Fit,Reversal Resistance,Fast Trackline,Slow Trackline,SRI Bias Histogram
1759435200,120932,121012,120159,120612,110828.7413742796,114760.24470588235,118691.74803748509,118025.58043405862,100777.20083834199,110673.76546173773,113699.86588235295,116725.96630296818,119109.18157161839,108519.82570793774,114176.12303286395,117680.96235294116,121185.80167301837,119418.43342353501,115809.59105275181,117175.77793859167,119980.44470588234,122785.11147317302,119418.43342353501,118025.58043405862,35
1759449600,120645,120655,119942,120324,110828.7413742796,114760.24470588235,118691.74803748509,118025.58043405862,100777.20083834199,110673.76546173773,113699.86588235295,116725.96630296818,119109.18157161839,108519.82570793774,114624.10434893826,118279.03294117647,121933.96153341468,119418.43342353501,115809.59105275181,117544.2064829083,120369.49176470588,123194.77704650346,119418.43342353501,118025.58043405862,20
1759464000,120324,120421,119722,119740,110828.7413742796,114760.24470588235,118691.74803748509,118328.96754591158,100777.20083834199,110673.76546173773,113699.86588235295,116725.96630296818,119109.18157161839,108519.82570793774,115037.36840493469,118810.50352941174,122583.63865388879,119418.43342353501,115809.59105275181,117850.31202851498,120663.36705882353,123476.42208913207,119418.43342353501,118328.96754591158,20
1759478400,119741,120635,119353,120420,110828.7413742796,114760.24470588235,118691.74803748509,118328.96754591158,100777.20083834199,110673.76546173773,113699.86588235295,116725.96630296818,119109.18157161839,108519.82570793774,115444.1748470554,119349.99294117648,123255.81103529755,119496.60556171299,115809.59105275181,118170.56886302849,120959.51764705883,123748.46643108918,119496.60556171299,118328.96754591158,20
1759492800,120430,122443,120009,122355,110828.7413742796,114760.24470588235,118691.74803748509,118328.96754591158,100777.20083834199,110673.76546173773,113699.86588235295,116725.96630296818,119109.18157161839,108519.82570793774,115890.98446432193,119988.72000000002,124086.4555356781,119496.60556171299,115809.59105275181,118548.24699245549,121357.15764705882,124166.06830166215,119496.60556171299,118328.96754591158,20
1759507200,122367,123966,121565,122782,110828.7413742796,114760.24470588235,118691.74803748509,118328.96754591158,100777.20083834199,110673.76546173773,113699.86588235295,116725.96630296818,120350.51068615553,108519.82570793774,116335.36055738118,120619.36235294117,124903.36414850116,120747.7756629313,115809.59105275181,119013.5125477985,121944.49176470586,124875.47098161322,120747.7756629313,118328.96754591158,10
1759521600,122782,122825,122116,122308,111151.75034516373,115128.10823529412,119104.4661254245,119987.41589417886,100777.20083834199,111375.99073772326,114571.84941176469,117767.70808580612,120937.61706571584,108519.82570793774,116762.01145745964,121197.75294117647,125633.4944248933,121342.0102519898,116659.90597755525,119453.85291950332,122484.62588235295,125515.39884520258,121342.0102519898,119987.41589417886,40
1759536000,122329,122398,121786,122324,111151.75034516373,115128.10823529412,119104.4661254245,119987.41589417886,100777.20083834199,111375.99073772326,114571.84941176469,117767.70808580612,120937.61706571584,108519.82570793774,117125.30230675175,121661.60470588235,126197.90710501294,121342.0102519898,116659.90597755525,119836.91540377495,122921.77647058823,126006.6375374015,121342.0102519898,119987.41589417886,20
1759550400,122324,122885,122310,122420,111151.75034516373,115128.10823529412,119104.4661254245,120242.60047316608,100777.20083834199,111375.99073772326,114571.84941176469,117767.70808580612,121212.28206176519,108519.82570793774,117472.7134873338,122087.75529411764,126702.79710090149,121528.10992313309,116659.90597755525,120223.13335041146,123359.39529411767,126495.65723782388,121528.10992313309,120242.60047316608,20
1759564800,122409,122612,122047,122061,111151.75034516373,115128.10823529412,119104.4661254245,120242.60047316608,100777.20083834199,111375.99073772326,114571.84941176469,117767.70808580612,121212.28206176519,108519.82570793774,117799.02986737179,122478.86352941177,127158.69719145175,121528.10992313309,116659.90597755525,120513.67285257099,123615.02823529411,126716.38361801724,121528.10992313309,120242.60047316608,20
1759579200,122048,122560,121790,121871,111151.75034516373,115128.10823529412,119104.4661254245,120298.12901079709,100777.20083834199,111375.99073772326,114571.84941176469,117767.70808580612,121212.28206176519,108519.82570793774,118096.90633997087,122816.4894117647,127536.07248355854,121528.10992313309,116659.90597755525,120751.74676834175,123717.11764705883,126682.4885257759,121528.10992313309,120298.12901079709,20
1759593600,121871,122041,121575,122036,111151.75034516373,115128.10823529412,119104.4661254245,120298.12901079709,100777.20083834199,111375.99073772326,114571.84941176469,117767.70808580612,121212.28206176519,108519.82570793774,118383.94784106819,123129.28705882352,127874.62627657886,121528.10992313309,116659.90597755525,120932.06097906397,123724.30588235293,126516.55078564188,121528.10992313309,120298.12901079709,10
1759608000,122052,122472,121944,122441,111151.75034516373,115128.10823529412,119104.4661254245,120298.12901079709,100777.20083834199,112021.43748119348,115407.0305882353,118792.62369527711,121212.28206176519,108519.82570793774,118673.4460952597,123439.21647058823,128204.98684591676,121552.44921744264,118980.69840772988,121131.15839752271,123755.74117647059,126380.32395541847,121552.44921744264,120298.12901079709,35
1759622400,122458,124383,122209,123853,111151.75034516373,115128.10823529412,119104.4661254245,120298.12901079709,100777.20083834199,112021.43748119348,115407.0305882353,118792.62369527711,121212.28206176519,108519.82570793774,119014.90103707837,123833.63529411764,128652.36955115692,121694.11692728473,118980.69840772988,121386.38593479386,123858.22588235294,126330.06582991203,121694.11692728473,120298.12901079709,20
1759636800,123831,125725,123793,124752,111151.75034516373,115128.10823529412,119104.4661254245,120612.00409604442,100777.20083834199,112021.43748119348,115407.0305882353,118792.62369527711,122679.19302587394,108519.82570793774,119385.525970327,124281.67764705882,129177.82932379065,123850.99877913836,118980.69840772988,121779.66265974034,124169.24705882353,126558.83145790672,123850.99877913836,120612.00409604442,20
1759651200,124745,124865,122538,123491,111151.75034516373,115128.10823529412,119104.4661254245,120612.00409604442,100777.20083834199,112021.43748119348,115407.0305882353,118792.62369527711,122679.19302587394,108519.82570793774,119680.87384416958,124593.82117647058,129506.76850877158,123850.99877913836,118980.69840772988,121995.57175829956,124140.96470588236,126286.35765346517,123850.99877913836,120612.00409604442,10
1759665600,123477,123477,122723,122843,111151.75034516373,115128.10823529412,119104.4661254245,120888.86094632697,100777.20083834199,112021.43748119348,115407.0305882353,118792.62369527711,122679.19302587394,108519.82570793774,119924.2347066224,124816.12000000001,129708.00529337762,123850.99877913836,118980.69840772988,122137.5358954162,124161.57647058823,126185.61704576027,123850.99877913836,120888.86094632697,20
1759680000,122841,123491,122355,122629,111151.75034516373,115128.10823529412,119104.4661254245,120888.86094632697,100777.20083834199,112021.43748119348,115407.0305882353,118792.62369527711,122679.19302587394,108519.82570793774,120138.5738327111,124986.51058823531,129834.44734375952,123850.99877913836,118980.69840772988,122239.80047857446,124143.15058823531,126046.50069789616,123850.99877913836,120888.86094632697,10
1759694400,122629,123579,122518,123519,111506.13912265464,115542.24705882354,119578.35499499245,120888.86094632697,100777.20083834199,112697.7481876417,116314.72235294119,119931.69651824067,122679.19302587394,108519.82570793774,120384.85537243892,125198.59529411765,130012.33521579638,123850.99877913836,119548.86280717775,122359.10292119859,124113.70352941177,125868.30413762495,123850.99877913836,120888.86094632697,35
1759708800,123519,124387,123148,123914,111506.13912265464,115542.24705882354,119578.35499499245,120888.86094632697,100777.20083834199,112697.7481876417,116314.72235294119,119931.69651824067,122679.19302587394,108519.82570793774,120635.33535376984,125408.8282352941,130182.32111681836,123850.99877913836,119548.86280717775,122549.49520922323,124239.00705882354,125928.51890842385,123850.99877913836,120888.86094632697,20
1759723200,123903,124189,123344,123437,111506.13912265464,115542.24705882354,119578.35499499245,121556.3545914758,100777.20083834199,112697.7481876417,116314.72235294119,119931.69651824067,122679.19302587394,108519.82570793774,120845.77805198988,125556.28470588234,130266.7913597748,123850.99877913836,119548.86280717775,122667.62235541428,124287.16705882353,125906.71176223278,123850.99877913836,121556.3545914758,10
1759737600,123436,124517,123436,124269,111506.13912265464,115542.24705882354,119578.35499499245,121556.3545914758,100777.20083834199,112697.7481876417,116314.72235294119,119931.69651824067,122679.19302587394,108519.82570793774,121084.21762682054,125728.41176470589,130372.60590259124,123850.99877913836,119548.86280717775,122834.9621448692,124364.84705882354,125894.73197277787,123850.99877913836,121556.3545914758,20
1759752000,124268,125469,124233,125067,111506.13912265464,115542.24705882354,119578.35499499245,121812.82926351324,100777.20083834199,112697.7481876417,116314.72235294119,119931.69651824067,123087.9975903076,108519.82570793774,121348.05695277864,125930.40705882352,130512.7571648684,123850.99877913836,119548.86280717775,123068.35722300113,124564.10117647059,126059.84512994005,123850.99877913836,121812.82926351324,20
1759766400,125067,126272,124886,125481,111506.13912265464,115542.24705882354,119578.35499499245,121812.82926351324,100777.20083834199,112697.7481876417,116314.72235294119,119931.69651824067,123723.78347671419,108519.82570793774,121617.7807784761,126122.41411764706,130627.04745681802,124250.91015762032,119548.86280717775,123310.02384744213,124837.24235294118,126364.46085844022,124250.91015762032,121812.82926351324,10
1759780800,125468,125608,124593,124728,111506.13912265464,115542.24705882354,119578.35499499245,122965.84145897659,100777.20083834199,113409.7891172531,117303.23294117648,121196.67676509987,123723.78347671419,108519.82570793774,121835.44280649169,126243.75294117647,130652.06307586125,124250.91015762032,120454.72974952219,123498.69007522402,125032.86352941176,126567.0369835995,124250.91015762032,122965.84145897659,45
1759795200,124728,125154,124189,124391,111506.13912265464,115542.24705882354,119578.35499499245,122965.84145897659,100777.20083834199,113409.7891172531,117303.23294117648,121196.67676509987,123723.78347671419,108519.82570793774,122022.17190589583,126316.44235294117,130610.71279998652,124250.91015762032,120454.72974952219,123626.76710560177,125128.54117647058,126630.31524733939,124250.91015762032,122965.84145897659,25
1759809600,124398,124712,123654,123764,111506.13912265464,115542.24705882354,119578.35499499245,122965.84145897659,100777.20083834199,113409.7891172531,117303.23294117648,121196.67676509987,123723.78347671419,108519.82570793774,122163.83806322304,126381.26588235293,130598.69370148283,124250.91015762032,120454.72974952219,123677.8642960424,125091.62352941177,125091.62352941177,124250.91015762032,122965.84145897659,10
1759824000,123759,124607,123417,124545,111506.13912265464,115542.24705882354,119578.35499499245,122965.84145897659,100777.20083834199,113409.7891172531,117303.23294117648,121196.67676509987,123723.78347671419,108519.82570793774,122335.81348094925,126466.5694117647,130597.32534258017,124250.91015762032,120454.72974952219,123757.01941095076,125037.10352941176,126317.18764787276,124250.91015762032,122965.84145897659,20
1759838400,124544,125235,121288,121944,111506.13912265464,115542.24705882354,119578.35499499245,122965.84145897659,100777.20083834199,113409.7891172531,117303.23294117648,121196.67676509987,123723.78347671419,108519.82570793774,122335.99986828532,126320.63058823529,126320.63058823529,124250.91015762032,120454.72974952219,123599.94090533913,124764.30352941176,124764.30352941176,124250.91015762032,122965.84145897659,10
1759852800,121933,122150,120648,121682,111506.13912265464,115542.24705882354,119578.35499499245,122965.84145897659,100777.20083834199,113409.7891172531,117303.23294117648,121196.67676509987,123499.21023547063,108519.82570793774,122309.91573978405,126141.01647058823,126141.01647058823,123122.66990953343,120454.72974952219,123169.20950833574,124318.08470588234,124318.08470588234,123122.66990953343,122965.84145897659,10
1759867200,121701,122362,121311,121395,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,113949.7590051434,117966.91529411764,121984.07158309189,123499.21023547063,108519.82570793774,122258.03546713929,125985.92941176471,125985.92941176471,123122.66990953343,120454.72974952219,122823.85099042652,124003.47058823529,124003.47058823529,123122.66990953343,122965.84145897659,10
1759881600,121407,122282,121277,121438,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,113949.7590051434,117966.91529411764,121984.07158309189,123499.21023547063,108519.82570793774,122203.08595689971,125835.06117647058,125835.06117647058,123122.66990953343,120454.72974952219,122479.99703021532,123687.01882352943,123687.01882352943,123122.66990953343,122965.84145897659,10
1759896000,121441,121966,121113,121638,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,113949.7590051434,117966.91529411764,121984.07158309189,123238.56992978461,108519.82570793774,122154.368465344,125684.39294117647,125684.39294117647,122875.86857335766,120454.72974952219,122089.71248438372,123325.58352941177,123325.58352941177,122875.86857335766,122965.84145897659,10
1759910400,121650,123239,121568,122920,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,113949.7590051434,117966.91529411764,121984.07158309189,123238.56992978461,108519.82570793774,122186.06807122183,125618.6282352941,129051.18839936638,122875.86857335766,120454.72974952219,121956.67759516404,123188.59999999999,124420.52240483594,122875.86857335766,122965.84145897659,10
1759924800,122920,123372,121722,122228,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,113949.7590051434,117966.91529411764,121984.07158309189,123238.56992978461,108519.82570793774,122163.37889840417,125451.6988235294,125451.6988235294,122875.86857335766,120454.72974952219,121750.08579712514,122974.40470588233,122974.40470588233,122875.86857335766,122965.84145897659,10
1759939200,122227,124220,122143,123478,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,113949.7590051434,117966.91529411764,121984.07158309189,123238.56992978461,108519.82570793774,122225.76545459902,125336.04705882355,128446.32866304807,122875.86857335766,120454.72974952219,121754.93717281947,122962.0305882353,124169.12400365113,122875.86857335766,122965.84145897659,10
1759953600,123474,123762,122855,123345,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,114418.96065409841,118634.13882352941,122849.31699296042,123238.56992978461,108519.82570793774,122280.47300689705,125186.70588235294,128092.93875780882,122875.86857335766,120454.72974952219,121674.11370768477,122846.8611764706,124019.60864525643,122875.86857335766,122965.84145897659,10
1759968000,123349,123375,121522,122067,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,114418.96065409841,118634.13882352941,122849.31699296042,123238.56992978461,108519.82570793774,122232.40097553734,124963.54352941178,124963.54352941178,122875.86857335766,120454.72974952219,121424.69365334096,122599.2,122599.2,122875.86857335766,122965.84145897659,10
1759982400,122067,122282,121770,121952,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,114418.96065409841,118634.13882352941,122849.31699296042,123238.56992978461,108519.82570793774,122184.71398722132,124701.17882352941,124701.17882352941,122875.86857335766,120454.72974952219,121178.70089104031,122373.49411764705,122373.49411764705,122875.86857335766,122965.84145897659,10
1759996800,121951,122870,121194,122787,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,114418.96065409841,118634.13882352941,122849.31699296042,123238.56992978461,108519.82570793774,122206.72764980892,124490.33176470589,126773.93587960285,122875.86857335766,120454.72974952219,121183.0050374666,122350.46588235295,123517.92672723929,122875.86857335766,122965.84145897659,10
1760011200,122786,123819,120741,121202,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,114418.96065409841,118634.13882352941,122849.31699296042,123238.56992978461,108519.82570793774,122113.40982978199,124151.6,124151.6,122875.86857335766,120454.72974952219,120930.96373272719,122136.04,122136.04,122875.86857335766,122965.84145897659,10
1760025600,121202,121536,119736,121031,111767.13823306268,115804.1905882353,119841.24294340792,122965.84145897659,100777.20083834199,114418.96065409841,118634.13882352941,122849.31699296042,123028.75096682664,108519.82570793774,121966.57422655403,123874.33176470587,123874.33176470587,122296.88818907537,120454.72974952219,120522.24534795739,121797.21647058823,121797.21647058823,122296.88818907537,122965.84145897659,10
1760040000,121071,121833,120922,121695,112032.32357707895,115951.81411764705,119871.30465821516,122965.84145897659,100777.20083834199,114864.62813945074,119204.31764705884,123544.00715466694,123028.75096682664,108519.82570793774,121870.32041939867,123665.19764705883,123665.19764705883,122296.88818907537,120454.72974952219,120245.03956761792,121551.65411764706,121551.65411764706,122296.88818907537,122965.84145897659,15
1760054400,121695,121925,120984,121099,112032.32357707895,115951.81411764705,119871.30465821516,122965.84145897659,100777.20083834199,114864.62813945074,119204.31764705884,123544.00715466694,123028.75096682664,108519.82570793774,121723.94100685335,123399.91529411766,123399.91529411766,122296.88818907537,120454.72974952219,119961.35394342977,121306.12470588235,121306.12470588235,122296.88818907537,122965.84145897659,10
1760068800,121099,121784,120926,120987,112032.32357707895,115951.81411764705,119871.30465821516,122965.84145897659,100777.20083834199,114864.62813945074,119204.31764705884,123544.00715466694,123028.75096682664,108519.82570793774,121555.94084139861,123164.18823529412,123164.18823529412,122296.88818907537,120454.72974952219,119767.99352871919,121135.32235294118,121135.32235294118,122296.88818907537,122965.84145897659,10
1760083200,120990,121813,120981,121612,112032.32357707895,115951.81411764705,119871.30465821516,122965.84145897659,100777.20083834199,114864.62813945074,119204.31764705884,123544.00715466694,123028.75096682664,108519.82570793774,121442.61454600914,122977.33411764706,122977.33411764706,122296.88818907537,120454.72974952219,119591.26155613353,120977.92705882354,120977.92705882354,122296.88818907537,122965.84145897659,10
1760097600,121613,122582,118497,119047,112032.32357707895,115951.81411764705,119871.30465821516,122965.84145897659,100777.20083834199,114864.62813945074,119204.31764705884,123544.00715466694,123028.75096682664,108519.82570793774,121062.14193066114,122575.28941176471,122575.28941176471,122296.88818907537,120454.72974952219,119260.17468571325,120719.13176470589,120719.13176470589,122296.88818907537,122965.84145897659,10
1760112000,119061,119491,115968,116684,112032.32357707895,115951.81411764705,119871.30465821516,122965.84145897659,100777.20083834199,114864.62813945074,119204.31764705884,123544.00715466694,121165.71985238367,108519.82570793774,120362.01477865833,121999.0988235294,121999.0988235294,119070.08576720512,120454.72974952219,118351.92661787561,120082.70588235295,120082.70588235295,119070.08576720512,122965.84145897659,-10
1760126400,116680,117246,109683,112996,112032.32357707895,115951.81411764705,119871.30465821516,122030.05621644086,100777.20083834199,114674.4357128734,119009.91764705884,119009.91764705884,119341.31129149912,108519.82570793774,119119.74259605832,121187.93411764705,121187.93411764705,116922.68619723298,120454.72974952219,116637.32064060724,118985.64470588235,118985.64470588235,116922.68619723298,122030.05621644086,-10
1760140800,112989,113444,111183,112441,112032.32357707895,115951.81411764705,119871.30465821516,122030.05621644086,100777.20083834199,114674.4357128734,119009.91764705884,119009.91764705884,115551.1461992492,108519.82570793774,117918.51635916959,120387.94588235294,120387.94588235294,115080.1371831449,120454.72974952219,114733.634985694,117712.38588235294,117712.38588235294,115080.1371831449,122030.05621644086,-10
1760155200,112424,113125,110225,110517,112032.32357707895,115951.81411764705,119871.30465821516,116031.62362955222,100777.20083834199,114674.4357128734,119009.91764705884,119009.91764705884,115288.77861358854,108519.82570793774,116505.9855659898,119445.40470588236,119445.40470588236,114707.28184816668,120454.72974952219,113008.17298641798,116480.20705882354,116480.20705882354,114707.28184816668,116031.62362955222,-15
1760169600,110518,112454,110235,112395,112032.32357707895,115951.81411764705,119871.30465821516,116031.62362955222,100777.20083834199,114674.4357128734,119009.91764705884,119009.91764705884,114621.7229983322,108519.82570793774,115447.26821322767,118660.91764705881,118660.91764705881,113792.04743044049,120454.72974952219,111624.32168509552,115421.85176470588,115421.85176470588,113792.04743044049,116031.62362955222,-15
1760184000,112392,112623,111919,111920,112032.32357707895,115951.81411764705,119871.30465821516,115196.36479886992,100777.20083834199,114674.4357128734,119009.91764705884,119009.91764705884,114621.7229983322,108519.82570793774,114355.1796214868,117834.84470588237,117834.84470588237,113792.04743044049,120454.72974952219,110484.69837122892,114507.78823529412,114507.78823529412,113792.04743044049,115196.36479886992,-15
1760198400,111920,112282,110996,111291,112032.32357707895,115951.81411764705,119871.30465821516,115196.36479886992,100777.20083834199,114674.4357128734,119009.91764705884,119009.91764705884,114289.6591159089,108519.82570793774,113248.48004741942,117005.53176470588,117005.53176470588,113645.05881773692,120454.72974952219,109262.34521966174,113526.91529411764,113526.91529411764,113645.05881773692,115196.36479886992,-15
1760212800,111300,111463,109711,110764,111480.45514745133,115370.62352941177,115370.62352941177,114855.19588466494,100777.20083834199,114465.55555664965,118817.73647058822,118817.73647058822,113452.39775048684,108519.82570793774,112204.07900397571,116234.17882352941,116234.17882352941,112867.2803071303,117098.26636243577,107847.1589762289,112398.56235294117,112398.56235294117,112867.2803071303,114855.19588466494,-40
1760227200,110769,111343,109711,110790,111480.45514745133,115370.62352941177,115370.62352941177,114855.19588466494,100777.20083834199,114465.55555664965,118817.73647058822,118817.73647058822,113306.86933973776,108519.82570793774,111240.73645225252,115509.19764705881,115509.19764705881,112231.33171376385,117098.26636243577,106519.61127655586,111326.35764705883,111326.35764705883,112231.33171376385,114855.19588466494,-25
1760241600,110809,112213,110731,111634,111480.45514745133,115370.62352941177,115370.62352941177,114781.11046433172,100777.20083834199,114465.55555664965,118817.73647058822,118817.73647058822,113306.86933973776,108519.82570793774,110408.76509124857,114859.00705882352,114859.00705882352,112231.33171376385,117098.26636243577,105618.8838821742,110555.04000000001,110555.04000000001,112231.33171376385,114781.11046433172,-25
1760256000,111634,112147,111221,111897,111480.45514745133,115370.62352941177,115370.62352941177,114781.11046433172,100777.20083834199,114465.55555664965,118817.73647058822,118817.73647058822,113306.86933973776,108519.82570793774,109649.92176883103,114254.99294117648,114254.99294117648,112231.33171376385,117098.26636243577,104856.51854106317,109885.84705882354,109885.84705882354,112231.33171376385,114781.11046433172,-25
1760270400,111896,113797,111240,113268,111480.45514745133,115370.62352941177,115370.62352941177,114781.11046433172,100777.20083834199,114465.55555664965,118817.73647058822,118817.73647058822,113306.86933973776,108519.82570793774,109085.05446784748,113785.80705882351,113785.80705882351,112231.33171376385,117098.26636243577,104440.80117086721,109472.83529411764,109472.83529411764,112231.33171376385,114781.11046433172,-10
1760284800,113261,114777,113261,114428,111480.45514745133,115370.62352941177,115370.62352941177,114781.11046433172,100777.20083834199,114465.55555664965,118817.73647058822,118817.73647058822,113306.86933973776,108519.82570793774,108652.96703692805,113413.86588235294,113413.86588235294,112320.39332990802,117098.26636243577,104462.07510163695,109417.05176470589,114372.02842777483,112320.39332990802,114781.11046433172,-10
1760299200,114435,115854,114362,115090,111480.45514745133,115370.62352941177,115370.62352941177,114781.11046433172,100777.20083834199,114564.96157849193,118915.91294117647,118915.91294117647,113306.86933973776,108519.82570793774,108300.70775776794,113103.68705882353,113103.68705882353,113547.4309834411,117098.26636243577,104916.39856317287,109683.26352941176,114450.12849565066,113547.4309834411,114781.11046433172,-15
1760313600,115089,116035,114743,114942,111480.45514745133,115370.62352941177,115370.62352941177,114781.11046433172,100777.20083834199,114564.96157849193,118915.91294117647,118915.91294117647,113306.86933973776,108519.82570793774,107962.27319828412,112804.57176470588,112804.57176470588,113628.97162748102,117098.26636243577,105473.04745804748,110043.68,114614.3125419525,113628.97162748102,114781.11046433172,-10
1760328000,114941,115633,114513,115481,111480.45514745133,115370.62352941177,115370.62352941177,114781.11046433172,100777.20083834199,114564.96157849193,118915.91294117647,118915.91294117647,113306.86933973776,108519.82570793774,107717.13451921866,112580.2,112580.2,113628.97162748102,117098.26636243577,105950.38447537442,110356.73411764707,114763.08375991971,113628.97162748102,114781.11046433172,-10
1760342400,115480,115527,113751,114289,111480.45514745133,115370.62352941177,115370.62352941177,114781.11046433172,100777.20083834199,114564.96157849193,118915.91294117647,118915.91294117647,113306.86933973776,108519.82570793774,107455.4462430301,112336.1294117647,112336.1294117647,113715.18795950868,117098.26636243577,106422.02361437964,110658.40705882353,114894.79050326743,113715.18795950868,114781.11046433172,-10
1760356800,114279,115624,113951,114434,111480.45514745133,115370.62352941177,115370.62352941177,114781.11046433172,100777.20083834199,114564.96157849193,118915.91294117647,118915.91294117647,113306.86933973776,108519.82570793774,107292.6162499595,112161.7811764706,112161.7811764706,113715.18795950868,117098.26636243577,107062.56284492645,111080.7811764706,115098.99950801475,113715.18795950868,114781.11046433172,-10
1760371200,114433,115976,114319,115886,111480.45514745133,115370.62352941177,115370.62352941177,114781.11046433172,100777.20083834199,114564.96157849193,118915.91294117647,118915.91294117647,113306.86933973776,108519.82570793774,107221.96080017813,112074.01411764706,116926.067435116,113715.18795950868,117098.26636243577,107825.47778998116,111624.40470588235,115423.33162178354,113715.18795950868,114781.11046433172,-10
1760385600,115887,115972,115107,115265,111324.4984331069,115079.97647058824,115079.97647058824,114781.11046433172,100777.20083834199,114600.86463332664,118951.82823529413,118951.82823529413,113306.86933973776,108519.82570793774,107079.95356799418,111930.00235294117,111930.00235294117,114311.38804192557,117098.26636243577,108555.57279889936,112162.8,115770.02720110065,114311.38804192557,114781.11046433172,-10
1760400000,115275,115508,113351,113557,111324.4984331069,115079.97647058824,115079.97647058824,114781.11046433172,100777.20083834199,114600.86463332664,118951.82823529413,118951.82823529413,113306.86933973776,108519.82570793774,106785.34577106919,111662.63999999998,111662.63999999998,114311.38804192557,117098.26636243577,109212.33718494029,112557.49647058822,112557.49647058822,114311.38804192557,114781.11046433172,-10
1760414400,113582,113746,111476,111799,111324.4984331069,115079.97647058824,115079.97647058824,114781.11046433172,100777.20083834199,114600.86463332664,118951.82823529413,118951.82823529413,113306.86933973776,108519.82570793774,106392.67534333044,111315.72,111315.72,113939.93078544157,117098.26636243577,109659.09939705688,112737.00705882352,112737.00705882352,113939.93078544157,114781.11046433172,-10
1760428800,111816,112201,110146,111412,111324.4984331069,115079.97647058824,115079.97647058824,114781.11046433172,100777.20083834199,114600.86463332664,118951.82823529413,118951.82823529413,113306.86933973776,108519.82570793774,106023.14273664943,110982.12705882352,110982.12705882352,112893.89440173279,117098.26636243577,110107.77237998499,112876.27529411764,112876.27529411764,112893.89440173279,114781.11046433172,-10
1760443200,111408,112961,109971,112942,111324.4984331069,115079.97647058824,115079.97647058824,114781.11046433172,100777.20083834199,114600.86463332664,118951.82823529413,118951.82823529413,113306.86933973776,108519.82570793774,105820.64513323078,110777.6705882353,110777.6705882353,112655.18765875186,117098.26636243577,110899.88485326782,113219.65411764706,113219.65411764706,112655.18765875186,114781.11046433172,-15
1760457600,112961,113592,111798,112650,111324.4984331069,115079.97647058824,115079.97647058824,114781.11046433172,100777.20083834199,114600.86463332664,118951.82823529413,118951.82823529413,113306.86933973776,108519.82570793774,105676.74738697034,110608.51529411765,110608.51529411765,112655.18765875186,117098.26636243577,111847.78101574734,113675.61882352941,113675.61882352941,112655.18765875186,114781.11046433172,-15
1760472000,112664,113600,112281,113078,111324.4984331069,115079.97647058824,115079.97647058824,114781.11046433172,100777.20083834199,114367.25347958287,118680.04470588236,118680.04470588236,113306.86933973776,108519.82570793774,105667.9613932472,110531.85176470588,110531.85176470588,112655.18765875186,117098.26636243577,112357.37180552253,113993.01647058823,113993.01647058823,112655.18765875186,114781.11046433172,0
1760486400,113077,113655,111880,112077,111324.4984331069,115079.97647058824,115079.97647058824,114781.11046433172,100777.20083834199,114367.25347958287,118680.04470588236,118680.04470588236,113306.86933973776,108519.82570793774,105633.15527231692,110422.23294117647,110422.23294117647,112655.18765875186,117098.26636243577,112302.57160967468,113938.25176470588,113938.25176470588,112655.18765875186,114781.11046433172,-10
