time,open,high,low,close,Plot,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,LOI,Deep Accumulate,Accumulate,Trim 25%,Trim 50%,Trim 75%,Exit 100%,LT Fast Trackline,LT Slow Trackline,BP Headwind,BP Mixed,BP Tailwind,Bear Call,Iron Condor,Exit LT,Exit Time,LT Fast Trackline,LT Slow Trackline,Trail Stop,Entry Headwind,Entry Mixed,Entry Tailwind,Exit LT Confirm,Exit Trail Stop,ST Alert (VST pending)
1747612800,7.63336507699547,7.861943355931719,7.593263838473718,7.858334022975646,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,-15,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
1747627200,7.858349953879812,7.973567620372074,7.83740689392219,7.886445556830203,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,-15,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
1747641600,7.886544886581779,7.9179360042779585,7.875378203660619,7.895402581503509,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,-15,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
1747656000,7.895400437889041,7.959610471205816,7.754365075524729,7.767596492344091,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,-15,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
1747670400,7.767576469654848,7.792852798432762,7.686308098067174,7.698295914519681,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,-15,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
1747684800,7.6988513998720425,7.737501297171824,7.68352181770863,7.690399686578937,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,,,,,,0,0,0,0,-15,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
1747699200,7.6904211547345795,7.6964089102784685,7.60380485033339,7.680374865942424,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,-15,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
1747713600,7.6803378323784255,7.7419155572502785,7.635015630546996,7.733293686432349,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,,,,0,,0,0,0,0,,,,,,0,0,0,0,-15,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
1747728000,7.7333025563906155,7.85241187055138,7.7333025563906155,7.805581861162969,,0,0,0,15,,,,7.709242245831615,,0,0,0,0,,,,,,0,0,0,0,,,,7.709242245831615,,0,0,0,0,,,,,,0,0,0,0,-15,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
1747742400,7.805391702176552,7.881757266470955,7.80356885355621,7.808245665147847,,0,0,0,15,,,,7.719539571700013,,0,0,0,0,,,,,,0,0,0,0,,,,7.719539571700013,,0,0,0,0,,,,,,0,0,0,0,-15,,,,,,,,,0,0,0,0,0,0,0,,,,0,0,0,0,0,0
