time,open,high,low,close,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1766808000,10.850332549750002,10.863681192508013,10.833456615260346,10.850959889258153,-1.003664611015668,,,,,0,0,0,2,28.630326091642587,22.47803964848462,0,0,0,0,0,0,4,0.10106197124396121,-0.0005270130482942243,0.011262344933065549,0.011789357981359773,-0.006190782712036772,10.602918422226594,,184288283844.1848,4070486755760.0137,51.18123665451437,28.630326091642587,-45,-65,40,60,80,,,,,,,,,28.630326091642587,,10.778530040356753,9.559363820783474,0,0,0,0,0,0,0,0,0,0,10.778530040356753,9.66400529483448,-10,-10,10,10.019888908420763,11.145434152969925,12.270979397519087,10.763572104988212,8.78816491175068,0,0,0,0,10.778827184966199,10.858532063236302,10.938236941506405,10.836532889907241,10.42174095358603,0,0,0,0,10.493628171353647,11.04919622233892,11.604764273324195,10.778530040356753,9.559363820783474,0,0,0,0,,,,,,0.27462692204957284
1766822400,10.850744443311237,10.871143762971094,10.83528261573029,10.852225115707691,-0.9987328957646102,,,,,0,0,0,2,28.630326091642587,22.47803964848462,0,0,0,0,0,0,4,0.09640476952945007,-0.0008365602759193638,0.010743657636460568,0.011580217912379932,-0.012792376653517516,10.602918422226594,,184288283844.1848,4254775039604.198,51.27944885081573,28.630326091642587,-45,-65,40,60,80,,,,,,,,,28.630326091642587,,10.778530040356753,9.559363820783474,0,0,0,0,0,0,0,0,0,0,10.778530040356753,9.66400529483448,-10,-10,10,10.019888908420763,11.145434152969925,12.270979397519087,10.763572104988212,8.78816491175068,0,0,0,0,10.791627149466393,10.8684920525695,10.945356955672608,10.836532889907241,10.42174095358603,0,0,0,0,10.493628171353647,11.04919622233892,11.604764273324195,10.778530040356753,9.559363820783474,0,0,0,0,,,,,,0.2728654394060787
1766836800,10.852212288711886,10.864931043406312,10.835631301810837,10.841024775079068,-0.8079417536308895,,,,,0,0,0,2,28.630326091642587,22.47803964848462,0,0,0,0,0,0,4,0.09161155324845183,-0.0018070788183733918,0.009321369389413192,0.011128448207786584,-0.06047491800019962,10.602918422226594,,184288283844.1848,4070486755760.0137,50.31446692950696,28.630326091642587,-45,-65,40,60,80,,,,,,,,,28.630326091642587,,10.778530040356753,9.559363820783474,0,0,0,0,0,0,0,0,0,0,10.778530040356753,9.66400529483448,-10,-10,10,10.019888908420763,11.145434152969925,12.270979397519087,10.763572104988212,8.78816491175068,0,0,0,0,10.795816198496972,10.872753252128776,10.94969030576058,10.836532889907241,10.42174095358603,0,0,0,0,10.493628171353647,11.04919622233892,11.604764273324195,10.778530040356753,9.559363820783474,0,0,0,0,,,,,,0.27148000766776503
1766851200,10.840995911137938,10.852574723996174,10.83293623366909,10.83293623366909,-0.801887235638314,,,,,0,0,0,2,28.630326091642587,22.47803964848462,0,0,0,0,0,0,4,0.08647062018263986,-0.002938298735554583,0.007455574788343355,0.010393873523897939,-0.06798430885745822,10.607639865707473,,184288283844.1848,3886198471915.829,49.588724635786875,28.630326091642587,-45,-65,40,60,80,,,,,,,,,28.630326091642587,,10.778530040356753,9.559363820783474,0,0,0,0,0,0,0,0,0,0,10.778530040356753,9.66400529483448,-10,-10,10,10.019888908420763,11.145434152969925,12.270979397519087,10.763572104988212,8.78816491175068,0,0,0,0,10.798059861112202,10.875116595396792,10.875116595396792,10.836532889907241,10.42174095358603,0,0,0,0,10.493628171353647,11.04919622233892,11.604764273324195,10.778530040356753,9.559363820783474,0,0,0,0,,,,,,0.26470817939074764
1766865600,10.833164934098276,10.834688366867852,10.771349942203889,10.781921463439053,-0.7950143059644916,,,,,0,0,0,2,28.630326091642587,22.47803964848462,0,0,0,0,0,0,5,0.08481832050273433,-0.0068436974064246,0.0018392517658671892,0.008682949172291789,-0.07918549645209946,10.607639865707473,,184288283844.1848,3701910188071.6445,45.163943279670036,28.630326091642587,-45,-65,40,60,80,,,,,,,,,28.630326091642587,,10.778530040356753,9.559363820783474,0,0,0,0,0,0,0,0,0,0,10.778530040356753,9.66400529483448,-10,-10,25,10.019888908420763,11.145434152969925,12.270979397519087,10.763572104988212,8.78816491175068,0,0,0,0,10.79663376042105,10.873740441486005,10.873740441486005,10.836532889907241,10.427313115322564,0,0,0,0,10.505201943632963,11.03906574760595,11.572929551578936,10.778530040356753,9.559363820783474,0,0,0,0,,,,,,0.2749327237354519
1766880000,10.781820570818349,10.800633333175616,10.77435636271019,10.794165833231025,-0.7831799826278889,,,,,0,0,0,2,28.630326091642587,22.47803964848462,0,0,0,0,0,0,4,0.08063679550006948,-0.008230521421592531,-0.0016052026046988743,0.006625318816893657,-0.011861246613351736,10.607639865707473,,203766313410.5502,3905676501482.195,46.40016818655696,28.630326091642587,-45,-65,40,60,80,,,,,,,,,28.630326091642587,,10.778530040356753,9.559363820783474,0,0,0,0,0,0,0,0,0,0,10.778530040356753,9.66400529483448,-10,-10,10,10.019888908420763,11.145434152969925,12.270979397519087,10.763572104988212,8.78816491175068,0,0,0,0,10.795105472171725,10.87214532259076,10.87214532259076,10.836532889907241,10.427313115322564,0,0,0,0,10.505201943632963,11.03906574760595,11.572929551578936,10.778530040356753,9.559363820783474,0,0,0,0,,,,,54.15278231836759,0.2565744363914256
1766894400,10.79395632381413,10.806772627540086,10.784940991522838,10.791723842842032,-0.7718913964245133,,,,,0,0,0,2,28.630326091642587,22.47803964848462,0,0,0,0,0,0,5,0.07643642696558227,-0.008884542202525304,-0.004480358936262974,0.004404183266262331,-0.03727031583112447,10.607639865707473,,203766313410.5502,3701910188071.6445,46.17658185488074,28.630326091642587,-45,-65,40,60,80,,,,,,,,,28.630326091642587,,10.778530040356753,9.559363820783474,0,0,0,0,0,0,0,0,0,0,10.778530040356753,9.66400529483448,-10,-10,10,10.019888908420763,11.145434152969925,12.270979397519087,10.763572104988212,8.78816491175068,0,0,0,0,10.79264676105028,10.869409182254019,10.869409182254019,10.836532889907241,10.427313115322564,0,0,0,0,10.505201943632963,11.03906574760595,11.572929551578936,10.778530040356753,9.559363820783474,0,0,0,0,,,,,,0.26958413426208244
1766908800,10.791507793290302,10.799727776452176,10.767607632773906,10.77255368920663,-0.7604083037277354,,,,,0,0,0,2,28.630326091642587,22.47803964848462,0,0,0,0,0,0,5,0.07327097815934569,-0.010092273892449983,-0.008211159099300147,0.001881114793149835,-0.03804430888141501,10.607639865707473,,203766313410.5502,3498143874661.094,44.36910521607186,28.630326091642587,-45,-65,40,60,80,,,,,,,,,28.630326091642587,,10.778530040356753,9.559363820783474,0,0,0,0,0,0,0,0,0,0,10.778530040356753,9.66400529483448,-10,-10,10,10.019888908420763,11.145434152969925,12.270979397519087,10.763572104988212,8.78816491175068,0,0,0,0,10.788359195763638,10.864868080865001,10.864868080865001,10.827609170921296,10.427313115322564,0,0,0,0,10.505201943632963,11.03906574760595,11.572929551578936,10.778530040356753,9.559363820783474,0,0,0,0,,,,,,0.27799188757429416
1766923200,10.772558072703026,10.781581013507429,10.746130140592228,10.76759637036652,-0.7488197108833379,,,,,0,0,0,2,28.630326091642587,22.47803964848462,0,0,0,0,0,0,5,0.07056954207047818,-0.010653717315579798,-0.011436031851324913,-0.0007823145357451146,-0.034834218517054684,10.607639865707473,,203766313410.5502,3294377561250.544,43.89066354358847,28.630326091642587,-45,-65,40,60,80,,,,,,,,,28.630326091642587,,10.778530040356753,9.559363820783474,0,0,0,0,0,0,0,0,0,0,10.778530040356753,9.66400529483448,-10,-10,10,10.019888908420763,11.145434152969925,12.270979397519087,10.763572104988212,8.78816491175068,0,0,0,0,10.783512007321175,10.859761582384921,10.859761582384921,10.807000717086293,10.427313115322564,0,0,0,0,10.505201943632963,11.03906574760595,11.572929551578936,10.778530040356753,9.559363820783474,0,0,0,0,,,,,,0.28136358134245537
1766937600,10.767628361389505,10.813889478951099,10.754987269756082,10.809047193763988,-0.737187053334043,,,,,0,0,0,2,28.630326091642587,22.47803964848462,0,0,0,0,0,0,5,0.06973616115080236,-0.007794706785279675,-0.010525698017344709,-0.0027309912320650337,-0.018761570410746296,10.607639865707473,,203766313410.5502,3498143874661.094,48.85668088733451,28.630326091642587,-45,-65,40,60,80,,,,,,,,,28.630326091642587,,10.778530040356753,9.559363820783474,0,0,0,0,0,0,0,0,0,0,10.778530040356753,9.66400529483448,-10,-10,10,10.019888908420763,11.145434152969925,12.270979397519087,10.763572104988212,8.78816491175068,0,0,0,0,10.781732300754209,10.857316872000082,10.857316872000082,10.807000717086293,10.427313115322564,0,0,0,0,10.505201943632963,11.03906574760595,11.572929551578936,10.778530040356753,9.559363820783474,0,0,0,0,,,,,,0.2813030538840674
