time,open,high,low,close,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,Risk Oscillator,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1759910400,121645.13,122910.68,121609.5,122564.93,-20,10,10,10,111804.60678383535,115826.04842352943,119847.49006322351,122985.05474358867,100800.84172611934,0,0,0,0,122145.57500502132,125662.69428235282,125662.69428235282,122864.96462382661,120469.1630005858,0,0,0,0,113966.59458169946,117966.94056470583,121967.2865477122,123213.87146642788,108520.03842225086,0,0,0,0,122014.4076364529,123243.91670588237,123243.91670588237,122864.96462382661,120469.1630005858,0,0,0,0,0.016127586831816376,1.1857076245968337,,,,,727.61206757,1.047108062788356,669257.5797508776,0.04227587698809421,0.6098650713149678,0.0012905000000000013,0.001032400000000001,0.0007743000000000008,0.0005162000000000005,0.00025810000000000026,0,0.0012905000000000013,2.2164810029164412,2.328221405992311,,
1759917600,122569.05,123236.37,122553.97,122929.28,-20,10,10,10,111804.60678383535,115826.04842352943,119847.49006322351,122985.05474358867,100800.84172611934,0,0,0,0,122179.06349742498,125600.27028235282,129021.47706728066,122864.96462382661,120469.1630005858,0,0,0,0,113966.59458169946,117966.94056470583,121967.2865477122,123213.87146642788,108520.03842225086,0,0,0,0,121962.23422742634,123186.38138823526,124410.52854904417,122864.96462382661,120469.1630005858,0,0,0,0,0.01843440953070189,1.1857076245968337,,,,,463.9566891,1.0495348303721999,167131.1181144911,0.042751387021938925,0.5838920442179791,0.0012905000000000013,0.001032400000000001,0.0007743000000000008,0.0005162000000000005,0.00025810000000000026,0,0.0012905000000000013,2.2164810029164412,2.32794072861568,,
1759924800,122941.78,123088.58,121732.73,122645.49,-20,10,10,10,111804.60678383535,115826.04842352943,119847.49006322351,122985.05474358867,100800.84172611934,0,0,0,0,122179.06349742498,125600.27028235282,129021.47706728066,122864.96462382661,120469.1630005858,0,0,0,0,113966.59458169946,117966.94056470583,121967.2865477122,123213.87146642788,108520.03842225086,0,0,0,0,121882.4175512907,123101.82738823525,123101.82738823525,122864.96462382661,120469.1630005858,0,0,0,0,0.015355702426821535,1.1857076245968337,,,,,855.1188212,1.0464797537141273,-253363.1555333425,0.04365813329492707,0.6094220333836932,0.0012905000000000013,0.001032400000000001,0.0007743000000000008,0.0005162000000000005,0.00025810000000000026,0,0.0012905000000000013,2.2164810029164412,2.3276602117422995,,
1759932000,122649.3,123373.4,122019.05,122225.88,-15,15,15,10,111804.60678383535,115826.04842352943,119847.49006322351,122985.05474358867,100800.84172611934,0,0,0,0,122157.21564557283,125437.04917647043,125437.04917647043,122864.96462382661,120469.1630005858,0,0,0,0,113966.59458169946,117966.94056470583,121967.2865477122,123213.87146642788,108520.03842225086,0,0,0,0,121758.39521184773,122974.39355294111,122974.39355294111,122864.96462382661,120469.1630005858,0,0,0,0,0.011177969319047324,1.1857076245968337,,,,,1315.02144787,1.0421356339519992,-556806.3814571131,0.04327533088233304,0.5892935068640961,0.0012905000000000013,0.001032400000000001,0.0007743000000000008,0.0005162000000000005,0.00025810000000000026,0,0.0012905000000000013,2.2164810029164412,2.3273798552339593,,
1759939200,122225.65,124198,122166.65,124099,10,15,15,10,111804.60678383535,115826.04842352943,119847.49006322351,122985.05474358867,100800.84172611934,0,0,0,0,122157.21564557283,125437.04917647043,125437.04917647043,122864.96462382661,120469.1630005858,0,0,0,0,113966.59458169946,117966.94056470583,121967.2865477122,123213.87146642788,108520.03842225086,0,0,0,0,121792.11187900792,123008.3224000001,124224.5329209923,122864.96462382661,120469.1630005858,0,0,0,0,0.025721876887197057,1.1857076245968337,,,,,1658.02412874,1.0572532553780065,3106059.5015750886,0.045826583056418624,0.6230683405639499,0.0012905000000000013,0.001032400000000001,0.0007743000000000008,0.0005162000000000005,0.00025810000000000026,0,0.0012905000000000013,2.2164810029164412,2.327099658952616,,
1759946400,124101.5,124202.93,123200.07,123487.02,-10,15,15,10,111804.60678383535,115826.04842352943,119847.49006322351,122985.05474358867,100800.84172611934,0,0,0,0,122220.68313650056,125325.5888470587,128430.49455761682,122864.96462382661,120469.1630005858,0,0,0,0,113966.59458169946,117966.94056470583,121967.2865477122,123213.87146642788,108520.03842225086,0,0,0,0,121767.48836621028,122966.1357647059,124164.78316320153,122864.96462382661,120469.1630005858,0,0,0,0,0.01979304199301509,1.1857076245968337,,,,,1388.6311226,1.0512318485311418,-853286.0522152424,0.04765812994469809,0.5757492966855378,0.0012905000000000013,0.001032400000000001,0.0007743000000000008,0.0005162000000000005,0.00025810000000000026,0,0.0012905000000000013,2.2164810029164412,2.326819622760389,,
1759953600,123486.07,123729.5,122882.2,123282.65,-10,15,15,10,111804.60678383535,115826.04842352943,119847.49006322351,122985.05474358867,100800.84172611934,0,0,0,0,122220.68313650056,125325.5888470587,128430.49455761682,122864.96462382661,120469.1630005858,0,0,0,0,113966.59458169946,117966.94056470583,121967.2865477122,123213.87146642788,108520.03842225086,0,0,0,0,121723.81140878951,122902.43157647048,124081.05174415145,122864.96462382661,120469.1630005858,0,0,0,0,0.017282098586074098,1.1857076245968337,,,,,792.23727943,1.048673582819296,-161156.90738166074,0.04891670965073169,0.5991648062396949,0.0012905000000000013,0.001032400000000001,0.0007743000000000008,0.0005162000000000005,0.00025810000000000026,0,0.0012905000000000013,2.2164810029164412,2.3265397465195625,,
1759960800,123295.16,123543.77,123119.72,123356.99,-5,20,20,10,111804.60678383535,115826.04842352943,119847.49006322351,122985.05474358867,100800.84172611934,0,0,0,0,122276.60166842837,125180.05992941163,128083.51819039488,122864.96462382661,120469.1630005858,0,0,0,0,114434.98092495388,118633.86974117639,122832.75855739889,123213.87146642788,108520.03842225086,0,0,0,0,121686.45884424302,122849.00788235293,124011.55692046284,122864.96462382661,120469.1630005858,0,0,0,0,0.01704031786847184,1.1857076245968337,,,,,380.54188513,1.0485244984611686,23528.904757588567,0.0491190576039906,0.5909789129072429,-0.0030735,-0.0024587999999999997,-0.0018440999999999998,-0.0012293999999999999,-0.0006146999999999999,-0.0030735,0,2.2479844498895094,2.390408800206333,,
1759968000,123355.51,123375.84,122406.58,122569.81,-10,0,0,10,111804.60678383535,115826.04842352943,119847.49006322351,122985.05474358867,100800.84172611934,0,0,0,0,122276.60166842837,125180.05992941163,128083.51819039488,122864.96462382661,120469.1630005858,0,0,0,0,114434.98092495388,118633.86974117639,122832.75855739889,123213.87146642788,108520.03842225086,0,0,0,0,121584.0963164567,122740.9110823529,122740.9110823529,122864.96462382661,120469.1630005858,0,0,0,0,0.009777728241994918,1.1857076245968337,,,,,394.45122503,1.0410972866931238,-309920.32750606985,0.04791369422126546,0.602652109658642,-0.0030735,-0.0024587999999999997,-0.0018440999999999998,-0.0012293999999999999,-0.0006146999999999999,-0.0030735,0,2.2479844498895094,2.3901023963222987,,
1759975200,122569.56,122575.03,121554.7,122074.12,-10,10,10,10,111804.60678383535,115826.04842352943,119847.49006322351,122985.05474358867,100800.84172611934,0,0,0,0,122229.87170497545,124959.65559999991,124959.65559999991,122864.96462382661,120469.1630005858,0,0,0,0,114434.98092495388,118633.86974117639,122832.75855739889,123213.87146642788,108520.03842225086,0,0,0,0,121437.63691817175,122601.20880000001,122601.20880000001,122864.96462382661,120469.1630005858,0,0,0,0,0.005057326022114685,1.1857076245968337,,,,,718.04150853,1.0361649783819873,-355746.4849861049,0.0464401548881026,0.5882746736795053,-0.0030735,-0.0024587999999999997,-0.0018440999999999998,-0.0012293999999999999,-0.0006146999999999999,-0.0030735,0,2.2479844498895094,2.3897961742880476,,
