time,open,high,low,close,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,Risk Oscillator,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1508889600,5526.6575,5760.4175,5379.4275,5745.0775,0,40,25,35,4513.652149391043,5447.80837235294,6381.9645953148365,5809.200130044735,3854.3559297020147,0,0,0,0,5615.508722527241,5835.604047058826,6055.699371590411,5665.195627068795,5589.806169797789,0,0,0,0,4890.1389734033255,5675.377717647054,6460.616461890782,5722.522912424409,4434.726692458337,0,0,0,0,5347.197330906901,5521.344094117649,5695.4908573283965,5665.195627068795,5589.806169797789,0,0,0,0,0.4008915120398603,2.434860146299277,,,,,38817.5638837,1.6276514113632687,8478532.303477757,0.6886638280307389,0.42363341395426923,0,0,0,0,0,0,0,2.83602021305791,4.431775130385363,,
1508976000,5745.995,5993.8525,5695.9,5890.4075,-5,40,5,35,4513.652149391043,5447.80837235294,6381.9645953148365,5809.200130044735,3854.3559297020147,0,0,0,0,5616.751329853863,5802.867764705889,5988.984199557915,5834.093085656028,5589.806169797789,0,0,0,0,4970.968251644735,5776.884529411763,6582.800807178791,5747.425861686716,4434.726692458337,0,0,0,0,5534.859392452008,5690.429723529415,5846.000054606822,5834.093085656028,5589.806169797789,0,0,0,0,0.4238865142137437,2.434860146299277,,,,,33021.55290756,1.6583241616130673,4768725.00926302,0.6848755016415888,0.4172504296071766,0,0,0,0,0,0,0,2.8979293504472374,4.573449238313466,,
1509062400,5890.555,5994.5175,5698.985,5777.7525,-20,20,-15,15,4578.373814672919,5502.392897058826,6426.411979444732,5809.200130044735,3854.3559297020147,0,0,0,0,5584.400151020664,5751.744023529413,5751.744023529413,5834.093085656028,5589.806169797789,0,0,0,0,5045.101874774095,5867.146752941177,6689.191631108258,5747.425861686716,4434.726692458337,0,0,0,0,5703.715919217664,5843.725600000001,5843.725600000001,5834.093085656028,5589.806169797789,0,0,0,0,0.3848811011836771,2.4160342102912225,,,,,29415.02919383,1.6164255244442451,-3318088.830637029,0.6648498460987828,0.41805928119039915,0,0,0,0,0,0,0,2.825907446235092,4.387964018469026,,
1509148800,5778.0875,5885.5575,5677.2425,5740.6775,-35,5,-15,10,4578.373814672919,5502.392897058826,6426.411979444732,5809.200130044735,3854.3559297020147,0,0,0,0,5522.616634828732,5683.143329411764,5683.143329411764,5818.58733259674,5589.806169797789,0,0,0,0,5105.4832475728745,5940.539711764701,6775.596175956527,5747.425861686716,4434.726692458337,0,0,0,0,5728.047838119825,5864.284435294114,5864.284435294114,5818.58733259674,5589.806169797789,0,0,0,0,0.3666021752787971,2.4160342102912225,,,,,16000.06651224,1.5960144677860615,-598562.4882228961,0.6423189088193602,0.4057012129786045,0,0,0,0,0,0,0,2.8061298795935326,4.322949399298179,,
1509235200,5740.93,6280.1925,5698.7575,6135.035,40,25,5,50,4655.394627984331,5592.603864117643,6529.813100250954,5809.200130044735,3854.3559297020147,0,0,0,0,5650.787485355212,5797.633405882355,5944.479326409498,6036.264633659015,5589.806169797789,0,0,0,0,5182.253124157039,6040.450311764704,6898.647499372369,5975.6616176831685,4693.178000139884,0,0,0,0,5762.236221720591,5873.104082352941,5983.971942985291,6036.264633659015,5589.806169797789,0,1,0,0,0.44851518575611155,2.529817160674348,,,,,39378.53642974,1.6932816425894763,15519278.099642666,0.6370471557036583,0.4453802912963626,0,0,0,0,0,0,0,2.998828568055029,4.778194947018904,,
1509321600,6135.395,6216.6925,6027.52,6123.335,80,5,50,55,4655.394627984331,5592.603864117643,6529.813100250954,5890.113649815511,3854.3559297020147,0,0,0,0,5798.6180487309275,5969.343752941174,6140.0694571514205,6072.852929782066,5706.907206827377,0,0,0,0,5254.081298815264,6132.1758411764695,7010.270383537675,6002.587824908864,4693.178000139884,0,0,0,0,5924.907508337363,6085.443917647057,6245.980326956751,6072.852929782066,5706.907206827377,0,0,0,0,0.43460369812739574,2.529817160674348,,90.84066162514337,84.15431245100977,83.99266086592561,25433.28470691,1.678312272450428,-306725.41356534476,0.6351678554095375,0.39087650917980327,0,0,0,0,0,0,0,2.9499268888737404,4.658118955514739,,
1509408000,6123.3375,6458.4575,6086.6425,6439.52,80,40,65,50,4741.198824350754,5701.957178235292,6662.715532119831,6125.662585801212,3854.3559297020147,0,0,0,0,5953.653693528397,6178.074482352937,6402.495271177477,6310.825556501294,5762.372406339707,0,0,0,0,5336.494259029994,6242.506758823528,7148.5192586170615,6222.543063986059,4693.178000139884,0,0,0,0,6124.365910127632,6343.881847058826,6563.39778399002,6310.825556501294,5762.372406339707,0,0,0,0,0.49577429598087897,2.6167757635820332,,,,,38458.28745415,1.7520722423963178,12159837.472971812,0.6602973889489807,0.43626027790705996,0,0,0,0,0,0,0,3.0766416686774667,4.960884908271506,,
1509494400,6442.4775,6759.84,6357.65,6752.05,80,25,65,60,4741.198824350754,5701.957178235292,6662.715532119831,6371.851279520868,3854.3559297020147,0,0,0,0,6135.011451913871,6443.933588235295,6752.85572455672,6508.764213369829,6027.814198744013,0,0,0,0,5427.934534224632,6369.99007058823,7312.045606951828,6461.74589848459,4693.178000139884,0,0,0,0,6351.789339292647,6618.546088235292,6885.302837177936,6508.764213369829,6027.814198744013,0,0,0,0,0.5539564073220374,2.6167757635820332,,,,,46607.67531512,1.8225042829256177,14428454.566489996,0.6881335134578879,0.44639387509192574,0,0,0,0,0,0,0,3.1794399899986465,5.227811113531706,,
1509580800,6752.9125,7356.025,6724.95,7028.69,80,40,80,65,4841.629604091741,5840.563271176469,6839.496938261197,6635.388723982269,3854.3559297020147,0,0,0,0,6356.419948424883,6765.853617647059,7175.287286869235,6863.988567967093,6373.597113119441,0,0,0,0,5520.939378733616,6500.786552941179,7480.633727148743,6780.989639868015,4693.178000139884,0,0,0,0,6668.4559550086215,7007.937694117647,7347.4194332266725,6863.988567967093,6373.597113119441,0,0,0,0,0.6011596734415313,2.81124527293877,,,,,84416.08693735,1.88167664677526,23280057.415364977,0.720041011338201,0.4916350286906408,0,0,0,0,0,0,0,3.280282582062241,5.5072293439702245,,
1509667200,7031.9425,7461.9425,6931.95,7156.8525,80,25,65,35,4841.629604091741,5840.563271176469,6839.496938261197,6947.689307923488,3854.3559297020147,0,0,0,0,6630.321663411356,7154.11629411765,7677.910924823944,7134.199707708666,6567.837140753767,0,0,0,0,5609.112527964555,6609.260747058825,7609.408966153094,7091.082190833832,4693.178000139884,0,0,0,0,6998.122154652483,7405.271782352943,7812.421410053403,7134.199707708666,6567.837140753767,0,0,0,0,0.6133328775166379,2.81124527293877,,,,,54215.45544902,1.9004106901803877,6772052.5401370805,0.7606103207290784,0.47858012908723124,0,0,0,0,0,0,0,3.3052298626272196,5.5804969046953605,,
