time,open,high,low,close,BTC 50 SMA,200-Week SMA,AB4 Entry,MTF SMA,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1624233600,35593.3025,35749.11,31253.715,31628.705,41922.69500000003,13243.77774060225,1,13243.77774060225,33997.23377681431,44148.27945241379,0,0,0,0,0,0,0,0,0,0,0,0,33997.23377681431,47942.6545868231,33997.23377681431,,0,0,0,0,33997.23377681431,0,33997.23377681431,0,0,-35.012625820167294,-27.736156509776638,0,0,0,0,0,0,3199.3306700898142,-35.012625820167294,-45,-65,40,60,80,,,,,,,,,,,-15,-15,-15,-0.3,0,0,0,-0.3,1,0,-0.4800000000000001,0,0,0,0,25896.2592184505,35406.88955294119,35406.88955294119,34618.818480803166,47906.14062132853,0,0,0,0,31041.68928959424,33519.655894117655,33519.655894117655,33217.990487181516,37804.01473470032,0,0,0,0,22750.72531775786,30806.28034117649,30806.28034117649,33997.23377681431,47942.6545868231,0,0,0,0,0.9716366135865343,,5.761917598599763,6.025635461902948,44.515941850379434,0.37392090430313357
1624320000,31613.265,33318.1675,28754.4,32531.0825,41429.15280000003,13243.77774060225,0,13243.77774060225,33364.54901661009,44148.27945241379,0,0,0,0,0,0,0,0,0,0,0,0,33364.54901661009,47942.6545868231,33364.54901661009,,0,0,0,0,33364.54901661009,1,33364.54901661009,0,0,-35.70495379352002,-28.092068410229114,0,0,0,0,0,0,3296.7904436548274,-35.70495379352002,-45,-65,40,60,80,,,,,,,,,,,5,-10,-40,-0.18,0,0,0,-0.18,1,0.12,-0.31846464736574415,0,1,0,1,25896.2592184505,35406.88955294119,35406.88955294119,34448.31482528436,47906.14062132853,0,0,0,0,28979.715479147344,31822.063317647095,31822.063317647095,32392.64802037728,36614.95794365483,0,0,0,0,22831.447649211306,30688.725682352968,30688.725682352968,33364.54901661009,47942.6545868231,0,0,0,0,0.9716366135865343,,,,,0.36050387227085084
1624406400,32533.8975,34902.905,31877.5875,33676.2075,41037.46159999999,13243.77774060225,0,13243.77774060225,33364.54901661009,44148.27945241379,0,0,0,0,0,0,0,0,0,0,0,0,33364.54901661009,47942.6545868231,33364.54901661009,,0,0,0,0,33364.54901661009,0,33364.54901661009,0,0,-35.70495379352002,-28.092068410229114,0,0,0,0,0,0,3277.399519108054,-35.70495379352002,-45,-65,40,60,80,,,,,,,,,,,-15,-40,-30,-0.18,0,0,0,-0.18,1,0,0.11999999999999988,0,0,0,0,24723.387640409746,34439.22861764704,34439.22861764704,34448.31482528436,47906.14062132853,0,0,0,0,28991.755455082002,31605.283447058802,31605.283447058802,32815.63990478178,36614.95794365483,0,0,0,0,22813.688769981087,30559.331929411757,30559.331929411757,33364.54901661009,47942.6545868231,0,0,0,0,1.030172625183279,,,,,0.345883394321136
1624492800,33690.8925,35292.6925,32315.595,34666.66,40580.249399999986,13243.77774060225,0,13243.77774060225,33364.54901661009,44148.27945241379,0,0,0,0,0,0,0,0,0,0,0,0,33364.54901661009,47942.6545868231,33364.54901661009,,0,0,0,0,33364.54901661009,0,33364.54901661009,0,0,-39.798304886297565,-28.092068410229114,0,0,0,0,0,0,3255.94937488605,-39.798304886297565,-45,-65,40,60,80,,,,,,,,,,,10,-15,-25,-0.18,0,0,0,-0.18,1,0,0.11999999999999988,0,0,0,0,24723.387640409746,34439.22861764704,34439.22861764704,34448.31482528436,47906.14062132853,0,0,0,0,29683.96182263905,31902.158252941197,34120.35468324334,33846.27209694928,36614.95794365483,0,0,0,0,23296.208122865693,30723.774494117635,30723.774494117635,33364.54901661009,47942.6545868231,0,0,0,0,1.030172625183279,,,,,0.3531029507739258
1624579200,34673.2125,35406.58,31288.2575,31594.5075,40083.256599999986,13243.77774060225,0,13243.77774060225,33364.54901661009,44148.27945241379,0,0,0,0,0,0,0,0,0,0,0,0,33364.54901661009,47942.6545868231,33364.54901661009,,0,0,0,0,33364.54901661009,0,33364.54901661009,0,0,-40.73076031304814,-28.092068410229114,0,0,0,0,0,0,3317.5474552513324,-40.73076031304814,-45,-65,40,60,80,,,,,,,,,,,5,-20,-25,-0.3,0,0,0,-0.3,1,-0.12,-1.1102230246251565e-16,0,1,0,0,23588.0639753899,33493.12353529417,33493.12353529417,34448.31482528436,47906.14062132853,0,0,0,0,30356.753514883138,32149.190823529418,32149.190823529418,32783.05443935038,36614.95794365483,0,0,0,0,23483.821091715465,30660.54238235294,30660.54238235294,33364.54901661009,47942.6545868231,0,0,0,0,0.9627237088029674,,,,,0.3673238157251573
1624665600,31589.3075,32712.1025,30144.49,32275.4475,39581.00959999999,13243.77774060225,0,13243.77774060225,33168.159955405856,44148.27945241379,0,0,0,0,0,0,0,0,0,0,0,0,33168.159955405856,47942.6545868231,33168.159955405856,,0,0,0,0,33168.159955405856,1,33168.159955405856,0,0,-42.63632279087929,-29.555073402777655,0,0,0,0,0,0,3263.9806727333803,-42.63632279087929,-45,-65,40,60,80,,,,,,,,,,,10,-35,-45,-0.3,0,0,0,-0.3,1,0,-1.1102230246251565e-16,0,0,0,0,23588.0639753899,33493.12353529417,33493.12353529417,33747.445596257,47906.14062132853,0,0,0,0,30413.734033216213,31915.53909411766,31915.53909411766,32186.081833052674,35976.08317273338,0,0,0,0,23928.47360772152,30746.44335882353,30746.44335882353,33168.159955405856,47942.6545868231,0,0,0,0,0.9627237088029674,,,,,0.34369932855068547
1624752000,32275.5875,34742.985,32014.125,34690.9775,39095.30459999999,13395.536215602251,0,13395.536215602251,33168.159955405856,44148.27945241379,0,0,0,0,0,0,0,0,0,0,0,0,33168.159955405856,44148.27945241379,33168.159955405856,,0,0,0,0,33168.159955405856,0,33168.159955405856,0,0,-41.521445532552825,-29.555073402777655,0,0,0,0,0,0,3225.757767538139,-41.521445532552825,-45,-65,40,60,80,,,,,,,,,,,-5,-5,-40,-0.3,0,0,0,-0.3,1,0,-0.1200000000000001,0,0,0,0,22831.001540292753,32818.64547058825,32818.64547058825,33747.445596257,47906.14062132853,0,0,0,0,31100.18900421261,32401.286441176475,33702.38387814034,32186.081833052674,35976.08317273338,0,0,0,0,24880.76990178611,31142.38858823529,31142.38858823529,33168.159955405856,44148.27945241379,0,0,0,0,1.0522856674094383,,,,,0.35060599261523606
1624838400,34706.3675,35308.1725,33875.2425,34488.3475,38618.941999999995,13395.536215602251,0,13395.536215602251,33168.159955405856,44148.27945241379,0,0,0,0,0,0,0,0,0,0,0,0,33168.159955405856,44148.27945241379,33168.159955405856,,0,0,0,0,33168.159955405856,0,33168.159955405856,0,0,-41.47883934068835,-29.555073402777655,0,0,0,0,0,0,3097.6986412854144,-41.47883934068835,-45,-65,40,60,80,,,,,,,,,,,10,-15,-35,-0.18,0,0,0,-0.18,1,0.12,-1.1102230246251565e-16,0,1,0,1,22831.001540292753,32818.64547058825,32818.64547058825,33747.445596257,47906.14062132853,0,0,0,0,32256.213406296512,33450.61351764706,34645.013628997614,33644.42302260909,35976.08317273338,0,0,0,0,25893.92350079935,31553.06622941174,31553.06622941174,33168.159955405856,44148.27945241379,0,0,0,0,1.0522856674094383,,2.7552968088329237,4.953873889898801,45.148461183302004,0.33514171472995424
1624924800,34494.635,36650.9475,34247.8275,35907.5775,38219.48619999999,13395.536215602251,0,13395.536215602251,35000.43204999083,44148.27945241379,0,0,0,0,0,0,0,0,0,0,0,0,35000.43204999083,44148.27945241379,35000.43204999083,,0,0,0,0,35000.43204999083,0,35000.43204999083,0,0,-38.54430376732007,-28.607091826543357,0,0,0,0,0,0,3048.085881193599,-38.54430376732007,-45,-65,40,60,80,,,,,,,,,,,10,10,-40,-0.1006698778478913,0,0,0,-0.1006698778478913,1,0.07933012215210869,0.07933012215210858,0,0,0,0,22232.379515508,32265.234441176457,32265.234441176457,34201.58698323209,47906.14062132853,0,0,0,0,33345.97668171966,34701.23911764703,36056.501553574395,35473.06818683829,35976.08317273338,0,0,0,0,26928.661237239718,32033.01892941179,32033.01892941179,35000.43204999083,44148.27945241379,0,0,0,0,1.0840430399954852,,,,,0.3463658256677813
1625011200,35899.955,36095.705,34049.59,35041.1075,37784.95679999999,13395.536215602251,0,13395.536215602251,35000.43204999083,44148.27945241379,0,0,0,0,0,0,0,0,0,0,0,0,35000.43204999083,44148.27945241379,35000.43204999083,,0,0,0,0,35000.43204999083,0,35000.43204999083,0,0,-37.71796117912035,-28.607091826543357,0,0,0,0,0,0,2976.5165325369135,-37.71796117912035,-45,-65,40,60,80,,,,,,,,,,,10,-5,-35,-0.1784183092467959,0,0,0,-0.1784183092467959,1,-0.07774843139890458,0.12158169075320399,0,0,0,0,22232.379515508,32265.234441176457,32265.234441176457,34201.58698323209,47906.14062132853,0,0,0,0,33635.66262261707,34946.17285294117,36256.68308326527,35441.18384498328,35976.08317273338,0,0,0,0,28146.988097743073,32527.904947058865,32527.904947058865,35000.43204999083,44148.27945241379,0,0,0,0,1.0840430399954852,,,,,0.33140939026481037
