time,open,high,low,close,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,Risk Oscillator,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Volume,STH-MVRV,NRPL,Displayed STH SOPR (Mirrored),Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1624579200,34673.2125,35406.58,31288.2575,31594.5075,-75,5,,-25,23588.0639753899,33493.12353529417,33493.12353529417,34448.31482528436,47906.14062132853,0,0,0,0,,,,,,,,,,23483.821091715465,30660.54238235294,30660.54238235294,33364.54901661009,47942.6545868231,0,0,0,0,32676.214228523815,33851.02458235292,33851.02458235292,32783.05443935038,36614.95794365483,0,0,0,0,-0.3473846881101671,0.9627237088029674,,,,,41441.55906112,0.6634265541315703,-127586335.08926553,-0.29491880504907153,0.3673238157251573,-0.002442999999999998,-0.0019543999999999985,-0.0014657999999999989,-0.0009771999999999992,-0.0004885999999999996,-0.002442999999999998,0,1.6267694002498154,1.2388635768331258,,
1624665600,31589.3075,32712.1025,30144.49,32275.4475,-70,10,,-45,23588.0639753899,33493.12353529417,33493.12353529417,33747.445596257,47906.14062132853,0,0,0,0,,,,,,,,,,23928.47360772152,30746.44335882353,30746.44335882353,33168.159955405856,47942.6545868231,0,0,0,0,30684.530138019574,31869.662982352933,31869.662982352933,32186.081833052674,35976.08317273338,0,0,0,0,-0.32980783851261963,0.9627237088029674,,,,,30041.43153613,0.6777917338739989,20612627.834200222,-0.30441345045523127,0.34369932855068547,-0.006638499999999997,-0.0053107999999999975,-0.003983099999999998,-0.0026553999999999987,-0.0013276999999999994,-0.006638499999999997,0,1.6477812141960002,1.2782631389484065,,
1624752000,32275.5875,34742.985,32014.125,34690.9775,-15,-5,,-40,22831.001540292753,32818.64547058825,32818.64547058825,33747.445596257,47906.14062132853,0,0,0,0,,,,,,,,,,24880.76990178611,31142.38858823529,31142.38858823529,33168.159955405856,44148.27945241379,0,0,0,0,31144.619323469284,32284.58032352943,33424.541323589576,32186.081833052674,35976.08317273338,0,0,0,0,-0.27613282830160596,1.0522856674094383,,,,,24422.41606201,0.7282639443761498,58989659.53201832,-0.30699005454614237,0.35060599261523606,0.005000000000000001,0.004000000000000001,0.0030000000000000005,0.0020000000000000005,0.0010000000000000002,0,0.005000000000000001,1.7629642670523982,1.505433924419533,,
1624838400,34706.3675,35308.1725,33875.2425,34488.3475,5,10,,-35,22831.001540292753,32818.64547058825,32818.64547058825,33747.445596257,47906.14062132853,0,0,0,0,,,,,,,,,,25893.92350079935,31553.06622941174,31553.06622941174,33168.159955405856,44148.27945241379,0,0,0,0,32549.97449692835,33812.95511764705,35075.93573836575,33644.42302260909,35976.08317273338,0,0,0,0,-0.2767951820147667,1.0522856674094383,,2.7552968088329237,4.953873889898801,,24763.52176398,0.7237947511608861,-5398943.01498284,-0.29838623094724304,0.33514171472995424,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.7714608353266226,1.5205596680818054,,
1624924800,34494.635,36650.9475,34247.8275,35907.5775,15,10,,-40,22232.379515508,32265.234441176457,32265.234441176457,34201.58698323209,47906.14062132853,0,0,0,0,,,,,,,,,,26928.661237239718,32033.01892941179,32033.01892941179,35000.43204999083,44148.27945241379,0,0,0,0,34599.55791132977,36201.4722,37803.38648867022,35473.06818683829,35976.08317273338,0,0,0,0,-0.24362911064915804,1.0840430399954852,,,,,28233.11789671,0.7532088110000711,39891772.183772095,-0.28833900312896243,0.3463658256677813,0.005,0.004,0.003,0.002,0.001,0,0.005,1.8472162900454547,1.6683727151750407,,
1625011200,35899.955,36095.705,34049.59,35041.1075,-15,10,,-35,22232.379515508,32265.234441176457,32265.234441176457,34201.58698323209,47906.14062132853,0,0,0,0,,,,,,,,,,28146.988097743073,32527.904947058865,32527.904947058865,35000.43204999083,44148.27945241379,0,0,0,0,34743.156298266076,35875.32193529413,37007.487572322185,35441.18384498328,35976.08317273338,0,0,0,0,-0.25890622862907786,1.0840430399954852,,,,,27931.65612048,0.7347820814039903,-23989033.02993404,-0.28438879844031706,0.33140939026481037,0.005000000000000003,0.004000000000000002,0.0030000000000000014,0.002000000000000001,0.0010000000000000005,0,0.005000000000000003,1.796196842500015,1.5658447176794381,,
1625097600,35068.0775,35086.5175,32711.0625,33534.25,5,10,,-35,21287.53087039634,31457.499829411703,31457.499829411703,34201.58698323209,47906.14062132853,0,0,0,0,,,,,,,,,,28575.129195335343,32664.88497058827,32664.88497058827,34585.14846078467,44148.27945241379,0,0,0,0,33359.15905411436,34229.253882352954,34229.253882352954,34157.76839851611,35976.08317273338,0,0,0,0,-0.28763687235903745,1.0080327628287444,,,,,22555.92005832,0.7028891423682404,-34596890.4732528,-0.2879775688121572,0.33613065666689723,-0.000493999999999999,-0.0003951999999999992,-0.0002963999999999994,-0.0001975999999999996,-0.0000987999999999998,-0.000493999999999999,0,1.727793828510596,1.4283078464703443,,
1625184000,33519.6675,33979.1325,32706.545,33809.2275,15,20,,-15,21287.53087039634,31457.499829411703,31457.499829411703,34201.58698323209,47906.14062132853,0,0,0,0,,,,,,,,,,29140.542143190083,32869.702570588226,32869.702570588226,34428.72144067658,44148.27945241379,0,0,0,0,31994.73322791445,33021.08148235294,34047.42973679144,33808.73922952233,35976.08317273338,0,0,0,0,-0.27896495350993933,1.0080327628287444,,,,,17937.09407009,0.7086193702059206,5193864.958935218,-0.28152145223010716,0.3199249267445369,-0.0165635,-0.013250799999999997,-0.009938099999999998,-0.006625399999999998,-0.003312699999999999,-0.0165635,0,1.7464283471829916,1.4598442815649997,,
1625270400,33806.4,34946.3375,33331.0525,34684.7125,40,-5,,-10,20369.858157331728,30666.489394117645,30666.489394117645,34201.58698323209,47906.14062132853,0,0,0,0,,,,,,,,,,29918.697931670635,33188.05055294119,33188.05055294119,34428.72144067658,44148.27945241379,0,0,0,0,32785.49033202557,33612.83529999995,34440.18026797433,34136.01939873155,35976.08317273338,0,0,0,0,-0.25765957509251525,1.0379126192238082,,,,,10949.89887633,0.7269269882160638,9617433.056816593,-0.2745021301812408,0.3274732536312266,-0.0007420000000000007,-0.0005936000000000006,-0.0004452000000000004,-0.0002968000000000003,-0.00014840000000000014,-0.0007420000000000007,0,1.7919262245707752,1.5476406516279457,,
1625356800,34682.1675,35961.4025,34393.62,35293.315,20,10,,-10,20369.858157331728,30666.489394117645,30666.489394117645,34201.58698323209,47906.14062132853,0,0,0,0,,,,,,,,,,30511.24220800249,33464.086858823546,33464.086858823546,34711.72833759978,44148.27945241379,0,0,0,0,34331.298577388676,35207.008835294095,36082.719093199514,35052.00678995501,35976.08317273338,0,0,0,0,-0.24142320147612098,1.0379126192238082,,,,,9837.48119845,0.7395849855661154,6012152.040729713,-0.2728848385826742,0.3181941128167805,0.004999999999999999,0.004,0.0029999999999999996,0.002,0.001,0,0.004999999999999999,1.8250603825867835,1.6112953031811006,,
