time,open,high,low,close,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1769616000,89395.1,90488.28,88913.9,89297.14,0,-22.882120250888367,-11.350838033959082,0,0,0,0,0,0,,1035.5386294386567,250.76091128663901,76.17198766444926,-174.58892362218975,-0.020535022957035087,86560.6181529373,,2870.25717589,1082519.0612564746,54.46486502683775,-22.882120250888367,-45,-65,40,60,80,,,,,,,,,,,87944.72507480427,99675.62204295454,0,0,0,0,0,0,0,0,0,0,87944.72507480427,99675.62204295454,-10,-10,15,-1.1947175221056296,,,,,1,0,0,76914.4976175111,84895.13757647059,84895.13757647059,89359.10144492009,100800.84172611934,0,0,0,0,87316.49170787424,88220.37585882348,89124.26000977271,89053.96213409523,91238.04829534084,0,0,0,0,88749.2636469878,91492.18030588244,91492.18030588244,87944.72507480427,99675.62204295454,0,0,0,0,0.8595619098703112,,,,,0.5046804132593228
1769630400,89296.89,89793.5,88753.58,89196.5,0,-22.882120250888367,-11.350838033959082,0,0,0,0,0,0,,1035.8515844787526,214.9762237064581,94.13135601088288,-120.84486769557522,-0.010091790919571814,86560.6181529373,,2095.37874236,1080423.6825141145,53.41389280649125,-22.882120250888367,-45,-65,40,60,80,,,,,,,,,,,87944.72507480427,99675.62204295454,0,0,0,0,0,0,0,0,0,0,87944.72507480427,99675.62204295454,-5,-5,15,-1.6257221330348008,,,,,0,0,0,77319.6720363154,85068.51195294122,85068.51195294122,89359.10144492009,100800.84172611934,0,0,0,0,87431.30891654438,88304.61357647064,89177.9182363969,89053.96213409523,91238.04829534084,0,0,0,0,88813.35651078148,91532.15896470589,91532.15896470589,87944.72507480427,99675.62204295454,0,0,0,0,0.8682067671552257,,,,,0.4849748662372736
1769644800,89198.28,89242.47,87592.32,87934.02,0,-22.882120250888367,-11.350838033959082,0,0,0,0,0,0,,1079.7300427302698,101.8108612927501,6.4187089203624055,-95.3921523723877,0.025167852129722747,86560.6181529373,,2844.47614708,1077579.2063670345,42.36899847320905,-22.882120250888367,-45,-65,40,60,80,,,,,,,,,,,87944.72507480427,99675.62204295454,0,0,0,0,0,0,0,0,0,0,87944.72507480427,99675.62204295454,-10,-10,15,-1.7415787330825172,,,,,1,0,1,77319.6720363154,85068.51195294122,85068.51195294122,89359.10144492009,100800.84172611934,0,0,0,0,87375.9697689513,88254.58804705887,88254.58804705887,89053.96213409523,91238.04829534084,0,0,0,0,88813.35651078148,91532.15896470589,91532.15896470589,87944.72507480427,99675.62204295454,0,0,0,0,0.8682067671552257,,,,34.28915732872183,0.4892149756491291
1769659200,87935.77,88311.12,87787.37,88228.38,0,-22.882120250888367,-11.350838033959082,0,0,0,0,0,0,,1040.0171825352504,45.198950491580916,-38.893464257911546,-84.09241474949246,0.022196246552376155,86560.6181529373,,1016.20847526,1078595.4148422945,45.21358524786742,-22.882120250888367,-45,-65,40,60,80,,,,,,,,,,,87944.72507480427,99675.62204295454,0,0,0,0,0,0,0,0,0,0,87944.72507480427,99675.62204295454,-10,-10,15,-1.8190587622056775,,,,,0,0,0,77319.6720363154,85068.51195294122,85068.51195294122,89359.10144492009,100800.84172611934,0,0,0,0,87299.81618948474,88180.02072941186,88180.02072941186,89039.07956677882,91238.04829534084,0,0,0,0,88813.35651078148,91532.15896470589,91532.15896470589,87944.72507480427,99675.62204295454,0,0,0,0,0.8682067671552257,,,,,0.4407561824656171
1769673600,88230.51,88369.3,87636.68,87723.52,0,-22.882120250888367,-11.350838033959082,0,0,0,0,0,0,,1018.0602409255904,-24.106033377654256,-114.22495647156029,-90.11892309390603,-0.008734611611113968,86560.6181529373,,1540.02067576,1077055.3941665345,41.435972718811165,-22.882120250888367,-45,-65,40,60,80,,,,,,,,,,,87944.72507480427,99675.62204295454,0,0,0,0,0,0,0,0,0,0,87944.72507480427,99675.62204295454,-15,-15,15,-1.8659840545226765,,,,,0,0,0,77319.6720363154,85068.51195294122,85068.51195294122,89359.10144492009,100800.84172611934,0,0,0,0,87214.40428737337,88107.19117647075,88107.19117647075,88648.72141217154,91238.04829534084,0,0,0,0,88813.35651078148,91532.15896470589,91532.15896470589,87944.72507480427,99675.62204295454,0,0,0,0,0.8682067671552257,,,,,0.4717395303509604
1769688000,87723.29,88052.21,84260.75,84818.97,0,-22.882120250888367,-11.350838033959082,0,0,0,0,0,0,,1216.16022371662,-250.82137492517882,-403.6456417503796,-152.82426682520077,-0.14571672019487816,,90080.67341243887,6707.89121162,1070347.5029549145,27.30261638819026,-22.882120250888367,-45,-65,40,60,80,,,,,,,,,,,87944.72507480427,99675.62204295454,0,0,0,0,0,0,0,0,0,0,87944.72507480427,99675.62204295454,-15,-15,15,-1.9531872317769048,,,,,0,0,0,77319.6720363154,85068.51195294122,85068.51195294122,89359.10144492009,100800.84172611934,0,0,0,0,86747.99905400808,87804.19127058821,87804.19127058821,88648.72141217154,91238.04829534084,0,0,0,0,88813.35651078148,91532.15896470589,91532.15896470589,87944.72507480427,99675.62204295454,0,0,0,0,0.8682067671552257,,,,,0.4967372390303951
1769702400,84817.2,85509.13,83238.63,83864.23,0,-23.097341794710477,-11.350838033959082,0,0,0,0,0,0,,1291.4702077368615,-439.30969454909626,-701.9613850115711,-262.65169046247485,-0.19470269527290868,,88586.80407119499,9283.28684051,1061064.2161144044,24.36119465666428,-23.097341794710477,-45,-65,40,60,80,,,,,,,,,,,86800.60020773686,99675.62204295454,0,0,0,0,0,0,0,0,0,0,86800.60020773686,99675.62204295454,-15,-15,15,-2.0997432775056826,,,,,0,0,0,77319.6720363154,85068.51195294122,85068.51195294122,89359.10144492009,100800.84172611934,0,0,0,0,86160.3430992482,87420.96016470587,87420.96016470587,85459.60137190315,91238.04829534084,0,0,0,0,88813.35651078148,91532.15896470589,91532.15896470589,86800.60020773686,99675.62204295454,0,0,0,0,0.8682067671552257,,,,,0.3947639528104325
1769716800,83862.22,84631.79,83678.8,84556.08,0,-26.010352423652225,-13.545578887507997,0,0,0,0,0,0,,1267.2930500413709,-487.87438551228126,-872.4946723528265,-384.6202868405452,-0.10394914848464734,,88232.82366407548,3133.3814605,1064197.5975749043,30.227302634603717,-26.010352423652225,-45,-65,40,60,80,,,,,,,,,,,85899.08305004136,99675.62204295454,0,0,0,0,0,0,0,0,0,0,85899.08305004136,99675.62204295454,-20,-45,15,-2.2044109868865416,,,,,0,0,0,77319.6720363154,85068.51195294122,85068.51195294122,87146.78419083577,100800.84172611934,0,0,0,0,85796.03796885617,87162.86708235295,87162.86708235295,85459.60137190315,91238.04829534084,0,0,0,0,88386.71937319449,91192.8358352941,91192.8358352941,85899.08305004136,99675.62204295454,0,0,0,0,0.8682067671552257,,,,,0.3988323829069004
1769731200,84550.82,84638.35,81066.96,82585.85,0,-26.010352423652225,-13.545578887507997,0,0,0,0,0,0,,1431.8714036098443,-614.967577536736,-1153.3297587614652,-538.3621812247292,-0.13067030369690802,,87593.84779766793,6395.45837576,1057802.1391991444,24.419284190421052,-26.010352423652225,-45,-65,40,60,80,,,,,,,,,,,85899.08305004136,99675.62204295454,0,0,0,0,0,0,0,0,0,0,85899.08305004136,99675.62204295454,-15,-25,-20,-2.253983771501179,,,,,0,0,0,77319.6720363154,85068.51195294122,85068.51195294122,87146.78419083577,100800.84172611934,0,0,0,0,85186.52893923868,86767.69214117649,86767.69214117649,83773.1206297617,91238.04829534084,0,0,0,0,88386.71937319449,91192.8358352941,91192.8358352941,85899.08305004136,99675.62204295454,0,0,0,0,0.8682067671552257,,,,33.508553629250315,0.43992118355461124
1769745600,82588.19,83236.55,81977.77,82728.13,0,-27.152722167360253,-14.272414101465614,0,0,0,0,0,0,,1419.5077319234267,-648.4013890432427,-1348.8639175287826,-700.4625284855399,-0.1312514706030407,,87251.86751790115,3759.24753069,1061561.3867298344,25.532064718492435,-27.152722167360253,-45,-65,40,60,80,,,,,,,,,,,84656.05773192343,99675.62204295454,0,0,0,0,0,0,0,0,0,0,84656.05773192343,99675.62204295454,-15,-40,-10,-2.2966129544870775,,,,,0,0,0,77319.6720363154,85068.51195294122,85068.51195294122,86414.12817720465,100800.84172611934,0,0,0,0,84602.4122670241,86365.72905882359,86365.72905882359,83773.1206297617,91238.04829534084,0,0,0,0,88386.71937319449,91192.8358352941,91192.8358352941,84656.05773192343,99675.62204295454,0,0,0,0,0.8682067671552257,,,,,0.376595476661859
