time,open,high,low,close,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VST SRI Bias Histogram,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,Funding Rate,MVRV,Z-score,Plot,Plot
1758571200,112224.53,113061.73,112102.35,112758.85,,798.3304743863779,-347.91115385468754,-891.8275142524653,-543.9163603977778,-0.20636797295359308,,114975.45714458602,1128.69594971,1095165.376482624,30.551496603111232,6.416298617808606,-45,-65,40,60,80,,,,,,,,,,,113769.80204933918,108520.03842225086,0,0,0,0,0,0,0,0,0,0,113769.80204933918,108520.03842225086,-30,-15,-40,-10,112130.91630471044,116897.56522352954,121664.21414234865,114212.80861361927,100800.84172611934,0,0,0,0,113614.16146510698,114843.28197647064,114843.28197647064,113399.81856994865,113805.18618930997,0,0,0,0,109538.2475313393,112768.53969411764,112768.53969411764,113769.80204933918,108520.03842225086,0,0,0,0,111971.77191467801,113338.36997647052,113338.36997647052,113399.81856994865,113805.18618930997,0,0,0,0,1.1384381039364802,,,,,0.5345637881778522,0.0026024999999999998,0.0020819999999999996,0.0015614999999999997,0.0010409999999999998,0.0005204999999999999,0,0.0026024999999999998,2.104121087585582,1.95990864690214,,
1758585600,112756.35,112925.25,111599.3,112426.03,,836.0175833587792,-323.2966191486702,-948.0371343336155,-624.7405151849454,-0.09478214331432347,,114908.23563711466,1366.45339152,1093798.923091104,28.797419675405777,6.414824040030541,-45,-65,40,60,80,,,,,,,,,,,113761.26758335879,108520.03842225086,0,0,0,0,0,0,0,0,0,0,113761.26758335879,108520.03842225086,-40,-10,-20,-10,112130.91630471044,116897.56522352954,121664.21414234865,114212.80861361927,100800.84172611934,0,0,0,0,113270.29575927263,114583.71155294123,114583.71155294123,113211.12295712538,113805.18618930997,0,0,0,0,109538.2475313393,112768.53969411764,112768.53969411764,113761.26758335879,108520.03842225086,0,0,0,0,111614.40969008,113041.4965176471,113041.4965176471,113211.12295712538,113805.18618930997,0,0,0,0,1.1384381039364802,,,,42.212113447710465,0.5514700136762749,0.0026024999999999998,0.0020819999999999996,0.0015614999999999997,0.0010409999999999998,0.0005204999999999999,0,0.0026024999999999998,2.104121087585582,1.9595787105137181,,
1758600000,112436.78,113182.2,111999.01,113171.29,,860.8156131188665,-237.66457049837913,-921.8212283079192,-684.1566578095401,-0.08457355660837433,,114908.23563711466,993.0302992,1094791.953390304,37.45666880823166,6.414824040030541,-45,-65,40,60,80,,,,,,,,,,,113761.26758335879,108520.03842225086,0,0,0,0,0,0,0,0,0,0,113761.26758335879,108520.03842225086,-30,10,0,-10,112130.91630471044,116897.56522352954,121664.21414234865,114212.80861361927,100800.84172611934,0,0,0,0,113020.20521373351,114378.95818823537,114378.95818823537,113211.12295712538,113805.18618930997,0,0,0,0,109538.2475313393,112768.53969411764,112768.53969411764,113761.26758335879,108520.03842225086,0,0,0,0,111455.35333685545,112880.15451764705,112880.15451764705,113211.12295712538,113805.18618930997,0,0,0,0,1.1384381039364802,,,,,0.5383158017608641,0.0026024999999999998,0.0020819999999999996,0.0015614999999999997,0.0010409999999999998,0.0005204999999999999,0,0.0026024999999999998,2.104121087585582,1.959249015005788,,
1758614400,113172.79,113366.37,112806.44,113083.56,,839.3237836103755,-170.8946898567117,-897.7750201304298,-726.8803302737181,-0.06879836590588684,,114908.23563711466,863.94729362,1093928.006096684,36.887954600972634,6.414824040030541,-45,-65,40,60,80,,,,,,,,,,,113761.26758335879,108520.03842225086,0,0,0,0,0,0,0,0,0,0,113761.26758335879,108520.03842225086,-25,10,0,-10,112130.91630471044,116897.56522352954,121664.21414234865,114212.80861361927,100800.84172611934,0,0,0,0,112773.83731874006,114178.34117647061,114178.34117647061,113211.12295712538,113805.18618930997,0,0,0,0,109538.2475313393,112768.53969411764,112768.53969411764,113761.26758335879,108520.03842225086,0,0,0,0,111343.90297384516,112754.26487058826,112754.26487058826,113211.12295712538,113805.18618930997,0,0,0,0,1.1384381039364802,,,,,0.5267228643600156,0.0026024999999999998,0.0020819999999999996,0.0015614999999999997,0.0010409999999999998,0.0005204999999999999,0,0.0026024999999999998,2.104121087585582,1.9589195601078766,,
1758628800,113090.31,113375.13,112595.18,112970,,835.082799066778,-120.70634486694166,-877.7632613573951,-757.0569164904534,-0.09090411769279633,,114908.23563711466,1466.2096654,1092461.796431284,36.12338796917084,6.414824040030541,-45,-65,40,60,80,,,,,,,,,,,113761.26758335879,108520.03842225086,0,0,0,0,0,0,0,0,0,0,113761.26758335879,108520.03842225086,-30,10,0,-10,112130.91630471044,116897.56522352954,121664.21414234865,114212.80861361927,100800.84172611934,0,0,0,0,112539.27141890947,113989.31767058822,113989.31767058822,113211.12295712538,113805.18618930997,0,0,0,0,109538.2475313393,112768.53969411764,112768.53969411764,113761.26758335879,108520.03842225086,0,0,0,0,111209.37306780333,112618.23510588233,112618.23510588233,113211.12295712538,113805.18618930997,0,0,0,0,1.1384381039364802,,,,,0.554697000996394,0.0026024999999999998,0.0020819999999999996,0.0015614999999999997,0.0010409999999999998,0.0005204999999999999,0,0.0026024999999999998,2.104121087585582,1.958590345549934,,
1758643200,112977.5,113044.47,111625.89,111718.43,,876.7611705620083,-155.89196658755407,-951.921874724896,-796.029908137342,-0.16559516879902392,,114908.23563711466,2196.01486641,1090265.7815648739,28.991349974944526,6.414824040030541,-45,-65,40,60,80,,,,,,,,,,,113761.26758335879,108520.03842225086,0,0,0,0,0,0,0,0,0,0,113761.26758335879,108520.03842225086,-40,-20,-20,-10,112130.91630471044,116897.56522352954,121664.21414234865,114212.80861361927,100800.84172611934,0,0,0,0,112135.62808671662,113679.47080000011,113679.47080000011,112891.5860618181,113805.18618930997,0,0,0,0,109538.2475313393,112768.53969411764,112768.53969411764,113761.26758335879,108520.03842225086,0,0,0,0,110834.93389030317,112311.8036941178,112311.8036941178,112891.5860618181,113805.18618930997,0,0,0,0,1.1384381039364802,,,,,0.5556265034995375,0.0026024999999999998,0.0020819999999999996,0.0015614999999999997,0.0010409999999999998,0.0005204999999999999,0,0.0026024999999999998,2.104121087585582,1.958261371062331,,
1758657600,111718.46,112293.88,111558.02,112073.43,,866.6968012361506,-139.8609947564512,-970.856151582906,-830.9951568264548,-0.15427615855465526,,114637.00972530985,992.40594065,1091258.187505524,33.030238062058515,6.311037197263536,-45,-65,40,60,80,,,,,,,,,,,113160.57680123615,108520.03842225086,0,0,0,0,0,0,0,0,0,0,113160.57680123615,108520.03842225086,-30,-15,-15,0,111851.46548652097,116494.33378823537,116494.33378823537,114212.80861361927,100800.84172611934,0,0,0,0,111783.90030275771,113397.15096470597,113397.15096470597,112891.5860618181,113805.18618930997,0,0,0,0,109365.82035073447,112611.45291764701,112611.45291764701,113160.57680123615,108520.03842225086,0,0,0,0,110501.45303539984,112032.71983529424,112032.71983529424,112891.5860618181,113805.18618930997,0,0,0,0,1.104697789194839,,,,,0.5241351365616742,0.0025075,0.002006,0.0015045,0.001003,0.0005015,0,0.0025075,2.0884488742532654,1.9320996101618868,,
1758672000,112073.43,112573.16,111791.88,111795.88,,860.595601147854,-132.61791610059754,-996.7675519522018,-864.1496358516042,-0.16789239740552284,,114637.00972530985,1396.63385839,1089861.553647134,31.520700295323977,6.311037197263536,-45,-65,40,60,80,,,,,,,,,,,113160.57680123615,108520.03842225086,0,0,0,0,0,0,0,0,0,0,113160.57680123615,108520.03842225086,-25,-10,-10,-10,111851.46548652097,116494.33378823537,116494.33378823537,114212.80861361927,100800.84172611934,0,0,0,0,111426.53136224722,113116.43990588232,113116.43990588232,112891.5860618181,113805.18618930997,0,0,0,0,109365.82035073447,112611.45291764701,112611.45291764701,113160.57680123615,108520.03842225086,0,0,0,0,110232.00775774464,111800.07348235301,111800.07348235301,112891.5860618181,113805.18618930997,0,0,0,0,1.104697789194839,,,,47.35912219755654,0.5424166890056196,0.0025075,0.002006,0.0015045,0.001003,0.0005015,0,0.0025075,2.0884488742532654,1.9317820297589499,,
1758686400,111796.4,112850.58,111135.52,112641.47,,921.6287724944358,-59.2841787921476,-938.2548593417887,-878.9706805496411,-0.1126617084335102,,114637.00972530985,1077.44952434,1090939.003171474,40.44999883906519,6.903994284651031,-45,-65,40,60,80,,,,,,,,,,,113160.57680123615,108520.03842225086,0,0,0,0,0,0,0,0,0,0,113160.57680123615,108520.03842225086,-30,10,-15,0,111851.46548652097,116494.33378823537,116494.33378823537,114066.02534890619,100800.84172611934,0,0,0,0,111182.23378317468,112913.06075294127,112913.06075294127,112891.5860618181,113805.18618930997,0,0,0,0,109365.82035073447,112611.45291764701,112611.45291764701,113160.57680123615,108520.03842225086,0,0,0,0,110112.93338728244,111680.99312941186,111680.99312941186,112891.5860618181,113805.18618930997,0,0,0,0,1.104697789194839,,,,,0.565931782237524,0.0025075,0.002006,0.0015045,0.001003,0.0005015,0,0.0025075,2.0884488742532654,1.9314646775354483,,
1758700800,112649.4,113222.25,112487.87,113091.55,,908.253860173405,26.52422370184388,-845.8154009223363,-872.3396246241801,-0.102924036172748,,114637.00972530985,773.22349312,1091712.226664594,44.59142190737353,6.903994284651031,-45,-65,40,60,80,,,,,,,,,,,113160.57680123615,108520.03842225086,0,0,0,0,0,0,0,0,0,0,113160.57680123615,108520.03842225086,-25,10,0,-10,111851.46548652097,116494.33378823537,116494.33378823537,114066.02534890619,100800.84172611934,0,0,0,0,110992.9511307546,112750.0836000001,112750.0836000001,112891.5860618181,113805.18618930997,0,0,0,0,109365.82035073447,112611.45291764701,112611.45291764701,113160.57680123615,108520.03842225086,0,0,0,0,110114.85220819982,111653.15632941182,113191.46045062382,112891.5860618181,113805.18618930997,0,0,0,0,1.104697789194839,,,,,0.522948480720913,0.0025075,0.002006,0.0015045,0.001003,0.0005015,0,0.0025075,2.0884488742532654,1.9311475532397002,,
