time,open,high,low,close,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1751054400,106890.91,107305.09,106859.11,107107.2,106429.28001874546,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106429.28001874546,94127.66587142862,106429.28001874546,,0,0,0,0,106429.28001874546,0,106429.28001874546,0,1,26.894184473933347,18.88746626156724,0,0,0,0,0,0,1014.1033741006507,26.894184473933347,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.15148266146396128,0.08076107620867301,0,0,0.06682428041086211,1.0482572178007656,0.004422635071225867,0.13940643575410933,0,0,0,0,0.02694048714890585,,,,,0,0,0,102040.27758844395,112383.73635294125,122727.19511743856,105461.19349281464,88706.73823663368,0,0,0,0,105001.45499621688,107374.10600000004,109746.7570037832,106877.43509031001,106285.563730779,0,0,0,0,103651.54532386517,105958.3873411764,108265.22935848765,106429.28001874546,94127.66587142862,0,0,0,0,1.220167297184438,,,,,0.3705680070699764
1751068800,107106.14,107365.98,106891.84,107347.79,106429.28001874546,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106429.28001874546,94127.66587142862,106429.28001874546,,0,0,0,0,106429.28001874546,0,106429.28001874546,0,1,26.894184473933347,18.88746626156724,0,0,0,0,0,0,975.5345616648899,26.894184473933347,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.15414054706949498,0.0836045203792666,0,0,0.06682428041086211,1.0443964783546171,0.0026578856055337052,0.14976589460097905,0,0,0,0,0.05294754278273528,,,,,0,0,0,102040.27758844395,112383.73635294125,122727.19511743856,105461.19349281464,88706.73823663368,0,0,0,0,105154.03534477457,107552.1036705882,109950.17199640183,106877.43509031001,106285.563730779,0,0,0,0,103651.54532386517,105958.3873411764,108265.22935848765,106429.28001874546,94127.66587142862,0,0,0,0,1.220167297184438,,,,56.10466741967547,0.3926656545917156
1751083200,107348.29,107518.03,107248.26,107512.62,106429.28001874546,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106429.28001874546,94127.66587142862,106429.28001874546,,0,0,0,0,106429.28001874546,0,106429.28001874546,0,1,26.894184473933347,18.88746626156724,0,0,0,0,0,0,925.1228072602552,26.894184473933347,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.15563173614291534,0.08533594675537716,0,0,0.06682428041086211,1.0406804999378216,0.001491189073420357,0.15541412117895165,0,0,0,0,0.07003794924084401,,,,,0,0,0,102040.27758844395,112383.73635294125,122727.19511743856,105461.19349281464,88706.73823663368,0,0,0,0,105325.34598307873,107751.82938823523,110178.31279339173,106877.43509031001,106285.563730779,0,0,0,0,103651.54532386517,105958.3873411764,108265.22935848765,106429.28001874546,94127.66587142862,0,0,0,0,1.220167297184438,,,,,0.3853825415497535
1751097600,107512.62,107521.71,107315.61,107399.82,106441.8459646869,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106441.8459646869,94127.66587142862,106441.8459646869,,0,0,0,0,106441.8459646869,0,106441.8459646869,0,1,26.896687579521068,18.88746626156724,0,0,0,0,0,0,873.7640353130945,26.896687579521068,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.15635263409597838,0.08632604107802766,0,0,0.06682428041086211,1.0370955573439784,0.0007208979530630433,0.01377552240912791,0,0,0,0,0.08118833242702331,,,,,0,0,0,102040.27758844395,112383.73635294125,122727.19511743856,105461.19349281464,88706.73823663368,0,0,0,0,105483.5987075676,107934.49668235291,110385.39465713823,106877.43509031001,106285.563730779,0,0,0,0,103651.54532386517,105958.3873411764,108265.22935848765,106441.8459646869,94127.66587142862,0,0,0,0,1.220167297184438,,,,,0.3858421766445792
1751112000,107402.07,107558.5,107149.83,107500.76,106441.8459646869,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106441.8459646869,94127.66587142862,106441.8459646869,,0,0,0,0,106441.8459646869,0,106441.8459646869,0,1,27.268963809185635,19.185287245298895,0,0,0,0,0,0,840.5430327907305,27.268963809185635,-45,-65,40,60,80,,,,,,,,,,,10,35,10,0.15656595943191173,0.08682192413798093,0,0,0.06682428041086211,1.033629234920301,0.0002133253359333509,0.009505933039176358,0,0,0,0,0.08838183755636873,,,,,0,0,0,102040.27758844395,112383.73635294125,122727.19511743856,105725.38077326724,88706.73823663368,0,0,0,0,105691.82975565917,108165.46818823527,110639.10662081138,106877.43509031001,106285.563730779,0,0,0,0,103651.54532386517,105958.3873411764,108265.22935848765,106441.8459646869,94127.66587142862,0,0,0,0,1.220167297184438,,,,,0.39305374475528115
1751126400,107507.29,107555.7,107282.76,107282.79,106482.76004098004,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106482.76004098004,94127.66587142862,106482.76004098004,,0,0,0,0,106482.76004098004,0,106482.76004098004,0,1,27.277113792757355,19.185287245298895,0,0,0,0,0,0,799.9999590199642,27.277113792757355,-45,-65,40,60,80,,,,,,,,,,,10,20,10,0.15644578483777177,0.08698834110469679,0,0,0.06682428041086211,1.03027030161483,-0.00012017459413996012,0.004963123373810531,0,0,0,0,0.0929395772746122,,,,,0,0,0,102040.27758844395,112383.73635294125,122727.19511743856,105725.38077326724,88706.73823663368,0,0,0,0,105892.96602938496,108383.2017647059,110873.43750002683,106877.43509031001,106285.563730779,0,0,0,0,103651.54532386517,105958.3873411764,108265.22935848765,106482.76004098004,94127.66587142862,0,0,0,0,1.220167297184438,,,,,0.3791129978882132
1751140800,107287.1,107392.44,107210.47,107341.33,106482.76004098004,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106482.76004098004,94127.66587142862,106482.76004098004,,0,0,0,0,106482.76004098004,0,106482.76004098004,0,1,27.47119021012088,19.340548379189716,0,0,0,0,0,0,755.8549619471097,27.47119021012088,-45,-65,40,60,80,,,,,,,,,,,10,35,10,0.1616188149756207,0.08456710846621326,0,0,0.0746705350006735,1.0281571825254645,0.005173030137848922,0.007478267906125741,0,0,0,0,0.09574157149077983,,,,,0,0,0,102040.27758844395,112383.73635294125,122727.19511743856,105863.107860891,88706.73823663368,0,0,0,0,106023.50007177558,108532.00360000005,111040.50712822453,106946.93038966446,106285.563730779,0,0,0,0,103684.81873447847,105965.77898823527,108246.73924199207,106482.76004098004,94127.66587142862,0,0,0,0,1.220167297184438,,,,,0.3771154009067276
1751155200,107342.58,107520.7,107234.45,107256.15,106512.13824962053,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106512.13824962053,94127.66587142862,106512.13824962053,,0,0,0,0,106512.13824962053,0,106512.13824962053,0,1,27.477042277171623,19.340548379189716,0,0,0,0,0,0,722.311750379459,27.477042277171623,-45,-65,40,60,80,,,,,,,,,,,10,20,10,0.16012768745519562,0.08323804905821311,0,0,0.0746705350006735,1.0266597237851776,-0.001491127520425073,0.004495951312280297,0,0,0,0,0.09637598514177319,,,,,0,0,0,102040.27758844395,112383.73635294125,122727.19511743856,105863.107860891,88706.73823663368,0,0,0,0,106117.29105423208,108631.56649411765,111145.84193400323,106946.93038966446,106285.563730779,0,0,0,0,103684.81873447847,105965.77898823527,108246.73924199207,106512.13824962053,94127.66587142862,0,0,0,0,1.220167297184438,,,,58.94558685945584,0.3784011820551182
1751169600,107256.4,107412.36,107255.13,107412.36,106573.18123179051,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106573.18123179051,94127.66587142862,106573.18123179051,,0,0,0,0,106573.18123179051,0,106573.18123179051,0,1,27.629796795429478,19.453024304024108,0,0,0,0,0,0,681.9487682094974,27.629796795429478,-45,-65,40,60,80,,,,,,,,,,,10,35,10,0.16533222217361965,0.08181149608789057,0,0,0.0814557263276743,1.0252409484827942,0.005204534718424025,0.008979588077641279,0,0,0,0,0.09623510423349155,,,,,0,0,0,102040.27758844395,112383.73635294125,122727.19511743856,105962.88158511308,88706.73823663368,0,0,0,0,106212.51288387639,108731.90621176471,111251.29953965303,107007.02771343208,106285.563730779,0,0,0,0,103684.81873447847,105965.77898823527,108246.73924199207,106573.18123179051,94127.66587142862,0,0,0,0,1.220167297184438,,,,,0.365520318958869
1751184000,107416.54,108482.49,107413.85,108482.22,106704.17400094833,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106704.17400094833,94127.66587142862,106704.17400094833,,0,0,0,0,106704.17400094833,0,106704.17400094833,0,1,27.655890233516683,19.453024304024108,0,0,0,0,0,0,709.6759990516765,27.655890233516683,-45,-65,40,60,80,,,,,,,,,,,10,20,10,0.2252649924615673,0.08031999377518252,0,0,0.14302588366770022,1.0238933661281924,0.05993277028794766,0.06869903302965559,0,0,0,0,0.0955766747983242,,,,,0,0,0,102040.27758844395,112383.73635294125,122727.19511743856,105962.88158511308,88706.73823663368,0,0,0,0,106367.49368707468,108914.7549411765,111462.01619527834,107552.3626202552,106285.563730779,0,0,0,0,103684.81873447847,105965.77898823527,108246.73924199207,106704.17400094833,94127.66587142862,0,0,0,0,1.220167297184438,,,,,0.40080297001335674
