time,open,high,low,close,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1749988800,105019.2,105879.46,105018.17,105633.49,106088.60037276948,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106088.60037276948,94127.66587142862,106088.60037276948,,0,0,0,0,106088.60037276948,0,106088.60037276948,0,2,11.965028119340223,20.314750371364543,0,0,0,0,0,0,933.9128126054246,11.965028119340223,-45,-65,40,60,80,,,,,,,,,,,-10,-10,10,-0.36079868419355343,-0.31304964818983094,0,0,-0.08425639890702795,0.8833815558828941,0.004786320568869684,-0.003403688932960912,0,0,0,0,-0.43435276740868317,,,,,0,0,0,99468.99542970177,110070.36599999995,120671.73657029813,106727.2906719856,88706.73823663368,0,0,0,0,104222.63298699714,106020.19705882361,106020.19705882361,105539.29382613243,106285.563730779,0,0,0,0,104914.8989456023,109930.91590588231,109930.91590588231,106088.60037276948,94127.66587142862,0,0,0,0,1.2378607243185955,,,,,0.31316298794190744
1750003200,105629.24,105825.62,105173.13,105351.38,106088.60037276948,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106088.60037276948,94127.66587142862,106088.60037276948,,0,0,0,0,106088.60037276948,0,106088.60037276948,0,2,11.965028119340223,20.314750371364543,0,0,0,0,0,0,913.811183133608,11.965028119340223,-45,-65,40,60,80,,,,,,,,,,,-10,-10,10,-0.35617551696601907,-0.30973403380499925,0,0,-0.08425639890702795,0.877911654455721,0.004623167227534364,0.023761962365112174,0,0,0,0,-0.4297296001811488,,,,,0,0,0,99468.99542970177,110070.36599999995,120671.73657029813,106727.2906719856,88706.73823663368,0,0,0,0,104045.6867665187,105840.85425882353,105840.85425882353,105539.29382613243,106285.563730779,0,0,0,0,104914.8989456023,109930.91590588231,109930.91590588231,106088.60037276948,94127.66587142862,0,0,0,0,1.2378607243185955,,,,,0.3039498792082874
1750017600,105363.61,105653.82,104574.01,105634.41,106088.60037276948,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106088.60037276948,94127.66587142862,106088.60037276948,,0,0,0,0,106088.60037276948,0,106088.60037276948,0,2,11.965028119340223,20.314750371364543,0,0,0,0,0,0,925.6682414812083,11.965028119340223,-45,-65,40,60,80,,,,,,,,,,,-10,-10,10,-0.3517476381334,-0.30625543011339484,0,0,-0.08425639890702795,0.8734252944587141,0.004427878832619081,0.023574402808807057,0,0,0,0,-0.4253017213485297,,,,,0,0,0,100019.62435694807,110695.96891764703,121372.31347834598,106727.2906719856,88706.73823663368,0,0,0,0,103904.90150769167,105700.08152941173,105700.08152941173,105539.29382613243,106285.563730779,0,0,0,0,104886.6116849555,109752.71303529404,114618.81438563259,106088.60037276948,94127.66587142862,0,0,0,0,1.228149764550792,,,,,0.32639589896236343
1750032000,105633.43,106019,105058.17,105973.44,106088.60037276948,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106088.60037276948,94127.66587142862,106088.60037276948,,0,0,0,0,106088.60037276948,0,106088.60037276948,0,2,11.965028119340223,20.314750371364543,0,0,0,0,0,0,928.1797956611221,11.965028119340223,-45,-65,40,60,80,,,,,,,,,,,-10,-10,10,-0.3475255040114919,-0.3026679133985084,0,0,-0.08425639890702795,0.8698282620986985,0.004222134121908083,0.022941722275820906,0,0,0,0,-0.42107958722662164,,,,,0,0,0,100019.62435694807,110695.96891764703,121372.31347834598,106727.2906719856,88706.73823663368,0,0,0,0,103798.78351039551,105592.09849411761,107385.41347783971,105539.29382613243,106285.563730779,0,0,0,0,104886.6116849555,109752.71303529404,114618.81438563259,106088.60037276948,94127.66587142862,0,0,0,0,1.228149764550792,,75.45253002482795,82.7548341706933,53.57258959763616,0.3217169601707148
1750046400,105981.7,107280.67,105946.29,107092.27,106088.60037276948,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106088.60037276948,94127.66587142862,106088.60037276948,,0,0,0,0,106088.60037276948,0,106088.60037276948,0,2,12.53996397957071,20.314750371364543,0,0,0,0,0,0,957.1940959710422,12.53996397957071,-45,-65,40,60,80,,,,,,,,,,,-10,-10,10,-0.2825137462644613,-0.2990075378983422,0,0,-0.023263643288302393,0.8670353423140115,0.06501175774703061,0.08307125849796203,0,0,0,0,-0.4170605850983166,,,,,0,0,0,100019.62435694807,110695.96891764703,121372.31347834598,106727.2906719856,88706.73823663368,0,0,0,0,103778.90778635738,105564.4223764706,107349.93696658382,105942.14853059442,106285.563730779,0,0,0,0,104886.6116849555,109752.71303529404,114618.81438563259,106088.60037276948,94127.66587142862,0,0,0,0,1.228149764550792,,,,,0.3236667243501962
1750060800,107096.92,107267.59,106625.21,106915.88,106088.60037276948,94127.66587142862,0,0,0,0,0,1,1,0,0,0,0,0,106088.60037276948,94127.66587142862,106088.60037276948,,0,0,0,0,106088.60037276948,0,106088.60037276948,0,2,20.03996397957071,20.314750371364543,0,0,0,0,0,0,934.7073748302528,20.03996397957071,-45,-65,40,60,80,,,,,,,,,,,-10,-10,10,-0.25542404721095613,-0.2952983420035616,0,0,0,0.8649694592862816,0.027089699053505167,0.10537463698259751,0,0,0,0,-0.41323452933311383,,,,,0,0,0,100019.62435694807,110695.96891764703,121372.31347834598,106727.2906719856,88706.73823663368,0,0,0,0,103740.50920098205,105516.26875294113,107292.02830490022,106338.74863555196,106285.563730779,0,0,0,0,104886.6116849555,109752.71303529404,114618.81438563259,106088.60037276948,94127.66587142862,0,0,0,0,1.228149764550792,,,,,0.2886557733244812
1750075200,106915.9,107824.39,106557.44,107480.25,106088.60037276948,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106088.60037276948,94127.66587142862,106088.60037276948,,0,0,0,0,106088.60037276948,0,106088.60037276948,0,2,20.03996397957071,20.314750371364543,0,0,0,0,0,0,958.438990913806,20.03996397957071,-45,-65,40,60,80,,,,,,,,,,,-10,-10,10,-0.2517766661227052,-0.2915563527729097,0,0,0,0.863560899044486,0.0036473810882509117,0.10439885084331406,0,0,0,0,-0.4095871482448629,,,,,0,0,0,100019.62435694807,110695.96891764703,121372.31347834598,106727.2906719856,88706.73823663368,0,0,0,0,103740.09361410601,105506.48616470586,107272.8787153057,106338.74863555196,106285.563730779,0,0,0,0,104886.6116849555,109752.71303529404,114618.81438563259,106088.60037276948,94127.66587142862,0,0,0,0,1.228149764550792,,,,,0.3216527534083774
1750089600,107490.04,108921.75,107390.96,108684.73,106391.63879415147,94127.66587142862,0,0,0,0,0,0,0,1,1,0,0,0,106391.63879415147,94127.66587142862,106391.63879415147,,0,0,0,0,106391.63879415147,0,106391.63879415147,0,2,27.60032848928535,20.314750371364543,0,0,0,0,0,1,999.3212058485336,27.60032848928535,-45,-65,40,60,80,,,,,,,,,27.60032848928535,,-10,-10,10,-0.06223678473928598,-0.1602371702195938,0,0,0.0889879410500373,0.9437555941738137,0.18953988138341923,0.2895108533941142,0,1,0,0,-0.309035207911481,,,,,0,0,0,100019.62435694807,110695.96891764703,121372.31347834598,106727.2906719856,88706.73823663368,0,0,0,0,103819.79183016595,105594.3073411764,107368.82285218686,107073.74152075771,106285.563730779,0,0,0,0,104886.6116849555,109752.71303529404,114618.81438563259,106391.63879415147,94127.66587142862,0,0,0,0,1.228149764550792,,,,,0.29501788091794956
1750104000,108693.26,108986.15,106777.89,106828.12,106391.63879415147,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106391.63879415147,94127.66587142862,106391.63879415147,,0,0,0,0,106391.63879415147,0,106391.63879415147,0,2,27.60032848928535,20.314750371364543,0,0,0,0,0,0,1085.6739768593523,27.60032848928535,-45,-65,40,60,80,,,,,,,,,27.60032848928535,,-10,-10,0,0.019447944108887033,-0.1499390818980303,0,0,0.16437351944136744,0.9665630434568124,0.08168472884817302,0.36697344812037913,0,0,0,0,-0.3027360574546381,,,,,0,0,0,100019.62435694807,110695.96891764703,121372.31347834598,106727.2906719856,88706.73823663368,0,0,0,0,103774.70493873888,105544.37129411759,107314.0376494963,107741.44141213216,106285.563730779,0,0,0,0,104929.26491617107,109606.04724705871,114282.82957794635,106391.63879415147,94127.66587142862,0,0,0,0,1.228149764550792,,,,,0.3145689343124687
1750118400,106844.12,107761.48,106209.51,107629.59,106391.63879415147,94127.66587142862,0,0,0,0,0,0,0,0,0,0,0,0,106391.63879415147,94127.66587142862,106391.63879415147,,0,0,0,0,106391.63879415147,0,106391.63879415147,0,2,27.60032848928535,20.314750371364543,0,0,0,0,0,0,1118.9808356551127,27.60032848928535,-45,-65,40,60,80,,,,,,,,,27.60032848928535,,-10,-10,10,0.023678404435795053,-0.14257348365649444,0,0,0.16437351944136744,0.986825259489011,0.00423046032690802,0.30619215070025657,0,0,0,0,-0.29850559712773006,,,,,0,0,0,100019.62435694807,110695.96891764703,121372.31347834598,106727.2906719856,88706.73823663368,0,0,0,0,103797.33862942296,105566.58590588225,107335.83318234155,107741.44141213216,106285.563730779,0,0,0,0,104929.26491617107,109606.04724705871,114282.82957794635,106391.63879415147,94127.66587142862,0,0,0,0,1.228149764550792,,,,47.481782152618834,0.2679477498931906
