time,open,high,low,close,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1766894400,87706.5,87795.64,87583.57,87695.83,-0.7718913964245214,,,,,0,0,0,0,-23.348559454706937,-12.312847869120578,0,0,0,0,0,0,,683.8030188148144,15.630236176661512,-59.24545666576887,-74.87569284243038,-0.025236325916803585,,89477.4343425955,356.52619212,1025970.6670722443,49.59698769478531,-23.320665362469654,-45,-65,40,60,80,,,,,,,,,,,88170.44281212796,99843.53989241258,0,0,0,0,0,0,0,0,0,0,88170.44281212796,99843.53989241258,15,15,-10,71581.53239511413,83501.45927058824,83501.45927058824,88389.38743358925,100800.84172611934,0,0,0,0,86818.93101645165,87454.20724705883,87454.20724705883,87856.50409945006,89945.48798330505,0,0,0,0,80428.70565103406,85486.1706588235,85486.1706588235,88170.44281212796,99843.53989241258,0,0,0,0,0.8537872804327061,,,,,0.5250847458094507
1766908800,87697.58,87977.73,87689.75,87845.99,-0.7604083037277434,,,,,0,0,0,0,-23.348559454706937,-12.312847869120578,0,0,0,0,0,0,,655.5299460423274,27.5921291919108,-40.385531352541875,-67.97766054445268,-0.036290035766541016,,89477.4343425955,370.30156128,1026340.9686335244,51.397674727964805,-23.320665362469654,-45,-65,40,60,80,,,,,,,,,,,88170.44281212796,99843.53989241258,0,0,0,0,0,0,0,0,0,0,88170.44281212796,99843.53989241258,15,15,-10,71581.53239511413,83501.45927058824,83501.45927058824,88389.38743358925,100800.84172611934,0,0,0,0,86820.08358399026,87454.59684705878,88089.11011012731,87856.50409945006,89945.48798330505,0,0,0,0,80428.70565103406,85486.1706588235,85486.1706588235,88170.44281212796,99843.53989241258,0,0,0,0,0.8537872804327061,,,,,0.5313283801960563
1766923200,87848.24,88043.48,87762.78,87810.81,-0.7488197108833492,,,,,0,0,0,0,-23.348559454706937,-12.312847869120578,0,0,0,0,0,0,,628.7563784678753,32.017820929715185,-27.955384382308694,-59.97320531202388,-0.06995570166821531,,89477.4343425955,573.91225547,1025767.0563780544,50.93852496086213,-23.320665362469654,-45,-65,40,60,80,,,,,,,,,,,88170.44281212796,99843.53989241258,0,0,0,0,0,0,0,0,0,0,88170.44281212796,99843.53989241258,15,15,-10,71581.53239511413,83501.45927058824,83501.45927058824,88389.38743358925,100800.84172611934,0,0,0,0,86822.22099232602,87455.47992941191,88088.7388664978,87856.50409945006,89945.48798330505,0,0,0,0,80428.70565103406,85486.1706588235,85486.1706588235,88170.44281212796,99843.53989241258,0,0,0,0,0.8537872804327061,,,,,0.5260558032469742
1766937600,87810.81,87898.32,87460.3,87491.59,-0.7371870533340539,,,,,0,0,0,0,-23.348559454706937,-12.312847869120578,0,0,0,0,0,0,,615.1323514344559,13.288221312069524,-43.36292867193697,-56.651149984006494,-0.09165184856737404,,89259.8117307521,706.47633862,1025060.5800394345,46.84885016929259,-23.320665362469654,-45,-65,40,60,80,,,,,,,,,,,88170.44281212796,99843.53989241258,0,0,0,0,0,0,0,0,0,0,88170.44281212796,99843.53989241258,15,15,-10,71581.53239511413,83501.45927058824,83501.45927058824,88389.38743358925,100800.84172611934,0,0,0,0,86798.04412335811,87432.77879999999,87432.77879999999,87856.50409945006,89945.48798330505,0,0,0,0,80428.70565103406,85486.1706588235,85486.1706588235,88170.44281212796,99843.53989241258,0,0,0,0,0.8537872804327061,,,,,0.5266224935542928
1766952000,87493.87,88005.35,87404.96,87903.4,-0.5655531808571561,,,,,0,1,0,0,-23.320665362469654,-12.312847869120578,0,0,0,0,0,0,,614.0793263319948,27.649510462856632,-22.089261905435706,-49.73877236829234,-0.08959551314211453,,89259.8117307521,911.83252122,1025972.4125606545,52.18245862402036,-23.320665362469654,-45,-65,40,60,80,,,,,,,,,,,88170.44281212796,99675.62204295454,0,0,0,0,0,0,0,0,0,0,88170.44281212796,99675.62204295454,-5,20,-50,71053.2482699368,82965.17757647048,82965.17757647048,88389.38743358925,100800.84172611934,0,0,0,0,86806.11812355678,87439.92967058819,88073.7412176196,87856.50409945006,89945.48798330505,0,0,0,0,80863.13707176768,85680.61096470575,85680.61096470575,88170.44281212796,99675.62204295454,0,0,0,0,0.859764390267396,,,,,0.5301777278369707
1766966400,87909.8,90082.48,87769.63,90035.55,-0.7139483673431515,,,,,0,0,0,0,-23.320665362469654,-12.312847869120578,0,0,0,0,0,0,,735.4200887368518,171.72374605325825,164.91591019828047,-6.807835854977775,0.07721050706242816,86789.8882980908,,3796.68368122,1029769.0962418745,69.33825501669534,-23.320665362469654,-45,-65,40,60,80,,,,,,,,,,,88170.44281212796,99675.62204295454,0,0,0,0,0,0,0,0,0,0,88170.44281212796,99675.62204295454,5,15,-15,71053.2482699368,82965.17757647048,82965.17757647048,88389.38743358925,100800.84172611934,0,0,0,0,86916.9659163682,87615.08265882348,88313.19940127876,87955.67560348705,89945.48798330505,0,0,0,0,80863.13707176768,85680.61096470575,85680.61096470575,88170.44281212796,99675.62204295454,0,0,0,0,0.859764390267396,,11.646384141757308,9.080398767685255,42.401349131783256,0.5901090230383522
1766980800,90034.14,90332.98,89425.7,89524.8,-0.5423943346532234,,,,,0,1,0,0,-23.225187893759497,-12.312847869120578,0,0,0,0,0,0,,747.6957966842194,220.491837156525,268.8069605906785,48.315123434153485,0.03561917273250946,87684.60596828171,,2336.73368702,1027432.3625548545,63.46432695182285,-23.225187893759497,-45,-65,40,60,80,,,,,,,,,,,88678.00420331578,99675.62204295454,0,0,0,0,0,0,0,0,0,0,88678.00420331578,99675.62204295454,5,15,-15,71053.2482699368,82965.17757647048,82965.17757647048,88389.38743358925,100800.84172611934,0,0,0,0,87022.28089551056,87751.86687058835,88481.45284566614,89418.1059175237,89945.48798330505,0,0,0,0,80863.13707176768,85680.61096470575,85680.61096470575,88678.00420331578,99675.62204295454,0,0,0,0,0.859764390267396,,,,,0.5044288527000138
1766995200,89529.58,89751.1,87502.66,87503.96,-0.6909069510149766,,,,,0,0,0,0,-23.225187893759497,-12.312847869120578,0,0,0,0,0,0,,854.8918112067753,110.09441790880777,185.9331458201632,75.83872791135542,-0.12439609020597418,,91276.67262854645,2632.78388151,1024799.5786733445,46.631890716821985,-23.225187893759497,-45,-65,40,60,80,,,,,,,,,,,88678.00420331578,99675.62204295454,0,0,0,0,0,0,0,0,0,0,88678.00420331578,99675.62204295454,5,15,-45,71053.2482699368,82965.17757647048,82965.17757647048,88389.38743358925,100800.84172611934,0,0,0,0,86985.17572389293,87717.78414117654,87717.78414117654,88762.70733207013,89945.48798330505,0,0,0,0,80863.13707176768,85680.61096470575,85680.61096470575,88678.00420331578,99675.62204295454,0,0,0,0,0.859764390267396,,,,,0.5531729830062919
1767009600,87501.96,88124.89,86734,87609.57,-0.6794980445870928,,,,,0,0,0,0,-23.225187893759497,-12.312847869120578,0,0,0,0,0,0,,893.177396120577,41.176499238328276,127.30935195926577,86.13285272093749,-0.01631402420933361,,90231.52536569182,4463.76655131,1029263.3452246544,47.416804704889316,-23.225187893759497,-45,-65,40,60,80,,,,,,,,,,,88678.00420331578,99675.62204295454,0,0,0,0,0,0,0,0,0,0,88678.00420331578,99675.62204295454,5,15,-35,71053.2482699368,82965.17757647048,82965.17757647048,88389.38743358925,100800.84172611934,0,0,0,0,86963.25235678967,87697.0906588236,87697.0906588236,88148.5303797794,89945.48798330505,0,0,0,0,80863.13707176768,85680.61096470575,85680.61096470575,88678.00420331578,99675.62204295454,0,0,0,0,0.859764390267396,,,,,0.5072510651461135
1767024000,87606.6,87924.27,87233.83,87274.41,-1.1735767166713331,,,,,1,0,0,0,-23.225187893759497,-12.312847869120578,0,0,0,0,0,0,,878.696153540536,-26.352842135457067,53.191800051616156,79.54464218707322,-0.06466874886526497,,90231.52536569182,2175.29941326,1027088.0458113945,45.147435483604674,-23.225187893759497,-45,-65,40,60,80,,,,,,,,,,,88678.00420331578,99675.62204295454,0,0,0,0,0,0,0,0,0,0,88678.00420331578,99675.62204295454,15,15,-10,71053.2482699368,82965.17757647048,82965.17757647048,88389.38743358925,100800.84172611934,0,0,0,0,86934.75648380301,87669.02131764704,87669.02131764704,88148.5303797794,89945.48798330505,0,0,0,0,80863.13707176768,85680.61096470575,85680.61096470575,88678.00420331578,99675.62204295454,0,0,0,0,0.859764390267396,,,,,0.5047390557278928
