time,open,high,low,close,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1770552000,70966.29,71529.75,70674.93,71150.36,68747.35383203678,,0,0,0,0,-36.10000724598373,-30.63113090315272,0,0,0,0,0,0,1927.5761679632121,710.8602658918476,-903.6864191743807,-1614.5466850662283,-0.12051527815073225,65653.63920253994,,2897.90403892,995747.4754962445,51.83917007281312,-36.10000724598373,-45,-65,40,60,80,,,,,,,,,,,-25,-15,-20,-0.5824543538727798,-0.048272424925701475,-0.13349089891735885,-0.24,-0.18,0.6,0.16786351290157175,0.3247026692677881,0,1,0,0,-0.7024543538727797,,,,,0,0,0,73650.01912949744,81500.92962352942,81500.92962352942,69924.40394551193,100800.84172611934,0,0,0,0,61621.10527011971,66556.44625882362,71491.78724752752,69562.52402983671,76304.0383761987,0,0,0,0,73891.54788966222,80915.64049411769,80915.64049411769,68747.35383203678,99418.23282199143,0,0,0,0,0.6764367850127446,,,,,0.4162109911297088
1770566400,71149.48,71502.5,70234.05,71399.82,68747.35383203678,,0,0,0,0,-36.10000724598373,-30.63113090315272,0,0,0,0,0,0,1880.495727394411,730.9220510330936,-700.8941212748614,-1431.816172307955,-0.0925918920125007,65653.63920253994,,2254.49716141,998001.9726576546,52.82926797837686,-36.10000724598373,-45,-65,40,60,80,,,,,,,,,,,-15,-15,-10,-0.7353402466190626,-0.036415579502839655,-0.13349089891735885,-0.4,-0.18,0.6,-0.15288589274628284,0.04078622851856739,0,0,0,0,-0.8553402466190627,,,,,0,0,0,73650.01912949744,81500.92962352942,81500.92962352942,69924.40394551193,100800.84172611934,0,0,0,0,62006.887844089826,66764.94705882354,71523.00627355726,69562.60903593064,76304.0383761987,0,0,0,0,73891.54788966222,80915.64049411769,80915.64049411769,68747.35383203678,99418.23282199143,0,0,0,0,0.6764367850127446,,,,,0.4365152614365443
1770580800,71402.43,72240.57,69983.26,70315.33,68747.35383203678,,0,0,0,0,-34.58206116100784,-30.63113090315272,0,0,0,0,0,0,1907.4110325805252,649.0242240913572,-620.5358921937586,-1269.5601162851158,-0.04269413545476503,65678.79285405736,,4070.20084203,993931.7718156246,48.19096494296672,-34.58206116100784,-45,-65,40,60,80,,,,,,,,,,,-20,-60,-55,-0.6887244778831464,-0.02538929827631262,-0.13349089891735885,-0.24,-0.3,0.6,0.04661576873591622,0.20126244296456453,0,0,0,0,-0.6887244778831464,,,,,0,0,0,73650.01912949744,81500.92962352942,81500.92962352942,69924.40394551193,100800.84172611934,0,0,0,0,62209.02203576169,66848.25863529414,66848.25863529414,69562.60903593064,76304.0383761987,0,0,0,0,72222.63631295148,79636.79675294124,79636.79675294124,68747.35383203678,88998.68833470633,0,0,0,0,0.6764367850127446,,,,,0.40852227476911823
1770595200,70306.21,71402.86,70051.95,71298.23,68747.35383203678,,0,0,0,0,-34.58206116100784,-30.63113090315272,0,0,0,0,0,0,1867.6609588247736,637.970049509167,-472.09755439865694,-1110.067603907824,0.11438337177702276,65678.79285405736,,3036.86357087,996968.6353864946,52.28028267044393,-34.58206116100784,-45,-65,40,60,80,,,,,,,,,,,-15,-40,-35,-0.8424396027883747,-0.014914506451693212,-0.13349089891735885,-0.4,-0.3,0.6,-0.15371512490522832,0.03686763435428775,0,0,0,0,-0.8424396027883747,,,,,0,0,0,73650.01912949744,81500.92962352942,81500.92962352942,69924.40394551193,100800.84172611934,0,0,0,0,62293.58050378513,66892.39830588238,71491.21610797962,69562.60903593064,76304.0383761987,0,0,0,0,72222.63631295148,79636.79675294124,79636.79675294124,68747.35383203678,88998.68833470633,0,0,0,0,0.6764367850127446,,0,8.363821164572922,33.34846963471085,0.3974357215303731
1770609600,71277.24,71325.48,70286.25,70385.66,68747.35383203678,,0,0,0,0,-34.58206116100784,-30.63113090315272,0,0,0,0,0,0,1808.487318908718,549.4802518266948,-423.2172891244554,-972.6975409511502,0.25120101077402,65728.52136178644,,1987.99249375,994980.6428927446,48.45612680785299,-34.58206116100784,-45,-65,40,60,80,,,,,,,,,,,-15,-40,-35,-0.7163739462834868,-0.004805078943546578,-0.13349089891735885,-0.4,-0.18,0.6,0.12606565650488788,0.033943920490864476,0,0,0,0,-0.8363739462834867,,,,,0,0,0,73650.01912949744,81500.92962352942,81500.92962352942,69924.40394551193,100800.84172611934,0,0,0,0,62381.70137558158,66920.580682353,66920.580682353,69637.33294276157,76304.0383761987,0,0,0,0,72222.63631295148,79636.79675294124,79636.79675294124,68747.35383203678,88998.68833470633,0,0,0,0,0.6764367850127446,,,,,0.374508086838388
1770624000,70382.93,70572.47,68382.95,68882.38,68747.35383203678,,0,0,0,0,-34.58206116100784,-30.63113090315272,0,0,0,0,0,0,1835.703938986667,378.14397834319357,-500.01756802215823,-878.1615463653518,0.1962614180575541,65728.52136178644,,4166.29381669,990814.3490760546,42.890465291369296,-34.58206116100784,-45,-65,40,60,80,,,,,,,,,,,-15,-40,-35,-0.8365287701859356,-0.005063118780961211,-0.13349089891735885,-0.4,-0.3,0.6,-0.1201548239024488,-0.2540744163131561,0,0,0,0,-0.8365287701859356,,,,,0,0,0,73650.01912949744,81500.92962352942,81500.92962352942,69924.40394551193,100800.84172611934,0,0,0,0,62368.96040523797,66857.15056470594,66857.15056470594,69637.33294276157,76304.0383761987,0,0,0,0,72222.63631295148,79636.79675294124,79636.79675294124,68747.35383203678,88998.68833470633,0,0,0,0,0.6764367850127446,,,,,0.3825214078638627
1770638400,68890.65,69841.58,68263.13,69558.44,68747.35383203678,,0,0,0,0,-34.58206116100784,-30.63113090315272,0,0,0,0,0,0,1817.3286576304763,302.081390253403,-500.5598085485981,-802.6411988020011,0.2706722772801061,65728.52136178644,,6449.03084816,997263.3799242147,45.89997405076788,-34.58206116100784,-45,-65,40,60,80,,,,,,,,,,,-15,-40,-35,-0.8423546258105219,-0.014772878155271849,-0.13349089891735885,-0.4,-0.3,0.6,-0.0058258556245862625,-0.10701437919145951,0,0,0,0,-0.8423546258105219,,,,,0,0,0,73650.01912949744,81500.92962352942,81500.92962352942,69924.40394551193,100800.84172611934,0,0,0,0,62416.12793331234,66848.8083764707,66848.8083764707,69637.33294276157,76304.0383761987,0,0,0,0,72222.63631295148,79636.79675294124,79636.79675294124,68747.35383203678,88998.68833470633,0,0,0,0,0.6764367850127446,,,,,0.3623458224807323
1770652800,69547.79,71052.61,69077.48,70936.76,68747.35383203678,,0,0,0,0,-34.58206116100784,-30.63113090315272,0,0,0,0,0,0,1828.6001820854424,333.84991696493546,-385.3288025958318,-719.1787195607673,0.27334348147854565,65728.52136178644,,6023.51255366,1003286.8924778746,51.51027561194301,-34.58206116100784,-45,-65,40,60,80,,,,,,,,,,,-15,-15,-10,-0.726081643952327,-0.04346940658721164,0,-0.4,-0.3,0.6,0.1162729818581949,-0.037357166069180825,0,0,0,0,-0.606081643952327,,,,,0,0,0,73650.01912949744,81500.92962352942,81500.92962352942,69924.40394551193,100800.84172611934,0,0,0,0,62639.4715157752,66984.45171764707,71329.43191951895,69637.33294276157,76304.0383761987,0,0,0,0,72222.63631295148,79636.79675294124,79636.79675294124,68747.35383203678,88998.68833470633,0,0,0,0,0.6764367850127446,,,,,0.40124363870519986
1770667200,70936.92,71106.21,69808.02,70114.05,68747.35383203678,,0,0,0,0,-34.58206116100784,-30.63113090315272,0,0,0,0,0,0,1790.7137405079109,290.31403464864024,-356.28617624996696,-646.6002108986072,0.17892298305631843,65728.52136178644,,3827.71422198,999459.1782558947,48.29115167979984,-34.58206116100784,-45,-65,40,60,80,,,,,,,,,,,-20,-20,-35,-0.25951290046713077,0.14387774118433627,0.10467048775636485,-0.4,-0.18,1.5,0.4665687434851962,0.5829267023212437,0,1,0,0,-0.25951290046713077,,,,,0,1,0,72977.05932361475,80764.03301176474,80764.03301176474,69924.40394551193,100800.84172611934,0,0,0,0,62739.442579572526,67028.07312941176,67028.07312941176,69637.33294276157,75852.52298764071,0,0,0,0,70621.61727556445,78396.60390588238,78396.60390588238,68747.35383203678,88998.68833470633,0,0,0,0,0.6849677645576082,,,,,0.3602310962968235
1770681600,70121.72,70497.15,69175.35,69482.63,68747.35383203678,,0,0,0,0,-34.58206116100784,-30.63113090315272,0,0,0,0,0,0,1757.219901900202,213.40702703539898,-379.84142710435844,-593.2484541397574,0.08177148116224095,65728.52136178644,,2402.83860236,997056.3396535347,45.91925951559726,-34.58206116100784,-45,-65,40,60,80,,,,,,,,,,,-15,-15,-20,-0.30233601363257884,0.19532899907403756,0.10467048775636485,-0.4,-0.3,1.5,-0.04282311316544807,0.41403793265090777,0,0,0,0,-0.30233601363257884,,,,,0,0,0,72977.05932361475,80764.03301176474,80764.03301176474,69924.40394551193,100800.84172611934,0,0,0,0,62779.648986823166,67023.18908235306,67023.18908235306,69637.33294276157,75852.52298764071,0,0,0,0,70621.61727556445,78396.60390588238,78396.60390588238,68747.35383203678,88998.68833470633,0,0,0,0,0.6849677645576082,,,,32.00733962677718,0.3779894133147367
