time,open,high,low,close,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,CRS,ATR,Histogram,MACD,Signal line,CMF,Up Trend,Down Trend,Volume,OnBalanceVolume,MTF RSI,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,LT Fast TL,LT Slow TL,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1769284800,89220.08,89380.41,89102.38,89108.19,-0.882855560178875,,,,,0,0,0,0,-22.368687113499867,-10.023408074511336,0,0,0,0,0,0,,814.457047645479,106.45725487501886,-546.4001049333456,-652.8573598083644,0.09314851855569645,,91440.21752846935,491.28873851,1079652.6145617743,39.842274933430126,-22.368687113499867,-45,-65,40,60,80,,,,,,,,,,,90194.86704764549,99675.62204295454,0,0,0,0,0,0,0,0,0,0,90194.86704764549,99675.62204295454,-20,-45,-15,76642.58453769152,84827.60491764703,84827.60491764703,90697.1620173681,100800.84172611934,0,0,0,0,85333.79007242258,87813.7736705883,87813.7736705883,89705.68949687728,92231.03423601658,0,0,0,0,89300.35623718148,91986.07517647049,91986.07517647049,90194.86704764549,99675.62204295454,0,0,0,0,0.8675587508319301,,,,,0.5081729087053403
1769299200,89111.19,89207.13,88737.01,88856.03,-0.8650469070337242,,,,,0,0,0,0,-22.405909511642633,-10.023408074511336,0,0,0,0,0,0,,789.8615442422312,79.89296528894079,-552.9911531971884,-632.8841184861292,-0.13972126537780719,,91092.04627562242,686.44314223,1078966.1714195444,37.76322235916029,-22.405909511642633,-45,-65,40,60,80,,,,,,,,,,,89996.99154424224,99675.62204295454,0,0,0,0,0,0,0,0,0,0,89996.99154424224,99675.62204295454,-15,-25,5,76642.58453769152,84827.60491764703,84827.60491764703,90697.1620173681,100800.84172611934,0,0,0,0,85271.8436114144,87734.08482352935,87734.08482352935,89593.01326895208,92231.03423601658,0,0,0,0,89300.35623718148,91986.07517647049,91986.07517647049,89996.99154424224,99675.62204295454,0,0,0,0,0.8675587508319301,,,,35.79377247876806,0.5106336248403361
1769313600,88855.28,88980.45,88538.43,88554.34,-0.8464081906051464,,,,,0,0,0,0,-22.582948377463396,-10.241233070862645,0,0,0,0,0,0,,765.0157196535007,45.57159465902282,-575.9196251623507,-621.4912198213735,-0.08630898641790774,,90800.02464806018,753.78559904,1078212.3858205043,35.38419176872722,-22.582948377463396,-45,-65,40,60,80,,,,,,,,,,,89745.4657196535,99675.62204295454,0,0,0,0,0,0,0,0,0,0,89745.4657196535,99675.62204295454,-15,-40,5,76642.58453769152,84827.60491764703,84827.60491764703,90477.5925875561,100800.84172611934,0,0,0,0,85239.8771117489,87667.25637647061,87667.25637647061,89300.64521659644,92231.03423601658,0,0,0,0,89300.35623718148,91986.07517647049,91986.07517647049,89745.4657196535,99675.62204295454,0,0,0,0,0.8675587508319301,,,,,0.5005230809491853
1769328000,88554.61,88658.92,87652.07,88465.75,-0.8281240223615673,,,,,0,0,0,0,-22.640182053924917,-10.241233070862645,0,0,0,0,0,0,,782.2895968211071,21.683096149402445,-594.3873496346205,-616.0704457840229,-0.0530876526159062,,90294.07618325415,1527.69984214,1076684.6859783642,34.693026918402936,-22.640182053924917,-45,-65,40,60,80,,,,,,,,,,,89441.2095968211,99675.62204295454,0,0,0,0,0,0,0,0,0,0,89441.2095968211,99675.62204295454,-15,-25,5,76642.58453769152,84827.60491764703,84827.60491764703,90477.5925875561,100800.84172611934,0,0,0,0,85210.72558802429,87602.85430588233,87602.85430588233,89056.04546737141,92231.03423601658,0,0,0,0,89300.35623718148,91986.07517647049,91986.07517647049,89441.2095968211,99675.62204295454,0,0,0,0,0.8675587508319301,,,,,0.5171570216022079
1769342400,88462.28,88871.39,88287.91,88362.48,-0.8101355058616324,,,,,0,0,0,0,-23.061052847457617,-10.577929705688804,0,0,0,0,0,0,,768.088911333885,4.5997308651952835,-610.3207822025288,-614.9205130677241,-0.05166715351667621,,90294.07618325415,1016.09186444,1075668.5941139243,33.8626645653176,-23.061052847457617,-45,-65,40,60,80,,,,,,,,,,,89441.2095968211,99675.62204295454,0,0,0,0,0,0,0,0,0,0,89441.2095968211,99675.62204295454,-15,-40,5,76642.58453769152,84827.60491764703,84827.60491764703,90138.1995455878,100800.84172611934,0,0,0,0,85175.55384398911,87535.72477647052,87535.72477647052,89056.04546737141,92231.03423601658,0,0,0,0,89300.35623718148,91986.07517647049,91986.07517647049,89441.2095968211,99675.62204295454,0,0,0,0,0.8675587508319301,,,,,0.4780980721771805
1769356800,88357.98,88362.52,86124.75,86414.64,-0.7923935248312356,,,,,0,0,0,0,-23.099732716088056,-10.577929705688804,0,0,0,0,0,0,,873.0661319528936,-125.04940237875974,-771.2322660411737,-646.182863662414,-0.13935077164957682,,89804.75635843587,4331.68062792,1071336.9134860043,22.785170483372994,-23.099732716088056,-45,-65,40,60,80,,,,,,,,,,,89235.58613195289,99675.62204295454,0,0,0,0,0,0,0,0,0,0,89235.58613195289,99675.62204295454,-15,-25,15,76642.58453769152,84827.60491764703,84827.60491764703,90138.1995455878,100800.84172611934,0,0,0,0,84970.75580861153,87341.69171764703,87341.69171764703,88471.6040171698,92231.03423601658,0,0,0,0,89300.35623718148,91986.07517647049,91986.07517647049,89235.58613195289,99675.62204295454,0,0,0,0,0.8675587508319301,,,,,0.5275557639567453
1769371200,86416.14,86931.34,86013.03,86588.56,-0.7748565723949223,,,,,0,0,0,0,-23.903478364035333,-11.006036926261634,0,0,0,0,0,0,,876.297836813401,-182.76537715419988,-874.6395851051639,-691.874207950964,-0.06210242436639596,,89052.68722259227,3465.16955308,1074802.0830390844,25.13995626373668,-23.903478364035333,-45,-65,40,60,80,,,,,,,,,,,87807.6378368134,99675.62204295454,0,0,0,0,0,0,0,0,0,0,87807.6378368134,99675.62204295454,-20,-45,-10,76642.58453769152,84827.60491764703,84827.60491764703,89706.6638637601,100800.84172611934,0,0,0,0,84840.87315450769,87192.59169411765,87192.59169411765,87316.23030051886,91656.01893344398,0,0,0,0,88941.05211818752,91670.69687058828,91670.69687058828,87807.6378368134,99675.62204295454,0,0,0,0,0.8675587508319301,,,,,0.45390229911189295
1769385600,86587.81,87868.53,86441.05,87180.26,-0.7574891921115384,,,,,0,0,0,0,-23.903478364035333,-11.006036926261634,0,0,0,0,0,0,,915.6679913267292,-165.29117215567157,-898.4881731455534,-733.1970009898819,-0.14066620720867523,,89052.68722259227,2321.47067146,1077123.5537105445,32.66374157394701,-23.903478364035333,-45,-65,40,60,80,,,,,,,,,,,87807.6378368134,99675.62204295454,0,0,0,0,0,0,0,0,0,0,87807.6378368134,99675.62204295454,-15,-25,5,76642.58453769152,84827.60491764703,84827.60491764703,89706.6638637601,100800.84172611934,0,0,0,0,84787.81189110453,87099.33268235298,87099.33268235298,87316.23030051886,91656.01893344398,0,0,0,0,88941.05211818752,91670.69687058828,91670.69687058828,87807.6378368134,99675.62204295454,0,0,0,0,0.8675587508319301,,20.083298451409807,26.662217276038458,42.358161083074066,0.5063692317792772
1769400000,87185.76,87999.64,87148.32,87930.78,-0.7402608355760459,,,,,0,0,0,0,-24.112968633930606,-11.350838033959082,0,0,0,0,0,0,,911.0717062319624,-91.0929924676177,-847.063241574404,-755.9702491067862,-0.09508986156761029,,89052.68722259227,1766.57708483,1078890.1307953745,40.79224011242832,-24.112968633930606,-45,-65,40,60,80,,,,,,,,,,,87807.6378368134,99675.62204295454,0,0,0,0,0,0,0,0,0,0,87807.6378368134,99675.62204295454,-15,-40,5,76642.58453769152,84827.60491764703,84827.60491764703,89359.10144492009,100800.84172611934,0,0,0,0,84830.84194246079,87077.3314352941,87077.3314352941,87316.23030051886,91656.01893344398,0,0,0,0,88941.05211818752,91670.69687058828,91670.69687058828,87807.6378368134,99675.62204295454,0,0,0,0,0.8675587508319301,,,,,0.48678500082591625
1769414400,87934.03,88306.91,87530.59,87784.52,-0.7231450068799565,,,,,0,0,0,0,-24.112968633930606,-11.350838033959082,0,0,0,0,0,0,,901.4465843582512,-42.253700758459445,-808.7873750548606,-766.5336742964012,-0.1283399243085188,,89052.68722259227,1016.01602136,1077874.1147740146,39.784330951370436,-24.112968633930606,-45,-65,40,60,80,,,,,,,,,,,87807.6378368134,99675.62204295454,0,0,0,0,0,0,0,0,0,0,87807.6378368134,99675.62204295454,-15,-25,5,76642.58453769152,84827.60491764703,84827.60491764703,89359.10144492009,100800.84172611934,0,0,0,0,84891.50311097474,87062.71752941179,87062.71752941179,87316.23030051886,91656.01893344398,0,0,0,0,88941.05211818752,91670.69687058828,91670.69687058828,87807.6378368134,99675.62204295454,0,0,0,0,0.8675587508319301,,,,,0.4894688885875109
