time,open,high,low,close,cycle_day,dcl_event,dcl_price,translation,timing_code,cycle_fail,degree,Cycle low,BTC 50 SMA,200-Week SMA,AB4 Entry,MTF SMA,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1624320000,1886.76,1997.815,1700.275,1880.795,10,0,,,0,1,1,0,41429.15280000003,546.5602362500001,1,546.5602362500001,1990.2455948108125,2906.9011763720287,0,0,0,0,0,0,0,0,0,0,0,0,1990.2455948108125,2906.9011763720287,1990.2455948108125,,0,0,0,0,1990.2455948108125,0,1990.2455948108125,0,1,-25.182817730034113,9.472725602304083,0,0,0,0,0,0,271.48112271060086,-25.182817730034113,-45,-65,40,60,80,,,,,,,,,,,-25,-65,-40,-0.18,0,0,0,-0.18,1,0.12,0.12000000000000001,0,1,0,1,2361.515907014077,2981.2888882352963,2981.2888882352963,2080.1360886998373,1900.140950410443,0,0,0,0,1668.7746607588258,1892.256229411763,1892.256229411763,1948.7468870491575,2269.2961227106007,0,0,0,0,1395.9029205702357,2003.4769235294114,2003.4769235294114,1990.2455948108125,2906.9011763720287,0,0,0,0,1.3827367874710619,,,,,0.4326497131078031
1624406400,1880.3325,2045.3,1830.5725,1968.355,11,0,,,0,1,1,0,41037.46159999999,546.5602362500001,0,546.5602362500001,1990.2455948108125,2906.9011763720287,0,0,0,0,0,0,0,0,0,0,0,0,1990.2455948108125,2906.9011763720287,1990.2455948108125,,0,0,0,0,1990.2455948108125,0,1990.2455948108125,0,1,-25.182817730034113,9.472725602304083,0,0,0,0,0,0,267.42729251698654,-25.182817730034113,-45,-65,40,60,80,,,,,,,,,,,-20,-35,-30,-0.3,0,0,0,-0.3,1,-0.12,1.3877787807814457e-17,0,1,0,0,2293.9147281794776,2910.0973705882348,2910.0973705882348,2080.1360886998373,1900.140950410443,0,0,0,0,1652.0065391880512,1857.6129764705893,1857.6129764705893,1948.7468870491575,2269.2961227106007,0,0,0,0,1335.0122669573427,1951.8396882352938,1951.8396882352938,1990.2455948108125,2906.9011763720287,0,0,0,0,1.4322989573552671,,,,,0.4413320255341202
1624492800,1968.2975,2035.885,1884.625,1986.4925,12,0,,,1,1,1,0,40580.249399999986,546.5602362500001,0,546.5602362500001,1990.2455948108125,2906.9011763720287,0,0,0,0,0,0,0,0,0,0,0,0,1990.2455948108125,2906.9011763720287,1990.2455948108125,,0,0,0,0,1990.2455948108125,1,1990.2455948108125,0,1,-25.182817730034113,9.472725602304083,0,0,0,0,0,0,259.12962876577325,-25.182817730034113,-45,-65,40,60,80,,,,,,,,,,,-5,-20,-25,-0.18,0,0,0,-0.18,1,0.12,1.3877787807814457e-17,0,1,0,1,2293.9147281794776,2910.0973705882348,2910.0973705882348,2080.1360886998373,1900.140950410443,0,0,0,0,1668.3915495294711,1848.397288235294,1848.397288235294,1950.5113649608118,2269.2961227106007,0,0,0,0,1297.2125612971054,1916.1130117647076,1916.1130117647076,1990.2455948108125,2906.9011763720287,0,0,0,0,1.4322989573552671,,,,,0.4420662330457154
1624579200,1987.2925,2027.3525,1792.0725,1810.205,13,0,,,1,1,1,0,40083.256599999986,546.5602362500001,1,546.5602362500001,1948.9046478911148,2906.9011763720287,0,0,0,0,0,0,0,0,0,0,0,0,1948.9046478911148,2906.9011763720287,1948.9046478911148,,1,0,0,0,1948.9046478911148,0,1948.9046478911148,0,1,-31.422633022369318,4.694198199990528,0,0,0,0,0,0,257.42608385393225,-31.422633022369318,-45,-65,40,60,80,,,,,,,,,,,-50,-75,-25,-0.3,0,0,0,-0.3,1,-0.12,1.3877787807814457e-17,0,1,0,0,2210.9303874029592,2827.421294117649,2827.421294117649,1989.337332701893,1900.140950410443,0,0,0,0,1662.340254214426,1822.1715999999997,1822.1715999999997,1899.910202822574,2269.2961227106007,0,0,0,0,1243.7020790009383,1868.8613411764711,1868.8613411764711,1948.9046478911148,2906.9011763720287,0,0,0,0,1.308601955983298,,,,,0.4534446683905197
1624665600,1809.865,1852.4775,1717.135,1829.8125,14,0,,,1,1,1,0,39581.00959999999,546.5602362500001,1,546.5602362500001,1877.3045903435616,2906.9011763720287,0,0,0,0,0,0,0,0,0,0,0,0,1877.3045903435616,2906.9011763720287,1877.3045903435616,,0,0,0,0,1877.3045903435616,1,1877.3045903435616,0,1,-35.79624320515268,1.5647759550965084,0,0,0,0,0,0,248.70582786436566,-35.79624320515268,-45,-65,40,60,80,,,,,,,,,,,-5,-50,-45,-0.18,0,0,0,-0.18,1,0.12,0.12000000000000001,0,1,0,1,2210.9303874029592,2827.421294117649,2827.421294117649,1929.873899115408,1900.140950410443,0,0,0,0,1634.9602537880774,1781.5045764705885,1781.5045764705885,1834.1672478132164,2101.1833278643658,0,0,0,0,1197.5955150442328,1826.7849588235295,1826.7849588235295,1877.3045903435616,2906.9011763720287,0,0,0,0,1.308601955983298,,,,,0.43191740216532043
1624752000,1829.6675,1985.615,1807.5875,1983.7225,15,0,,,1,1,1,0,39095.30459999999,554.7399112500001,0,554.7399112500001,1877.3045903435616,2822.3714168508395,0,0,0,0,0,0,0,0,0,0,0,0,1877.3045903435616,2822.3714168508395,1877.3045903435616,,0,0,0,0,1877.3045903435616,0,1877.3045903435616,0,1,-35.433581904546074,1.5647759550965084,0,0,0,0,0,0,243.6573758740538,-35.433581904546074,-45,-65,40,60,80,,,,,,,,,,,-15,-15,-65,-0.3,0,0,0,-0.3,1,-0.12,-0.11999999999999998,0,1,0,0,2144.726883520115,2757.7037529411787,2757.7037529411787,1929.873899115408,1900.140950410443,0,0,0,0,1663.9972855564724,1789.7759352941187,1915.5545850317649,1834.1672478132164,2101.1833278643658,0,0,0,0,1204.3342258737823,1817.8262352941167,1817.8262352941167,1877.3045903435616,2822.3714168508395,0,0,0,0,1.423444651988434,,,,,0.44000735668950514
1624838400,1984.21,2144.5325,1960.705,2084.0075,16,0,,,1,1,1,0,38618.941999999995,554.7399112500001,0,554.7399112500001,1990.447876078709,2822.3714168508395,0,0,0,0,0,0,0,0,0,0,0,0,1990.447876078709,2822.3714168508395,1990.447876078709,,0,0,0,0,1990.447876078709,0,1990.447876078709,0,1,-27.724695458318102,2.6290239016802266,0,0,0,0,0,0,239.3838133116214,-27.724695458318102,-45,-65,40,60,80,,,,,,,,,,,5,5,-50,-0.17280718468236603,0,0,0,-0.17280718468236603,1,0.12719281531763396,0.127192815317634,0,1,0,1,2144.726883520115,2757.7037529411787,2757.7037529411787,1950.0961101623475,1900.140950410443,0,0,0,0,1782.6285274949032,1891.7376823529428,2000.8468372109824,2050.752831282454,2101.1833278643658,0,0,0,0,1229.3727861463417,1821.6813294117646,1821.6813294117646,1990.447876078709,2822.3714168508395,0,0,0,0,1.423444651988434,,3.494699299091817,5.3779111145315,53.63240304399404,0.43201722654130176
1624924800,2084.33,2245.9875,2075.545,2164.815,17,0,,,1,1,1,0,38219.48619999999,554.7399112500001,0,554.7399112500001,2127.711181540947,2822.3714168508395,1,0,0,0,0,1,0,0,0,0,0,0,2127.711181540947,2822.3714168508395,2127.711181540947,,0,0,0,0,2127.711181540947,0,2127.711181540947,0,1,-5.504299637463018,7.67583005891666,0,0,0,0,0,0,234.45943378936272,-5.504299637463018,-45,-65,40,60,80,,,,,,,,,,,10,10,-55,0.3,0,0,0,0.3,1,0.47280718468236604,0.48,0,0,0,0,2094.4995118071574,2700.6133999999997,2700.6133999999997,2045.9925406438326,1900.140950410443,0,0,0,0,1918.30006376005,2035.9613411764708,2153.6226185928917,2160.63885237288,2101.1833278643658,0,0,0,0,1271.535274473755,1837.0517470588247,1837.0517470588247,2127.711181540947,2822.3714168508395,0,0,0,0,1.5407358808267806,,,,,0.42669583519489795
1625011200,2164.7475,2288.0975,2089.0375,2276.9675,18,0,,,1,0,1,0,37784.95679999999,554.7399112500001,0,554.7399112500001,2145.8998553589227,2822.3714168508395,0,0,0,0,0,0,0,0,0,0,0,0,2145.8998553589227,2822.3714168508395,2145.8998553589227,,0,0,0,0,2145.8998553589227,0,2145.8998553589227,0,1,-3.7948437810253086,7.67583005891666,0,0,0,0,0,0,231.93090280440825,-3.7948437810253086,-45,-65,40,60,80,,,,,,,,,,,5,0,-35,0.3,0,0,0,0.3,1,0,0.6,0,0,0,0,2094.4995118071574,2700.6133999999997,2700.6133999999997,2045.9925406438326,1900.140950410443,0,0,0,0,1986.8127952916002,2124.960617647057,2263.108440002514,2184.1371516707804,2101.1833278643658,0,0,0,0,1353.9001250163396,1874.474641176472,2395.0491573366044,2145.8998553589227,2822.3714168508395,0,0,0,0,1.5407358808267806,,,,,0.4530127641829871
1625097600,2277.28,2277.5025,2071.2275,2108.355,19,0,,,1,1,1,0,37468.50979999999,554.7399112500001,0,554.7399112500001,2145.8998553589227,2822.3714168508395,0,0,0,0,0,0,0,0,0,0,0,0,2145.8998553589227,2822.3714168508395,2145.8998553589227,,0,0,0,0,2145.8998553589227,0,2145.8998553589227,0,1,3.6789629046546493,7.67583005891666,0,0,0,0,0,0,230.0983383183791,3.6789629046546493,-45,-65,40,60,80,,,,,,,,,,,0,20,-35,0.18,0,0,0,0.18,1,-0.12,0.36,0,0,0,0,2036.9219257786376,2633.6240529411775,2633.6240529411775,2045.9925406438326,1900.140950410443,0,0,0,0,2036.2007730557807,2181.065335294119,2325.9298975324573,2181.371853554928,2101.1833278643658,0,0,0,0,1397.2761188245386,1889.337117647063,1889.337117647063,2145.8998553589227,2822.3714168508395,0,0,0,0,1.4887601566547577,,,,,0.42307255693795
1625184000,2107.6175,2159.61,2017.2225,2155.72,20,0,,,1,1,1,0,37150.841799999995,554.7399112500001,0,554.7399112500001,2145.081439065959,2822.3714168508395,0,0,0,0,0,0,0,0,0,0,0,0,2145.081439065959,2822.3714168508395,2145.081439065959,,0,0,0,0,2145.081439065959,0,2145.081439065959,0,1,5.490769274480908,7.67583005891666,0,0,0,0,0,0,223.8332784384949,5.490769274480908,-45,-65,40,60,80,,,,,,,,,,,15,25,-15,0.02164751151630139,0,0,0,0.02164751151630139,1,-0.1583524884836986,0.3216475115163014,0,0,0,0,2036.9219257786376,2633.6240529411775,2633.6240529411775,2045.9925406438326,1900.140950410443,0,0,0,0,2055.8548221649203,2201.6091823529437,2347.363542540967,2107.5007431821164,2101.1833278643658,0,0,0,0,1442.8893401007863,1907.483388235294,1907.483388235294,2145.081439065959,2822.3714168508395,0,0,0,0,1.4887601566547577,,,,,0.4110614216655224
1625270400,2156.5975,2239.7275,2112.415,2227.3325,21,0,,,1,1,1,0,36846.99919999999,554.7399112500001,0,554.7399112500001,2147.5598754124026,2822.3714168508395,0,0,0,0,0,0,0,0,0,0,0,0,2147.5598754124026,2822.3714168508395,2147.5598754124026,,0,0,0,0,2147.5598754124026,0,2147.5598754124026,0,1,8.34433715542019,9.945512268395758,0,0,0,0,0,0,216.93893712145953,8.34433715542019,-45,-65,40,60,80,,,,,,,,,,,15,40,0,0.3,0,0,0,0.3,1,0.2783524884836986,0.47280718468236604,0,0,0,0,1988.675465469516,2571.5514941176507,2571.5514941176507,2089.1197017503255,1900.140950410443,0,0,0,0,2107.8242972061485,2259.037217647058,2410.250138087967,2175.9935820779647,2101.1833278643658,0,0,0,0,1541.7257860269328,1949.3166999999999,1949.3166999999999,2147.5598754124026,2822.3714168508395,0,0,0,0,1.559665577041731,,,,,0.41395586008053065
