time,open,high,low,close,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4
1726801200,100.617,100.62,100.407,100.549,15,-15,15,-30,100.6243515510101,100.78264705882344,100.78264705882344,100.79193211379504,101.49351907698589,0,0,0,0,99.82819929033472,101.47375529411761,101.47375529411761,100.96645088546289,103.78237662865455,0,0,0,0,100.10614364977141,100.50566823529417,100.50566823529417,100.79193211379504,101.49351907698589,0,0,0,0,99.05682361514832,100.41584705882353,100.41584705882353,100.88509953909244,102.97685763465974,0,0,0,0
1726815600,100.552,100.844,100.492,100.837,15,-15,15,10,100.6265946064314,100.78449176470582,100.94238892298024,100.79193211379504,101.49351907698589,0,0,0,0,99.82819929033472,101.47375529411761,101.47375529411761,100.96645088546289,103.78237662865455,0,0,0,0,100.11067018869298,100.50567058823523,100.90067098777749,100.79193211379504,101.49351907698589,0,0,0,0,99.05682361514832,100.41584705882353,100.41584705882353,100.88509953909244,102.97685763465974,0,0,0,0
1726830000,100.837,100.99,100.609,100.946,15,-15,15,5,100.617418257878,100.77682352941179,100.93622880094557,100.79193211379504,101.49351907698589,0,0,0,0,99.82819929033472,101.47375529411761,101.47375529411761,100.96645088546289,103.78237662865455,0,0,0,0,100.12708538011174,100.51596705882362,100.9048487375355,100.79193211379504,101.49351907698589,0,0,0,0,99.05682361514832,100.41584705882353,100.41584705882353,100.88509953909244,102.97685763465974,0,0,0,0
1726844400,100.945,101.015,100.627,100.723,15,-15,15,-20,100.5949566178085,100.75498823529414,100.75498823529414,100.79193211379504,101.49351907698589,0,0,0,0,99.82819929033472,101.47375529411761,101.47375529411761,100.96645088546289,103.78237662865455,0,0,0,0,100.13775744680612,100.5170894117647,100.5170894117647,100.79193211379504,101.49351907698589,0,0,0,0,99.05682361514832,100.41584705882353,100.41584705882353,100.88509953909244,102.97685763465974,0,0,0,0
1726858800,100.722,100.8,100.702,100.738,-5,-30,10,-15,100.5883589207267,100.74818823529411,100.74818823529411,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.14559667486601,100.51755529411751,100.51755529411751,100.79193211379504,101.49351907698589,0,0,0,0,98.97777887347475,100.34037647058818,100.34037647058818,100.88509953909244,102.66536560617618,0,0,0,0
1727038800,100.738,100.825,100.715,100.789,15,-15,15,10,100.58022505526367,100.73916235294108,100.89809965061849,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.16344616358359,100.5252776470588,100.5252776470588,100.79193211379504,101.49351907698589,0,0,0,0,98.97777887347475,100.34037647058818,100.34037647058818,100.88509953909244,102.66536560617618,0,0,0,0
1727053200,100.789,100.842,100.748,100.768,15,-15,15,5,100.57378841915973,100.73217882352941,100.89056922789909,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.17202493667186,100.52769647058828,100.52769647058828,100.79193211379504,101.49351907698589,0,0,0,0,98.97777887347475,100.34037647058818,100.34037647058818,100.88509953909244,102.66536560617618,0,0,0,0
1727067600,100.772,101.229,100.735,101.158,15,-15,15,10,100.5881399875522,100.75379529411754,100.91945060068288,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.20524338764945,100.55711764705882,100.90899190646819,100.79193211379504,101.49351907698589,0,0,0,0,98.97777887347475,100.34037647058818,100.34037647058818,100.88509953909244,102.66536560617618,0,0,0,0
1727082000,101.161,101.161,100.894,100.926,15,-15,15,10,100.60026141436855,100.76481176470581,100.92936211504308,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.22205284025398,100.56911058823535,100.91616833621671,100.79193211379504,101.49351907698589,0,0,0,0,98.97777887347475,100.34037647058818,100.34037647058818,100.88509953909244,102.66536560617618,0,0,0,0
1727096400,100.926,101.011,100.75,100.809,15,-15,15,15,100.59294275915549,100.75602117647057,100.75602117647057,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.25358409541704,100.5854329411764,100.5854329411764,100.79193211379504,101.49351907698589,0,0,0,0,98.97777887347475,100.34037647058818,100.34037647058818,100.88509953909244,102.66536560617618,0,0,0,0
1727110800,100.81,100.949,100.761,100.939,15,-15,15,15,100.61025305299353,100.77362823529403,100.93700341759452,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.29834391217157,100.61338352941173,100.9284231466519,100.79193211379504,101.49351907698589,0,0,0,0,98.97777887347475,100.34037647058818,100.34037647058818,100.88509953909244,102.66536560617618,0,0,0,0
1727125200,100.937,100.938,100.908,100.908,10,-15,10,10,100.62007577542676,100.7836117647058,100.94714775398484,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.3472965749731,100.64204235294105,100.936788130909,100.79193211379504,101.49351907698589,0,0,0,0,98.93827141119996,100.29277882352937,100.29277882352937,100.88509953909244,102.66536560617618,0,0,0,0
1727132400,100.969,100.99,100.886,100.96,15,-10,15,15,100.65990831618106,100.82109411764702,100.98227991911298,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.4114379772417,100.67932705882346,100.94721614040522,100.79193211379504,101.49351907698589,0,0,0,0,98.93827141119996,100.29277882352937,100.29277882352937,100.88509953909244,102.66536560617618,0,0,0,0
1727146800,100.961,101.049,100.883,100.972,15,-10,15,15,100.6777549970705,100.84069647058818,101.00363794410588,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.48288642932242,100.7196070588235,100.95632768832458,100.79193211379504,101.49351907698589,0,0,0,0,98.93827141119996,100.29277882352937,100.29277882352937,100.88509953909244,102.66536560617618,0,0,0,0
1727161200,100.978,101.011,100.759,100.824,15,-10,15,10,100.67974371910994,100.84245411764705,100.84245411764705,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.54004052529253,100.74675764705879,100.74675764705879,100.79193211379504,101.49351907698589,0,0,0,0,98.93827141119996,100.29277882352937,100.29277882352937,100.88509953909244,102.66536560617618,0,0,0,0
1727175600,100.827,100.879,100.525,100.62,15,-10,15,-15,100.65288355237429,100.8182117647059,100.8182117647059,100.79193211379504,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.57030694558004,100.75480941176467,100.75480941176467,100.79193211379504,101.49351907698589,0,0,0,0,98.93827141119996,100.29277882352937,100.29277882352937,100.88509953909244,102.66536560617618,0,0,0,0
1727190000,100.623,100.674,100.458,100.466,15,-15,15,-25,100.60067747668054,100.7761576470589,100.7761576470589,100.73988214193955,101.49351907698589,0,0,0,0,99.5993577721128,101.28848470588238,101.28848470588238,100.96645088546289,103.68713544089351,0,0,0,0,100.56759032799853,100.74509176470582,100.74509176470582,100.73988214193955,101.49351907698589,0,0,0,0,98.93827141119996,100.29277882352937,100.29277882352937,100.88509953909244,102.66536560617618,0,0,0,0
1727204400,100.469,100.479,100.34,100.349,10,-15,10,-30,100.5081716049144,100.70222588235292,100.70222588235292,100.51792898973359,101.49351907698589,0,0,0,0,99.36005096095522,101.09537647058818,101.09537647058818,100.96645088546289,103.68713544089351,0,0,0,0,100.54213284761869,100.72316705882356,100.72316705882356,100.51792898973359,101.49351907698589,0,0,0,0,98.85192429667019,100.20920941176469,100.20920941176469,100.71027303933565,102.66536560617618,0,0,0,0
