time,open,high,low,close,LT Fast TL,LT Slow TL,BP Entry,MIXED Watch,LT Exit,Time Stop,IBIT Disabled,CT1 Cross,CT2 Cross,CT3 Cross,CT4 Distribution,IWM CT3 Warning,QQQ LT+ST Entry,QQQ LOI Caution,LT Fast TL,LT Slow TL,Fast Trackline,Slow Trackline,Green T,Yellow T,Red T,B Exhaust,Fast Trackline,B Exhaust,Fast Trackline,Yellow T,DOI Score (0-10),LOI,VLT SRI Bias,T1 Trim 25%,T2 Trim 50%,T3 Trim 75%,VLT Peak,EXIT — LOI Rollover,CT4 Distribution,ATR,LOI,Acc,Deep Acc,Trim 25%,Trim 50%,Trim 75%,Acc Enter,Deep Enter,Acc Bounce,Deep Bounce,Trim 25%,Trim 50%,Trim 75%,Exit 100%,CT4 Dist,IWM Trim,VLT SRI Bias Histogram,ST SRI Bias Histogram,LT SRI Bias Histogram,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Multiplier,dF_net (ROC),dF_net_5bar (momentum),Into Bear,Into Bull,Into Strong Bear,Bounce Exhaustion,F_net,Primary (STRF/LQD),Credit (STRC x0.5),Friction (STABLE x0.4),Self (MSTR x0.3),Into Bear,Into Bull,Into Strong Bear,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4,STH MVRV,MVRV SMA,%K,%D,MTF RSI,Short-Term Risk Score
1740106800,0.02993613835670853,0.02993613835670853,0.029750213562217794,0.029763171797216294,0.0302229579747445,0.030298383204482963,0,0,0,0,0,0,0,0,0,0,0,0,0.0302229579747445,0.030298383204482963,0.0302229579747445,,1,1,0,0,0.0302229579747445,0,0.0302229579747445,1,0,-4.796095396333823,-9.498837754780993,0,0,0,0,0,0,0.00028681961803597126,-4.796095396333823,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.14336047559538825,0,0,0,0.14336047559538825,0.8414280030100473,-0.13812272903260817,-0.15663952440461182,0,0,0,0,-0.3,,,,,0,0,0,0.017834952943678352,0.023861366230008396,0.02988777951633844,0.030070204136888972,0.03322631819402686,0,0,0,0,0.03006856069974658,0.03042357433400652,0.03042357433400652,0.02998229274578372,0.029396964575968222,0,0,0,0,0.027897116149979143,0.02936275672884251,0.03082839730770588,0.0302229579747445,0.030298383204482963,0,0,0,0,0.8025726208772179,,,,,0.5350926678149586
1740121200,0.02976328114681649,0.029832910773742248,0.029606880103484515,0.029710155212441327,0.030115388324079773,0.030298383204482963,0,0,0,0,0,0,0,0,0,0,0,0,0.030115388324079773,0.030298383204482963,0.030115388324079773,,0,0,0,0,0.030115388324079773,0,0.030115388324079773,0,0,-4.862664326311089,-9.498837754780993,0,0,0,0,0,0,0.00028247755033752566,-4.862664326311089,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.14093532692273572,0,0,0,0.14093532692273572,0.8164535686070749,-0.002425148672652533,-0.039064673077264356,0,0,0,0,-0.3,,,,,0,0,0,0.017834952943678352,0.023861366230008396,0.02988777951633844,0.030070204136888972,0.03322631819402686,0,0,0,0,0.030010832031142264,0.03036919068868627,0.03036919068868627,0.029972391077780745,0.029396964575968222,0,0,0,0,0.027897116149979143,0.02936275672884251,0.03082839730770588,0.030115388324079773,0.030298383204482963,0,0,0,0,0.8025726208772179,,,,,0.5425183699111726
1740135600,0.02970924279443222,0.029756245045631007,0.02948504114439772,0.02969181097739947,0.03003791733531823,0.030298383204482963,0,0,0,0,0,0,0,0,0,0,0,0,0.03003791733531823,0.030298383204482963,0.03003791733531823,,0,0,0,0,0.03003791733531823,0,0.03003791733531823,0,0,-4.910606852797586,-9.498837754780993,0,0,0,0,0,0,0.0002816722896872229,-4.910606852797586,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.11882019523158761,0,0,0,0.11882019523158761,0.7951541425386495,-0.022115131691148107,-0.06117980476841246,0,0,0,0,-0.3,,,,,0,0,0,0.017834952943678352,0.023861366230008396,0.02988777951633844,0.030070204136888972,0.03322631819402686,0,0,0,0,0.029948664644101675,0.030305278617005924,0.030305278617005924,0.029882096946819973,0.029396964575968222,0,0,0,0,0.027897116149979143,0.02936275672884251,0.03082839730770588,0.03003791733531823,0.030298383204482963,0,0,0,0,0.8025726208772179,,,,,0.5439908120111764
1740150000,0.02969267828586466,0.03047192384582716,0.029550761983371247,0.03047192384582716,0.03003791733531823,0.030298383204482963,0,0,0,0,0,0,0,0,0,0,0,0,0.03003791733531823,0.030298383204482963,0.03003791733531823,,0,0,0,0,0.03003791733531823,0,0.03003791733531823,0,0,-4.910606852797586,-9.498837754780993,0,0,0,0,0,0,0.00032735011631355787,-4.910606852797586,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.1980336587193127,0,0,0,0.1980336587193127,0.7475576624422312,0.07921346348772508,0.029143735942514765,0,0,0,0,-0.3,,,,,0,0,0,0.017834952943678352,0.023861366230008396,0.02988777951633844,0.030070204136888972,0.03322631819402686,0,0,0,0,0.029953286541106502,0.030301388591196,0.0306494906412855,0.029882096946819973,0.029396964575968222,0,0,0,0,0.027897116149979143,0.02936275672884251,0.03082839730770588,0.03003791733531823,0.030298383204482963,0,0,0,0,0.8025726208772179,,,,,0.6125392350685862
1740164400,0.030478237896416325,0.030929645060914508,0.03039770262173832,0.03079571686393016,0.03005573876807743,0.030298383204482963,0,0,0,0,0,0,0,0,0,0,0,0,0.03005573876807743,0.030298383204482963,0.03005573876807743,,0,0,0,0,0.03005573876807743,0,0.03005573876807743,0,0,-4.899578149979359,-9.498837754780993,0,0,0,0,0,0,0.0003419638536608887,-4.899578149979359,-45,-65,40,60,80,,,,,,,,,,,15,15,10,0.3,0,0,0,0.3,0.6916071751714803,0.1019663412806873,0.018516795372003486,0,0,0,0,-0.3,,,,,0,0,0,0.017834952943678352,0.023861366230008396,0.02988777951633844,0.030070204136888972,0.03322631819402686,0,0,0,0,0.029977509946320466,0.0303302252046899,0.030682940463059333,0.03055989951756794,0.029396964575968222,0,1,0,0,0.028049909141218944,0.029567160899547383,0.031084412657875822,0.03005573876807743,0.030298383204482963,0,0,0,0,0.8025726208772179,,,,,0.5139143078299047
1740351600,0.030633709460235276,0.030689061423830693,0.030425432542112527,0.030689061423830693,0.030081445797869012,0.030298383204482963,0,0,0,0,0,0,0,0,0,0,0,0,0.030081445797869012,0.030298383204482963,0.030081445797869012,,0,0,0,0,0.030081445797869012,0,0.030081445797869012,0,0,-4.8836694856344955,-9.498837754780993,0,0,0,0,0,0,0.00034398674424351334,-4.8836694856344955,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.3,0,0,0,0.3,0.6380998008771868,0,0.15663952440461165,0,0,0,0,-0.3,,,,,0,0,0,0.017834952943678352,0.023861366230008396,0.02988777951633844,0.030070204136888972,0.03322631819402686,0,0,0,0,0.030014846987333844,0.03037184562237778,0.030728844257421714,0.03055989951756794,0.029396964575968222,0,0,0,0,0.028049909141218944,0.029567160899547383,0.031084412657875822,0.030081445797869012,0.030298383204482963,0,0,0,0,0.8025726208772179,,99.6261523932921,93.27679995646814,68.50318399914613,0.5247917594977998
1740366000,0.03068953641278257,0.030890357657401855,0.03065444152376184,0.03065444152376184,0.03031817410884715,0.030298383204482963,0,0,1,1,0,1,1,0,0,0,0,0,0.03031817410884715,0.030298383204482963,0.03031817410884715,,0,0,0,0,0.03031817410884715,0,0.03031817410884715,0,0,2.7628286228910888,-9.498837754780993,0,0,0,0,0,0,0.000336267414914692,2.7628286228910888,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.3,0,0,0,0.3,0.6,0,0.15906467307726418,0,0,0,0,-0.3,,,,,0,0,0,0.017834952943678352,0.023861366230008396,0.02988777951633844,0.030070204136888972,0.03322631819402686,0,0,0,0,0.030034695244085505,0.030394818037738257,0.03075494083139101,0.03055989951756794,0.029396964575968222,0,0,0,0,0.028049909141218944,0.029567160899547383,0.031084412657875822,0.03031817410884715,0.030298383204482963,0,0,0,0,0.8025726208772179,,,,,0.5448264617908124
1740380400,0.030649373676689927,0.030851159625150518,0.030649373676689927,0.0307184226482949,0.03032271208080767,0.030298383204482963,0,0,0,1,0,0,0,0,0,0,0,0,0.03032271208080767,0.030298383204482963,0.03032271208080767,,0,0,0,0,0.03032271208080767,0,0.03032271208080767,0,0,2.7656369237065324,-9.498837754780993,0,0,0,0,0,0,0.0003266615958822562,2.7656369237065324,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.3,0,0,0,0.3,0.6,0,0.18117980476841228,0,0,0,0,-0.3,,,,,0,0,0,0.017834952943678352,0.023861366230008396,0.02988777951633844,0.030070204136888972,0.03322631819402686,0,0,0,0,0.030064226365353285,0.030429797959542496,0.030795369553731706,0.03055989951756794,0.029396964575968222,0,0,0,0,0.028049909141218944,0.029567160899547383,0.031084412657875822,0.03032271208080767,0.030298383204482963,0,0,0,0,0.8025726208772179,,,,,0.5465688486250495
1740394800,0.030720061476695315,0.031048907531062465,0.030720061476695315,0.031048907531062465,0.03039312678889268,0.030298383204482963,0,0,0,1,0,0,0,0,0,0,0,0,0.03039312678889268,0.030298383204482963,0.03039312678889268,,0,0,0,0,0.03039312678889268,0,0.03039312678889268,0,0,3.0479139708999305,-9.307876743553662,0,0,0,0,0,0,0.0003269346878026355,3.0479139708999305,-45,-65,40,60,80,,,,,,,,,,,10,25,10,0.3,0,0,0,0.3,0.6,0,0.10196634128068721,0,0,0,0,-0.3,,,,,0,0,0,0.017834952943678352,0.023861366230008396,0.02988777951633844,0.030133653450105897,0.03322631819402686,0,0,0,0,0.030105384072479993,0.03048628962627988,0.030867195180079764,0.03055989951756794,0.029396964575968222,0,0,0,0,0.028049909141218944,0.029567160899547383,0.031084412657875822,0.03039312678889268,0.030298383204482963,0,0,0,0,0.8025726208772179,,,,,0.5594764817363924
1740409200,0.03104348009803093,0.031299315032124464,0.030941318623588128,0.031299315032124464,0.030612165241447373,0.030298383204482963,0,0,0,1,0,0,0,0,0,0,0,0,0.030612165241447373,0.030298383204482963,0.030612165241447373,,0,0,0,0,0.030612165241447373,0,0.030612165241447373,0,0,3.1834648007142694,-9.307876743553662,0,0,0,0,0,0,0.00032915338214075697,3.1834648007142694,-45,-65,40,60,80,,,,,,,,,,,10,10,10,0.3,0,0,0,0.3,0.6,0,-8.326672684688674e-17,0,0,0,0,-0.3,,,,,0,0,0,0.017834952943678352,0.023861366230008396,0.02988777951633844,0.030133653450105897,0.03322631819402686,0,0,0,0,0.030149799026237174,0.030553853188659733,0.03095790735108229,0.030742600157762277,0.029396964575968222,0,0,0,0,0.028049909141218944,0.029567160899547383,0.031084412657875822,0.030612165241447373,0.030298383204482963,0,0,0,0,0.8025726208772179,,,,,0.5494987878615553
