time,open,high,low,close,VLT SRI Bias Histogram,LT SRI Bias Histogram,ST SRI Bias Histogram,VST SRI Bias Histogram,VST Reversal Support,VST Reversal Robust Fit,VST Reversal Resistance,VST Fast Trackline,VST Slow Trackline,VST Stage 4 to 1,VST Stage 1 to 2,VST Stage 2 to 3,VST Stage 3 to 4,VLT Reversal Support,VLT Reversal Robust Fit,VLT Reversal Resistance,VLT Fast Trackline,VLT Slow Trackline,VLT Stage 4 to 1,VLT Stage 1 to 2,VLT Stage 2 to 3,VLT Stage 3 to 4,ST Reversal Support,ST Reversal Robust Fit,ST Reversal Resistance,ST Fast Trackline,ST Slow Trackline,ST Stage 4 to 1,ST Stage 1 to 2,ST Stage 2 to 3,ST Stage 3 to 4,LT Reversal Support,LT Reversal Robust Fit,LT Reversal Resistance,LT Fast Trackline,LT Slow Trackline,LT Stage 4 to 1,LT Stage 1 to 2,LT Stage 2 to 3,LT Stage 3 to 4
1700122500,14.12,14.15,14.04,14.13,-15,-10,-15,-25,13.803688903038594,14.186658823529415,14.186658823529415,14.37890563649216,15.800076192606427,0,0,0,0,15.513909022512353,17.631270588235292,17.631270588235292,15.133063484798658,20.443731194793372,0,0,0,0,11.872686305586857,13.384964705882368,13.384964705882368,14.37890563649216,15.800076192606427,0,0,0,0,15.242023596751661,17.637552941176477,17.637552941176477,14.553401335528552,17.582868427646577,0,0,0,0
1700136900,14.12,14.15,13.68,13.95,-15,-10,-30,-30,13.7265235928787,14.120423529411767,14.120423529411767,14.189311492689669,15.800076192606427,0,0,0,0,15.513909022512353,17.631270588235292,17.631270588235292,14.919886372096801,20.443731194793372,0,0,0,0,12.02742376125355,13.430658823529408,13.430658823529408,14.189311492689669,15.800076192606427,0,0,0,0,15.242023596751661,17.637552941176477,17.637552941176477,14.553401335528552,17.582868427646577,0,0,0,0
1700145000,13.99,14.42,13.75,14.24,-15,0,-15,-10,13.71521504081361,14.10625882352941,14.10625882352941,14.189311492689669,15.800076192606427,0,0,0,0,15.513909022512353,17.631270588235292,17.631270588235292,14.919886372096801,20.443731194793372,0,0,0,0,12.197029039913517,13.494894117647064,13.494894117647064,14.189311492689669,15.800076192606427,0,0,0,0,15.242023596751661,17.637552941176477,17.637552941176477,14.553401335528552,17.582868427646577,0,0,0,0
1700159400,14.25,14.34,13.98,14.33,-20,-10,-20,5,13.695850390461784,14.08604705882353,14.476243727185276,14.189311492689669,15.800076192606427,0,0,0,0,15.513909022512353,17.631270588235292,17.631270588235292,14.919886372096801,20.443731194793372,0,0,0,0,12.422811873134018,13.584423529411747,13.584423529411747,14.189311492689669,15.800076192606427,0,0,0,0,14.946357705522075,17.343341176470595,17.343341176470595,14.553401335528552,17.582868427646577,0,0,0,0
1700208900,14.18,14.19,13.86,13.97,-15,-10,-15,-20,13.631148317840536,14.02967058823529,14.02967058823529,14.189311492689669,15.800076192606427,0,0,0,0,15.513909022512353,17.631270588235292,17.631270588235292,14.919886372096801,20.443731194793372,0,0,0,0,12.56575910416508,13.62767058823528,13.62767058823528,14.189311492689669,15.800076192606427,0,0,0,0,14.946357705522075,17.343341176470595,17.343341176470595,14.553401335528552,17.582868427646577,0,0,0,0
1700223300,13.98,14.02,13.82,13.99,-15,-10,-15,5,13.573635476728711,13.978752941176467,13.978752941176467,14.189311492689669,15.800076192606427,0,0,0,0,15.513909022512353,17.631270588235292,17.631270588235292,14.919886372096801,20.443731194793372,0,0,0,0,12.678723750414315,13.660799999999988,13.660799999999988,14.189311492689669,15.800076192606427,0,0,0,0,14.946357705522075,17.343341176470595,17.343341176470595,14.429400290936073,17.582868427646577,0,0,0,0
1700231400,14.1,14.12,13.67,13.8,-15,-15,-15,-5,13.460708307061083,13.884258823529425,13.884258823529425,14.079099184879182,15.800076192606427,0,0,0,0,15.513909022512353,17.631270588235292,17.631270588235292,14.919886372096801,20.443731194793372,0,0,0,0,12.815152639801516,13.695317647058808,13.695317647058808,14.079099184879182,15.800076192606427,0,0,0,0,14.946357705522075,17.343341176470595,17.343341176470595,14.429400290936073,17.582868427646577,0,0,0,0
1700245800,13.79,13.93,13.71,13.81,-35,-35,-35,-10,13.35458386700405,13.794941176470603,13.794941176470603,14.079099184879182,15.536545288522888,0,0,0,0,15.281604881453841,17.394705882352927,17.394705882352927,14.843648090195579,20.443731194793372,0,0,0,0,12.931924197289636,13.723176470588225,13.723176470588225,14.079099184879182,15.536545288522888,0,0,0,0,14.588628093379722,16.98611764705882,16.98611764705882,14.32856453657243,17.582868427646577,0,0,0,0
1700468100,14.26,14.31,14.13,14.16,-15,0,-15,15,13.322062999829436,13.763835294117648,14.20560758840586,14.079099184879182,15.536545288522888,0,0,0,0,15.281604881453841,17.394705882352927,17.394705882352927,14.843648090195579,20.443731194793372,0,0,0,0,13.084278580201936,13.778094117647052,13.778094117647052,14.079099184879182,15.536545288522888,0,0,0,0,14.588628093379722,16.98611764705882,16.98611764705882,14.32856453657243,17.582868427646577,0,0,0,0
1700482500,14.13,14.21,14.08,14.08,-15,-10,-15,10,13.321370681375456,13.759929411764729,13.759929411764729,14.079099184879182,15.536545288522888,0,0,0,0,15.281604881453841,17.394705882352927,17.394705882352927,14.843648090195579,20.443731194793372,0,0,0,0,13.170378816208979,13.805294117647065,13.805294117647065,14.079099184879182,15.536545288522888,0,0,0,0,14.588628093379722,16.98611764705882,16.98611764705882,14.32856453657243,17.582868427646577,0,0,0,0
1700490600,14.08,14.11,13.56,13.7,-15,-10,-15,0,13.326705830844377,13.736494117647068,13.736494117647068,13.959873806368087,15.536545288522888,0,0,0,0,15.281604881453841,17.394705882352927,17.394705882352927,14.843648090195579,20.443731194793372,0,0,0,0,13.187638091290717,13.791929411764693,13.791929411764693,13.959873806368087,15.536545288522888,0,0,0,0,14.588628093379722,16.98611764705882,16.98611764705882,14.32856453657243,17.582868427646577,0,0,0,0
1700505000,13.71,13.76,13.39,13.42,-20,-10,-35,-5,13.292895825463843,13.68628235294118,13.68628235294118,13.754585067735748,15.536545288522888,0,0,0,0,15.281604881453841,17.394705882352927,17.394705882352927,14.818553710423739,20.443731194793372,0,0,0,0,13.17107934919647,13.757223529411771,13.757223529411771,13.754585067735748,15.536545288522888,0,0,0,0,14.189871074391096,16.59785882352944,16.59785882352944,14.155828866332913,17.582868427646577,0,0,0,0
1700554500,13.45,13.47,13.39,13.45,-15,-15,-15,0,13.204725131665327,13.610564705882354,13.610564705882354,13.670484063506843,15.536545288522888,0,0,0,0,15.281604881453841,17.394705882352927,17.394705882352927,14.818553710423739,20.443731194793372,0,0,0,0,13.140155604620633,13.718352941176484,13.718352941176484,13.670484063506843,15.536545288522888,0,0,0,0,14.189871074391096,16.59785882352944,16.59785882352944,13.843269661594848,17.582868427646577,0,0,0,0
1700568900,13.47,13.63,13.4,13.6,-15,-15,-30,10,13.165448549124601,13.577105882352946,13.577105882352946,13.670484063506843,15.536545288522888,0,0,0,0,15.281604881453841,17.394705882352927,17.394705882352927,14.305085588250616,20.443731194793372,0,0,0,0,13.112054510487852,13.685388235294132,13.685388235294132,13.670484063506843,15.536545288522888,0,0,0,0,14.189871074391096,16.59785882352944,16.59785882352944,13.843269661594848,17.582868427646577,0,0,0,0
1700577000,13.68,14.31,13.26,13.32,-15,-15,-15,15,13.027883919432522,13.465905882352942,13.465905882352942,13.670484063506843,15.536545288522888,0,0,0,0,15.281604881453841,17.394705882352927,17.394705882352927,14.305085588250616,20.443731194793372,0,0,0,0,13.068977480536947,13.639905882352949,13.639905882352949,13.670484063506843,15.536545288522888,0,0,0,0,14.189871074391096,16.59785882352944,16.59785882352944,13.843269661594848,17.582868427646577,0,0,0,0
1700591400,13.33,13.35,13.13,13.34,-35,-15,-20,-5,13.007052984356907,13.42414117647059,13.42414117647059,13.588114726619612,15.536545288522888,0,0,0,0,15.005062372084756,17.125929411764705,17.125929411764705,14.305085588250616,20.443731194793372,0,0,0,0,13.005841883976188,13.585317647058806,13.585317647058806,13.588114726619612,15.536545288522888,0,0,0,0,13.790855557851232,16.221505882352965,16.221505882352965,13.748383180220072,17.582868427646577,0,0,0,0
1700640900,13.08,13.09,12.99,12.99,-15,-15,-15,0,12.918619083773887,13.339717647058807,13.339717647058807,13.277663285125103,15.536545288522888,0,0,0,0,15.005062372084756,17.125929411764705,17.125929411764705,14.305085588250616,20.443731194793372,0,0,0,0,12.912134377938164,13.510282352941163,13.510282352941163,13.277663285125103,15.536545288522888,0,0,0,0,13.790855557851232,16.221505882352965,16.221505882352965,13.484927238775782,17.582868427646577,0,0,0,0
1700655300,13.01,13.07,12.91,12.95,-15,-15,-30,10,12.870451490855876,13.29602352941175,13.29602352941175,13.277663285125103,15.536545288522888,0,0,0,0,15.005062372084756,17.125929411764705,17.125929411764705,13.781068695991602,20.443731194793372,0,0,0,0,12.791303509854954,13.418211764705868,13.418211764705868,13.277663285125103,15.536545288522888,0,0,0,0,13.790855557851232,16.221505882352965,16.221505882352965,13.448146721720368,17.582868427646577,0,0,0,0
1700663400,12.88,13.14,12.82,12.86,-15,-15,-15,0,12.75819536059555,13.199952941176464,13.199952941176464,13.210140757077207,15.536545288522888,0,0,0,0,15.005062372084756,17.125929411764705,17.125929411764705,13.781068695991602,20.443731194793372,0,0,0,0,12.699369056425152,13.342964705882334,13.342964705882334,13.210140757077207,15.536545288522888,0,0,0,0,13.790855557851232,16.221505882352965,16.221505882352965,13.448146721720368,17.582868427646577,0,0,0,0
1700677800,12.85,13.25,12.84,12.86,-20,-35,-20,-5,12.690889375158505,13.130705882352943,13.130705882352943,13.210140757077207,14.500189503966759,0,0,0,0,15.005062372084756,17.125929411764705,17.125929411764705,13.781068695991602,20.443731194793372,0,0,0,0,12.613290375766711,13.271270588235295,13.271270588235295,13.210140757077207,14.500189503966759,0,0,0,0,13.330268608555912,15.779200000000012,15.779200000000012,13.448146721720368,17.582868427646577,0,0,0,0
1700813700,13.03,13.04,12.98,13.02,-30,-30,-15,0,12.578867392551514,13.03865882352941,13.03865882352941,13.210140757077207,14.039461682254846,0,0,0,0,14.72362373130697,16.884117647058826,16.884117647058826,13.781068695991602,20.443731194793372,0,0,0,0,12.57171834227886,13.22621176470587,13.22621176470587,13.210140757077207,14.039461682254846,0,0,0,0,12.856907083063408,15.30649411764706,15.30649411764706,13.402524908024652,17.582868427646577,0,0,0,0
1700828100,12.99,13.1,12.97,13.1,-10,-15,-25,10,12.536728983700085,13.002494117647057,13.002494117647057,13.210140757077207,14.039461682254846,0,0,0,0,14.72362373130697,16.884117647058826,16.884117647058826,13.741533722564187,20.443731194793372,0,0,0,0,12.50275619573235,13.16769411764706,13.16769411764706,13.210140757077207,14.039461682254846,0,0,0,0,12.856907083063408,15.30649411764706,15.30649411764706,13.402524908024652,17.582868427646577,0,0,0,0
1700836200,13.12,13.17,12.45,12.45,-15,-15,-15,-5,12.362464266394156,12.868047058823533,12.868047058823533,13.077051956624569,14.039461682254846,0,0,0,0,14.72362373130697,16.884117647058826,16.884117647058826,13.741533722564187,20.443731194793372,0,0,0,0,12.372954057555718,13.068541176470578,13.068541176470578,13.077051956624569,14.039461682254846,0,0,0,0,12.357261159783322,14.847035294117653,14.847035294117653,13.402524908024652,17.582868427646577,0,0,0,0
1701072900,13.14,13.28,13.08,13.09,-10,-15,-10,15,12.334348077195445,12.83574117647057,12.83574117647057,13.077051956624569,14.039461682254846,0,0,0,0,14.72362373130697,16.884117647058826,16.884117647058826,13.741533722564187,20.443731194793372,0,0,0,0,12.328188314680537,13.02557647058822,13.02557647058822,13.077051956624569,14.039461682254846,0,0,0,0,12.357261159783322,14.847035294117653,14.847035294117653,13.402524908024652,17.582868427646577,0,0,0,0
1701087300,13.1,13.14,13.03,13.06,-10,-15,-10,10,12.312467514707695,12.81388235294117,12.81388235294117,13.077051956624569,14.039461682254846,0,0,0,0,14.72362373130697,16.884117647058826,16.884117647058826,13.741533722564187,20.443731194793372,0,0,0,0,12.277732402613855,12.979294117647054,12.979294117647054,13.077051956624569,14.039461682254846,0,0,0,0,12.357261159783322,14.847035294117653,14.847035294117653,13.402524908024652,17.582868427646577,0,0,0,0
1701095400,12.98,13.07,12.68,12.72,-10,-15,-10,15,12.21677116309523,12.731082352941176,12.731082352941176,13.077051956624569,14.039461682254846,0,0,0,0,14.72362373130697,16.884117647058826,16.884117647058826,13.741533722564187,20.443731194793372,0,0,0,0,12.18948482190823,12.906564705882332,12.906564705882332,13.077051956624569,14.039461682254846,0,0,0,0,12.357261159783322,14.847035294117653,14.847035294117653,13.402524908024652,17.582868427646577,0,0,0,0
1701109800,12.73,12.8,12.64,12.68,-30,-20,-45,0,12.121107239546951,12.647482352941175,12.647482352941175,12.995736367136985,14.039461682254846,0,0,0,0,14.42546029798762,16.62517647058823,16.62517647058823,13.713757138656531,20.443731194793372,0,0,0,0,12.105604126275642,12.836423529411759,12.836423529411759,12.995736367136985,14.039461682254846,0,0,0,0,11.89086779414516,14.417011764705888,14.417011764705888,13.168580658725528,17.582868427646577,0,0,0,0
1701159300,12.78,12.87,12.72,12.8,-10,-15,-10,15,12.06731360570216,12.593364705882353,12.593364705882353,12.995736367136985,14.039461682254846,0,0,0,0,14.42546029798762,16.62517647058823,16.62517647058823,13.713757138656531,20.443731194793372,0,0,0,0,12.035711047384098,12.776235294117646,12.776235294117646,12.995736367136985,14.039461682254846,0,0,0,0,11.89086779414516,14.417011764705888,14.417011764705888,13.168580658725528,17.582868427646577,0,0,0,0
1701173700,12.83,12.96,12.81,12.86,-10,-15,-25,15,12.040578051481372,12.560847058823544,12.560847058823544,12.995736367136985,14.039461682254846,0,0,0,0,14.42546029798762,16.62517647058823,16.62517647058823,13.57777448589535,20.443731194793372,0,0,0,0,11.972670000600978,12.721199999999993,12.721199999999993,12.995736367136985,14.039461682254846,0,0,0,0,11.89086779414516,14.417011764705888,14.417011764705888,13.168580658725528,17.582868427646577,0,0,0,0
